,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(2),Corr with student_vol(2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90,Corr with mortgage 90
0,2010-01,KY,LOUISVILLE,2010-01,5.75,"(-85.7485, 38.2411)",1986.48,Refinancing of Apt,0.172129,0.3817265528898415,0.207845,0.38335555209067673,0.23159750000000004,0.3733484744709536,0.24093950000000003,0.34868074867546317,0.25011950000000005,0.3155024715793262,0.39936099999999997,0.26320421434582614,0.8985025,0.27426744730381086,0.022631578947368423,0.3797689764634453,0.14842105263157898,0.3628073949835333,0.3457894736842104,0.3703307942974199,2.4842105263157896,0.644827456176477,3.7331578947368427,0.674162476638914,4.501578947368422,0.571074976027089,4.604736842105263,0.4932305722189935,25116521917.8418,-0.29588504122343107,14217328271.8582,0.46980065438047935,103.99632208797199,0.6353841141675777,4.1,0.45465356950992436,3.6,0.300656419530122
1,2011-01,KY,LOUISVILLE,2011-01,4.25,"(-85.769035, 38.25168)",16236.9,Refinancing of Apt,0.2391115000000001,0.3817265528898415,0.25406500000000004,0.38335555209067673,0.2606254999999999,0.3733484744709536,0.2827834999999999,0.34868074867546317,0.30341049999999997,0.3155024715793262,0.4554005000000002,0.26320421434582614,0.7818229999999999,0.27426744730381086,0.14099999999999996,0.3797689764634453,0.1815,0.3628073949835333,0.27349999999999997,0.3703307942974199,1.9944999999999997,0.644827456176477,3.3940000000000006,0.674162476638914,4.281000000000001,0.571074976027089,4.5230000000000015,0.4932305722189935,32217867353.4185,-0.29588504122343107,11311909309.5948,0.46980065438047935,94.51558950569391,0.6353841141675777,3.7,0.45465356950992436,3.3,0.300656419530122
2,2011-04,KY,LOUISVILLE,2011-04,4.0,"(-85.650741, 38.181861)",9290.88,Refinancing of Apt,0.14759444444444447,0.3817265528898415,0.19237777777777781,0.38335555209067673,0.22143500000000005,0.3733484744709536,0.25190277777777786,0.34868074867546317,0.28138222222222226,0.3155024715793262,0.44229888888888896,0.26320421434582614,0.7700555555555555,0.27426744730381086,0.029500000000000005,0.3797689764634453,0.11950000000000002,0.3628073949835333,0.24650000000000002,0.3703307942974199,2.169,0.644827456176477,3.4549999999999996,0.674162476638914,4.276000000000001,0.571074976027089,4.5015,0.4932305722189935,31041077337.2648,-0.29588504122343107,12472473242.0863,0.46980065438047935,94.7176548951663,0.6353841141675777,3.7,0.45465356950992436,2.9,0.300656419530122
3,2011-10,KY,LOUISVILLE,2011-10,3.65,"(-85.593388, 38.165662)",49565.21,Refinancing of Apt,0.1416352380952381,0.3817265528898415,0.19074095238095234,0.38335555209067673,0.24373904761904758,0.3733484744709536,0.3185252380952381,0.34868074867546317,0.4064785714285714,0.3155024715793262,0.59521,0.26320421434582614,0.9086428571428572,0.27426744730381086,0.013500000000000003,0.3797689764634453,0.05450000000000003,0.3628073949835333,0.1145,0.3703307942974199,1.0614999999999999,0.644827456176477,2.1519999999999997,0.674162476638914,2.8695,0.571074976027089,3.128,0.4932305722189935,34825519831.2788,-0.29588504122343107,11508699084.1195,0.46980065438047935,90.24550000965358,0.6353841141675777,3.2,0.45465356950992436,3.1,0.300656419530122
4,2012-04,KY,LOUISVILLE,2012-04,3.5,"(-84.086797, 40.715409)",8531.85,Refinancing of Apt,0.14868421052631575,0.3817265528898415,0.18980526315789473,0.38335555209067673,0.23982894736842097,0.3733484744709536,0.34777368421052635,0.34868074867546317,0.46680789473684203,0.3155024715793262,0.7313999999999999,0.26320421434582614,1.048621052631579,0.27426744730381086,0.0666666666666667,0.3797689764634453,0.13904761904761903,0.3628073949835333,0.18333333333333335,0.3703307942974199,0.8947619047619045,0.644827456176477,2.0528571428571425,0.674162476638914,2.8166666666666664,0.571074976027089,3.1842857142857137,0.4932305722189935,36777908030.9335,-0.29588504122343107,14585937143.4485,0.46980065438047935,90.48744874686929,0.6353841141675777,3.6,0.45465356950992436,3.0,0.300656419530122
5,2012-07,KY,LOUISVILLE,2012-07,3.2,"(-85.72061, 38.240235999999996)",5751.81,Refinancing of Apt,0.16720454545454547,0.3817265528898415,0.19873636363636368,0.38335555209067673,0.24646136363636365,0.3733484744709536,0.34024999999999994,0.34868074867546317,0.4535545454545455,0.3155024715793262,0.7302181818181818,0.26320421434582614,1.0653181818181816,0.27426744730381086,0.06952380952380956,0.3797689764634453,0.14571428571428574,0.3628073949835333,0.18571428571428572,0.3703307942974199,0.6195238095238095,0.644827456176477,1.5266666666666664,0.674162476638914,2.217142857142857,0.571074976027089,2.5900000000000003,0.4932305722189935,37160101000.5239,-0.29588504122343107,11631947675.6117,0.46980065438047935,90.0868950067716,0.6353841141675777,2.7,0.45465356950992436,2.9,0.300656419530122
6,2012-09,KY,LOUISVILLE,2012-09,2.89,"(-85.494388, 38.278549)",99100.0,Refinancing of Apt,0.15189500000000006,0.3817265528898415,0.183625,0.38335555209067673,0.22133750000000002,0.3733484744709536,0.3079875,0.34868074867546317,0.3856325000000001,0.3155024715793262,0.6716749999999999,0.26320421434582614,0.9997750000000002,0.27426744730381086,0.07526315789473685,0.3797689764634453,0.13736842105263158,0.3628073949835333,0.17578947368421055,0.3703307942974199,0.6689473684210526,0.644827456176477,1.7231578947368422,0.674162476638914,2.488421052631579,0.571074976027089,2.8815789473684212,0.4932305722189935,37685204803.0042,-0.29588504122343107,10740081615.3953,0.46980065438047935,89.6038877472871,0.6353841141675777,3.0,0.45465356950992436,2.8,0.300656419530122
7,2012-10,KY,LOUISVILLE,2012-10,3.94,"(-85.58320400000001, 38.291725)",29156.4,Refinancing of Apt,0.15320434782608702,0.3817265528898415,0.17955217391304346,0.38335555209067673,0.21346521739130433,0.3733484744709536,0.2717391304347827,0.34868074867546317,0.3304891304347827,0.3155024715793262,0.5823021739130435,0.26320421434582614,0.9185760869565219,0.27426744730381086,0.10952380952380951,0.3797689764634453,0.14904761904761904,0.3628073949835333,0.17952380952380956,0.3703307942974199,0.7085714285714285,0.644827456176477,1.7461904761904758,0.674162476638914,2.505714285714286,0.571074976027089,2.90047619047619,0.4932305722189935,38410438812.4053,-0.29588504122343107,11337096053.4966,0.46980065438047935,89.56768058609659,0.6353841141675777,3.0,0.45465356950992436,2.8,0.300656419530122
8,2013-07,KY,LOUISVILLE,2013-07,3.395,"(-85.573526, 38.29074)",29390.515,Refinancing of Apt,0.12117913043478262,0.3817265528898415,0.15611695652173913,0.38335555209067673,0.19111913043478265,0.3733484744709536,0.232388695652174,0.34868074867546317,0.26758260869565215,0.3155024715793262,0.40307869565217386,0.26320421434582614,0.6838491304347826,0.27426744730381086,0.020909090909090912,0.3797689764634453,0.07363636363636367,0.3628073949835333,0.12181818181818184,0.3703307942974199,1.4031818181818183,0.644827456176477,2.5822727272727275,0.674162476638914,3.3072727272727276,0.571074976027089,3.605,0.4932305722189935,41334062733.8549,-0.29588504122343107,10216278752.7557,0.46980065438047935,88.920473853359,0.6353841141675777,2.6,0.45465356950992436,2.2,0.300656419530122
9,2014-04,KY,LOUISVILLE,2014-04,3.83,"(-85.693624, 38.160224)",58851.66,Refinancing of Apt,0.08864000000000001,0.3817265528898415,0.120115,0.38335555209067673,0.1517,0.3733484744709536,0.1918625,0.34868074867546317,0.227495,0.3155024715793262,0.32422500000000004,0.26320421434582614,0.550005,0.27426744730381086,0.023333333333333345,0.3797689764634453,0.05333333333333336,0.3628073949835333,0.10761904761904763,0.3703307942974199,1.7009523809523805,0.644827456176477,2.705238095238095,0.674162476638914,3.265238095238095,0.571074976027089,3.5176190476190476,0.4932305722189935,44462292713.4678,-0.29588504122343107,10121843859.6075,0.46980065438047935,85.3165844012547,0.6353841141675777,3.4,0.45465356950992436,2.0,0.300656419530122
10,2014-09,KY,LOUISVILLE,2014-09,3.85,"(-85.874012, 38.132427)",39300.9,Refinancing of Apt,0.09027272727272727,0.3817265528898415,0.12087045454545454,0.38335555209067673,0.15410454545454544,0.3733484744709536,0.19699999999999998,0.34868074867546317,0.23403181818181817,0.3155024715793262,0.32999090909090917,0.26320421434582614,0.5770545454545455,0.27426744730381086,0.01142857142857143,0.3797689764634453,0.04380952380952382,0.3628073949835333,0.10952380952380954,0.3703307942974199,1.7738095238095242,0.644827456176477,2.5342857142857147,0.674162476638914,3.0133333333333328,0.571074976027089,3.26,0.4932305722189935,44591810060.8257,-0.29588504122343107,11357071284.6333,0.46980065438047935,82.11515832772571,0.6353841141675777,2.6,0.45465356950992436,1.9,0.300656419530122
11,2015-05,KY,LOUISVILLE,2015-05,3.48,"(-85.573526, 38.29074)",26843.67,Refinancing of Apt,0.12315789473684212,0.3817265528898415,0.14795,0.38335555209067673,0.1842289473684211,0.3733484744709536,0.2296,0.34868074867546317,0.2795368421052632,0.3155024715793262,0.41659473684210524,0.26320421434582614,0.7346236842105265,0.27426744730381086,0.013000000000000001,0.3797689764634453,0.07950000000000002,0.3628073949835333,0.24100000000000002,0.3703307942974199,1.5385000000000002,0.644827456176477,2.1975000000000002,0.674162476638914,2.692,0.571074976027089,2.9550000000000005,0.4932305722189935,48997735451.5931,-0.29588504122343107,11834405659.8436,0.46980065438047935,80.33849809561521,0.6353841141675777,3.0,0.45465356950992436,1.7,0.300656419530122
12,2016-05,KY,LOUISVILLE,2016-05,3.67,"(-85.756222, 38.246373)",8134.45,Refinancing of Apt,0.38527368421052627,0.3817265528898415,0.4053315789473685,0.38335555209067673,0.4424947368421052,0.3733484744709536,0.5332263157894737,0.34868074867546317,0.6455710526315791,0.3155024715793262,0.9348736842105263,0.26320421434582614,1.2675078947368421,0.27426744730381086,0.2261904761904762,0.3797689764634453,0.4185714285714286,0.3628073949835333,0.5914285714285713,0.3703307942974199,1.3004761904761903,0.644827456176477,1.8061904761904766,0.674162476638914,2.2166666666666663,0.571074976027089,2.627619047619048,0.4932305722189935,49206523977.8161,-0.29588504122343107,11531266279.4831,0.46980065438047935,83.80897781081251,0.6353841141675777,2.4,0.45465356950992436,1.4,0.300656419530122
13,2016-07,KY,LOUISVILLE,2016-07,3.45,"(-85.79824599999999, 38.191342)",29832.36,Refinancing of Apt,0.41380476190476195,0.3817265528898415,0.43819285714285716,0.38335555209067673,0.4828833333333333,0.3733484744709536,0.5734595238095239,0.34868074867546317,0.6963095238095237,0.3155024715793262,0.9990666666666668,0.26320421434582614,1.31707619047619,0.27426744730381086,0.2635000000000001,0.3797689764634453,0.4040000000000001,0.3628073949835333,0.5135000000000001,0.3703307942974199,1.0715,0.644827456176477,1.504,0.674162476638914,1.8224999999999998,0.571074976027089,2.227,0.4932305722189935,50596067254.1766,-0.29588504122343107,11482367114.4991,0.46980065438047935,83.5754036116387,0.6353841141675777,1.8,0.45465356950992436,1.4,0.300656419530122
14,2016-11,KY,LOUISVILLE,2016-11,2.9,"(-85.850847, 38.091263)",17920.37,Refinancing of Apt,0.4339245454545454,0.3817265528898415,0.45880500000000013,0.38335555209067673,0.5631090909090911,0.3733484744709536,0.7006386363636362,0.34868074867546317,0.9084640909090909,0.3155024715793262,1.2693081818181815,0.26320421434582614,1.6029650000000002,0.27426744730381086,0.29999999999999993,0.3797689764634453,0.5834999999999999,0.3628073949835333,0.736,0.3703307942974199,1.596,0.644827456176477,2.142,0.674162476638914,2.5369999999999995,0.571074976027089,2.8620000000000005,0.4932305722189935,51124149514.2735,-0.29588504122343107,12351593318.9066,0.46980065438047935,87.39008859346599,0.6353841141675777,2.2,0.45465356950992436,1.3,0.300656419530122
15,2017-10,KY,LOUISVILLE,2017-10,3.8,"(-85.801673, 38.273606)",12200.654999999999,Refinancing of Apt,1.1834895238095235,0.3817265528898415,1.2040609090909093,0.38335555209067673,1.2385486363636362,0.3733484744709536,1.287584090909091,0.34868074867546317,1.3607931818181818,0.3155024715793262,1.541957272727273,0.26320421434582614,1.8208568181818179,0.27426744730381086,0.9957142857142858,0.3797689764634453,1.2495238095238093,0.3628073949835333,1.3976190476190478,0.3703307942974199,1.9809523809523806,0.644827456176477,2.3600000000000003,0.674162476638914,2.649047619047619,0.571074976027089,2.8780952380952383,0.4932305722189935,50938614889.0817,-0.29588504122343107,11223830878.8235,0.46980065438047935,88.94830277813108,0.6353841141675777,2.1,0.45465356950992436,1.1,0.300656419530122
16,2018-06,KY,LOUISVILLE,2018-06,4.13,"(-85.7594, 38.2542)",45859.845,Refinancing of Apt,1.8376333333333337,0.3817265528898415,1.9170571428571423,0.38335555209067673,2.068429047619047,0.3733484744709536,2.1502619047619045,0.34868074867546317,2.330264285714286,0.3155024715793262,2.4958952380952377,0.26320421434582614,2.759644285714286,0.27426744730381086,1.8052380952380953,0.3797689764634453,2.113809523809524,0.3628073949835333,2.328095238095238,0.3703307942974199,2.775714285714286,0.644827456176477,2.9123809523809525,0.674162476638914,2.9776190476190476,0.571074976027089,3.0500000000000007,0.4932305722189935,50800995008.8069,-0.29588504122343107,12917630009.557,0.46980065438047935,87.010875232225,0.6353841141675777,2.2,0.45465356950992436,1.1,0.300656419530122
17,2018-08,KY,LOUISVILLE,2018-08,4.05,"(-85.76826700000001, 38.255451)",39517.56,Refinancing of Apt,1.916485,0.3817265528898415,1.9541377272727276,0.38335555209067673,2.074109545454545,0.3733484744709536,2.18963,0.34868074867546317,2.323575,0.3155024715793262,2.5196563636363636,0.26320421434582614,2.8215668181818185,0.27426744730381086,1.9408695652173917,0.3797689764634453,2.244347826086957,0.3628073949835333,2.445652173913043,0.3703307942974199,2.7678260869565223,0.644827456176477,2.889130434782609,0.674162476638914,2.970434782608696,0.571074976027089,3.041739130434783,0.4932305722189935,50593420247.4287,-0.29588504122343107,13275367584.5731,0.46980065438047935,88.437943439718,0.6353841141675777,1.9,0.45465356950992436,1.0,0.300656419530122
