,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol,Corr with auto_vol,student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2009-11,MN,BLOOMINGTON,2009-11,5.95,"(-93.290244, 44.846162)",55420,14526.87,Refinancing of Apt,0.1780742857142857,0.12720674024952838,0.21678666666666663,0.16033653834888595,0.2378266666666667,0.06621309211340018,0.24931714285714288,-0.10122092780842737,0.2681409523809524,-0.191271810009783,0.516785238095238,-0.10761169655599526,1.0843766666666663,0.176810521503543,0.052631578947368446,0.03519944869594734,0.15473684210526314,0.14369685229410215,0.3131578947368421,0.3255816995094776,2.230526315789474,0.6958916840745337,3.402631578947368,0.7755306197125249,4.235263157894737,0.8016004144944936,4.314736842105263,0.775583376171521,25282528298.0118,-0.7963478418611929,14402813469.2945,0.7142059141647166,105.55167238105,0.858679584040456,2.7,0.7708659972604446,3.6,0.8028243094819156,-93.290244,44.846162
1,2010-02,MN,BLOOMINGTON,2010-02,5.73,"(-93.266987, 44.844561)",55420,10269.83,Refinancing of Apt,0.172487,0.12720674024952838,0.20809400000000006,0.16033653834888595,0.22906349999999992,0.06621309211340018,0.23978050000000012,-0.10122092780842737,0.25051950000000006,-0.191271810009783,0.38779850000000005,-0.10761169655599526,0.8515799999999999,0.176810521503543,0.05736842105263157,0.03519944869594734,0.18105263157894735,0.14369685229410215,0.34578947368421054,0.3255816995094776,2.363684210526315,0.6958916840745337,3.691052631578947,0.7755306197125249,4.481052631578947,0.8016004144944936,4.619473684210526,0.775583376171521,25116521917.8418,-0.7963478418611929,14107591663.4702,0.7142059141647166,101.129830992893,0.858679584040456,2.5,0.7708659972604446,3.2,0.8028243094819156,-93.266987,44.844561
2,2011-03,MN,BLOOMINGTON,2011-03,4.38,"(-93.374188, 44.849608)",55438,44809.9,Refinancing of Apt,0.2076739130434783,0.12720674024952838,0.23889782608695653,0.16033653834888595,0.2532847826086956,0.06621309211340018,0.2829456521739131,-0.10122092780842737,0.30843478260869567,-0.191271810009783,0.4607826086956522,-0.10761169655599526,0.7797065217391305,0.176810521503543,0.06478260869565221,0.03519944869594734,0.15652173913043482,0.14369685229410215,0.25913043478260867,0.3255816995094776,2.1134782608695653,0.6958916840745337,3.414347826086956,0.7755306197125249,4.26608695652174,0.8016004144944936,4.5139130434782615,0.775583376171521,31565012894.7234,-0.7963478418611929,11726514214.1317,0.7142059141647166,92.8594669911348,0.858679584040456,2.1,0.7708659972604446,2.5,0.8028243094819156,-93.374188,44.849608
3,2011-09,MN,BLOOMINGTON,2011-09,4.1,"(-93.287334, 44.833135999999996)",55420,46824.74,Refinancing of Apt,0.14525181818181823,0.12720674024952838,0.1884,0.16033653834888595,0.23085045454545455,0.06621309211340018,0.2845913636363636,-0.10122092780842737,0.3502268181818181,-0.191271810009783,0.5222018181818182,-0.10761169655599526,0.8332045454545454,0.176810521503543,0.005714285714285713,0.03519944869594734,0.04333333333333335,0.14369685229410215,0.10476190476190479,0.3255816995094776,0.9004761904761904,0.6958916840745337,1.9752380952380955,0.7755306197125249,2.8271428571428574,0.8016004144944936,3.182380952380953,0.775583376171521,33690910289.8878,-0.7963478418611929,12477113046.1263,0.7142059141647166,91.13289228397959,0.858679584040456,2.3,0.7708659972604446,2.4,0.8028243094819156,-93.287334,44.833135999999996
4,2012-01,MN,BLOOMINGTON,2012-01,3.89,"(-93.28713, 44.852055)",55420,25913.83,Refinancing of Apt,0.14564761904761903,0.12720674024952838,0.2014238095238095,0.16033653834888595,0.28289523809523814,0.06621309211340018,0.41424761904761903,-0.10122092780842737,0.5659000000000001,-0.191271810009783,0.7969761904761906,-0.10761169655599526,1.1145476190476191,0.176810521503543,0.0245,0.03519944869594734,0.06550000000000003,0.14369685229410215,0.11500000000000003,0.3255816995094776,0.835,0.6958916840745337,1.9664999999999995,0.7755306197125249,2.6950000000000003,0.8016004144944936,3.026,0.775583376171521,35385458151.3724,-0.7963478418611929,11508699084.1195,0.7142059141647166,90.4806728327692,0.858679584040456,2.0,0.7708659972604446,2.3,0.8028243094819156,-93.28713,44.852055
5,2012-05,MN,BLOOMINGTON,2012-05,3.5599999999999996,"(-93.2892573, 44.8341328)",55420,15465.31,Refinancing of Apt,0.15161363636363637,0.12720674024952838,0.19053181818181822,0.16033653834888595,0.23893181818181805,0.06621309211340018,0.3457045454545453,-0.10122092780842737,0.4665318181818183,-0.191271810009783,0.732990909090909,-0.10761169655599526,1.0615068181818177,0.176810521503543,0.06590909090909093,0.03519944869594734,0.14545454545454548,0.14369685229410215,0.19181818181818186,0.3255816995094776,0.7618181818181818,0.6958916840745337,1.8031818181818189,0.7755306197125249,2.525909090909091,0.8016004144944936,2.930909090909091,0.775583376171521,36777908030.9335,-0.7963478418611929,11641401212.0971,0.7142059141647166,90.7743282432688,0.858679584040456,2.0,0.7708659972604446,2.1,0.8028243094819156,-93.2892573,44.8341328
6,2013-01,MN,BLOOMINGTON,2013-01,3.6,"(-94.0, 46.0)",55420,27456.03,Refinancing of Apt,0.16043181818181818,0.12720674024952838,0.17947272727272726,0.16033653834888595,0.20497272727272725,0.06621309211340018,0.2497954545454545,-0.10122092780842737,0.30261363636363625,-0.191271810009783,0.48810454545454546,-0.10761169655599526,0.8142727272727271,0.176810521503543,0.05190476190476192,0.03519944869594734,0.10761904761904766,0.14369685229410215,0.14523809523809525,0.3255816995094776,0.8052380952380951,0.6958916840745337,1.9147619047619049,0.7755306197125249,2.681428571428571,0.8016004144944936,3.0804761904761913,0.775583376171521,39268596272.9965,-0.7963478418611929,11337096053.4966,0.7142059141647166,89.513287195688,0.858679584040456,2.0,0.7708659972604446,1.6,0.8028243094819156,-94.0,46.0
7,2013-10,MN,BLOOMINGTON,2013-10,3.97,"(-93.30953199999999, 44.817184999999995)",55431,54777.2,Refinancing of Apt,0.10426086956521738,0.12720674024952838,0.13668260869565219,0.16033653834888595,0.17241521739130433,0.06621309211340018,0.21265,-0.10122092780842737,0.2417652173913043,-0.191271810009783,0.36121521739130424,-0.10761169655599526,0.6177847826086957,0.176810521503543,0.1059090909090909,0.03519944869594734,0.07590909090909094,0.14369685229410215,0.12136363636363635,0.3255816995094776,1.366818181818182,0.6958916840745337,2.615909090909091,0.7755306197125249,3.3795454545454544,0.8016004144944936,3.6759090909090903,0.775583376171521,41244159430.5284,-0.7963478418611929,10216278752.7557,0.7142059141647166,89.95115518901541,0.858679584040456,1.7,0.7708659972604446,1.3,0.8028243094819156,-93.30953199999999,44.817184999999995
8,2014-01,MN,BLOOMINGTON,2014-01,4.15,"(-93.312028, 44.856171999999994)",55431,36114.57,Refinancing of Apt,0.09003181818181817,0.12720674024952838,0.1219931818181818,0.16033653834888595,0.1597090909090909,0.06621309211340018,0.204425,-0.10122092780842737,0.23822954545454544,-0.191271810009783,0.33795909090909093,-0.10761169655599526,0.5752999999999999,0.176810521503543,0.017142857142857144,0.03519944869594734,0.0690476190476191,0.14369685229410215,0.11619047619047623,0.3255816995094776,1.6466666666666665,0.6958916840745337,2.858095238095238,0.7755306197125249,3.521904761904762,0.8016004144944936,3.76904761904762,0.775583376171521,42151687038.4775,-0.7963478418611929,9402239044.86975,0.7142059141647166,86.47441597957871,0.858679584040456,1.5,0.7708659972604446,1.2,0.8028243094819156,-93.312028,44.856171999999994
9,2014-05,MN,BLOOMINGTON,2014-05,3.73,"(-93.331416, 44.814264)",55437,43014.02,Refinancing of Apt,0.08842000000000001,0.12720674024952838,0.1198375,0.16033653834888595,0.15035749999999998,0.06621309211340018,0.1914675,-0.10122092780842737,0.22609000000000004,-0.191271810009783,0.3231200000000001,-0.10761169655599526,0.537955,0.176810521503543,0.026666666666666665,0.03519944869594734,0.05190476190476192,0.14369685229410215,0.0966666666666667,0.3255816995094776,1.5928571428571427,0.6958916840745337,2.559047619047619,0.7755306197125249,3.1152380952380954,0.8016004144944936,3.3899999999999997,0.775583376171521,44462292713.4678,-0.7963478418611929,11032404366.8063,0.7142059141647166,84.4459748156831,0.858679584040456,1.3,0.7708659972604446,1.2,0.8028243094819156,-93.331416,44.814264
