,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(3),Corr with student_vol(3),credit_tightness,Corr with credit_tightness,mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2014-04,TX,WACO,2014-04,4.27,"(-97.1467, 31.5493)",8891.66,Refinancing of Apt,0.08864000000000001,-0.46294032061405266,0.120115,-0.46974663922898274,0.1517,-0.525710619443926,0.1918625,-0.5929386801287553,0.227495,-0.6912254441324379,0.32422500000000004,-0.7832688333823962,0.550005,-0.8082063627801132,0.023333333333333345,-0.43798171387679435,0.05333333333333336,-0.6072152600132846,0.10761904761904763,-0.6747417437419735,1.7009523809523805,-0.08279125965128828,2.705238095238095,0.7359375746054789,3.265238095238095,0.7743738561959417,3.5176190476190476,0.739455021420203,44462292713.4678,-0.9251750046455924,10638305940.4607,-0.9108034618171303,82.56600445924391,-0.8720492251554576,3.7,0.774250273805321,1.7,0.9234450480970965,-97.1467,31.5493
1,2014-06,TX,WACO,2014-06,4.5,"(-97.16566170000002, 31.490344800000003)",73395.63,Refinancing of Apt,0.09278571428571428,-0.46294032061405266,0.12241428571428574,-0.46974663922898274,0.1523738095238095,-0.525710619443926,0.19377380952380954,-0.5929386801287553,0.2309452380952381,-0.6912254441324379,0.32388809523809525,-0.7832688333823962,0.5421714285714285,-0.8082063627801132,0.024285714285714296,-0.43798171387679435,0.06047619047619051,-0.6072152600132846,0.10476190476190479,-0.6747417437419735,1.679047619047619,-0.08279125965128828,2.5985714285714288,0.7359375746054789,3.1533333333333333,0.7743738561959417,3.4199999999999995,0.739455021420203,44931729222.7983,-0.9251750046455924,11159124696.1814,-0.9108034618171303,81.9669757663089,-0.8720492251554576,3.7,0.774250273805321,1.9,0.9234450480970965,-97.16566170000002,31.490344800000003
2,2014-12,TX,WACO,2014-12,3.75,"(-74.947216, 39.869437)",6504.16,Refinancing of Apt,0.1101,-0.46294032061405266,0.1330809523809524,-0.46974663922898274,0.16305,-0.525710619443926,0.20744285714285715,-0.5929386801287553,0.2446071428571429,-0.6912254441324379,0.34302142857142864,-0.7832688333823962,0.6021190476190476,-0.8082063627801132,0.02500000000000001,-0.43798171387679435,0.1063636363636364,-0.6072152600132846,0.21454545454545454,-0.6747417437419735,1.64,-0.08279125965128828,2.2072727272727275,0.7359375746054789,2.5504545454545453,0.7743738561959417,2.8331818181818185,0.739455021420203,45667781053.6763,-0.9251750046455924,12019442988.8631,-0.9108034618171303,82.4770523961592,-0.8720492251554576,3.6,0.774250273805321,1.6,0.9234450480970965,-74.947216,39.869437
3,2016-11,TX,WACO,2016-11,2.82,"(-97.1413, 31.5506)",31146.51,Refinancing of Apt,0.4339245454545454,-0.46294032061405266,0.45880500000000013,-0.46974663922898274,0.5631090909090911,-0.525710619443926,0.7006386363636362,-0.5929386801287553,0.9084640909090909,-0.6912254441324379,1.2693081818181815,-0.7832688333823962,1.6029650000000002,-0.8082063627801132,0.29999999999999993,-0.43798171387679435,0.5834999999999999,-0.6072152600132846,0.736,-0.6747417437419735,1.596,-0.08279125965128828,2.142,0.7359375746054789,2.5369999999999995,0.7743738561959417,2.8620000000000005,0.739455021420203,51124149514.2735,-0.9251750046455924,12722317795.1324,-0.9108034618171303,89.2057504560787,-0.8720492251554576,3.1,0.774250273805321,0.7,0.9234450480970965,-97.1413,31.5506
4,2016-12,TX,WACO,2016-12,3.33,"(-97.176282, 31.593123)",39849.68,Refinancing of Apt,0.5606285,-0.46294032061405266,0.6315605,-0.46974663922898274,0.7119585,-0.525710619443926,0.7883325000000001,-0.5929386801287553,0.9753284999999998,-0.6912254441324379,1.3063339999999999,-0.7832688333823962,1.6692235,-0.8082063627801132,0.42333333333333334,-0.43798171387679435,0.638095238095238,-0.6072152600132846,0.8661904761904763,-0.6747417437419735,1.9590476190476194,-0.08279125965128828,2.491904761904762,0.7359375746054789,2.835238095238095,0.7743738561959417,3.1133333333333324,0.739455021420203,49588706606.1033,-0.9251750046455924,12509011080.2031,-0.9108034618171303,88.1697673489486,-0.8720492251554576,2.7,0.774250273805321,0.9,0.9234450480970965,-97.176282,31.593123
5,2017-08,TX,WACO,2017-08,3.6,"(-97.18571700000001, 31.527606)",34021.11,Refinancing of Apt,1.1775518181818179,-0.46294032061405266,1.197803181818182,-0.46974663922898274,1.2317690909090908,-0.525710619443926,1.264191818181818,-0.5929386801287553,1.314176818181818,-0.6912254441324379,1.453699090909091,-0.7832688333823962,1.7253381818181814,-0.8082063627801132,0.9795652173913042,-0.43798171387679435,1.1291304347826083,-0.6072152600132846,1.2291304347826086,-0.6747417437419735,1.7765217391304353,-0.08279125965128828,2.209130434782609,0.7359375746054789,2.552173913043478,0.7743738561959417,2.795217391304348,0.739455021420203,49256214828.7987,-0.9251750046455924,11707722927.962,-0.9108034618171303,88.23467488709129,-0.8720492251554576,3.1,0.774250273805321,0.9,0.9234450480970965,-97.18571700000001,31.527606
