,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol(3),Corr with student_vol(3),credit_tightness,Corr with credit_tightness,mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90,Corr with mortgage 90
0,2010-05,MN,ROCHESTER,2010-05,4.07,"(-92.51, 44.08)",22345.2,Refinancing of Apt,0.2957715789473684,0.07254019668226358,0.3152057894736842,0.07248480932595536,0.3354642105263158,0.06893468600490009,0.39242105263157895,0.06320028737850716,0.45851421052631586,0.056958825942871424,0.6592468421052632,0.035514043663199914,1.129987894736842,0.02250084762411939,0.147,0.0833345143630873,0.22350000000000003,0.06457716468679413,0.37099999999999994,0.07199677111597838,2.1799999999999997,0.17087479853107185,3.4199999999999995,0.025256910433495483,4.1145,-0.08941268041132121,4.286,-0.13482948095888833,28477062769.4533,0.2592059220067667,11556490165.0911,0.33286443682784284,98.6449594200431,-0.46426030573218613,1.6,-0.6381038016360197,2.2,-0.18408247006328674
1,2010-12,MN,ROCHESTER,2010-12,3.87,"(-92.515551, 44.016385)",23214.35,Refinancing of Apt,0.24122190476190472,0.07254019668226358,0.25412380952380953,0.07248480932595536,0.26178857142857137,0.06893468600490009,0.28196571428571415,0.06320028737850716,0.30272333333333334,0.056958825942871424,0.4583942857142857,0.035514043663199914,0.7839004761904763,0.02250084762411939,0.0854166666666667,0.0833345143630873,0.19333333333333338,0.06457716468679413,0.2937499999999999,0.07199677111597838,1.9429166666666664,0.17087479853107185,3.2949999999999995,0.025256910433495483,4.173333333333333,-0.08941268041132121,4.415,-0.13482948095888833,32217867353.4185,0.2592059220067667,11311909309.5948,0.33286443682784284,94.7176548951663,-0.46426030573218613,1.8,-0.6381038016360197,1.8,-0.18408247006328674
2,2011-12,MN,ROCHESTER,2011-12,3.68,"(-92.464271, 44.020711)",7047.99,Refinancing of Apt,0.1499335,0.07254019668226358,0.2029985,0.07248480932595536,0.2836085,0.06893468600490009,0.40829250000000006,0.06320028737850716,0.5557375,0.056958825942871424,0.7798775000000001,0.035514043663199914,1.1003555000000003,0.02250084762411939,0.0033333333333333335,0.0833345143630873,0.048571428571428585,0.06457716468679413,0.11523809523809528,0.07199677111597838,0.8914285714285713,0.17087479853107185,1.9780952380952384,0.025256910433495483,2.6676190476190476,-0.08941268041132121,2.9823809523809524,-0.13482948095888833,35532707747.113,0.2592059220067667,11251067892.2966,0.33286443682784284,90.48744874686929,-0.46426030573218613,1.4,-0.6381038016360197,1.4,-0.18408247006328674
3,2013-01,MN,ROCHESTER,2013-01,3.35,"(-92.484371, 44.079304)",22802.66,Refinancing of Apt,0.16043181818181818,0.07254019668226358,0.17947272727272726,0.07248480932595536,0.20497272727272725,0.06893468600490009,0.2497954545454545,0.06320028737850716,0.30261363636363625,0.056958825942871424,0.48810454545454546,0.035514043663199914,0.8142727272727271,0.02250084762411939,0.05190476190476192,0.0833345143630873,0.10761904761904766,0.06457716468679413,0.14523809523809525,0.07199677111597838,0.8052380952380951,0.17087479853107185,1.9147619047619049,0.025256910433495483,2.681428571428571,-0.08941268041132121,3.0804761904761913,-0.13482948095888833,39298206327.5877,0.2592059220067667,9123117418.53368,0.33286443682784284,91.578064558499,-0.46426030573218613,1.8,-0.6381038016360197,1.6,-0.18408247006328674
4,2013-06,MN,ROCHESTER,2013-06,3.36,"(-92.478185, 44.065515000000005)",40220.98,Refinancing of Apt,0.13074,0.07254019668226358,0.15964599999999998,0.07248480932595536,0.19319250000000002,0.06893468600490009,0.23164600000000002,0.06320028737850716,0.27374,0.056958825942871424,0.4139935,0.035514043663199914,0.6839425000000002,0.02250084762411939,0.0345,0.0833345143630873,0.08750000000000002,0.06457716468679413,0.142,0.07199677111597838,1.2035,0.17087479853107185,2.3000000000000003,0.025256910433495483,3.0740000000000003,-0.08941268041132121,3.400000000000001,-0.13482948095888833,41334062733.8549,0.2592059220067667,10216278752.7557,0.33286443682784284,89.95115518901541,-0.46426030573218613,2.0,-0.6381038016360197,1.1,-0.18408247006328674
5,2013-08,MN,ROCHESTER,2013-08,5.0,"(-92.464129, 44.025533)",24941.98,Refinancing of Apt,0.11782999999999999,0.07254019668226358,0.1493142857142857,0.07248480932595536,0.1840704761904762,0.06893468600490009,0.22633523809523812,0.06320028737850716,0.2633952380952381,0.056958825942871424,0.3949285714285714,0.035514043663199914,0.6679499999999999,0.02250084762411939,0.03681818181818183,0.0833345143630873,0.07181818181818184,0.06457716468679413,0.12681818181818183,0.07199677111597838,1.5204545454545455,0.17087479853107185,2.7372727272727273,0.025256910433495483,3.488181818181818,-0.08941268041132121,3.757727272727273,-0.13482948095888833,41244159430.5284,0.2592059220067667,10396023519.0372,0.33286443682784284,88.1059676388142,-0.46426030573218613,1.7,-0.6381038016360197,1.1,-0.18408247006328674
6,2014-10,MN,ROCHESTER,2014-10,3.675,"(-92.507587, 44.050411)",37548.65,Refinancing of Apt,0.09059565217391304,0.07254019668226358,0.11953260869565213,0.07248480932595536,0.15351739130434783,0.06893468600490009,0.1974043478260869,0.06320028737850716,0.2313760869565217,0.056958825942871424,0.3236195652173913,0.035514043663199914,0.5523869565217392,0.02250084762411939,0.020909090909090912,0.0833345143630873,0.05045454545454548,0.06457716468679413,0.10454545454545458,0.07199677111597838,1.5459090909090911,0.17087479853107185,2.304090909090909,0.025256910433495483,2.7731818181818184,-0.08941268041132121,3.039999999999999,-0.13482948095888833,45241950015.4561,0.2592059220067667,11733364706.6996,0.33286443682784284,82.08517590205541,-0.46426030573218613,2.0,-0.6381038016360197,1.1,-0.18408247006328674
7,2015-04,MN,ROCHESTER,2015-04,5.75,"(-92.457513, 44.055456)",11892.4,Refinancing of Apt,0.12200000000000003,0.07254019668226358,0.14605250000000003,0.07248480932595536,0.18076750000000003,0.06893468600490009,0.22830999999999996,0.06320028737850716,0.27596,0.056958825942871424,0.404505,0.035514043663199914,0.6969449999999999,0.02250084762411939,0.018181818181818188,0.0833345143630873,0.09363636363636368,0.06457716468679413,0.23363636363636367,0.07199677111597838,1.3545454545454545,0.17087479853107185,1.9349999999999996,0.025256910433495483,2.334090909090909,-0.08941268041132121,2.5859090909090905,-0.13482948095888833,48997735451.5931,0.2592059220067667,11834405659.8436,0.33286443682784284,79.25862065623551,-0.46426030573218613,1.2,-0.6381038016360197,0.8,-0.18408247006328674
8,2017-11,MN,ROCHESTER,2017-11,3.55,"(-92.489317, 43.854663)",80128.65,Refinancing of Apt,1.183300476190476,0.07254019668226358,1.2036563636363637,0.07248480932595536,1.2878790909090911,0.06893468600490009,1.3757831818181818,0.06320028737850716,1.4342040909090912,0.056958825942871424,1.6264599999999996,0.035514043663199914,1.9015695454545458,0.02250084762411939,1.09,0.0833345143630873,1.3895238095238096,0.06457716468679413,1.5600000000000003,0.07199677111597838,2.05,0.17087479853107185,2.353333333333333,0.025256910433495483,2.6023809523809525,-0.08941268041132121,2.801904761904762,-0.13482948095888833,49589347299.2381,0.2592059220067667,11318405616.2761,0.33286443682784284,87.3618752869242,-0.46426030573218613,1.6,-0.6381038016360197,0.3,-0.18408247006328674
9,2018-05,MN,ROCHESTER,2018-05,4.19,"(-92.438947, 44.009015000000005)",70183.6,Refinancing of Apt,1.7065971428571427,0.07254019668226358,1.7524533333333332,0.07248480932595536,1.94629,0.06893468600490009,2.0937409523809523,0.06320028737850716,2.3356085714285713,0.056958825942871424,2.499740476190476,0.035514043663199914,2.754757142857143,0.02250084762411939,1.706818181818182,0.0833345143630873,2.0731818181818187,0.06457716468679413,2.2736363636363635,0.07199677111597838,2.816818181818181,0.17087479853107185,2.977727272727273,0.025256910433495483,3.0518181818181818,-0.08941268041132121,3.1318181818181827,-0.13482948095888833,50800995008.8069,0.2592059220067667,12917630009.557,0.33286443682784284,86.55198240492871,-0.46426030573218613,1.5,-0.6381038016360197,0.2,-0.18408247006328674
