,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(1),Corr with student_vol(1),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(4),Corr with mortgage 90(4)
0,2013-07,SC,SPARTANBURG,2013-07,3.24,"(-81.999146, 34.949024)",62584.9,Refinancing of Apt,0.12117913043478262,0.10205358824757725,0.15611695652173913,0.09876684801927008,0.19111913043478265,0.09788347609781983,0.232388695652174,0.10793951647677297,0.26758260869565215,0.12045388946470967,0.40307869565217386,0.12210943521114126,0.6838491304347826,0.10986885621192392,0.020909090909090912,0.12712758075511965,0.07363636363636367,0.11769338108177448,0.12181818181818184,0.12487772365402969,1.4031818181818183,0.192403698288333,2.5822727272727275,-0.2664508462161173,3.3072727272727276,-0.6568933063058593,3.605,-0.6763462656856865,41658198449.9001,0.6652663663762541,10210246554.7955,0.830451022289337,88.4263020205016,-0.9457916895604701,4.0,-0.956742542784989,2.5,-0.6825156147343278
1,2014-11,SC,SPARTANBURG,2014-11,4.25,"(-81.914891, 34.969832000000004)",124895.23,Refinancing of Apt,0.09656999999999999,0.10205358824757725,0.12222499999999999,0.09876684801927008,0.1548075,0.09788347609781983,0.20246,0.10793951647677297,0.23286250000000003,0.12045388946470967,0.32679500000000006,0.12210943521114126,0.56206,0.10986885621192392,0.04166666666666668,0.12712758075511965,0.06944444444444448,0.11769338108177448,0.13444444444444448,0.12487772365402969,1.6205555555555557,0.192403698288333,2.325555555555556,-0.2664508462161173,2.7644444444444445,-0.6568933063058593,3.038333333333333,-0.6763462656856865,47944164595.1044,0.6652663663762541,14245911418.8887,0.830451022289337,82.23381292700279,-0.9457916895604701,3.2,-0.956742542784989,1.8,-0.6825156147343278
2,2016-01,SC,SPARTANBURG,2016-01,4.07,"(-80.0369435, 32.8318637)",44341.77,Refinancing of Apt,0.36607999999999996,0.10205358824757725,0.387725,0.09876684801927008,0.42545,0.09788347609781983,0.5163949999999999,0.10793951647677297,0.6195525000000001,0.12045388946470967,0.8560224999999999,0.12210943521114126,1.1534299999999997,0.10986885621192392,0.22736842105263158,0.12712758075511965,0.43473684210526314,0.11769338108177448,0.5431578947368422,0.12487772365402969,1.5184210526315787,0.192403698288333,2.085263157894737,-0.2664508462161173,2.4889473684210524,-0.6568933063058593,2.8584210526315785,-0.6763462656856865,49276189942.4712,0.6652663663762541,11240513229.2606,0.830451022289337,85.2359522201137,-0.9457916895604701,3.4,-0.956742542784989,1.7,-0.6825156147343278
3,2018-01,SC,SPARTANBURG,2018-01,3.58,"(-81.927134, 34.942166)",15056.67,Refinancing of Apt,1.4378880952380952,0.10205358824757725,1.467563181818182,0.09876684801927008,1.5610881818181819,0.09788347609781983,1.6355336363636364,0.10793951647677297,1.733970909090909,0.12045388946470967,1.9067609090909092,0.12210943521114126,2.196459545454545,0.10986885621192392,1.3000000000000003,0.12712758075511965,1.6199999999999994,0.11769338108177448,1.8028571428571425,0.12487772365402969,2.381904761904762,0.192403698288333,2.5838095238095242,-0.2664508462161173,2.7342857142857144,-0.6568933063058593,2.8776190476190475,-0.6763462656856865,50407042046.8076,0.6652663663762541,11318405616.2761,0.830451022289337,86.55198240492871,-0.9457916895604701,4.0,-0.956742542784989,1.6,-0.6825156147343278
4,2018-07,SC,SPARTANBURG,2018-07,4.1,"(-81.997129, 34.957598)",43203.27,Refinancing of Apt,1.918467142857143,0.10205358824757725,1.9587813636363633,0.09876684801927008,2.0789990909090905,0.09788347609781983,2.1733236363636363,0.10793951647677297,2.3391181818181823,0.12045388946470967,2.519525454545455,0.12210943521114126,2.7944931818181815,0.10986885621192392,1.8933333333333329,0.12712758075511965,2.1680952380952383,0.11769338108177448,2.3876190476190478,0.12487772365402969,2.7776190476190483,0.192403698288333,2.8890476190476195,-0.2664508462161173,2.944761904761905,-0.6568933063058593,3.006666666666667,-0.6763462656856865,52055589128.0929,0.6652663663762541,12917630009.557,0.830451022289337,,-0.9457916895604701,3.3,-0.956742542784989,1.2,-0.6825156147343278
