,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(-4),Corr with student_vol(-4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-3),Corr with mortgage 90(-3)
0,WA,SEATTLE,2011-01,3.85,Refinancing of Apt,0.2391115000000001,3.6108885,0.142406288333411,0.25406500000000004,3.595935,0.14607840191791838,0.2606254999999999,3.5893745000000004,0.14500549183777273,0.2827834999999999,3.5672165000000002,0.13400612513566326,0.30341049999999997,3.5465895,0.12482412993975102,0.4554005000000002,3.3945995,0.07031675813670342,0.7818229999999999,3.0681770000000004,0.03520947441431283,0.14099999999999996,3.709,0.1455347212263048,0.1815,3.6685,0.13155561462102539,0.27349999999999997,3.5765000000000002,0.12404564842247408,1.9944999999999997,1.8555000000000004,0.5231242929612592,3.3940000000000006,0.4559999999999995,0.6373327358654971,4.281000000000001,-0.4310000000000005,0.5247843116011781,4.5230000000000015,-0.6730000000000014,0.46699854036617294,32217867353.4185,0.05728358578521231,12342273869.2704,-0.4876471600302263,91.59671843464591,-0.3262557459108542,2.4,-0.13757375133138822,4.0,-0.17936199270211203
1,WA,SEATTLE,2011-03,4.45,Refinancing of Apt,0.2076739130434783,4.242326086956522,0.142406288333411,0.23889782608695653,4.211102173913043,0.14607840191791838,0.2532847826086956,4.196715217391304,0.14500549183777273,0.2829456521739131,4.167054347826087,0.13400612513566326,0.30843478260869567,4.141565217391305,0.12482412993975102,0.4607826086956522,3.989217391304348,0.07031675813670342,0.7797065217391305,3.6702934782608696,0.03520947441431283,0.06478260869565221,4.385217391304348,0.1455347212263048,0.15652173913043482,4.293478260869565,0.13155561462102539,0.25913043478260867,4.190869565217391,0.12404564842247408,2.1134782608695653,2.336521739130435,0.5231242929612592,3.414347826086956,1.0356521739130442,0.6373327358654971,4.26608695652174,0.18391304347826054,0.5247843116011781,4.5139130434782615,-0.06391304347826132,0.46699854036617294,31252070876.7547,0.05728358578521231,11082139451.8714,-0.4876471600302263,91.13289228397959,-0.3262557459108542,2.5,-0.13757375133138822,4.1,-0.17936199270211203
2,WA,SEATTLE,2011-09,4.12,Refinancing of Apt,0.14525181818181823,3.974748181818182,0.142406288333411,0.1884,3.9316,0.14607840191791838,0.23085045454545455,3.8891495454545457,0.14500549183777273,0.2845913636363636,3.8354086363636366,0.13400612513566326,0.3502268181818181,3.769773181818182,0.12482412993975102,0.5222018181818182,3.597798181818182,0.07031675813670342,0.8332045454545454,3.2867954545454547,0.03520947441431283,0.005714285714285713,4.114285714285715,0.1455347212263048,0.04333333333333335,4.076666666666667,0.13155561462102539,0.10476190476190479,4.015238095238096,0.12404564842247408,0.9004761904761904,3.2195238095238095,0.5231242929612592,1.9752380952380955,2.1447619047619044,0.6373327358654971,2.8271428571428574,1.2928571428571427,0.5247843116011781,3.182380952380953,0.9376190476190471,0.46699854036617294,34623712775.9563,0.05728358578521231,13753511368.0623,-0.4876471600302263,90.35087768078328,-0.3262557459108542,2.2,-0.13757375133138822,4.1,-0.17936199270211203
3,WA,SEATTLE,2011-10,4.31,Refinancing of Apt,0.1416352380952381,4.168364761904762,0.142406288333411,0.19074095238095234,4.119259047619047,0.14607840191791838,0.24373904761904758,4.066260952380952,0.14500549183777273,0.3185252380952381,3.9914747619047617,0.13400612513566326,0.4064785714285714,3.903521428571428,0.12482412993975102,0.59521,3.71479,0.07031675813670342,0.9086428571428572,3.4013571428571425,0.03520947441431283,0.013500000000000003,4.2965,0.1455347212263048,0.05450000000000003,4.2555,0.13155561462102539,0.1145,4.1955,0.12404564842247408,1.0614999999999999,3.2485,0.5231242929612592,2.1519999999999997,2.158,0.6373327358654971,2.8695,1.4404999999999997,0.5247843116011781,3.128,1.1819999999999995,0.46699854036617294,34825519831.2788,0.05728358578521231,12472473242.0863,-0.4876471600302263,90.48744874686929,-0.3262557459108542,2.1,-0.13757375133138822,4.2,-0.17936199270211203
4,WA,SEATTLE,2012-04,3.52,Refinancing of Apt,0.14868421052631575,3.3713157894736843,0.142406288333411,0.18980526315789473,3.330194736842105,0.14607840191791838,0.23982894736842097,3.2801710526315793,0.14500549183777273,0.34777368421052635,3.172226315789474,0.13400612513566326,0.46680789473684203,3.053192105263158,0.12482412993975102,0.7313999999999999,2.7886,0.07031675813670342,1.048621052631579,2.471378947368421,0.03520947441431283,0.0666666666666667,3.453333333333333,0.1455347212263048,0.13904761904761903,3.380952380952381,0.13155561462102539,0.18333333333333335,3.336666666666667,0.12404564842247408,0.8947619047619045,2.6252380952380956,0.5231242929612592,2.0528571428571425,1.4671428571428575,0.6373327358654971,2.8166666666666664,0.7033333333333336,0.5247843116011781,3.1842857142857137,0.3357142857142863,0.46699854036617294,36777908030.9335,0.05728358578521231,11508699084.1195,-0.4876471600302263,89.56768058609659,-0.3262557459108542,2.3,-0.13757375133138822,4.6,-0.17936199270211203
5,WA,SEATTLE,2012-05,2.98,Refinancing of Apt,0.15161363636363637,2.8283863636363638,0.142406288333411,0.19053181818181822,2.7894681818181817,0.14607840191791838,0.23893181818181805,2.741068181818182,0.14500549183777273,0.3457045454545453,2.6342954545454544,0.13400612513566326,0.4665318181818183,2.5134681818181814,0.12482412993975102,0.732990909090909,2.247009090909091,0.07031675813670342,1.0615068181818177,1.9184931818181823,0.03520947441431283,0.06590909090909093,2.914090909090909,0.1455347212263048,0.14545454545454548,2.8345454545454545,0.13155561462102539,0.19181818181818186,2.788181818181818,0.12404564842247408,0.7618181818181818,2.2181818181818183,0.5231242929612592,1.8031818181818189,1.176818181818181,0.6373327358654971,2.525909090909091,0.4540909090909091,0.5247843116011781,2.930909090909091,0.04909090909090885,0.46699854036617294,36186315501.0541,0.05728358578521231,11510278467.2037,-0.4876471600302263,89.02745876405929,-0.3262557459108542,2.4,-0.13757375133138822,4.7,-0.17936199270211203
6,WA,SEATTLE,2012-08,3.05,Refinancing of Apt,0.15374090909090915,2.8962590909090906,0.142406288333411,0.18745454545454548,2.8625454545454545,0.14607840191791838,0.23783863636363634,2.8121613636363634,0.14500549183777273,0.3331136363636364,2.7168863636363634,0.13400612513566326,0.43259999999999993,2.6174,0.12482412993975102,0.7177749999999997,2.332225,0.07031675813670342,1.0426272727272727,2.007372727272727,0.03520947441431283,0.09217391304347829,2.9578260869565214,0.1455347212263048,0.14043478260869566,2.9095652173913042,0.13155561462102539,0.18347826086956526,2.8665217391304347,0.12404564842247408,0.7139130434782609,2.336086956521739,0.5231242929612592,1.6782608695652175,1.3717391304347823,0.6373327358654971,2.3978260869565218,0.652173913043478,0.5247843116011781,2.7708695652173914,0.27913043478260846,0.46699854036617294,37571290060.6541,0.05728358578521231,11641401212.0971,-0.4876471600302263,90.37816904639429,-0.3262557459108542,2.1,-0.13757375133138822,4.8,-0.17936199270211203
7,WA,SEATTLE,2012-11,2.5,Refinancing of Apt,0.1555,2.3445,0.142406288333411,0.18060909090909089,2.319390909090909,0.14607840191791838,0.20888636363636362,2.291113636363636,0.14500549183777273,0.25813636363636355,2.2418636363636364,0.13400612513566326,0.31102272727272723,2.1889772727272727,0.12482412993975102,0.528347727272727,1.971652272727273,0.07031675813670342,0.8631931818181818,1.6368068181818183,0.03520947441431283,0.12449999999999999,2.3755,0.1455347212263048,0.14450000000000002,2.3555,0.13155561462102539,0.17850000000000002,2.3215,0.12404564842247408,0.665,1.835,0.5231242929612592,1.654,0.8460000000000001,0.6373327358654971,2.3894999999999995,0.11050000000000049,0.5247843116011781,2.8034999999999997,-0.30349999999999966,0.46699854036617294,38808856509.5085,0.05728358578521231,16111780903.4699,-0.4876471600302263,91.578064558499,-0.3262557459108542,2.1,-0.13757375133138822,4.4,-0.17936199270211203
8,WA,SEATTLE,2013-05,3.38,Refinancing of Apt,0.1435047619047619,3.236495238095238,0.142406288333411,0.1638380952380952,3.2161619047619046,0.14607840191791838,0.19670952380952378,3.183290476190476,0.14500549183777273,0.23396000000000003,3.1460399999999997,0.13400612513566326,0.27416904761904765,3.1058309523809524,0.12482412993975102,0.42137333333333327,2.9586266666666665,0.07031675813670342,0.6936104761904763,2.6863895238095234,0.03520947441431283,0.020454545454545458,3.3595454545454544,0.1455347212263048,0.08090909090909093,3.299090909090909,0.13155561462102539,0.11863636363636366,3.2613636363636362,0.12404564842247408,0.840909090909091,2.539090909090909,0.5231242929612592,1.9281818181818182,1.4518181818181817,0.6373327358654971,2.7286363636363635,0.6513636363636364,0.5247843116011781,3.112727272727273,0.2672727272727271,0.46699854036617294,41507587847.7023,0.05728358578521231,11154944519.578999,-0.4876471600302263,90.32258801944451,-0.3262557459108542,2.0,-0.13757375133138822,3.7,-0.17936199270211203
9,WA,SEATTLE,2013-06,3.5,Refinancing of Apt,0.13074,3.36926,0.142406288333411,0.15964599999999998,3.340354,0.14607840191791838,0.19319250000000002,3.3068075,0.14500549183777273,0.23164600000000002,3.268354,0.13400612513566326,0.27374,3.22626,0.12482412993975102,0.4139935,3.0860065,0.07031675813670342,0.6839425000000002,2.8160575,0.03520947441431283,0.0345,3.4655,0.1455347212263048,0.08750000000000002,3.4125,0.13155561462102539,0.142,3.358,0.12404564842247408,1.2035,2.2965,0.5231242929612592,2.3000000000000003,1.1999999999999997,0.6373327358654971,3.0740000000000003,0.4259999999999997,0.5247843116011781,3.400000000000001,0.0999999999999992,0.46699854036617294,41471481477.9035,0.05728358578521231,11080080767.5225,-0.4876471600302263,88.1059676388142,-0.3262557459108542,1.9,-0.13757375133138822,3.6,-0.17936199270211203
