,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(3),Corr with mortgage 90(3)
0,2009-10,IN,EVANSVILLE,2009-10,4.55,"(-87.457424, 37.972032)",22498.39,Refinancing of Apt,0.18474166666666667,-0.061110520233088515,0.22661833333333328,-0.06592598823824677,0.24403166666666665,-0.08545489249479048,0.2545108333333333,-0.10754314368548366,0.2821075,-0.12865394288425336,0.5802633333333334,-0.13864948582547573,1.2295858333333334,-0.09438010821219632,0.04,-0.1119381602912753,0.16833333333333333,-0.08053295708858565,0.3858333333333334,-0.04143442173627903,2.394166666666667,0.5194325233929924,3.459166666666667,0.6512666152342699,4.238333333333332,0.6092056422643274,4.263333333333333,0.5829354361789361,25116521917.8418,-0.3702589491930777,14228362706.5907,0.7172584875124677,105.55167238105,0.3117776256255007,3.9,0.4561325787431794,3.0,0.4746571125414644
1,2010-09,IN,EVANSVILLE,2010-09,3.64,"(-85.094107, 41.041933)",37929.86,Refinancing of Apt,0.22657136363636363,-0.061110520233088515,0.251059090909091,-0.06592598823824677,0.25699454545454536,-0.08545489249479048,0.2738163636363636,-0.10754314368548366,0.2913659090909092,-0.12865394288425336,0.4777727272727273,-0.13864948582547573,0.8043745454545456,-0.09438010821219632,0.1166666666666667,-0.1119381602912753,0.19333333333333336,-0.08053295708858565,0.2566666666666666,-0.04143442173627903,1.4104761904761904,0.5194325233929924,2.6476190476190475,0.6512666152342699,3.4690476190476183,0.6092056422643274,3.773333333333333,0.5829354361789361,31618591270.7387,-0.3702589491930777,11568364841.7538,0.7172584875124677,95.78917846656341,0.3117776256255007,3.7,0.4561325787431794,2.5,0.4746571125414644
2,2010-12,IN,EVANSVILLE,2010-12,5.8,"(-87.574055, 37.973888)",40827.54,Refinancing of Apt,0.24122190476190472,-0.061110520233088515,0.25412380952380953,-0.06592598823824677,0.26178857142857137,-0.08545489249479048,0.28196571428571415,-0.10754314368548366,0.30272333333333334,-0.12865394288425336,0.4583942857142857,-0.13864948582547573,0.7839004761904763,-0.09438010821219632,0.0854166666666667,-0.1119381602912753,0.19333333333333338,-0.08053295708858565,0.2937499999999999,-0.04143442173627903,1.9429166666666664,0.5194325233929924,3.2949999999999995,0.6512666152342699,4.173333333333333,0.6092056422643274,4.415,0.5829354361789361,31252070876.7547,-0.3702589491930777,15995126134.7035,0.7172584875124677,94.51558950569391,0.3117776256255007,3.8,0.4561325787431794,2.8,0.4746571125414644
3,2011-03,IN,EVANSVILLE,2011-03,4.55,"(-87.599091, 38.005171000000004)",28860.42,Refinancing of Apt,0.2076739130434783,-0.061110520233088515,0.23889782608695653,-0.06592598823824677,0.2532847826086956,-0.08545489249479048,0.2829456521739131,-0.10754314368548366,0.30843478260869567,-0.12865394288425336,0.4607826086956522,-0.13864948582547573,0.7797065217391305,-0.09438010821219632,0.06478260869565221,-0.1119381602912753,0.15652173913043482,-0.08053295708858565,0.25913043478260867,-0.04143442173627903,2.1134782608695653,0.5194325233929924,3.414347826086956,0.6512666152342699,4.26608695652174,0.6092056422643274,4.5139130434782615,0.5829354361789361,31992172727.7437,-0.3702589491930777,13238482167.5647,0.7172584875124677,94.7176548951663,0.3117776256255007,2.9,0.4561325787431794,2.8,0.4746571125414644
4,2011-04,IN,EVANSVILLE,2011-04,3.51,"(122.56, 10.7)",5781.05,Refinancing of Apt,0.14759444444444447,-0.061110520233088515,0.19237777777777781,-0.06592598823824677,0.22143500000000005,-0.08545489249479048,0.25190277777777786,-0.10754314368548366,0.28138222222222226,-0.12865394288425336,0.44229888888888896,-0.13864948582547573,0.7700555555555555,-0.09438010821219632,0.029500000000000005,-0.1119381602912753,0.11950000000000002,-0.08053295708858565,0.24650000000000002,-0.04143442173627903,2.169,0.5194325233929924,3.4549999999999996,0.6512666152342699,4.276000000000001,0.6092056422643274,4.5015,0.5829354361789361,31754785132.2305,-0.3702589491930777,12477113046.1263,0.7172584875124677,94.0022251537174,0.3117776256255007,2.8,0.4561325787431794,2.7,0.4746571125414644
5,2011-11,IN,EVANSVILLE,2011-11,3.6,"(-87.512353, 37.9667755)",5608.1,Refinancing of Apt,0.14255090909090912,-0.061110520233088515,0.19244863636363635,-0.06592598823824677,0.2536463636363637,-0.08545489249479048,0.3593790909090909,-0.10754314368548366,0.47529181818181826,-0.12865394288425336,0.6805422727272729,-0.13864948582547573,1.000305,-0.09438010821219632,0.013999999999999999,-0.1119381602912753,0.04650000000000002,-0.08053295708858565,0.11200000000000002,-0.04143442173627903,0.908,0.5194325233929924,2.0134999999999996,0.6512666152342699,2.7180000000000004,0.6092056422643274,3.0155000000000003,0.5829354361789361,35767585536.868996,-0.3702589491930777,11251067892.2966,0.7172584875124677,88.33905735772379,0.3117776256255007,3.6,0.4561325787431794,2.2,0.4746571125414644
6,2012-01,IN,EVANSVILLE,2012-01,3.61,"(-87.5558, 37.9748)",30303.23,Refinancing of Apt,0.14564761904761903,-0.061110520233088515,0.2014238095238095,-0.06592598823824677,0.28289523809523814,-0.08545489249479048,0.41424761904761903,-0.10754314368548366,0.5659000000000001,-0.12865394288425336,0.7969761904761906,-0.13864948582547573,1.1145476190476191,-0.09438010821219632,0.0245,-0.1119381602912753,0.06550000000000003,-0.08053295708858565,0.11500000000000003,-0.04143442173627903,0.835,0.5194325233929924,1.9664999999999995,0.6512666152342699,2.6950000000000003,0.6092056422643274,3.026,0.5829354361789361,36777908030.9335,-0.3702589491930777,12770391029.1034,0.7172584875124677,91.3646878868074,0.3117776256255007,4.2,0.4561325787431794,2.1,0.4746571125414644
7,2012-10,IN,EVANSVILLE,2012-10,2.635,"(-87.5558, 37.9748)",25416.260000000002,Refinancing of Apt,0.15320434782608702,-0.061110520233088515,0.17955217391304346,-0.06592598823824677,0.21346521739130433,-0.08545489249479048,0.2717391304347827,-0.10754314368548366,0.3304891304347827,-0.12865394288425336,0.5823021739130435,-0.13864948582547573,0.9185760869565219,-0.09438010821219632,0.10952380952380951,-0.1119381602912753,0.14904761904761904,-0.08053295708858565,0.17952380952380956,-0.04143442173627903,0.7085714285714285,0.5194325233929924,1.7461904761904758,0.6512666152342699,2.505714285714286,0.6092056422643274,2.90047619047619,0.5829354361789361,39658399389.4891,-0.3702589491930777,11080080767.5225,0.7172584875124677,89.02745876405929,0.3117776256255007,3.1,0.4561325787431794,2.1,0.4746571125414644
8,2013-03,IN,EVANSVILLE,2013-03,2.89,"(-87.63276, 37.981364)",11057.474999999999,Refinancing of Apt,0.15505000000000002,-0.061110520233088515,0.17309999999999998,-0.06592598823824677,0.20345,-0.08545489249479048,0.2419,-0.10754314368548366,0.28190000000000004,-0.12865394288425336,0.44782500000000003,-0.13864948582547573,0.7351250000000001,-0.09438010821219632,0.07800000000000003,-0.1119381602912753,0.11450000000000005,-0.08053295708858565,0.14750000000000002,-0.04143442173627903,0.8185000000000002,0.5194325233929924,1.9575,0.6512666152342699,2.7840000000000003,0.6092056422643274,3.1625000000000005,0.5829354361789361,41471481477.9035,-0.3702589491930777,8901986132.75728,0.7172584875124677,89.2801736441717,0.3117776256255007,2.1,0.4561325787431794,1.8,0.4746571125414644
9,2013-06,IN,EVANSVILLE,2013-06,2.985,"(-87.45825, 37.982703)",29367.285,Refinancing of Apt,0.13074,-0.061110520233088515,0.15964599999999998,-0.06592598823824677,0.19319250000000002,-0.08545489249479048,0.23164600000000002,-0.10754314368548366,0.27374,-0.12865394288425336,0.4139935,-0.13864948582547573,0.6839425000000002,-0.09438010821219632,0.0345,-0.1119381602912753,0.08750000000000002,-0.08053295708858565,0.142,-0.04143442173627903,1.2035,0.5194325233929924,2.3000000000000003,0.6512666152342699,3.0740000000000003,0.6092056422643274,3.400000000000001,0.5829354361789361,41244159430.5284,-0.3702589491930777,9473893018.88319,0.7172584875124677,88.920473853359,0.3117776256255007,2.2,0.4561325787431794,1.6,0.4746571125414644
