,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(3),Corr with student_vol(3),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,2010-12,UT,SALT LAKE CITY,2010-12,3.38,"(-111.882173, 40.767573)",37224.22,Refinancing of Apt,0.24122190476190472,0.44660450290581905,0.25412380952380953,0.44431752102676797,0.26178857142857137,0.44583297493752394,0.28196571428571415,0.44377942459175596,0.30272333333333334,0.43706922079667987,0.4583942857142857,0.4157484800782592,0.7839004761904763,0.4060520572034137,0.0854166666666667,0.4509009175224473,0.19333333333333338,0.4632693107431682,0.2937499999999999,0.48110000079117826,1.9429166666666664,0.6399784522415017,3.2949999999999995,0.49465084251101404,4.173333333333333,0.18559747034586532,4.415,0.05299469421711206,31565012894.7234,0.581011113755403,11311909309.5948,0.6459100792481132,94.0022251537174,-0.5972467360591577,3.2,-0.6970452823832437,3.8,-0.6241386212207998
1,2011-08,UT,SALT LAKE CITY,2011-08,3.975,"(-111.88476200000001, 40.717843)",17366.395,Refinancing of Apt,0.14468363636363638,0.44660450290581905,0.18038681818181818,0.44431752102676797,0.21116590909090904,0.44583297493752394,0.24895727272727275,0.44377942459175596,0.29323772727272723,0.43706922079667987,0.45919454545454547,0.4157484800782592,0.7783581818181818,0.4060520572034137,0.017391304347826094,0.4509009175224473,0.06217391304347828,0.4632693107431682,0.11478260869565218,0.48110000079117826,1.021304347826087,0.6399784522415017,2.303043478260869,0.49465084251101404,3.244782608695652,0.18559747034586532,3.6513043478260867,0.05299469421711206,34825519831.2788,0.581011113755403,11784187253.6333,0.6459100792481132,90.4806728327692,-0.5972467360591577,2.8,-0.6970452823832437,3.5,-0.6241386212207998
2,2012-05,UT,SALT LAKE CITY,2012-05,3.01,"(-111.835314, 40.71402)",13473.11,Refinancing of Apt,0.15161363636363637,0.44660450290581905,0.19053181818181822,0.44431752102676797,0.23893181818181805,0.44583297493752394,0.3457045454545453,0.44377942459175596,0.4665318181818183,0.43706922079667987,0.732990909090909,0.4157484800782592,1.0615068181818177,0.4060520572034137,0.06590909090909093,0.4509009175224473,0.14545454545454548,0.4632693107431682,0.19181818181818186,0.48110000079117826,0.7618181818181818,0.6399784522415017,1.8031818181818189,0.49465084251101404,2.525909090909091,0.18559747034586532,2.930909090909091,0.05299469421711206,37160101000.5239,0.581011113755403,11986368496.8635,0.6459100792481132,89.56768058609659,-0.5972467360591577,2.8,-0.6970452823832437,3.4,-0.6241386212207998
3,2012-06,UT,SALT LAKE CITY,2012-06,3.25,"(-111.923992, 40.6384902)",23940.24,Refinancing of Apt,0.163,0.44660450290581905,0.19464736842105262,0.44431752102676797,0.24319736842105263,0.44583297493752394,0.3459342105263157,0.44377942459175596,0.46558684210526313,0.43706922079667987,0.7364000000000004,0.4157484800782592,1.0691894736842107,0.4060520572034137,0.05190476190476193,0.4509009175224473,0.14809523809523809,0.4632693107431682,0.18904761904761905,0.48110000079117826,0.7114285714285714,0.6399784522415017,1.6223809523809525,0.49465084251101404,2.3061904761904763,0.18559747034586532,2.698095238095238,0.05299469421711206,37571290060.6541,0.581011113755403,11631947675.6117,0.6459100792481132,89.02745876405929,-0.5972467360591577,2.8,-0.6970452823832437,3.3,-0.6241386212207998
4,2012-09,UT,SALT LAKE CITY,2012-09,2.77,"(-111.905028, 40.769216)",64135.15,Refinancing of Apt,0.15189500000000006,0.44660450290581905,0.183625,0.44431752102676797,0.22133750000000002,0.44583297493752394,0.3079875,0.44377942459175596,0.3856325000000001,0.43706922079667987,0.6716749999999999,0.4157484800782592,0.9997750000000002,0.4060520572034137,0.07526315789473685,0.4509009175224473,0.13736842105263158,0.4632693107431682,0.17578947368421055,0.48110000079117826,0.6689473684210526,0.6399784522415017,1.7231578947368422,0.49465084251101404,2.488421052631579,0.18559747034586532,2.8815789473684212,0.05299469421711206,38808856509.5085,0.581011113755403,11337096053.4966,0.6459100792481132,90.37816904639429,-0.5972467360591577,2.8,-0.6970452823832437,3.1,-0.6241386212207998
5,2012-12,UT,SALT LAKE CITY,2012-12,2.45,"(-111.8566715, 40.6671761)",10032.56,Refinancing of Apt,0.1631578947368421,0.44660450290581905,0.1875157894736842,0.44431752102676797,0.21092631578947374,0.44583297493752394,0.2552894736842105,0.44377942459175596,0.30947368421052623,0.43706922079667987,0.5145657894736843,0.4157484800782592,0.8483157894736841,0.4060520572034137,0.039500000000000014,0.4509009175224473,0.11950000000000005,0.4632693107431682,0.1585,0.48110000079117826,0.6960000000000001,0.6399784522415017,1.7189999999999999,0.49465084251101404,2.4675000000000002,0.18559747034586532,2.8835,0.05299469421711206,39298206327.5877,0.581011113755403,9855625468.0504,0.6459100792481132,91.578064558499,-0.5972467360591577,2.9,-0.6970452823832437,2.9,-0.6241386212207998
6,2013-02,UT,SALT LAKE CITY,2013-02,3.63,"(-111.85335, 40.758140999999995)",15235.48,Refinancing of Apt,0.15464999999999998,0.44660450290581905,0.17315,0.44431752102676797,0.20129999999999998,0.44583297493752394,0.2455,0.44377942459175596,0.29049499999999995,0.43706922079667987,0.463425,0.4157484800782592,0.761875,0.4060520572034137,0.0768421052631579,0.4509009175224473,0.12421052631578947,0.4632693107431682,0.15736842105263157,0.48110000079117826,0.8463157894736841,0.6399784522415017,1.9842105263157896,0.49465084251101404,2.782631578947368,0.18559747034586532,3.165263157894737,0.05299469421711206,40995097959.5386,0.581011113755403,9498561196.652071,0.6459100792481132,88.920473853359,-0.5972467360591577,2.6,-0.6970452823832437,2.8,-0.6241386212207998
7,2013-05,UT,SALT LAKE CITY,2013-05,3.625,"(-111.871729, 40.7625745)",21753.965,Refinancing of Apt,0.1435047619047619,0.44660450290581905,0.1638380952380952,0.44431752102676797,0.19670952380952378,0.44583297493752394,0.23396000000000003,0.44377942459175596,0.27416904761904765,0.43706922079667987,0.42137333333333327,0.4157484800782592,0.6936104761904763,0.4060520572034137,0.020454545454545458,0.4509009175224473,0.08090909090909093,0.4632693107431682,0.11863636363636366,0.48110000079117826,0.840909090909091,0.6399784522415017,1.9281818181818182,0.49465084251101404,2.7286363636363635,0.18559747034586532,3.112727272727273,0.05299469421711206,41334062733.8549,0.581011113755403,10210246554.7955,0.6459100792481132,89.95115518901541,-0.5972467360591577,2.4,-0.6970452823832437,2.5,-0.6241386212207998
8,2013-06,UT,SALT LAKE CITY,2013-06,3.0,"(-111.814145, 40.699588)",11739.64,Refinancing of Apt,0.13074,0.44660450290581905,0.15964599999999998,0.44431752102676797,0.19319250000000002,0.44583297493752394,0.23164600000000002,0.44377942459175596,0.27374,0.43706922079667987,0.4139935,0.4157484800782592,0.6839425000000002,0.4060520572034137,0.0345,0.4509009175224473,0.08750000000000002,0.4632693107431682,0.142,0.48110000079117826,1.2035,0.6399784522415017,2.3000000000000003,0.49465084251101404,3.0740000000000003,0.18559747034586532,3.400000000000001,0.05299469421711206,41062625933.5941,0.581011113755403,10216278752.7557,0.6459100792481132,90.32258801944451,-0.5972467360591577,2.3,-0.6970452823832437,2.5,-0.6241386212207998
9,2013-08,UT,SALT LAKE CITY,2013-08,3.76,"(-85.805413, 40.441482)",16161.97,Refinancing of Apt,0.11782999999999999,0.44660450290581905,0.1493142857142857,0.44431752102676797,0.1840704761904762,0.44583297493752394,0.22633523809523812,0.44377942459175596,0.2633952380952381,0.43706922079667987,0.3949285714285714,0.4157484800782592,0.6679499999999999,0.4060520572034137,0.03681818181818183,0.4509009175224473,0.07181818181818184,0.4632693107431682,0.12681818181818183,0.48110000079117826,1.5204545454545455,0.6399784522415017,2.7372727272727273,0.49465084251101404,3.488181818181818,0.18559747034586532,3.757727272727273,0.05299469421711206,41658198449.9001,0.581011113755403,10396023519.0372,0.6459100792481132,86.47441597957871,-0.5972467360591577,2.5,-0.6970452823832437,2.2,-0.6241386212207998
