,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(-3),Corr with student_vol(-3),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
2,2011-03,CA,LOS ANGELES,2011-03,4.1475,"(-118.33175, 34.03237)",29175.864999999998,Refinancing of Apt,0.2076739130434783,0.07152112551854696,0.23889782608695653,0.07207390206048826,0.2532847826086956,0.0748536583198044,0.2829456521739131,0.06652281150920963,0.30843478260869567,0.06152179153796658,0.4607826086956522,0.03061210517424844,0.7797065217391305,0.013886854242453091,0.06478260869565221,0.08539554894167437,0.15652173913043482,0.08752261354747799,0.25913043478260867,0.09816418222575464,2.1134782608695653,0.36098541546569135,3.414347826086956,0.4181978204651475,4.26608695652174,0.3480495679853783,4.5139130434782615,0.32053212281298255,30207558860.6451,0.06940896093797648,10792773250.4017,-0.24925806237695855,90.5649414475864,-0.15130680462920718,2.6,-0.2015637850456069,5.9,-0.04211304250499426,-118.33175,34.03237
3,2011-05,CA,LOS ANGELES,2011-05,3.8,"(-118.421539, 34.236637)",3655.36,Refinancing of Apt,0.130775,0.07152112551854696,0.16787249999999998,0.07207390206048826,0.1978005,0.0748536583198044,0.23078799999999994,0.06652281150920963,0.260713,0.06152179153796658,0.41407550000000004,0.03061210517424844,0.7391499999999999,0.013886854242453091,0.024285714285714285,0.08539554894167437,0.0866666666666667,0.08752261354747799,0.18809523809523812,0.09816418222575464,1.8423809523809527,0.36098541546569135,3.168571428571429,0.4181978204651475,4.011428571428572,0.3480495679853783,4.293333333333333,0.32053212281298255,31618591270.7387,0.06940896093797648,11726514214.1317,-0.24925806237695855,90.4806728327692,-0.15130680462920718,2.6,-0.2015637850456069,5.7,-0.04211304250499426,-118.421539,34.236637
4,2011-08,CA,LOS ANGELES,2011-08,3.88,"(-118.311931, 34.086776)",19781.73,Refinancing of Apt,0.14468363636363638,0.07152112551854696,0.18038681818181818,0.07207390206048826,0.21116590909090904,0.0748536583198044,0.24895727272727275,0.06652281150920963,0.29323772727272723,0.06152179153796658,0.45919454545454547,0.03061210517424844,0.7783581818181818,0.013886854242453091,0.017391304347826094,0.08539554894167437,0.06217391304347828,0.08752261354747799,0.11478260869565218,0.09816418222575464,1.021304347826087,0.36098541546569135,2.303043478260869,0.4181978204651475,3.244782608695652,0.3480495679853783,3.6513043478260867,0.32053212281298255,31252070876.7547,0.06940896093797648,13753511368.0623,-0.24925806237695855,90.48744874686929,-0.15130680462920718,2.7,-0.2015637850456069,5.3,-0.04211304250499426,-118.311931,34.086776
5,2011-09,CA,LOS ANGELES,2011-09,3.6506666666666665,"(-118.38758, 34.20251)",52655.35,Refinancing of Apt,0.14525181818181823,0.07152112551854696,0.1884,0.07207390206048826,0.23085045454545455,0.0748536583198044,0.2845913636363636,0.06652281150920963,0.3502268181818181,0.06152179153796658,0.5222018181818182,0.03061210517424844,0.8332045454545454,0.013886854242453091,0.005714285714285713,0.08539554894167437,0.04333333333333335,0.08752261354747799,0.10476190476190479,0.09816418222575464,0.9004761904761904,0.36098541546569135,1.9752380952380955,0.4181978204651475,2.8271428571428574,0.3480495679853783,3.182380952380953,0.32053212281298255,31041077337.2648,0.06940896093797648,12472473242.0863,-0.24925806237695855,90.7743282432688,-0.15130680462920718,2.6,-0.2015637850456069,5.2,-0.04211304250499426,-118.38758,34.20251
6,2011-10,CA,LOS ANGELES,2011-10,3.95,"(-118.35947, 34.05611)",26023.14,Refinancing of Apt,0.1416352380952381,0.07152112551854696,0.19074095238095234,0.07207390206048826,0.24373904761904758,0.0748536583198044,0.3185252380952381,0.06652281150920963,0.4064785714285714,0.06152179153796658,0.59521,0.03061210517424844,0.9086428571428572,0.013886854242453091,0.013500000000000003,0.08539554894167437,0.05450000000000003,0.08752261354747799,0.1145,0.09816418222575464,1.0614999999999999,0.36098541546569135,2.1519999999999997,0.4181978204651475,2.8695,0.3480495679853783,3.128,0.32053212281298255,31300541846.2612,0.06940896093797648,13238482167.5647,-0.24925806237695855,90.6452366150782,-0.15130680462920718,2.6,-0.2015637850456069,5.0,-0.04211304250499426,-118.35947,34.05611
7,2011-12,CA,LOS ANGELES,2011-12,2.95,"(6.674494827, 0.285428942)",319217.19,Refinancing of Apt,0.1499335,0.07152112551854696,0.2029985,0.07207390206048826,0.2836085,0.0748536583198044,0.40829250000000006,0.06652281150920963,0.5557375,0.06152179153796658,0.7798775000000001,0.03061210517424844,1.1003555000000003,0.013886854242453091,0.0033333333333333335,0.08539554894167437,0.048571428571428585,0.08752261354747799,0.11523809523809528,0.09816418222575464,0.8914285714285713,0.36098541546569135,1.9780952380952384,0.4181978204651475,2.6676190476190476,0.3480495679853783,2.9823809523809524,0.32053212281298255,31754785132.2305,0.06940896093797648,11655650147.2578,-0.24925806237695855,89.00857713430821,-0.15130680462920718,2.9,-0.2015637850456069,4.7,-0.04211304250499426,6.674494827,0.285428942
8,2012-05,CA,LOS ANGELES,2012-05,2.98,"(-119.1498, 34.2831)",26777.44,Refinancing of Apt,0.15161363636363637,0.07152112551854696,0.19053181818181822,0.07207390206048826,0.23893181818181805,0.0748536583198044,0.3457045454545453,0.06652281150920963,0.4665318181818183,0.06152179153796658,0.732990909090909,0.03061210517424844,1.0615068181818177,0.013886854242453091,0.06590909090909093,0.08539554894167437,0.14545454545454548,0.08752261354747799,0.19181818181818186,0.09816418222575464,0.7618181818181818,0.36098541546569135,1.8031818181818189,0.4181978204651475,2.525909090909091,0.3480495679853783,2.930909090909091,0.32053212281298255,35385458151.3724,0.06940896093797648,10728874885.7875,-0.24925806237695855,89.513287195688,-0.15130680462920718,2.5,-0.2015637850456069,4.2,-0.04211304250499426,-119.1498,34.2831
9,2012-06,CA,LOS ANGELES,2012-06,2.7249999999999996,"(-118.30431000000002, 34.08915)",27780.56,Refinancing of Apt,0.163,0.07152112551854696,0.19464736842105262,0.07207390206048826,0.24319736842105263,0.0748536583198044,0.3459342105263157,0.06652281150920963,0.46558684210526313,0.06152179153796658,0.7364000000000004,0.03061210517424844,1.0691894736842107,0.013886854242453091,0.05190476190476193,0.08539554894167437,0.14809523809523809,0.08752261354747799,0.18904761904761905,0.09816418222575464,0.7114285714285714,0.36098541546569135,1.6223809523809525,0.4181978204651475,2.3061904761904763,0.3480495679853783,2.698095238095238,0.32053212281298255,35532707747.113,0.06940896093797648,11251067892.2966,-0.24925806237695855,90.37816904639429,-0.15130680462920718,2.7,-0.2015637850456069,4.1,-0.04211304250499426,-118.30431000000002,34.08915
10,2012-07,CA,LOS ANGELES,2012-07,2.6533333333333333,"(-118.38298999999999, 34.071962)",26457.48,Refinancing of Apt,0.16720454545454547,0.07152112551854696,0.19873636363636368,0.07207390206048826,0.24646136363636365,0.0748536583198044,0.34024999999999994,0.06652281150920963,0.4535545454545455,0.06152179153796658,0.7302181818181818,0.03061210517424844,1.0653181818181816,0.013886854242453091,0.06952380952380956,0.08539554894167437,0.14571428571428574,0.08752261354747799,0.18571428571428572,0.09816418222575464,0.6195238095238095,0.36098541546569135,1.5266666666666664,0.4181978204651475,2.217142857142857,0.3480495679853783,2.5900000000000003,0.32053212281298255,35767585536.868996,0.06940896093797648,11641401212.0971,-0.24925806237695855,90.2956809830492,-0.15130680462920718,2.7,-0.2015637850456069,4.0,-0.04211304250499426,-118.38298999999999,34.071962
11,2012-08,CA,LOS ANGELES,2012-08,2.445,"(-118.27118999999999, 34.06064)",25970.260000000002,Refinancing of Apt,0.15374090909090915,0.07152112551854696,0.18745454545454548,0.07207390206048826,0.23783863636363634,0.0748536583198044,0.3331136363636364,0.06652281150920963,0.43259999999999993,0.06152179153796658,0.7177749999999997,0.03061210517424844,1.0426272727272727,0.013886854242453091,0.09217391304347829,0.08539554894167437,0.14043478260869566,0.08752261354747799,0.18347826086956526,0.09816418222575464,0.7139130434782609,0.36098541546569135,1.6782608695652175,0.4181978204651475,2.3978260869565218,0.3480495679853783,2.7708695652173914,0.32053212281298255,36623269866.4569,0.06940896093797648,12770391029.1034,-0.24925806237695855,89.2801736441717,-0.15130680462920718,2.6,-0.2015637850456069,3.8,-0.04211304250499426,-118.27118999999999,34.06064
