,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-1),Corr with auto_vol(-1),student_vol(-1),Corr with student_vol(-1),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90,Corr with mortgage 90
0,AL,MONTGOMERY,2010-07,3.72,Refinancing of Apt,0.26711500000000005,3.452885,-0.4298186938166423,0.31483090909090916,3.405169090909091,-0.42978319818803923,0.3341213636363637,3.3858786363636364,-0.43920984007740016,0.41480272727272727,3.305197272727273,-0.467701132648309,0.5103277272727272,3.209672272727273,-0.5215212673771046,0.7185045454545452,3.001495454545455,-0.6151312603407446,1.117797727272727,2.602202272727273,-0.6419978063151047,0.15666666666666668,3.5633333333333335,-0.37388521845553635,0.20047619047619053,3.5195238095238097,-0.4524562652771304,0.2914285714285714,3.428571428571429,-0.48987169475094144,1.7628571428571433,1.9571428571428569,-0.03866874831833055,3.0114285714285716,0.7085714285714286,0.37046179368337684,3.796190476190476,-0.07619047619047592,0.4986917493191965,3.994285714285714,-0.274285714285714,0.487380511889744,28389074974.2894,-0.4180411843904939,11833891080.8667,-0.5262659003248639,92.8594669911348,-0.46846288511417955,4.8,0.4708572940221277,3.4,0.39992923204336334
1,AL,MONTGOMERY,2012-02,3.65,Refinancing of Apt,0.1410714285714286,3.508928571428571,-0.4298186938166423,0.19146190476190478,3.458538095238095,-0.42978319818803923,0.2500238095238095,3.3999761904761905,-0.43920984007740016,0.3686547619047619,3.281345238095238,-0.467701132648309,0.5032404761904763,3.1467595238095236,-0.5215212673771046,0.7572880952380953,2.8927119047619048,-0.6151312603407446,1.0711880952380954,2.5788119047619045,-0.6419978063151047,0.06350000000000003,3.5865,-0.37388521845553635,0.124,3.526,-0.4524562652771304,0.161,3.489,-0.48987169475094144,0.8310000000000001,2.819,-0.03866874831833055,1.9674999999999998,1.6825,0.37046179368337684,2.7479999999999998,0.9020000000000001,0.4986917493191965,3.109,0.5409999999999999,0.487380511889744,35385458151.3724,-0.4180411843904939,11510278467.2037,-0.5262659003248639,89.56768058609659,-0.46846288511417955,4.7,0.4708572940221277,3.4,0.39992923204336334
2,AL,MONTGOMERY,2012-06,3.5,Refinancing of Apt,0.163,3.337,-0.4298186938166423,0.19464736842105262,3.3053526315789474,-0.42978319818803923,0.24319736842105263,3.2568026315789473,-0.43920984007740016,0.3459342105263157,3.1540657894736843,-0.467701132648309,0.46558684210526313,3.034413157894737,-0.5215212673771046,0.7364000000000004,2.7635999999999994,-0.6151312603407446,1.0691894736842107,2.4308105263157893,-0.6419978063151047,0.05190476190476193,3.448095238095238,-0.37388521845553635,0.14809523809523809,3.3519047619047617,-0.4524562652771304,0.18904761904761905,3.310952380952381,-0.48987169475094144,0.7114285714285714,2.7885714285714287,-0.03866874831833055,1.6223809523809525,1.8776190476190475,0.37046179368337684,2.3061904761904763,1.1938095238095237,0.4986917493191965,2.698095238095238,0.8019047619047619,0.487380511889744,36777908030.9335,-0.4180411843904939,12770391029.1034,-0.5262659003248639,90.37816904639429,-0.46846288511417955,5.1,0.4708572940221277,3.2,0.39992923204336334
3,AL,MONTGOMERY,2013-10,4.08,Refinancing of Apt,0.10426086956521738,3.975739130434783,-0.4298186938166423,0.13668260869565219,3.943317391304348,-0.42978319818803923,0.17241521739130433,3.9075847826086956,-0.43920984007740016,0.21265,3.86735,-0.467701132648309,0.2417652173913043,3.838234782608696,-0.5215212673771046,0.36121521739130424,3.718784782608696,-0.6151312603407446,0.6177847826086957,3.4622152173913046,-0.6419978063151047,0.1059090909090909,3.974090909090909,-0.37388521845553635,0.07590909090909094,4.004090909090909,-0.4524562652771304,0.12136363636363635,3.9586363636363635,-0.48987169475094144,1.366818181818182,2.713181818181818,-0.03866874831833055,2.615909090909091,1.4640909090909089,0.37046179368337684,3.3795454545454544,0.7004545454545457,0.4986917493191965,3.6759090909090903,0.4040909090909097,0.487380511889744,41062625933.5941,-0.4180411843904939,10216278752.7557,-0.5262659003248639,83.69462947740479,-0.46846288511417955,4.2,0.4708572940221277,2.4,0.39992923204336334
4,AL,MONTGOMERY,2014-11,4.18,Refinancing of Apt,0.09656999999999999,4.08343,-0.4298186938166423,0.12222499999999999,4.0577749999999995,-0.42978319818803923,0.1548075,4.025192499999999,-0.43920984007740016,0.20246,3.97754,-0.467701132648309,0.23286250000000003,3.9471374999999997,-0.5215212673771046,0.32679500000000006,3.8532049999999995,-0.6151312603407446,0.56206,3.61794,-0.6419978063151047,0.04166666666666668,4.138333333333333,-0.37388521845553635,0.06944444444444448,4.110555555555555,-0.4524562652771304,0.13444444444444448,4.045555555555556,-0.48987169475094144,1.6205555555555557,2.559444444444444,-0.03866874831833055,2.325555555555556,1.854444444444444,0.37046179368337684,2.7644444444444445,1.4155555555555552,0.4986917493191965,3.038333333333333,1.1416666666666666,0.487380511889744,44591810060.8257,-0.4180411843904939,10950177839.1879,-0.5262659003248639,82.23381292700279,-0.46846288511417955,4.4,0.4708572940221277,2.4,0.39992923204336334
5,AL,MONTGOMERY,2015-02,3.87,Refinancing of Apt,0.11784999999999998,3.7521500000000003,-0.4298186938166423,0.13764249999999997,3.7323575,-0.42978319818803923,0.17207499999999998,3.697925,-0.43920984007740016,0.2121925,3.6578075,-0.467701132648309,0.25842,3.61158,-0.5215212673771046,0.37596500000000005,3.4940350000000002,-0.6151312603407446,0.6601375,3.2098625,-0.6419978063151047,0.017894736842105265,3.852105263157895,-0.37388521845553635,0.07105263157894741,3.798947368421053,-0.4524562652771304,0.22421052631578947,3.6457894736842107,-0.48987169475094144,1.472631578947368,2.397368421052632,-0.03866874831833055,1.9752631578947366,1.8947368421052635,0.37046179368337684,2.3384210526315794,1.5315789473684207,0.4986917493191965,2.566315789473684,1.303684210526316,0.487380511889744,45667781053.6763,-0.4180411843904939,11733364706.6996,-0.5262659003248639,82.75451956383341,-0.46846288511417955,3.5,0.4708572940221277,2.1,0.39992923204336334
6,AL,MONTGOMERY,2015-09,3.5,Refinancing of Apt,0.1344409090909091,3.365559090909091,-0.4298186938166423,0.15661363636363634,3.3433863636363634,-0.42978319818803923,0.20107727272727274,3.298922727272727,-0.43920984007740016,0.26589318181818195,3.234106818181818,-0.467701132648309,0.3311113636363637,3.1688886363636364,-0.5215212673771046,0.5371681818181817,2.9628318181818183,-0.6151312603407446,0.8526636363636364,2.647336363636364,-0.6419978063151047,0.008571428571428572,3.4914285714285715,-0.37388521845553635,0.17952380952380947,3.3204761904761906,-0.4524562652771304,0.3733333333333333,3.126666666666667,-0.48987169475094144,1.4900000000000002,2.01,-0.03866874831833055,2.1728571428571435,1.3271428571428565,0.37046179368337684,2.618095238095238,0.881904761904762,0.4986917493191965,2.9528571428571433,0.5471428571428567,0.487380511889744,48836554747.323,-0.4180411843904939,10986955735.8103,-0.5262659003248639,83.80897781081251,-0.46846288511417955,3.4,0.4708572940221277,2.5,0.39992923204336334
7,AL,MONTGOMERY,2015-10,3.39,Refinancing of Apt,0.13160454545454547,3.2583954545454548,-0.4298186938166423,0.15531363636363638,3.2346863636363636,-0.42978319818803923,0.19451136363636365,3.1954886363636366,-0.43920984007740016,0.2514522727272726,3.1385477272727274,-0.467701132648309,0.32135909090909087,3.0686409090909095,-0.5215212673771046,0.5284272727272726,2.8615727272727276,-0.6151312603407446,0.8378659090909092,2.552134090909091,-0.6419978063151047,0.014285714285714287,3.375714285714286,-0.37388521845553635,0.11380952380952382,3.276190476190476,-0.4524562652771304,0.26333333333333336,3.126666666666667,-0.48987169475094144,1.3857142857142857,2.0042857142857144,-0.03866874831833055,2.0699999999999994,1.3200000000000007,0.37046179368337684,2.5028571428571427,0.8871428571428575,0.4986917493191965,2.8880952380952376,0.5019047619047625,0.487380511889744,49379202635.7798,-0.4180411843904939,11492007418.0579,-0.5262659003248639,85.06205357591242,-0.46846288511417955,3.1,0.4708572940221277,2.5,0.39992923204336334
8,AL,MONTGOMERY,2016-07,3.01,Refinancing of Apt,0.41380476190476195,2.596195238095238,-0.4298186938166423,0.43819285714285716,2.5718071428571427,-0.42978319818803923,0.4828833333333333,2.5271166666666667,-0.43920984007740016,0.5734595238095239,2.436540476190476,-0.467701132648309,0.6963095238095237,2.313690476190476,-0.5215212673771046,0.9990666666666668,2.010933333333333,-0.6151312603407446,1.31707619047619,1.6929238095238097,-0.6419978063151047,0.2635000000000001,2.7464999999999997,-0.37388521845553635,0.4040000000000001,2.606,-0.4524562652771304,0.5135000000000001,2.4964999999999997,-0.48987169475094144,1.0715,1.9385,-0.03866874831833055,1.504,1.5059999999999998,0.37046179368337684,1.8224999999999998,1.1875,0.4986917493191965,2.227,0.7829999999999999,0.487380511889744,49206523977.8161,-0.4180411843904939,11496937509.4445,-0.5262659003248639,89.2057504560787,-0.46846288511417955,3.2,0.4708572940221277,1.6,0.39992923204336334
9,AL,MONTGOMERY,2017-01,3.3,Refinancing of Apt,0.6908933333333332,2.6091066666666665,-0.4298186938166423,0.720819523809524,2.579180476190476,-0.42978319818803923,0.7713747619047617,2.528625238095238,-0.43920984007740016,0.8375133333333332,2.4624866666666665,-0.467701132648309,1.0256928571428574,2.2743071428571424,-0.5215212673771046,1.3400880952380954,1.9599119047619045,-0.6151312603407446,1.7079285714285712,1.5920714285714286,-0.6419978063151047,0.496,2.804,-0.37388521845553635,0.617,2.683,-0.4524562652771304,0.8255000000000002,2.4744999999999995,-0.48987169475094144,1.9164999999999996,1.3835000000000002,-0.03866874831833055,2.4325,0.8674999999999997,0.37046179368337684,2.7475,0.5524999999999998,0.4986917493191965,3.0189999999999997,0.28100000000000014,0.487380511889744,51124149514.2735,-0.4180411843904939,12605986919.9069,-0.5262659003248639,89.1832712740787,-0.46846288511417955,3.5,0.4708572940221277,1.6,0.39992923204336334
