,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(3),Corr with mortgage 90(3)
10,2014-04,FL,JACKSONVILLE,2014-04,3.75,"(-81.588862, 30.467390999999996)",19981.12,Refinancing of Apt,0.08864000000000001,0.007106711884368162,0.120115,0.00865931931294648,0.1517,0.013178338308249882,0.1918625,0.01905887030603994,0.227495,0.02812234993868125,0.32422500000000004,0.02946618905550969,0.550005,0.06672821446541183,0.023333333333333345,0.02368100930898095,0.05333333333333336,0.025021564300300326,0.10761904761904763,0.04383561988752071,1.7009523809523805,0.36791255306359183,2.705238095238095,0.5982582274976234,3.265238095238095,0.5885090669021255,3.5176190476190476,0.5537902489662576,44931729222.7983,-0.43969801746948767,10653400066.5467,0.47828172553377135,85.3165844012547,0.5124279039132787,2.4,0.39137420046294014,3.6,0.27630960589087744
11,2014-06,FL,JACKSONVILLE,2014-06,3.79,"(-81.71459399999999, 30.437742)",41120.81,Refinancing of Apt,0.09278571428571428,0.007106711884368162,0.12241428571428574,0.00865931931294648,0.1523738095238095,0.013178338308249882,0.19377380952380954,0.01905887030603994,0.2309452380952381,0.02812234993868125,0.32388809523809525,0.02946618905550969,0.5421714285714285,0.06672821446541183,0.024285714285714296,0.02368100930898095,0.06047619047619051,0.025021564300300326,0.10476190476190479,0.04383561988752071,1.679047619047619,0.36791255306359183,2.5985714285714288,0.5982582274976234,3.1533333333333333,0.5885090669021255,3.4199999999999995,0.5537902489662576,44885858708.7515,-0.43969801746948767,9507943209.106209,0.47828172553377135,83.69462947740479,0.5124279039132787,2.4,0.39137420046294014,3.4,0.27630960589087744
12,2015-10,FL,JACKSONVILLE,2015-10,3.86,"(-81.4182687, 30.3555546)",77454.25,Refinancing of Apt,0.13160454545454547,0.007106711884368162,0.15531363636363638,0.00865931931294648,0.19451136363636365,0.013178338308249882,0.2514522727272726,0.01905887030603994,0.32135909090909087,0.02812234993868125,0.5284272727272726,0.02946618905550969,0.8378659090909092,0.06672821446541183,0.014285714285714287,0.02368100930898095,0.11380952380952382,0.025021564300300326,0.26333333333333336,0.04383561988752071,1.3857142857142857,0.36791255306359183,2.0699999999999994,0.5982582274976234,2.5028571428571427,0.5885090669021255,2.8880952380952376,0.5537902489662576,48154770296.6926,-0.43969801746948767,11492007418.0579,0.47828172553377135,82.75451956383341,0.5124279039132787,2.6,0.39137420046294014,2.2,0.27630960589087744
13,2015-11,FL,JACKSONVILLE,2015-11,3.53,"(-81.60844300000001, 30.181845000000003)",78087.19,Refinancing of Apt,0.13066666666666668,0.007106711884368162,0.1559214285714286,0.00865931931294648,0.20844761904761913,0.013178338308249882,0.286702380952381,0.01905887030603994,0.3709714285714286,0.02812234993868125,0.6063738095238096,0.02946618905550969,0.9343738095238093,0.06672821446541183,0.07105263157894738,0.02368100930898095,0.32789473684210524,0.025021564300300326,0.47684210526315784,0.04383561988752071,1.6710526315789473,0.36791255306359183,2.2631578947368416,0.5982582274976234,2.6863157894736847,0.5885090669021255,3.03,0.5537902489662576,48927223434.2447,-0.43969801746948767,11758109185.709,0.47828172553377135,81.7923503982947,0.5124279039132787,2.5,0.39137420046294014,2.4,0.27630960589087744
14,2015-12,FL,JACKSONVILLE,2015-12,3.875,"(-82.4584, 27.9482)",9354.34,Refinancing of Apt,0.2286238095238095,0.007106711884368162,0.289352380952381,0.00865931931294648,0.3523071428571429,0.013178338308249882,0.44092857142857156,0.01905887030603994,0.5332357142857143,0.02812234993868125,0.7638285714285715,0.02946618905550969,1.0841380952380955,0.06672821446541183,0.17181818181818184,0.02368100930898095,0.4990909090909091,0.025021564300300326,0.6536363636363638,0.04383561988752071,1.6986363636363635,0.36791255306359183,2.2427272727272736,0.5982582274976234,2.6072727272727274,0.5885090669021255,2.97,0.5537902489662576,48187387172.2131,-0.43969801746948767,10798655053.3939,0.47828172553377135,82.89218119322959,0.5124279039132787,2.8,0.39137420046294014,2.0,0.27630960589087744
15,2016-04,FL,JACKSONVILLE,2016-04,3.72,"(-81.604452, 30.359276)",32422.18,Refinancing of Apt,0.38031428571428566,0.007106711884368162,0.39864523809523805,0.00865931931294648,0.4373976190476192,0.013178338308249882,0.5229452380952381,0.01905887030603994,0.6327499999999999,0.02812234993868125,0.9025404761904764,0.02946618905550969,1.2222214285714286,0.06672821446541183,0.18761904761904763,0.02368100930898095,0.37238095238095237,0.025021564300300326,0.5557142857142858,0.04383561988752071,1.2580952380952382,0.36791255306359183,1.8052380952380953,0.5982582274976234,2.2104761904761907,0.5885090669021255,2.6233333333333335,0.5537902489662576,49692544708.3448,-0.43969801746948767,11362184412.0981,0.47828172553377135,82.3313446344394,0.5124279039132787,1.9,0.39137420046294014,1.7,0.27630960589087744
16,2016-08,FL,JACKSONVILLE,2016-08,3.64,"(-81.603585, 30.274347)",29608.23,Refinancing of Apt,0.41817045454545454,0.007106711884368162,0.4429568181818182,0.00865931931294648,0.5122418181818182,0.013178338308249882,0.6351372727272727,0.01905887030603994,0.810223181818182,0.02812234993868125,1.1977463636363632,0.02946618905550969,1.5097959090909088,0.06672821446541183,0.2608695652173914,0.02368100930898095,0.4460869565217393,0.025021564300300326,0.5682608695652173,0.04383561988752071,1.1330434782608694,0.36791255306359183,1.5565217391304347,0.5982582274976234,1.8895652173913038,0.5885090669021255,2.261739130434783,0.5537902489662576,49971382532.5922,-0.43969801746948767,11531266279.4831,0.47828172553377135,84.0267577476249,0.5124279039132787,2.5,0.39137420046294014,1.6,0.27630960589087744
17,2017-06,FL,JACKSONVILLE,2017-06,3.225,"(-81.57177, 30.323809999999998)",58779.57,Refinancing of Apt,1.0640909090909094,0.007106711884368162,1.1183336363636365,0.00865931931294648,1.1714068181818182,0.013178338308249882,1.2101513636363637,0.01905887030603994,1.2624095454545452,0.02812234993868125,1.4322822727272726,0.02946618905550969,1.7322577272727273,0.06672821446541183,0.8413636363636363,0.02368100930898095,1.1095454545454546,0.025021564300300326,1.200909090909091,0.04383561988752071,1.7740909090909094,0.36791255306359183,2.186818181818182,0.5982582274976234,2.5399999999999996,0.5885090669021255,2.796363636363637,0.5537902489662576,49256214828.7987,-0.43969801746948767,12747516848.3499,0.47828172553377135,84.4501908643932,0.5124279039132787,1.8,0.39137420046294014,1.3,0.27630960589087744
18,2017-12,FL,JACKSONVILLE,2017-12,3.25,"(-81.663353, 30.437209999999997)",34468.18,Refinancing of Apt,1.3144094736842107,0.007106711884368162,1.3913115789473685,0.00865931931294648,1.4850410526315792,0.013178338308249882,1.5354463157894738,0.01905887030603994,1.6017521052631578,0.02812234993868125,1.7680373684210524,0.02946618905550969,2.0434931578947366,0.06672821446541183,1.204,0.02368100930898095,1.4950000000000003,0.025021564300300326,1.7005,0.04383561988752071,2.1819999999999995,0.36791255306359183,2.4025,0.5982582274976234,2.5970000000000004,0.5885090669021255,2.768,0.5537902489662576,50828048870.0026,-0.43969801746948767,11707722927.962,0.47828172553377135,88.23467488709129,0.5124279039132787,1.0,0.39137420046294014,1.3,0.27630960589087744
19,2018-02,FL,JACKSONVILLE,2018-02,4.1,"(-81.6218, 30.485)",59461.88,Refinancing of Apt,1.4432573684210526,0.007106711884368162,1.4712210000000003,0.00865931931294648,1.6018225000000001,0.013178338308249882,1.722691,0.01905887030603994,1.874672,0.02812234993868125,2.0893395000000003,0.02946618905550969,2.3701375000000002,0.06672821446541183,1.3805263157894736,0.02368100930898095,1.7857894736842108,0.025021564300300326,1.9636842105263155,0.04383561988752071,2.599473684210526,0.36791255306359183,2.8589473684210525,0.5982582274976234,3.016842105263158,0.5885090669021255,3.1310526315789478,0.5537902489662576,50407042046.8076,-0.43969801746948767,11226317067.5623,0.47828172553377135,87.46440959377459,0.5124279039132787,1.5,0.39137420046294014,1.5,0.27630960589087744
20,2018-06,FL,JACKSONVILLE,2018-06,3.97,"(-81.606316, 30.23293)",36336.51,Refinancing of Apt,1.8376333333333337,0.007106711884368162,1.9170571428571423,0.00865931931294648,2.068429047619047,0.013178338308249882,2.1502619047619045,0.01905887030603994,2.330264285714286,0.02812234993868125,2.4958952380952377,0.02946618905550969,2.759644285714286,0.06672821446541183,1.8052380952380953,0.02368100930898095,2.113809523809524,0.025021564300300326,2.328095238095238,0.04383561988752071,2.775714285714286,0.36791255306359183,2.9123809523809525,0.5982582274976234,2.9776190476190476,0.5885090669021255,3.0500000000000007,0.5537902489662576,50593420247.4287,-0.43969801746948767,12109088557.0787,0.47828172553377135,87.010875232225,0.5124279039132787,1.7,0.39137420046294014,1.4,0.27630960589087744
21,2018-07,FL,JACKSONVILLE,2018-07,4.03,"(-81.73357800000001, 30.217309000000004)",129529.44,Refinancing of Apt,1.918467142857143,0.007106711884368162,1.9587813636363633,0.00865931931294648,2.0789990909090905,0.013178338308249882,2.1733236363636363,0.01905887030603994,2.3391181818181823,0.02812234993868125,2.519525454545455,0.02946618905550969,2.7944931818181815,0.06672821446541183,1.8933333333333329,0.02368100930898095,2.1680952380952383,0.025021564300300326,2.3876190476190478,0.04383561988752071,2.7776190476190483,0.36791255306359183,2.8890476190476195,0.5982582274976234,2.944761904761905,0.5885090669021255,3.006666666666667,0.5537902489662576,51507450037.54,-0.43969801746948767,12484889768.5791,0.47828172553377135,88.50967086025801,0.5124279039132787,2.1,0.39137420046294014,1.2,0.27630960589087744
