,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-3),Corr with student_vol(-3),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2011-02,TX,FORT WORTH,2011-02,4.5,"(-97.305504, 32.852528)",76131,48512.33,Refinancing of Apt,0.23214,0.12811117124074572,0.25165,0.12854117764921308,0.26292499999999996,0.1237659389690662,0.28731249999999997,0.12522214902877632,0.31189999999999996,0.11500742936802531,0.46404500000000004,0.12065715022570751,0.7933949999999999,0.12415722400995437,0.11473684210526319,0.13705418315161055,0.16842105263157894,0.12183328153831538,0.2863157894736842,0.10657606431187762,2.257894736842106,0.06526503618391591,3.5763157894736834,0.18883102929182452,4.423684210526316,0.2555762367306607,4.652105263157895,0.2567965343784904,31300541846.2612,-0.3057671501951096,11082139451.8714,0.44883579675246693,91.59671843464591,0.3436824346146034,3.7,0.43478226514316093,3.1,0.32489465003774864,-97.305504,32.852528
1,2011-07,TX,FORT WORTH,2011-07,4.6,"(-97.286056, 32.913773)",76248,42203.82,Refinancing of Apt,0.12388095238095237,0.12811117124074572,0.1598857142857143,0.12854117764921308,0.18661904761904766,0.1237659389690662,0.2182333333333334,0.12522214902877632,0.24991190476190472,0.11500742936802531,0.41392857142857137,0.12065715022570751,0.7452261904761905,0.12415722400995437,0.037500000000000006,0.13705418315161055,0.08400000000000002,0.12183328153831538,0.185,0.10657606431187762,1.541,0.06526503618391591,3.003,0.18883102929182452,3.9475000000000002,0.2555762367306607,4.2705,0.2567965343784904,34825519831.2788,-0.3057671501951096,15995126134.7035,0.44883579675246693,88.33905735772379,0.3436824346146034,4.2,0.43478226514316093,3.3,0.32489465003774864,-97.286056,32.913773
2,2011-12,TX,FORT WORTH,2011-12,4.49,"(-97.363969, 32.751762)",76107,149265.98,Refinancing of Apt,0.1499335,0.12811117124074572,0.2029985,0.12854117764921308,0.2836085,0.1237659389690662,0.40829250000000006,0.12522214902877632,0.5557375,0.11500742936802531,0.7798775000000001,0.12065715022570751,1.1003555000000003,0.12415722400995437,0.0033333333333333335,0.13705418315161055,0.048571428571428585,0.12183328153831538,0.11523809523809528,0.10657606431187762,0.8914285714285713,0.06526503618391591,1.9780952380952384,0.18883102929182452,2.6676190476190476,0.2555762367306607,2.9823809523809524,0.2567965343784904,36623269866.4569,-0.3057671501951096,11655650147.2578,0.44883579675246693,90.7743282432688,0.3436824346146034,3.6,0.43478226514316093,3.1,0.32489465003774864,-97.363969,32.751762
3,2012-01,TX,FORT WORTH,2012-01,3.645,"(-97.16544499999999, 32.80215)",76053,53752.445,Refinancing of Apt,0.14564761904761903,0.12811117124074572,0.2014238095238095,0.12854117764921308,0.28289523809523814,0.1237659389690662,0.41424761904761903,0.12522214902877632,0.5659000000000001,0.11500742936802531,0.7969761904761906,0.12065715022570751,1.1145476190476191,0.12415722400995437,0.0245,0.13705418315161055,0.06550000000000003,0.12183328153831538,0.11500000000000003,0.10657606431187762,0.835,0.06526503618391591,1.9664999999999995,0.18883102929182452,2.6950000000000003,0.2555762367306607,3.026,0.2567965343784904,36777908030.9335,-0.3057671501951096,10258833668.6773,0.44883579675246693,90.6452366150782,0.3436824346146034,3.5,0.43478226514316093,3.0,0.32489465003774864,-97.16544499999999,32.80215
4,2012-05,TX,FORT WORTH,2012-05,3.7,"(-97.4099003, 32.6592507)",76132,59010.68,Refinancing of Apt,0.15161363636363637,0.12811117124074572,0.19053181818181822,0.12854117764921308,0.23893181818181805,0.1237659389690662,0.3457045454545453,0.12522214902877632,0.4665318181818183,0.11500742936802531,0.732990909090909,0.12065715022570751,1.0615068181818177,0.12415722400995437,0.06590909090909093,0.13705418315161055,0.14545454545454548,0.12183328153831538,0.19181818181818186,0.10657606431187762,0.7618181818181818,0.06526503618391591,1.8031818181818189,0.18883102929182452,2.525909090909091,0.2555762367306607,2.930909090909091,0.2567965343784904,37571290060.6541,-0.3057671501951096,10728874885.7875,0.44883579675246693,89.56768058609659,0.3436824346146034,4.0,0.43478226514316093,2.8,0.32489465003774864,-97.4099003,32.6592507
5,2012-08,TX,FORT WORTH,2012-08,3.08,"(-97.3327, 32.7532)",76104,63182.3,Refinancing of Apt,0.15374090909090915,0.12811117124074572,0.18745454545454548,0.12854117764921308,0.23783863636363634,0.1237659389690662,0.3331136363636364,0.12522214902877632,0.43259999999999993,0.11500742936802531,0.7177749999999997,0.12065715022570751,1.0426272727272727,0.12415722400995437,0.09217391304347829,0.13705418315161055,0.14043478260869566,0.12183328153831538,0.18347826086956526,0.10657606431187762,0.7139130434782609,0.06526503618391591,1.6782608695652175,0.18883102929182452,2.3978260869565218,0.2555762367306607,2.7708695652173914,0.2567965343784904,38808856509.5085,-0.3057671501951096,12770391029.1034,0.44883579675246693,89.513287195688,0.3436824346146034,3.9,0.43478226514316093,2.7,0.32489465003774864,-97.3327,32.7532
6,2012-09,TX,FORT WORTH,2012-09,8.1635,"(-97.238484, 32.706771)",76119,19373.98,Refinancing of Apt,0.15189500000000006,0.12811117124074572,0.183625,0.12854117764921308,0.22133750000000002,0.1237659389690662,0.3079875,0.12522214902877632,0.3856325000000001,0.11500742936802531,0.6716749999999999,0.12065715022570751,0.9997750000000002,0.12415722400995437,0.07526315789473685,0.13705418315161055,0.13736842105263158,0.12183328153831538,0.17578947368421055,0.10657606431187762,0.6689473684210526,0.06526503618391591,1.7231578947368422,0.18883102929182452,2.488421052631579,0.2555762367306607,2.8815789473684212,0.2567965343784904,39268596272.9965,-0.3057671501951096,14585937143.4485,0.44883579675246693,90.37816904639429,0.3436824346146034,4.2,0.43478226514316093,2.7,0.32489465003774864,-97.238484,32.706771
7,2013-03,TX,FORT WORTH,2013-03,3.05,"(-97.40593100000001, 32.652446999999995)",76133,11861.97,Refinancing of Apt,0.15505000000000002,0.12811117124074572,0.17309999999999998,0.12854117764921308,0.20345,0.1237659389690662,0.2419,0.12522214902877632,0.28190000000000004,0.11500742936802531,0.44782500000000003,0.12065715022570751,0.7351250000000001,0.12415722400995437,0.07800000000000003,0.13705418315161055,0.11450000000000005,0.12183328153831538,0.14750000000000002,0.10657606431187762,0.8185000000000002,0.06526503618391591,1.9575,0.18883102929182452,2.7840000000000003,0.2555762367306607,3.1625000000000005,0.2567965343784904,41471481477.9035,-0.3057671501951096,11337096053.4966,0.44883579675246693,86.5850023909696,0.3436824346146034,3.3,0.43478226514316093,2.2,0.32489465003774864,-97.40593100000001,32.652446999999995
8,2013-04,TX,FORT WORTH,2013-04,3.075,"(-97.19, 32.76)",76102,28820.245000000003,Refinancing of Apt,0.1539047619047619,0.12811117124074572,0.17210476190476193,0.12854117764921308,0.19953333333333334,0.1237659389690662,0.24005714285714277,0.12522214902877632,0.27714285714285714,0.11500742936802531,0.4360190476190476,0.12065715022570751,0.7168333333333334,0.12415722400995437,0.049090909090909116,0.13705418315161055,0.09409090909090913,0.12183328153831538,0.12454545454545456,0.10657606431187762,0.7104545454545454,0.06526503618391591,1.7590909090909093,0.18883102929182452,2.5500000000000003,0.2555762367306607,2.9327272727272726,0.2567965343784904,41334062733.8549,-0.3057671501951096,11154944519.578999,0.44883579675246693,88.29263433660921,0.3436824346146034,3.5,0.43478226514316093,2.1,0.32489465003774864,-97.19,32.76
9,2013-09,TX,FORT WORTH,2013-09,4.6,"(-97.237081, 32.87069)",76148,39508.21,Refinancing of Apt,0.11272380952380952,0.12811117124074572,0.14323238095238094,0.12854117764921308,0.18057476190476196,0.1237659389690662,0.22133904761904755,0.12522214902877632,0.2531785714285715,0.11500742936802531,0.38033809523809525,0.12065715022570751,0.6526857142857143,0.12415722400995437,0.017500000000000005,0.13705418315161055,0.04150000000000001,0.12183328153831538,0.11850000000000002,0.10657606431187762,1.5959999999999999,0.06526503618391591,2.8095,0.18883102929182452,3.526,0.2555762367306607,3.7870000000000004,0.2567965343784904,42151687038.4775,-0.3057671501951096,9260696074.4491,0.44883579675246693,85.7873584996498,0.3436824346146034,3.7,0.43478226514316093,2.3,0.32489465003774864,-97.237081,32.87069
