,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(1),Corr with mortgage 90(1)
0,2010-12,OH,ELYRIA,2010-12,2.05,"(-82.11897900000001, 41.355815)",46186.02,Refinancing of Apt,0.24122190476190472,0.1222642578567493,0.25412380952380953,0.12733833215561272,0.26178857142857137,0.15637553911099628,0.28196571428571415,0.17471467712705854,0.30272333333333334,0.19177889866251238,0.4583942857142857,0.1826568034290202,0.7839004761904763,0.1736888649849948,0.0854166666666667,0.16018211730763587,0.19333333333333338,0.170957896473941,0.2937499999999999,0.1766661392882504,1.9429166666666664,0.09653608241129184,3.2949999999999995,-0.18505882704795723,4.173333333333333,-0.2815734203199139,4.415,-0.30825500998270333,31252070876.7547,0.6651021576599594,15995126134.7035,-0.8684006606935457,92.5881563190625,-0.9995251889053294,3.9,-0.7195002188579618,4.1,-0.4658737756163754
1,2013-08,OH,ELYRIA,2013-08,4.12,"(-82.1076, 41.3684)",21960.06,Refinancing of Apt,0.11782999999999999,0.1222642578567493,0.1493142857142857,0.12733833215561272,0.1840704761904762,0.15637553911099628,0.22633523809523812,0.17471467712705854,0.2633952380952381,0.19177889866251238,0.3949285714285714,0.1826568034290202,0.6679499999999999,0.1736888649849948,0.03681818181818183,0.16018211730763587,0.07181818181818184,0.170957896473941,0.12681818181818183,0.1766661392882504,1.5204545454545455,0.09653608241129184,2.7372727272727273,-0.18505882704795723,3.488181818181818,-0.2815734203199139,3.757727272727273,-0.30825500998270333,41561863313.5151,0.6651021576599594,9402239044.86975,-0.8684006606935457,85.3165844012547,-0.9995251889053294,3.1,-0.7195002188579618,3.1,-0.4658737756163754
2,2013-09,OH,ELYRIA,2013-09,4.45,"(-82.10752600000001, 41.34854)",16455.78,Refinancing of Apt,0.11272380952380952,0.1222642578567493,0.14323238095238094,0.12733833215561272,0.18057476190476196,0.15637553911099628,0.22133904761904755,0.17471467712705854,0.2531785714285715,0.19177889866251238,0.38033809523809525,0.1826568034290202,0.6526857142857143,0.1736888649849948,0.017500000000000005,0.16018211730763587,0.04150000000000001,0.170957896473941,0.11850000000000002,0.1766661392882504,1.5959999999999999,0.09653608241129184,2.8095,-0.18505882704795723,3.526,-0.2815734203199139,3.7870000000000004,-0.30825500998270333,42151687038.4775,0.6651021576599594,9438159522.248821,-0.8684006606935457,84.4459748156831,-0.9995251889053294,2.8,-0.7195002188579618,3.2,-0.4658737756163754
3,2016-12,OH,ELYRIA,2016-12,3.03,"(-82.1138383, 41.356896899999995)",18244.05,Refinancing of Apt,0.5606285,0.1222642578567493,0.6315605,0.12733833215561272,0.7119585,0.15637553911099628,0.7883325000000001,0.17471467712705854,0.9753284999999998,0.19177889866251238,1.3063339999999999,0.1826568034290202,1.6692235,0.1736888649849948,0.42333333333333334,0.16018211730763587,0.638095238095238,0.170957896473941,0.8661904761904763,0.1766661392882504,1.9590476190476194,0.09653608241129184,2.491904761904762,-0.18505882704795723,2.835238095238095,-0.2815734203199139,3.1133333333333324,-0.30825500998270333,47316214443.3566,0.6651021576599594,12388258203.7622,-0.8684006606935457,89.1200725980081,-0.9995251889053294,2.6,-0.7195002188579618,1.8,-0.4658737756163754
4,2018-05,OH,ELYRIA,2018-05,4.41,"(-82.10633, 41.390775)",6213.12,Refinancing of Apt,1.7065971428571427,0.1222642578567493,1.7524533333333332,0.12733833215561272,1.94629,0.15637553911099628,2.0937409523809523,0.17471467712705854,2.3356085714285713,0.19177889866251238,2.499740476190476,0.1826568034290202,2.754757142857143,0.1736888649849948,1.706818181818182,0.16018211730763587,2.0731818181818187,0.170957896473941,2.2736363636363635,0.1766661392882504,2.816818181818181,0.09653608241129184,2.977727272727273,-0.18505882704795723,3.0518181818181818,-0.2815734203199139,3.1318181818181827,-0.30825500998270333,50593420247.4287,0.6651021576599594,12115078194.3566,-0.8684006606935457,,-0.9995251889053294,2.1,-0.7195002188579618,1.0,-0.4658737756163754
