,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol,Corr with student_vol,credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(2),Corr with mortgage 90(2)
0,RI,PROVIDENCE,2010-12,6.2,Refinancing of Apt,0.24122190476190472,5.958778095238095,-0.17540249546106274,0.25412380952380953,5.9458761904761905,-0.16872745601163722,0.26178857142857137,5.938211428571429,-0.1728409052840171,0.28196571428571415,5.9180342857142865,-0.17689708225999196,0.30272333333333334,5.8972766666666665,-0.18297637902853903,0.4583942857142857,5.741605714285715,-0.19114700971867368,0.7839004761904763,5.416099523809524,-0.18961282433792367,0.0854166666666667,6.114583333333334,-0.17540272734981585,0.19333333333333338,6.006666666666667,-0.16794609051067608,0.2937499999999999,5.90625,-0.158391764991594,1.9429166666666664,4.257083333333334,0.09860598803083716,3.2949999999999995,2.9050000000000007,0.14094378520562553,4.173333333333333,2.0266666666666673,0.12209201392836903,4.415,1.7850000000000001,0.12528996638024886,32217867353.4185,-0.1920261173962176,10792773250.4017,0.6488840562361015,92.5881563190625,-0.23607250075502897,4.0,0.35672355989356946,4.5,0.19499874921377383
1,RI,PROVIDENCE,2011-04,6.5,Refinancing of Apt,0.14759444444444447,6.352405555555555,-0.17540249546106274,0.19237777777777781,6.307622222222222,-0.16872745601163722,0.22143500000000005,6.278565,-0.1728409052840171,0.25190277777777786,6.248097222222222,-0.17689708225999196,0.28138222222222226,6.218617777777777,-0.18297637902853903,0.44229888888888896,6.057701111111111,-0.19114700971867368,0.7700555555555555,5.7299444444444445,-0.18961282433792367,0.029500000000000005,6.4705,-0.17540272734981585,0.11950000000000002,6.3805,-0.16794609051067608,0.24650000000000002,6.2535,-0.158391764991594,2.169,4.3309999999999995,0.09860598803083716,3.4549999999999996,3.0450000000000004,0.14094378520562553,4.276000000000001,2.2239999999999993,0.12209201392836903,4.5015,1.9985,0.12528996638024886,31300541846.2612,-0.1920261173962176,15995126134.7035,0.6488840562361015,88.33905735772379,-0.23607250075502897,3.2,0.35672355989356946,4.4,0.19499874921377383
2,RI,PROVIDENCE,2011-09,5.66,Refinancing of Apt,0.14525181818181823,5.514748181818182,-0.17540249546106274,0.1884,5.4716000000000005,-0.16872745601163722,0.23085045454545455,5.429149545454545,-0.1728409052840171,0.2845913636363636,5.375408636363637,-0.17689708225999196,0.3502268181818181,5.309773181818182,-0.18297637902853903,0.5222018181818182,5.137798181818182,-0.19114700971867368,0.8332045454545454,4.826795454545454,-0.18961282433792367,0.005714285714285713,5.654285714285715,-0.17540272734981585,0.04333333333333335,5.616666666666667,-0.16794609051067608,0.10476190476190479,5.555238095238096,-0.158391764991594,0.9004761904761904,4.7595238095238095,0.09860598803083716,1.9752380952380955,3.6847619047619045,0.14094378520562553,2.8271428571428574,2.8328571428571427,0.12209201392836903,3.182380952380953,2.477619047619047,0.12528996638024886,34825519831.2788,-0.1920261173962176,11655650147.2578,0.6488840562361015,90.7743282432688,-0.23607250075502897,3.5,0.35672355989356946,4.0,0.19499874921377383
3,RI,PROVIDENCE,2012-03,4.7,Refinancing of Apt,0.14720000000000003,4.5528,-0.17540249546106274,0.1893409090909091,4.510659090909091,-0.16872745601163722,0.24185227272727275,4.458147727272728,-0.1728409052840171,0.35079999999999995,4.349200000000001,-0.17689708225999196,0.4732886363636363,4.226711363636364,-0.18297637902853903,0.741275,3.9587250000000003,-0.19114700971867368,1.0534477272727274,3.6465522727272726,-0.18961282433792367,0.06363636363636366,4.636363636363637,-0.17540272734981585,0.14227272727272727,4.557727272727273,-0.16794609051067608,0.19000000000000003,4.51,-0.158391764991594,1.0172727272727273,3.6827272727272726,0.09860598803083716,2.1727272727272724,2.527272727272728,0.14094378520562553,2.9404545454545454,1.7595454545454547,0.12209201392836903,3.281363636363636,1.4186363636363644,0.12528996638024886,36777908030.9335,-0.1920261173962176,11251067892.2966,0.6488840562361015,89.02745876405929,-0.23607250075502897,3.2,0.35672355989356946,4.0,0.19499874921377383
4,RI,PROVIDENCE,2013-02,3.5,Refinancing of Apt,0.15464999999999998,3.34535,-0.17540249546106274,0.17315,3.32685,-0.16872745601163722,0.20129999999999998,3.2987,-0.1728409052840171,0.2455,3.2545,-0.17689708225999196,0.29049499999999995,3.209505,-0.18297637902853903,0.463425,3.036575,-0.19114700971867368,0.761875,2.738125,-0.18961282433792367,0.0768421052631579,3.423157894736842,-0.17540272734981585,0.12421052631578947,3.3757894736842107,-0.16794609051067608,0.15736842105263157,3.3426315789473686,-0.158391764991594,0.8463157894736841,2.6536842105263156,0.09860598803083716,1.9842105263157896,1.5157894736842104,0.14094378520562553,2.782631578947368,0.7173684210526319,0.12209201392836903,3.165263157894737,0.3347368421052632,0.12528996638024886,40395555554.9932,-0.1920261173962176,11080080767.5225,0.6488840562361015,89.95115518901541,-0.23607250075502897,3.2,0.35672355989356946,3.6,0.19499874921377383
5,RI,PROVIDENCE,2013-03,2.9,Refinancing of Apt,0.15505000000000002,2.74495,-0.17540249546106274,0.17309999999999998,2.7269,-0.16872745601163722,0.20345,2.69655,-0.1728409052840171,0.2419,2.6581,-0.17689708225999196,0.28190000000000004,2.6181,-0.18297637902853903,0.44782500000000003,2.452175,-0.19114700971867368,0.7351250000000001,2.164875,-0.18961282433792367,0.07800000000000003,2.822,-0.17540272734981585,0.11450000000000005,2.7855,-0.16794609051067608,0.14750000000000002,2.7525,-0.158391764991594,0.8185000000000002,2.0814999999999997,0.09860598803083716,1.9575,0.9424999999999999,0.14094378520562553,2.7840000000000003,0.11599999999999966,0.12209201392836903,3.1625000000000005,-0.2625000000000006,0.12528996638024886,40995097959.5386,-0.1920261173962176,9855625468.0504,0.6488840562361015,90.32258801944451,-0.23607250075502897,2.6,0.35672355989356946,3.5,0.19499874921377383
6,RI,PROVIDENCE,2013-11,4.35,Refinancing of Apt,0.10274761904761903,4.24725238095238,-0.17540249546106274,0.12919047619047616,4.220809523809524,-0.16872745601163722,0.1672714285714286,4.182728571428571,-0.1728409052840171,0.20747142857142856,4.142528571428571,-0.17689708225999196,0.2382452380952381,4.111754761904762,-0.18297637902853903,0.35063809523809525,3.9993619047619045,-0.19114700971867368,0.5866738095238094,3.76332619047619,-0.18961282433792367,0.046842105263157914,4.303157894736842,-0.17540272734981585,0.09842105263157898,4.2515789473684205,-0.16794609051067608,0.12157894736842105,4.228421052631578,-0.158391764991594,1.3710526315789473,2.9789473684210526,0.09860598803083716,2.7184210526315793,1.6315789473684204,0.14094378520562553,3.503684210526316,0.8463157894736835,0.12209201392836903,3.7999999999999985,0.5500000000000012,0.12528996638024886,42151687038.4775,-0.1920261173962176,10396023519.0372,0.6488840562361015,80.910251046009,-0.23607250075502897,3.2,0.35672355989356946,3.3,0.19499874921377383
7,RI,PROVIDENCE,2014-10,3.48,Refinancing of Apt,0.09059565217391304,3.389404347826087,-0.17540249546106274,0.11953260869565213,3.360467391304348,-0.16872745601163722,0.15351739130434783,3.326482608695652,-0.1728409052840171,0.1974043478260869,3.2825956521739132,-0.17689708225999196,0.2313760869565217,3.2486239130434784,-0.18297637902853903,0.3236195652173913,3.1563804347826085,-0.19114700971867368,0.5523869565217392,2.927613043478261,-0.18961282433792367,0.020909090909090912,3.459090909090909,-0.17540272734981585,0.05045454545454548,3.4295454545454547,-0.16794609051067608,0.10454545454545458,3.3754545454545455,-0.158391764991594,1.5459090909090911,1.9340909090909089,0.09860598803083716,2.304090909090909,1.1759090909090908,0.14094378520562553,2.7731818181818184,0.7068181818181816,0.12209201392836903,3.039999999999999,0.44000000000000083,0.12528996638024886,45241950015.4561,-0.1920261173962176,10950177839.1879,0.6488840562361015,82.122236078369,-0.23607250075502897,2.7,0.35672355989356946,2.8,0.19499874921377383
8,RI,PROVIDENCE,2014-12,8.0,Refinancing of Apt,0.1101,7.8899,-0.17540249546106274,0.1330809523809524,7.866919047619048,-0.16872745601163722,0.16305,7.83695,-0.1728409052840171,0.20744285714285715,7.7925571428571425,-0.17689708225999196,0.2446071428571429,7.755392857142857,-0.18297637902853903,0.34302142857142864,7.656978571428572,-0.19114700971867368,0.6021190476190476,7.397880952380953,-0.18961282433792367,0.02500000000000001,7.975,-0.17540272734981585,0.1063636363636364,7.893636363636364,-0.16794609051067608,0.21454545454545454,7.785454545454545,-0.158391764991594,1.64,6.36,0.09860598803083716,2.2072727272727275,5.792727272727273,0.14094378520562553,2.5504545454545453,5.449545454545454,0.12209201392836903,2.8331818181818185,5.166818181818181,0.12528996638024886,45758876905.2845,-0.1920261173962176,14245911418.8887,0.6488840562361015,79.25862065623551,-0.23607250075502897,3.1,0.35672355989356946,2.7,0.19499874921377383
9,RI,PROVIDENCE,2015-01,6.0,Refinancing of Apt,0.11871428571428574,5.881285714285714,-0.17540249546106274,0.1349785714285714,5.865021428571429,-0.16872745601163722,0.16807857142857144,5.8319214285714285,-0.1728409052840171,0.2135952380952381,5.786404761904762,-0.17689708225999196,0.2543190476190476,5.745680952380952,-0.18297637902853903,0.35825714285714294,5.641742857142857,-0.19114700971867368,0.6221666666666666,5.377833333333333,-0.18961282433792367,0.018000000000000006,5.982,-0.17540272734981585,0.08300000000000003,5.917,-0.16794609051067608,0.19549999999999998,5.8045,-0.158391764991594,1.3744999999999998,4.625500000000001,0.09860598803083716,1.8814999999999997,4.1185,0.14094378520562553,2.199,3.801,0.12209201392836903,2.455,3.545,0.12528996638024886,47944164595.1044,-0.1920261173962176,11733364706.6996,0.6488840562361015,83.34061286074021,-0.23607250075502897,2.6,0.35672355989356946,2.7,0.19499874921377383
