,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-2),Corr with auto_vol(-2),student_vol(-2),Corr with student_vol(-2),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(2),Corr with mortgage 90(2)
0,2011-06,AZ,PHOENIX,2011-06,3.95,"(-111.99344599999999, 33.640105)",39002.3,Refinancing of Apt,0.12706818181818183,0.026865593493630126,0.1615431818181819,0.028014146613121446,0.18716409090909092,0.028571100411629725,0.21923909090909086,0.033492811874254486,0.24782409090909094,0.028620866278762275,0.39758,0.030883395617194005,0.7268749999999999,0.027292721788483146,0.0190909090909091,0.042403516855256215,0.1013636363636364,0.035821867979995224,0.18090909090909094,0.027798272669286677,1.5799999999999998,-0.02032364885304034,3.002272727272727,0.040139637091645586,3.9145454545454546,0.09662065471126458,4.2327272727272724,0.10279914330428479,31252070876.7547,-0.16471492770853657,15995126134.7035,0.4219756440605618,91.3646878868074,0.19287856818037946,3.0,0.21654212015611093,4.6,0.15421041018637238
1,2012-05,AZ,PHOENIX,2012-05,4.375,"(-112.06208400000001, 33.458769000000004)",20128.49,Refinancing of Apt,0.15161363636363637,0.026865593493630126,0.19053181818181822,0.028014146613121446,0.23893181818181805,0.028571100411629725,0.3457045454545453,0.033492811874254486,0.4665318181818183,0.028620866278762275,0.732990909090909,0.030883395617194005,1.0615068181818177,0.027292721788483146,0.06590909090909093,0.042403516855256215,0.14545454545454548,0.035821867979995224,0.19181818181818186,0.027798272669286677,0.7618181818181818,-0.02032364885304034,1.8031818181818189,0.040139637091645586,2.525909090909091,0.09662065471126458,2.930909090909091,0.10279914330428479,35767585536.868996,-0.16471492770853657,11251067892.2966,0.4219756440605618,89.513287195688,0.19287856818037946,2.8,0.21654212015611093,3.3,0.15421041018637238
2,2012-06,AZ,PHOENIX,2012-06,3.34,"(-75.144728, 40.021343)",9243.38,Refinancing of Apt,0.163,0.026865593493630126,0.19464736842105262,0.028014146613121446,0.24319736842105263,0.028571100411629725,0.3459342105263157,0.033492811874254486,0.46558684210526313,0.028620866278762275,0.7364000000000004,0.030883395617194005,1.0691894736842107,0.027292721788483146,0.05190476190476193,0.042403516855256215,0.14809523809523809,0.035821867979995224,0.18904761904761905,0.027798272669286677,0.7114285714285714,-0.02032364885304034,1.6223809523809525,0.040139637091645586,2.3061904761904763,0.09662065471126458,2.698095238095238,0.10279914330428479,36623269866.4569,-0.16471492770853657,11641401212.0971,0.4219756440605618,90.37816904639429,0.19287856818037946,2.8,0.21654212015611093,3.1,0.15421041018637238
3,2012-07,AZ,PHOENIX,2012-07,3.05,"(-112.100374, 33.593709000000004)",7983.86,Refinancing of Apt,0.16720454545454547,0.026865593493630126,0.19873636363636368,0.028014146613121446,0.24646136363636365,0.028571100411629725,0.34024999999999994,0.033492811874254486,0.4535545454545455,0.028620866278762275,0.7302181818181818,0.030883395617194005,1.0653181818181816,0.027292721788483146,0.06952380952380956,0.042403516855256215,0.14571428571428574,0.035821867979995224,0.18571428571428572,0.027798272669286677,0.6195238095238095,-0.02032364885304034,1.5266666666666664,0.040139637091645586,2.217142857142857,0.09662065471126458,2.5900000000000003,0.10279914330428479,36777908030.9335,-0.16471492770853657,12770391029.1034,0.4219756440605618,90.2956809830492,0.19287856818037946,2.9,0.21654212015611093,3.0,0.15421041018637238
4,2012-08,AZ,PHOENIX,2012-08,3.1,"(-112.04186599999998, 33.406285)",19229.440000000002,Refinancing of Apt,0.15374090909090915,0.026865593493630126,0.18745454545454548,0.028014146613121446,0.23783863636363634,0.028571100411629725,0.3331136363636364,0.033492811874254486,0.43259999999999993,0.028620866278762275,0.7177749999999997,0.030883395617194005,1.0426272727272727,0.027292721788483146,0.09217391304347829,0.042403516855256215,0.14043478260869566,0.035821867979995224,0.18347826086956526,0.027798272669286677,0.7139130434782609,-0.02032364885304034,1.6782608695652175,0.040139637091645586,2.3978260869565218,0.09662065471126458,2.7708695652173914,0.10279914330428479,36186315501.0541,-0.16471492770853657,14585937143.4485,0.4219756440605618,89.2801736441717,0.19287856818037946,3.0,0.21654212015611093,3.0,0.15421041018637238
5,2012-09,AZ,PHOENIX,2012-09,8.66,"(-112.035533, 33.408021000000005)",11403.07,Refinancing of Apt,0.15189500000000006,0.026865593493630126,0.183625,0.028014146613121446,0.22133750000000002,0.028571100411629725,0.3079875,0.033492811874254486,0.3856325000000001,0.028620866278762275,0.6716749999999999,0.030883395617194005,0.9997750000000002,0.027292721788483146,0.07526315789473685,0.042403516855256215,0.13736842105263158,0.035821867979995224,0.17578947368421055,0.027798272669286677,0.6689473684210526,-0.02032364885304034,1.7231578947368422,0.040139637091645586,2.488421052631579,0.09662065471126458,2.8815789473684212,0.10279914330428479,36601383816.48,-0.16471492770853657,16111780903.4699,0.4219756440605618,91.578064558499,0.19287856818037946,3.1,0.21654212015611093,2.9,0.15421041018637238
6,2012-11,AZ,PHOENIX,2012-11,2.7,"(31.334504, 26.911162)",16548.38,Refinancing of Apt,0.1555,0.026865593493630126,0.18060909090909089,0.028014146613121446,0.20888636363636362,0.028571100411629725,0.25813636363636355,0.033492811874254486,0.31102272727272723,0.028620866278762275,0.528347727272727,0.030883395617194005,0.8631931818181818,0.027292721788483146,0.12449999999999999,0.042403516855256215,0.14450000000000002,0.035821867979995224,0.17850000000000002,0.027798272669286677,0.665,-0.02032364885304034,1.654,0.040139637091645586,2.3894999999999995,0.09662065471126458,2.8034999999999997,0.10279914330428479,37571290060.6541,-0.16471492770853657,11631947675.6117,0.4219756440605618,88.920473853359,0.19287856818037946,3.0,0.21654212015611093,2.6,0.15421041018637238
7,2013-08,AZ,PHOENIX,2013-08,3.85,"(-111.956612, 33.425505)",15481.99,Refinancing of Apt,0.11782999999999999,0.026865593493630126,0.1493142857142857,0.028014146613121446,0.1840704761904762,0.028571100411629725,0.22633523809523812,0.033492811874254486,0.2633952380952381,0.028620866278762275,0.3949285714285714,0.030883395617194005,0.6679499999999999,0.027292721788483146,0.03681818181818183,0.042403516855256215,0.07181818181818184,0.035821867979995224,0.12681818181818183,0.027798272669286677,1.5204545454545455,-0.02032364885304034,2.7372727272727273,0.040139637091645586,3.488181818181818,0.09662065471126458,3.757727272727273,0.10279914330428479,41507587847.7023,-0.16471492770853657,9260696074.4491,0.4219756440605618,85.3165844012547,0.19287856818037946,2.3,0.21654212015611093,1.5,0.15421041018637238
8,2013-10,AZ,PHOENIX,2013-10,4.0,"(-112.0773, 33.4486)",20596.11,Refinancing of Apt,0.10426086956521738,0.026865593493630126,0.13668260869565219,0.028014146613121446,0.17241521739130433,0.028571100411629725,0.21265,0.033492811874254486,0.2417652173913043,0.028620866278762275,0.36121521739130424,0.030883395617194005,0.6177847826086957,0.027292721788483146,0.1059090909090909,0.042403516855256215,0.07590909090909094,0.035821867979995224,0.12136363636363635,0.027798272669286677,1.366818181818182,-0.02032364885304034,2.615909090909091,0.040139637091645586,3.3795454545454544,0.09662065471126458,3.6759090909090903,0.10279914330428479,41334062733.8549,-0.16471492770853657,10210246554.7955,0.4219756440605618,83.69462947740479,0.19287856818037946,2.3,0.21654212015611093,1.5,0.15421041018637238
9,2015-07,AZ,PHOENIX,2015-07,3.875,"(-112.0649, 33.5052)",50084.240000000005,Refinancing of Apt,0.1263,0.026865593493630126,0.1488782608695652,0.028014146613121446,0.1881586956521739,0.028571100411629725,0.23940652173913043,0.033492811874254486,0.29066956521739135,0.028620866278762275,0.46192391304347824,0.030883395617194005,0.7858413043478262,0.027292721788483146,0.030000000000000002,0.042403516855256215,0.11636363636363636,0.035821867979995224,0.2968181818181819,0.027798272669286677,1.632272727272727,-0.02032364885304034,2.3245454545454547,0.040139637091645586,2.7663636363636357,0.09662065471126458,3.066363636363636,0.10279914330428479,47692027772.9219,-0.16471492770853657,11119760586.3258,0.4219756440605618,81.9752078939728,0.19287856818037946,1.8,0.21654212015611093,1.0,0.15421041018637238
10,2015-10,AZ,PHOENIX,2015-10,3.75,"(-112.02523899999998, 33.630056)",40736.56,Refinancing of Apt,0.13160454545454547,0.026865593493630126,0.15531363636363638,0.028014146613121446,0.19451136363636365,0.028571100411629725,0.2514522727272726,0.033492811874254486,0.32135909090909087,0.028620866278762275,0.5284272727272726,0.030883395617194005,0.8378659090909092,0.027292721788483146,0.014285714285714287,0.042403516855256215,0.11380952380952382,0.035821867979995224,0.26333333333333336,0.027798272669286677,1.3857142857142857,-0.02032364885304034,2.0699999999999994,0.040139637091645586,2.5028571428571427,0.09662065471126458,2.8880952380952376,0.10279914330428479,48836554747.323,-0.16471492770853657,10986955735.8103,0.4219756440605618,85.06205357591242,0.19287856818037946,1.9,0.21654212015611093,1.0,0.15421041018637238
11,2016-03,AZ,PHOENIX,2016-03,3.98,"(-112.1019, 33.433434999999996)",58962.41,Refinancing of Apt,0.3739333333333333,0.026865593493630126,0.39734047619047613,0.028014146613121446,0.43639523809523806,0.028571100411629725,0.5204357142857143,0.033492811874254486,0.632,0.028620866278762275,0.9009761904761905,0.030883395617194005,1.2156690476190475,0.027292721788483146,0.2531818181818182,0.042403516855256215,0.47,0.035821867979995224,0.6563636363636364,0.027798272669286677,1.3759090909090912,-0.02032364885304034,1.889090909090909,0.040139637091645586,2.2759090909090913,0.09662065471126458,2.6845454545454546,0.10279914330428479,48154770296.6926,-0.16471492770853657,11404853913.5663,0.4219756440605618,87.39008859346599,0.19287856818037946,1.7,0.21654212015611093,0.9,0.15421041018637238
12,2016-05,AZ,PHOENIX,2016-05,3.75,"(-112.118096, 33.542938)",3020.44,Refinancing of Apt,0.38527368421052627,0.026865593493630126,0.4053315789473685,0.028014146613121446,0.4424947368421052,0.028571100411629725,0.5332263157894737,0.033492811874254486,0.6455710526315791,0.028620866278762275,0.9348736842105263,0.030883395617194005,1.2675078947368421,0.027292721788483146,0.2261904761904762,0.042403516855256215,0.4185714285714286,0.035821867979995224,0.5914285714285713,0.027798272669286677,1.3004761904761903,-0.02032364885304034,1.8061904761904766,0.040139637091645586,2.2166666666666663,0.09662065471126458,2.627619047619048,0.10279914330428479,48187387172.2131,-0.16471492770853657,11362184412.0981,0.4219756440605618,88.3913281030881,0.19287856818037946,1.6,0.21654212015611093,0.8,0.15421041018637238
13,2016-07,AZ,PHOENIX,2016-07,3.1,"(-112.04703300000001, 33.48825)",120274.66,Refinancing of Apt,0.41380476190476195,0.026865593493630126,0.43819285714285716,0.028014146613121446,0.4828833333333333,0.028571100411629725,0.5734595238095239,0.033492811874254486,0.6963095238095237,0.028620866278762275,0.9990666666666668,0.030883395617194005,1.31707619047619,0.027292721788483146,0.2635000000000001,0.042403516855256215,0.4040000000000001,0.035821867979995224,0.5135000000000001,0.027798272669286677,1.0715,-0.02032364885304034,1.504,0.040139637091645586,1.8224999999999998,0.09662065471126458,2.227,0.10279914330428479,49276189942.4712,-0.16471492770853657,11703539581.608,0.4219756440605618,89.2057504560787,0.19287856818037946,1.6,0.21654212015611093,0.8,0.15421041018637238
14,2016-09,AZ,PHOENIX,2016-09,3.9,"(-112.04703300000001, 33.48825)",7074.36,Refinancing of Apt,0.42159363636363634,0.026865593493630126,0.4495609090909092,0.028014146613121446,0.5270018181818182,0.028571100411629725,0.6625254545454545,0.033492811874254486,0.8496804545454547,0.028620866278762275,1.2471445454545458,0.030883395617194005,1.5560313636363639,0.027292721788483146,0.1914285714285715,0.042403516855256215,0.4671428571428572,0.035821867979995224,0.5933333333333333,0.027798272669286677,1.178095238095238,-0.02032364885304034,1.6304761904761906,0.040139637091645586,2.0152380952380957,0.09662065471126458,2.350476190476191,0.10279914330428479,49692544708.3448,-0.16471492770853657,11531266279.4831,0.4219756440605618,87.62096056152771,0.19287856818037946,1.6,0.21654212015611093,0.8,0.15421041018637238
15,2017-02,AZ,PHOENIX,2017-02,3.25,"(-112.08451699999999, 33.523546)",40911.015,Refinancing of Apt,0.6863609999999999,0.026865593493630126,0.7163664999999999,0.028014146613121446,0.7767084999999999,0.028571100411629725,0.8480275,0.033492811874254486,1.0445964999999997,0.028620866278762275,1.3514585000000001,0.030883395617194005,1.723958,0.027292721788483146,0.48210526315789465,0.042403516855256215,0.653157894736842,0.035821867979995224,0.8205263157894739,0.027798272669286677,1.9015789473684213,-0.02032364885304034,2.4189473684210525,0.040139637091645586,2.763684210526316,0.09662065471126458,3.0321052631578946,0.10279914330428479,51124149514.2735,-0.16471492770853657,12605986919.9069,0.4219756440605618,88.94830277813108,0.19287856818037946,1.6,0.21654212015611093,0.6,0.15421041018637238
16,2017-07,AZ,PHOENIX,2017-07,3.41,"(-112.010705, 33.395998999999996)",44588.119999999995,Refinancing of Apt,1.1766928571428568,0.026865593493630126,1.1913757142857144,0.028014146613121446,1.2280366666666667,0.028571100411629725,1.2566676190476191,0.033492811874254486,1.307512857142857,0.028620866278762275,1.4570814285714284,0.030883395617194005,1.7410885714285718,0.027292721788483146,0.9720000000000001,0.042403516855256215,1.1284999999999996,0.035821867979995224,1.2235,0.027798272669286677,1.8720000000000003,-0.02032364885304034,2.3179999999999996,0.040139637091645586,2.6505,0.09662065471126458,2.884,0.10279914330428479,48693341763.9087,-0.16471492770853657,12747516848.3499,0.4219756440605618,87.3618752869242,0.19287856818037946,1.7,0.21654212015611093,0.6,0.15421041018637238
17,2017-08,AZ,PHOENIX,2017-08,3.32,"(-112.07861899999999, 33.450407)",17394.47,Refinancing of Apt,1.1775518181818179,0.026865593493630126,1.197803181818182,0.028014146613121446,1.2317690909090908,0.028571100411629725,1.264191818181818,0.033492811874254486,1.314176818181818,0.028620866278762275,1.453699090909091,0.030883395617194005,1.7253381818181814,0.027292721788483146,0.9795652173913042,0.042403516855256215,1.1291304347826083,0.035821867979995224,1.2291304347826086,0.027798272669286677,1.7765217391304353,-0.02032364885304034,2.209130434782609,0.040139637091645586,2.552173913043478,0.09662065471126458,2.795217391304348,0.10279914330428479,49068548953.9206,-0.16471492770853657,12745337772.3068,0.4219756440605618,88.55316323110772,0.19287856818037946,1.9,0.21654212015611093,0.6,0.15421041018637238
18,2018-04,AZ,PHOENIX,2018-04,3.9,"(-112.0729, 33.4065)",154479.76,Refinancing of Apt,1.7027510000000003,0.026865593493630126,1.7432829999999995,0.028014146613121446,1.896724,0.028571100411629725,2.0408605,0.033492811874254486,2.349426,0.028620866278762275,2.493657999999999,0.030883395617194005,2.7355454999999997,0.027292721788483146,1.6604761904761904,0.042403516855256215,1.9780952380952381,0.035821867979995224,2.153809523809524,0.027798272669286677,2.701904761904762,-0.02032364885304034,2.869047619047619,0.040139637091645586,2.9595238095238092,0.09662065471126458,3.0719047619047624,0.10279914330428479,49574400061.0285,-0.16471492770853657,11318405616.2761,0.4219756440605618,85.8866598662335,0.19287856818037946,1.4,0.21654212015611093,0.5,0.15421041018637238
19,2018-05,AZ,PHOENIX,2018-05,3.99,"(-112.00485800000001, 33.37645)",69803.09,Refinancing of Apt,1.7065971428571427,0.026865593493630126,1.7524533333333332,0.028014146613121446,1.94629,0.028571100411629725,2.0937409523809523,0.033492811874254486,2.3356085714285713,0.028620866278762275,2.499740476190476,0.030883395617194005,2.754757142857143,0.027292721788483146,1.706818181818182,0.042403516855256215,2.0731818181818187,0.035821867979995224,2.2736363636363635,0.027798272669286677,2.816818181818181,-0.02032364885304034,2.977727272727273,0.040139637091645586,3.0518181818181818,0.09662065471126458,3.1318181818181827,0.10279914330428479,50828048870.0026,-0.16471492770853657,11725018303.5706,0.4219756440605618,,0.19287856818037946,1.6,0.21654212015611093,0.4,0.15421041018637238
20,2018-06,AZ,PHOENIX,2018-06,3.8,"(-112.00992099999999, 33.304794)",60320.22,Refinancing of Apt,1.8376333333333337,0.026865593493630126,1.9170571428571423,0.028014146613121446,2.068429047619047,0.028571100411629725,2.1502619047619045,0.033492811874254486,2.330264285714286,0.028620866278762275,2.4958952380952377,0.030883395617194005,2.759644285714286,0.027292721788483146,1.8052380952380953,0.042403516855256215,2.113809523809524,0.035821867979995224,2.328095238095238,0.027798272669286677,2.775714285714286,-0.02032364885304034,2.9123809523809525,0.040139637091645586,2.9776190476190476,0.09662065471126458,3.0500000000000007,0.10279914330428479,50505964400.0098,-0.16471492770853657,12344213844.2875,0.4219756440605618,,0.19287856818037946,1.4,0.21654212015611093,0.5,0.15421041018637238
21,2018-07,AZ,PHOENIX,2018-07,3.79,"(-112.0773, 33.4486)",97321.7,Refinancing of Apt,1.918467142857143,0.026865593493630126,1.9587813636363633,0.028014146613121446,2.0789990909090905,0.028571100411629725,2.1733236363636363,0.033492811874254486,2.3391181818181823,0.028620866278762275,2.519525454545455,0.030883395617194005,2.7944931818181815,0.027292721788483146,1.8933333333333329,0.042403516855256215,2.1680952380952383,0.035821867979995224,2.3876190476190478,0.027798272669286677,2.7776190476190483,-0.02032364885304034,2.8890476190476195,0.040139637091645586,2.944761904761905,0.09662065471126458,3.006666666666667,0.10279914330428479,50407042046.8076,-0.16471492770853657,12109088557.0787,0.4219756440605618,,0.19287856818037946,1.7,0.21654212015611093,0.5,0.15421041018637238
22,2018-08,AZ,PHOENIX,2018-08,4.55,"(-112.05396, 33.501062)",34019.32,Refinancing of Apt,1.916485,0.026865593493630126,1.9541377272727276,0.028014146613121446,2.074109545454545,0.028571100411629725,2.18963,0.033492811874254486,2.323575,0.028620866278762275,2.5196563636363636,0.030883395617194005,2.8215668181818185,0.027292721788483146,1.9408695652173917,0.042403516855256215,2.244347826086957,0.035821867979995224,2.445652173913043,0.027798272669286677,2.7678260869565223,-0.02032364885304034,2.889130434782609,0.040139637091645586,2.970434782608696,0.09662065471126458,3.041739130434783,0.10279914330428479,50165072031.0326,-0.16471492770853657,12484889768.5791,0.4219756440605618,,0.19287856818037946,1.8,0.21654212015611093,0.5,0.15421041018637238
