,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90,Corr with mortgage 90
0,2010-05,IA,SIOUX CITY,2010-05,3.95,"(-96.47642462, 42.53827511)",12161.84,Refinancing of Apt,0.2957715789473684,-0.033662642962729604,0.3152057894736842,-0.02861772701372524,0.3354642105263158,-0.0327788694753398,0.39242105263157895,-0.0364795186505339,0.45851421052631586,-0.04163231383527215,0.6592468421052632,-0.06240559198678215,1.129987894736842,-0.06599520018011329,0.147,-0.025517680986969757,0.22350000000000003,-0.062353676122861364,0.37099999999999994,-0.04552979887908643,2.1799999999999997,0.37623287696370317,3.4199999999999995,0.609946605216983,4.1145,0.6443624034427622,4.286,0.6235419670202826,28477062769.4533,-0.26936330667999586,12342273869.2704,0.29630914833922306,97.9962893430168,0.38299272879324453,3.3,0.40586589138115153,2.3,0.29033343632768105
1,2010-08,IA,SIOUX CITY,2010-08,5.0,"(-96.3574, 42.447996999999994)",41862.33,Refinancing of Apt,0.23101619047619049,-0.033662642962729604,0.2659952380952381,-0.02861772701372524,0.27546238095238096,-0.0327788694753398,0.3123080952380952,-0.0364795186505339,0.3625466666666667,-0.04163231383527215,0.5790957142857143,-0.06240559198678215,0.9435780952380955,-0.06599520018011329,0.15409090909090908,-0.025517680986969757,0.19136363636363637,-0.062353676122861364,0.25909090909090904,-0.04552979887908643,1.4654545454545451,0.37623287696370317,2.6986363636363637,0.609946605216983,3.516818181818181,0.6443624034427622,3.8031818181818178,0.6235419670202826,30512069858.4251,-0.26936330667999586,10792773250.4017,0.29630914833922306,99.0214107435932,0.38299272879324453,3.4,0.40586589138115153,2.0,0.29033343632768105
2,2011-10,IA,SIOUX CITY,2011-10,4.05,"(-96.40493199999999, 42.494664)",12201.855,Refinancing of Apt,0.1416352380952381,-0.033662642962729604,0.19074095238095234,-0.02861772701372524,0.24373904761904758,-0.0327788694753398,0.3185252380952381,-0.0364795186505339,0.4064785714285714,-0.04163231383527215,0.59521,-0.06240559198678215,0.9086428571428572,-0.06599520018011329,0.013500000000000003,-0.025517680986969757,0.05450000000000003,-0.062353676122861364,0.1145,-0.04552979887908643,1.0614999999999999,0.37623287696370317,2.1519999999999997,0.609946605216983,2.8695,0.6443624034427622,3.128,0.6235419670202826,35344521679.5642,-0.26936330667999586,10728874885.7875,0.29630914833922306,90.24550000965358,0.38299272879324453,3.4,0.40586589138115153,1.8,0.29033343632768105
3,2011-11,IA,SIOUX CITY,2011-11,3.88,"(-96.387238, 42.533861)",18093.5,Refinancing of Apt,0.14255090909090912,-0.033662642962729604,0.19244863636363635,-0.02861772701372524,0.2536463636363637,-0.0327788694753398,0.3593790909090909,-0.0364795186505339,0.47529181818181826,-0.04163231383527215,0.6805422727272729,-0.06240559198678215,1.000305,-0.06599520018011329,0.013999999999999999,-0.025517680986969757,0.04650000000000002,-0.062353676122861364,0.11200000000000002,-0.04552979887908643,0.908,0.37623287696370317,2.0134999999999996,0.609946605216983,2.7180000000000004,0.6443624034427622,3.0155000000000003,0.6235419670202826,35385458151.3724,-0.26936330667999586,11251067892.2966,0.29630914833922306,90.5649414475864,0.38299272879324453,2.6,0.40586589138115153,1.8,0.29033343632768105
4,2012-11,IA,SIOUX CITY,2012-11,2.77,"(-96.314808, 42.464263)",25713.63,Refinancing of Apt,0.1555,-0.033662642962729604,0.18060909090909089,-0.02861772701372524,0.20888636363636362,-0.0327788694753398,0.25813636363636355,-0.0364795186505339,0.31102272727272723,-0.04163231383527215,0.528347727272727,-0.06240559198678215,0.8631931818181818,-0.06599520018011329,0.12449999999999999,-0.025517680986969757,0.14450000000000002,-0.062353676122861364,0.17850000000000002,-0.04552979887908643,0.665,0.37623287696370317,1.654,0.609946605216983,2.3894999999999995,0.6443624034427622,2.8034999999999997,0.6235419670202826,39268596272.9965,-0.26936330667999586,9855625468.0504,0.29630914833922306,89.02745876405929,0.38299272879324453,2.3,0.40586589138115153,1.2,0.29033343632768105
5,2012-12,IA,SIOUX CITY,2012-12,2.41,"(-96.446433, 42.498893)",15286.41,Refinancing of Apt,0.1631578947368421,-0.033662642962729604,0.1875157894736842,-0.02861772701372524,0.21092631578947374,-0.0327788694753398,0.2552894736842105,-0.0364795186505339,0.30947368421052623,-0.04163231383527215,0.5145657894736843,-0.06240559198678215,0.8483157894736841,-0.06599520018011329,0.039500000000000014,-0.025517680986969757,0.11950000000000005,-0.062353676122861364,0.1585,-0.04552979887908643,0.6960000000000001,0.37623287696370317,1.7189999999999999,0.609946605216983,2.4675000000000002,0.6443624034427622,2.8835,0.6235419670202826,39658399389.4891,-0.26936330667999586,9123117418.53368,0.29630914833922306,89.6061116730853,0.38299272879324453,2.7,0.40586589138115153,1.3,0.29033343632768105
6,2013-08,IA,SIOUX CITY,2013-08,4.0,"(-96.379586, 42.540131)",37048.62,Refinancing of Apt,0.11782999999999999,-0.033662642962729604,0.1493142857142857,-0.02861772701372524,0.1840704761904762,-0.0327788694753398,0.22633523809523812,-0.0364795186505339,0.2633952380952381,-0.04163231383527215,0.3949285714285714,-0.06240559198678215,0.6679499999999999,-0.06599520018011329,0.03681818181818183,-0.025517680986969757,0.07181818181818184,-0.062353676122861364,0.12681818181818183,-0.04552979887908643,1.5204545454545455,0.37623287696370317,2.7372727272727273,0.609946605216983,3.488181818181818,0.6443624034427622,3.757727272727273,0.6235419670202826,41244159430.5284,-0.26936330667999586,9402239044.86975,0.29630914833922306,86.5850023909696,0.38299272879324453,2.4,0.40586589138115153,1.2,0.29033343632768105
7,2013-10,IA,SIOUX CITY,2013-10,4.5,"(-96.391954, 42.531498)",25487.52,Refinancing of Apt,0.10426086956521738,-0.033662642962729604,0.13668260869565219,-0.02861772701372524,0.17241521739130433,-0.0327788694753398,0.21265,-0.0364795186505339,0.2417652173913043,-0.04163231383527215,0.36121521739130424,-0.06240559198678215,0.6177847826086957,-0.06599520018011329,0.1059090909090909,-0.025517680986969757,0.07590909090909094,-0.062353676122861364,0.12136363636363635,-0.04552979887908643,1.366818181818182,0.37623287696370317,2.615909090909091,0.609946605216983,3.3795454545454544,0.6443624034427622,3.6759090909090903,0.6235419670202826,41561863313.5151,-0.26936330667999586,10011024566.6146,0.29630914833922306,89.95115518901541,0.38299272879324453,2.6,0.40586589138115153,1.0,0.29033343632768105
8,2015-09,IA,SIOUX CITY,2015-09,3.95,"(-96.397134, 42.495853000000004)",16118.84,Refinancing of Apt,0.1344409090909091,-0.033662642962729604,0.15661363636363634,-0.02861772701372524,0.20107727272727274,-0.0327788694753398,0.26589318181818195,-0.0364795186505339,0.3311113636363637,-0.04163231383527215,0.5371681818181817,-0.06240559198678215,0.8526636363636364,-0.06599520018011329,0.008571428571428572,-0.025517680986969757,0.17952380952380947,-0.062353676122861364,0.3733333333333333,-0.04552979887908643,1.4900000000000002,0.37623287696370317,2.1728571428571435,0.609946605216983,2.618095238095238,0.6443624034427622,2.9528571428571433,0.6235419670202826,48491901272.6637,-0.26936330667999586,11404853913.5663,0.29630914833922306,83.34061286074021,0.38299272879324453,2.4,0.40586589138115153,0.8,0.29033343632768105
9,2015-12,IA,SIOUX CITY,2015-12,3.55,"(-96.46044181, 42.50490248)",23306.8,Refinancing of Apt,0.2286238095238095,-0.033662642962729604,0.289352380952381,-0.02861772701372524,0.3523071428571429,-0.0327788694753398,0.44092857142857156,-0.0364795186505339,0.5332357142857143,-0.04163231383527215,0.7638285714285715,-0.06240559198678215,1.0841380952380955,-0.06599520018011329,0.17181818181818184,-0.025517680986969757,0.4990909090909091,-0.062353676122861364,0.6536363636363638,-0.04552979887908643,1.6986363636363635,0.37623287696370317,2.2427272727272736,0.609946605216983,2.6072727272727274,0.6443624034427622,2.97,0.6235419670202826,48927223434.2447,-0.26936330667999586,10916249757.9916,0.29630914833922306,82.89218119322959,0.38299272879324453,1.6,0.40586589138115153,1.0,0.29033343632768105
10,2018-03,IA,SIOUX CITY,2018-03,3.7,"(-96.37526, 42.462237)",29849.3,Refinancing of Apt,1.5183047619047625,-0.033662642962729604,1.6006185714285712,-0.02861772701372524,1.7991309523809524,-0.0327788694753398,1.9184628571428568,-0.0364795186505339,2.173357619047619,-0.04163231383527215,2.345182380952381,-0.06240559198678215,2.596475714285714,-0.06599520018011329,1.636666666666667,-0.025517680986969757,1.917142857142857,-0.062353676122861364,2.0628571428571427,-0.04552979887908643,2.6295238095238096,0.37623287696370317,2.8423809523809527,0.609946605216983,2.9733333333333327,0.6443624034427622,3.0914285714285716,0.6235419670202826,50407042046.8076,-0.26936330667999586,13062636860.3963,0.29630914833922306,87.3618752869242,0.38299272879324453,2.0,0.40586589138115153,0.7,0.29033343632768105
