,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(2),Corr with student_vol(2),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(2),Corr with mortgage 90(2)
0,AL,HUNTSVILLE,2010-01,4.95,All,0.172129,4.777871,0.12488251601896011,0.207845,4.742155,0.13382861532802623,0.23159750000000004,4.7184025,0.11540484743125892,0.24093950000000003,4.7090605000000005,0.08241092680291125,0.25011950000000005,4.6998805,0.040102855430247324,0.39936099999999997,4.550639,-0.022171086721813737,0.8985025,4.0514975,0.014665208034253483,0.022631578947368423,4.927368421052631,0.12634920202205446,0.14842105263157898,4.801578947368421,0.06941408785599731,0.3457894736842104,4.604210526315789,0.07346889130954436,2.4842105263157896,2.4657894736842105,0.5105122475585591,3.7331578947368427,1.2168421052631575,0.701474681666126,4.501578947368422,0.44842105263157794,0.6375503793307435,4.604736842105263,0.3452631578947374,0.5688982096080216,27482962505.147003,-0.8192431468129664,14217328271.8582,0.5659699362380568,101.129830992893,0.7989439352836485,3.9,0.748306891148171,2.5,0.9726352111367241
1,AL,HUNTSVILLE,2010-12,3.85,All,0.24122190476190472,3.6087780952380952,0.12488251601896011,0.25412380952380953,3.5958761904761904,0.13382861532802623,0.26178857142857137,3.588211428571429,0.11540484743125892,0.28196571428571415,3.568034285714286,0.08241092680291125,0.30272333333333334,3.547276666666667,0.040102855430247324,0.4583942857142857,3.3916057142857143,-0.022171086721813737,0.7839004761904763,3.0660995238095237,0.014665208034253483,0.0854166666666667,3.7645833333333334,0.12634920202205446,0.19333333333333338,3.6566666666666667,0.06941408785599731,0.2937499999999999,3.5562500000000004,0.07346889130954436,1.9429166666666664,1.9070833333333337,0.5105122475585591,3.2949999999999995,0.5550000000000006,0.701474681666126,4.173333333333333,-0.3233333333333328,0.6375503793307435,4.415,-0.565,0.5688982096080216,32217867353.4185,-0.8192431468129664,11726514214.1317,0.5659699362380568,94.51558950569391,0.7989439352836485,4.1,0.748306891148171,1.8,0.9726352111367241
2,AL,HUNTSVILLE,2011-05,4.23,All,0.130775,4.099225000000001,0.12488251601896011,0.16787249999999998,4.062127500000001,0.13382861532802623,0.1978005,4.032199500000001,0.11540484743125892,0.23078799999999994,3.9992120000000004,0.08241092680291125,0.260713,3.9692870000000005,0.040102855430247324,0.41407550000000004,3.8159245000000004,-0.022171086721813737,0.7391499999999999,3.4908500000000005,0.014665208034253483,0.024285714285714285,4.205714285714286,0.12634920202205446,0.0866666666666667,4.1433333333333335,0.06941408785599731,0.18809523809523812,4.041904761904762,0.07346889130954436,1.8423809523809527,2.3876190476190478,0.5105122475585591,3.168571428571429,1.0614285714285714,0.701474681666126,4.011428571428572,0.21857142857142886,0.6375503793307435,4.293333333333333,-0.06333333333333258,0.5688982096080216,31992172727.7437,-0.8192431468129664,13238482167.5647,0.5659699362380568,93.74313363440879,0.7989439352836485,3.6,0.748306891148171,1.8,0.9726352111367241
3,AL,HUNTSVILLE,2011-07,3.95,All,0.12388095238095237,3.8261190476190476,0.12488251601896011,0.1598857142857143,3.790114285714286,0.13382861532802623,0.18661904761904766,3.7633809523809525,0.11540484743125892,0.2182333333333334,3.7317666666666667,0.08241092680291125,0.24991190476190472,3.7000880952380957,0.040102855430247324,0.41392857142857137,3.5360714285714288,-0.022171086721813737,0.7452261904761905,3.2047738095238096,0.014665208034253483,0.037500000000000006,3.9125,0.12634920202205446,0.08400000000000002,3.866,0.06941408785599731,0.185,3.765,0.07346889130954436,1.541,2.4090000000000003,0.5105122475585591,3.003,0.9470000000000001,0.701474681666126,3.9475000000000002,0.0024999999999999467,0.6375503793307435,4.2705,-0.3205,0.5688982096080216,33690910289.8878,-0.8192431468129664,11655650147.2578,0.5659699362380568,92.5881563190625,0.7989439352836485,3.2,0.748306891148171,1.7,0.9726352111367241
4,AL,HUNTSVILLE,2011-10,4.22,All,0.1416352380952381,4.078364761904762,0.12488251601896011,0.19074095238095234,4.029259047619047,0.13382861532802623,0.24373904761904758,3.9762609523809522,0.11540484743125892,0.3185252380952381,3.901474761904762,0.08241092680291125,0.4064785714285714,3.8135214285714283,0.040102855430247324,0.59521,3.62479,-0.022171086721813737,0.9086428571428572,3.3113571428571427,0.014665208034253483,0.013500000000000003,4.2065,0.12634920202205446,0.05450000000000003,4.1655,0.06941408785599731,0.1145,4.1055,0.07346889130954436,1.0614999999999999,3.1585,0.5105122475585591,2.1519999999999997,2.068,0.701474681666126,2.8695,1.3504999999999998,0.6375503793307435,3.128,1.0919999999999996,0.5688982096080216,35344521679.5642,-0.8192431468129664,11508699084.1195,0.5659699362380568,90.5649414475864,0.7989439352836485,4.0,0.748306891148171,1.8,0.9726352111367241
5,AL,HUNTSVILLE,2014-02,4.03,All,0.08627,3.9437300000000004,0.12488251601896011,0.11939250000000004,3.9106075000000002,0.13382861532802623,0.155105,3.8748950000000004,0.11540484743125892,0.19663749999999997,3.8333625000000002,0.08241092680291125,0.23520249999999998,3.7947975000000005,0.040102855430247324,0.3308,3.6992000000000003,-0.022171086721813737,0.554605,3.4753950000000002,0.014665208034253483,0.046842105263157914,3.9831578947368422,0.12634920202205446,0.08105263157894738,3.9489473684210528,0.06941408785599731,0.11684210526315793,3.9131578947368424,0.07346889130954436,1.5157894736842106,2.5142105263157895,0.5105122475585591,2.7094736842105265,1.3205263157894738,0.701474681666126,3.3847368421052626,0.6452631578947376,0.6375503793307435,3.6626315789473685,0.3673684210526318,0.5688982096080216,44109559396.2995,-0.8192431468129664,11032404366.8063,0.5659699362380568,88.4263020205016,0.7989439352836485,3.2,0.748306891148171,1.8,0.9726352111367241
6,AL,HUNTSVILLE,2015-08,3.53,All,0.13010000000000005,3.3998999999999997,0.12488251601896011,0.151965,3.3780349999999997,0.13382861532802623,0.1967275,3.3332724999999996,0.11540484743125892,0.2610100000000001,3.2689899999999996,0.08241092680291125,0.3207975,3.2092025,0.040102855430247324,0.5193599999999999,3.01064,-0.022171086721813737,0.8364375,2.6935624999999996,0.014665208034253483,0.03523809523809525,3.4947619047619045,0.12634920202205446,0.22000000000000006,3.3099999999999996,0.06941408785599731,0.3757142857142857,3.154285714285714,0.07346889130954436,1.5414285714285714,1.9885714285714284,0.5105122475585591,2.167142857142857,1.362857142857143,0.701474681666126,2.5466666666666664,0.9833333333333334,0.6375503793307435,2.8557142857142854,0.6742857142857144,0.5688982096080216,48752987466.2114,-0.8192431468129664,11758109185.709,0.5659699362380568,83.34061286074021,0.7989439352836485,2.7,0.748306891148171,1.3,0.9726352111367241
7,AL,HUNTSVILLE,2016-11,3.21,All,0.4339245454545454,2.7760754545454547,0.12488251601896011,0.45880500000000013,2.751195,0.13382861532802623,0.5631090909090911,2.6468909090909087,0.11540484743125892,0.7006386363636362,2.509361363636364,0.08241092680291125,0.9084640909090909,2.301535909090909,0.040102855430247324,1.2693081818181815,1.9406918181818185,-0.022171086721813737,1.6029650000000002,1.6070349999999998,0.014665208034253483,0.29999999999999993,2.91,0.12634920202205446,0.5834999999999999,2.6265,0.06941408785599731,0.736,2.474,0.07346889130954436,1.596,1.6139999999999999,0.5105122475585591,2.142,1.068,0.701474681666126,2.5369999999999995,0.6730000000000005,0.6375503793307435,2.8620000000000005,0.3479999999999994,0.5688982096080216,49588706606.1033,-0.8192431468129664,12351593318.9066,0.5659699362380568,88.1942388876454,0.7989439352836485,2.3,0.748306891148171,1.1,0.9726352111367241
