,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(2),Corr with student_vol(2),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2013-06,AZ,MESA,2013-06,3.45,"(-111.705471, 33.451865999999995)",84810.87,All,0.13074,-0.36981166642652324,0.15964599999999998,-0.3814467424166549,0.19319250000000002,-0.3954110115225572,0.23164600000000002,-0.40902909097825757,0.27374,-0.45433299132741833,0.4139935,-0.5431010994244609,0.6839425000000002,-0.6173030043024476,0.0345,-0.35406454743508636,0.08750000000000002,-0.4256998613456381,0.142,-0.4841861958782927,1.2035,-0.24460345329782093,2.3000000000000003,0.32542725391650296,3.0740000000000003,0.3328366315262785,3.400000000000001,0.310313785113798,39658399389.4891,-0.2959624269866034,10210246554.7955,-0.4455580602342799,86.47441597957871,-0.9924933199155858,2.0,0.7371664143800878,1.5,0.3354631598749962,-111.705471,33.451865999999995
1,2014-05,AZ,MESA,2014-05,4.9,"(-111.831845, 33.432846000000005)",36811.33,All,0.08842000000000001,-0.36981166642652324,0.1198375,-0.3814467424166549,0.15035749999999998,-0.3954110115225572,0.1914675,-0.40902909097825757,0.22609000000000004,-0.45433299132741833,0.3231200000000001,-0.5431010994244609,0.537955,-0.6173030043024476,0.026666666666666665,-0.35406454743508636,0.05190476190476192,-0.4256998613456381,0.0966666666666667,-0.4841861958782927,1.5928571428571427,-0.24460345329782093,2.559047619047619,0.32542725391650296,3.1152380952380954,0.3328366315262785,3.3899999999999997,0.310313785113798,42151687038.4775,-0.2959624269866034,10638305940.4607,-0.4455580602342799,81.06604477988621,-0.9924933199155858,2.1,0.7371664143800878,1.2,0.3354631598749962,-111.831845,33.432846000000005
2,2015-07,AZ,MESA,2015-07,4.6,"(-111.722443, 33.407387)",48498.25,All,0.1263,-0.36981166642652324,0.1488782608695652,-0.3814467424166549,0.1881586956521739,-0.3954110115225572,0.23940652173913043,-0.40902909097825757,0.29066956521739135,-0.45433299132741833,0.46192391304347824,-0.5431010994244609,0.7858413043478262,-0.6173030043024476,0.030000000000000002,-0.35406454743508636,0.11636363636363636,-0.4256998613456381,0.2968181818181819,-0.4841861958782927,1.632272727272727,-0.24460345329782093,2.3245454545454547,0.32542725391650296,2.7663636363636357,0.3328366315262785,3.066363636363636,0.310313785113798,47944164595.1044,-0.2959624269866034,11492007418.0579,-0.4455580602342799,82.4529898168143,-0.9924933199155858,1.9,0.7371664143800878,1.0,0.3354631598749962,-111.722443,33.407387
3,2015-11,AZ,MESA,2015-11,3.69,"(-111.83511299999999, 33.420792)",14871.12,All,0.13066666666666668,-0.36981166642652324,0.1559214285714286,-0.3814467424166549,0.20844761904761913,-0.3954110115225572,0.286702380952381,-0.40902909097825757,0.3709714285714286,-0.45433299132741833,0.6063738095238096,-0.5431010994244609,0.9343738095238093,-0.6173030043024476,0.07105263157894738,-0.35406454743508636,0.32789473684210524,-0.4256998613456381,0.47684210526315784,-0.4841861958782927,1.6710526315789473,-0.24460345329782093,2.2631578947368416,0.32542725391650296,2.6863157894736847,0.3328366315262785,3.03,0.310313785113798,48668534366.8701,-0.2959624269866034,11404853913.5663,-0.4455580602342799,85.06205357591242,-0.9924933199155858,1.8,0.7371664143800878,0.9,0.3354631598749962,-111.83511299999999,33.420792
4,2016-12,AZ,MESA,2016-12,2.97,"(-111.87641299999999, 33.576225)",38096.31,All,0.5606285,-0.36981166642652324,0.6315605,-0.3814467424166549,0.7119585,-0.3954110115225572,0.7883325000000001,-0.40902909097825757,0.9753284999999998,-0.45433299132741833,1.3063339999999999,-0.5431010994244609,1.6692235,-0.6173030043024476,0.42333333333333334,-0.35406454743508636,0.638095238095238,-0.4256998613456381,0.8661904761904763,-0.4841861958782927,1.9590476190476194,-0.24460345329782093,2.491904761904762,0.32542725391650296,2.835238095238095,0.3328366315262785,3.1133333333333324,0.310313785113798,50596067254.1766,-0.2959624269866034,12722317795.1324,-0.4455580602342799,88.7707153640316,-0.9924933199155858,1.6,0.7371664143800878,0.6,0.3354631598749962,-111.87641299999999,33.576225
