,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(-3),Corr with student_vol(-3),credit_tightness(-1),Corr with credit_tightness(-1),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,AL,DAPHNE,2011-09,3.97,All,0.14525181818181823,3.824748181818182,0.4696509863467587,0.1884,3.7816,0.46983967982010566,0.23085045454545455,3.739149545454546,0.47170905136326813,0.2845913636363636,3.6854086363636367,0.47449027974773117,0.3502268181818181,3.619773181818182,0.4795746364449464,0.5222018181818182,3.447798181818182,0.4893093799357704,0.8332045454545454,3.136795454545455,0.50339612822139,0.005714285714285713,3.9642857142857144,0.4524028246327401,0.04333333333333335,3.9266666666666667,0.46122359125040374,0.10476190476190479,3.8652380952380954,0.47887435734996303,0.9004761904761904,3.06952380952381,0.32374868431400783,1.9752380952380955,1.9947619047619047,-0.06354799589003554,2.8271428571428574,1.1428571428571428,-0.7640823178574913,3.182380952380953,0.7876190476190472,-0.9422943503529128,35385458151.3724,0.353314145493928,12472473242.0863,0.9147768517685032,88.33905735772379,-0.5627788349876792,2.8,-0.5436752324107447,2.8,-0.2616475070980591
1,AL,DAPHNE,2013-05,3.8,All,0.1435047619047619,3.656495238095238,0.4696509863467587,0.1638380952380952,3.6361619047619045,0.46983967982010566,0.19670952380952378,3.603290476190476,0.47170905136326813,0.23396000000000003,3.5660399999999997,0.47449027974773117,0.27416904761904765,3.5258309523809523,0.4795746364449464,0.42137333333333327,3.3786266666666664,0.4893093799357704,0.6936104761904763,3.1063895238095234,0.50339612822139,0.020454545454545458,3.7795454545454543,0.4524028246327401,0.08090909090909093,3.719090909090909,0.46122359125040374,0.11863636363636366,3.681363636363636,0.47887435734996303,0.840909090909091,2.959090909090909,0.32374868431400783,1.9281818181818182,1.8718181818181816,-0.06354799589003554,2.7286363636363635,1.0713636363636363,-0.7640823178574913,3.112727272727273,0.687272727272727,-0.9422943503529128,41062625933.5941,0.353314145493928,11080080767.5225,0.9147768517685032,86.5850023909696,-0.5627788349876792,2.8,-0.5436752324107447,2.1,-0.2616475070980591
2,AL,DAPHNE,2013-08,3.38,All,0.11782999999999999,3.26217,0.4696509863467587,0.1493142857142857,3.2306857142857144,0.46983967982010566,0.1840704761904762,3.1959295238095238,0.47170905136326813,0.22633523809523812,3.153664761904762,0.47449027974773117,0.2633952380952381,3.1166047619047617,0.4795746364449464,0.3949285714285714,2.9850714285714286,0.4893093799357704,0.6679499999999999,2.71205,0.50339612822139,0.03681818181818183,3.3431818181818183,0.4524028246327401,0.07181818181818184,3.308181818181818,0.46122359125040374,0.12681818181818183,3.253181818181818,0.47887435734996303,1.5204545454545455,1.8595454545454544,0.32374868431400783,2.7372727272727273,0.6427272727272726,-0.06354799589003554,3.488181818181818,-0.10818181818181793,-0.7640823178574913,3.757727272727273,-0.3777272727272729,-0.9422943503529128,41561863313.5151,0.353314145493928,9498561196.652071,0.9147768517685032,90.32258801944451,-0.5627788349876792,2.8,-0.5436752324107447,1.7,-0.2616475070980591
3,AL,DAPHNE,2015-06,3.95,All,0.12293636363636364,3.8270636363636363,0.4696509863467587,0.14681590909090908,3.8031840909090913,0.46983967982010566,0.1858840909090909,3.764115909090909,0.47170905136326813,0.23472954545454539,3.715270454545455,0.47449027974773117,0.2827113636363637,3.6672886363636366,0.4795746364449464,0.43974545454545466,3.5102545454545453,0.4893093799357704,0.7702659090909093,3.1797340909090908,0.50339612822139,0.007727272727272728,3.9422727272727274,0.4524028246327401,0.08681818181818185,3.8631818181818183,0.46122359125040374,0.2754545454545455,3.674545454545455,0.47887435734996303,1.6836363636363636,2.2663636363636366,0.32374868431400783,2.3636363636363638,1.5863636363636364,-0.06354799589003554,2.8454545454545452,1.104545454545455,-0.7640823178574913,3.1118181818181814,0.8381818181818188,-0.9422943503529128,48752987466.2114,0.353314145493928,12019442988.8631,0.9147768517685032,83.34061286074021,-0.5627788349876792,1.6,-0.5436752324107447,1.0,-0.2616475070980591
4,AL,DAPHNE,2018-05,3.99,All,1.7065971428571427,2.2834028571428577,0.4696509863467587,1.7524533333333332,2.237546666666667,0.46983967982010566,1.94629,2.04371,0.47170905136326813,2.0937409523809523,1.896259047619048,0.47449027974773117,2.3356085714285713,1.654391428571429,0.4795746364449464,2.499740476190476,1.4902595238095242,0.4893093799357704,2.754757142857143,1.235242857142857,0.50339612822139,1.706818181818182,2.283181818181818,0.4524028246327401,2.0731818181818187,1.9168181818181815,0.46122359125040374,2.2736363636363635,1.7163636363636368,0.47887435734996303,2.816818181818181,1.1731818181818192,0.32374868431400783,2.977727272727273,1.0122727272727272,-0.06354799589003554,3.0518181818181818,0.9381818181818184,-0.7640823178574913,3.1318181818181827,0.8581818181818175,-0.9422943503529128,50593420247.4287,0.353314145493928,11318405616.2761,0.9147768517685032,88.437943439718,-0.5627788349876792,2.0,-0.5436752324107447,0.6,-0.2616475070980591
5,AL,DAPHNE,2018-06,3.99,All,1.8376333333333337,2.1523666666666665,0.4696509863467587,1.9170571428571423,2.072942857142858,0.46983967982010566,2.068429047619047,1.9215709523809532,0.47170905136326813,2.1502619047619045,1.8397380952380957,0.47449027974773117,2.330264285714286,1.659735714285714,0.4795746364449464,2.4958952380952377,1.4941047619047625,0.4893093799357704,2.759644285714286,1.230355714285714,0.50339612822139,1.8052380952380953,2.184761904761905,0.4524028246327401,2.113809523809524,1.8761904761904762,0.46122359125040374,2.328095238095238,1.6619047619047622,0.47887435734996303,2.775714285714286,1.2142857142857144,0.32374868431400783,2.9123809523809525,1.0776190476190477,-0.06354799589003554,2.9776190476190476,1.0123809523809526,-0.7640823178574913,3.0500000000000007,0.9399999999999995,-0.9422943503529128,51507450037.54,0.353314145493928,11725018303.5706,0.9147768517685032,86.55198240492871,-0.5627788349876792,2.1,-0.5436752324107447,0.5,-0.2616475070980591
