,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(4),Corr with student_vol(4),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(4),Corr with mortgage 90(4)
0,MN,MINNEAPOLIS,2010-05,4.09,All,0.2957715789473684,3.7942284210526314,0.18942367529582002,0.3152057894736842,3.7747942105263155,0.18938972296904755,0.3354642105263158,3.754535789473684,0.19010703648900654,0.39242105263157895,3.697578947368421,0.19066341735552814,0.45851421052631586,3.631485789473684,0.18609071226564367,0.6592468421052632,3.4307531578947366,0.14787171577274824,1.129987894736842,2.960012105263158,0.12230540352476878,0.147,3.943,0.20608711237659072,0.22350000000000003,3.8665,0.19875940916346985,0.37099999999999994,3.719,0.2084041544788509,2.1799999999999997,1.9100000000000001,0.5539590747064589,3.4199999999999995,0.6700000000000004,0.5433890633863544,4.1145,-0.024499999999999744,0.41036567694728915,4.286,-0.19599999999999973,0.34591582251631625,28389074974.2894,0.05689070289809149,12342273869.2704,0.4861602549475701,94.51558950569391,-0.2916705127070024,2.4,-0.127507506060967,2.8,0.05833707032733495
1,MN,MINNEAPOLIS,2010-12,4.37,All,0.24122190476190472,4.128778095238095,0.18942367529582002,0.25412380952380953,4.1158761904761905,0.18938972296904755,0.26178857142857137,4.108211428571429,0.19010703648900654,0.28196571428571415,4.088034285714286,0.19066341735552814,0.30272333333333334,4.067276666666666,0.18609071226564367,0.4583942857142857,3.9116057142857144,0.14787171577274824,0.7839004761904763,3.5860995238095237,0.12230540352476878,0.0854166666666667,4.284583333333334,0.20608711237659072,0.19333333333333338,4.176666666666667,0.19875940916346985,0.2937499999999999,4.07625,0.2084041544788509,1.9429166666666664,2.427083333333334,0.5539590747064589,3.2949999999999995,1.0750000000000006,0.5433890633863544,4.173333333333333,0.1966666666666672,0.41036567694728915,4.415,-0.04499999999999993,0.34591582251631625,31618591270.7387,0.05689070289809149,15995126134.7035,0.4861602549475701,92.5881563190625,-0.2916705127070024,2.5,-0.127507506060967,2.6,0.05833707032733495
2,MN,MINNEAPOLIS,2011-01,4.54,All,0.2391115000000001,4.3008885,0.18942367529582002,0.25406500000000004,4.285935,0.18938972296904755,0.2606254999999999,4.2793745,0.19010703648900654,0.2827834999999999,4.2572165,0.19066341735552814,0.30341049999999997,4.2365895,0.18609071226564367,0.4554005000000002,4.0845994999999995,0.14787171577274824,0.7818229999999999,3.758177,0.12230540352476878,0.14099999999999996,4.399,0.20608711237659072,0.1815,4.3585,0.19875940916346985,0.27349999999999997,4.2665,0.2084041544788509,1.9944999999999997,2.5455000000000005,0.5539590747064589,3.3940000000000006,1.1459999999999995,0.5433890633863544,4.281000000000001,0.25899999999999945,0.41036567694728915,4.5230000000000015,0.016999999999998572,0.34591582251631625,32217867353.4185,0.05689070289809149,13753511368.0623,0.4861602549475701,91.13289228397959,-0.2916705127070024,2.4,-0.127507506060967,2.6,0.05833707032733495
3,MN,MINNEAPOLIS,2011-11,3.8,All,0.14255090909090912,3.6574490909090906,0.18942367529582002,0.19244863636363635,3.6075513636363636,0.18938972296904755,0.2536463636363637,3.5463536363636363,0.19010703648900654,0.3593790909090909,3.440620909090909,0.19066341735552814,0.47529181818181826,3.3247081818181816,0.18609071226564367,0.6805422727272729,3.119457727272727,0.14787171577274824,1.000305,2.799695,0.12230540352476878,0.013999999999999999,3.786,0.20608711237659072,0.04650000000000002,3.7535,0.19875940916346985,0.11200000000000002,3.6879999999999997,0.2084041544788509,0.908,2.892,0.5539590747064589,2.0134999999999996,1.7865000000000002,0.5433890633863544,2.7180000000000004,1.0819999999999994,0.41036567694728915,3.0155000000000003,0.7844999999999995,0.34591582251631625,35344521679.5642,0.05689070289809149,11251067892.2966,0.4861602549475701,90.0868950067716,-0.2916705127070024,2.3,-0.127507506060967,2.4,0.05833707032733495
4,MN,MINNEAPOLIS,2012-01,4.083333333333333,All,0.14564761904761903,3.9376857142857142,0.18942367529582002,0.2014238095238095,3.8819095238095236,0.18938972296904755,0.28289523809523814,3.800438095238095,0.19010703648900654,0.41424761904761903,3.669085714285714,0.19066341735552814,0.5659000000000001,3.517433333333333,0.18609071226564367,0.7969761904761906,3.2863571428571423,0.14787171577274824,1.1145476190476191,2.9687857142857137,0.12230540352476878,0.0245,4.058833333333333,0.20608711237659072,0.06550000000000003,4.017833333333333,0.19875940916346985,0.11500000000000003,3.968333333333333,0.2084041544788509,0.835,3.248333333333333,0.5539590747064589,1.9664999999999995,2.1168333333333336,0.5433890633863544,2.6950000000000003,1.3883333333333328,0.41036567694728915,3.026,1.0573333333333332,0.34591582251631625,35532707747.113,0.05689070289809149,12770391029.1034,0.4861602549475701,89.6038877472871,-0.2916705127070024,2.0,-0.127507506060967,2.3,0.05833707032733495
5,MN,MINNEAPOLIS,2012-07,2.84,All,0.16720454545454547,2.6727954545454544,0.18942367529582002,0.19873636363636368,2.6412636363636364,0.18938972296904755,0.24646136363636365,2.593538636363636,0.19010703648900654,0.34024999999999994,2.4997499999999997,0.19066341735552814,0.4535545454545455,2.3864454545454543,0.18609071226564367,0.7302181818181818,2.109781818181818,0.14787171577274824,1.0653181818181816,1.7746818181818182,0.12230540352476878,0.06952380952380956,2.7704761904761903,0.20608711237659072,0.14571428571428574,2.694285714285714,0.19875940916346985,0.18571428571428572,2.654285714285714,0.2084041544788509,0.6195238095238095,2.2204761904761905,0.5539590747064589,1.5266666666666664,1.3133333333333335,0.5433890633863544,2.217142857142857,0.6228571428571428,0.41036567694728915,2.5900000000000003,0.24999999999999956,0.34591582251631625,37160101000.5239,0.05689070289809149,10740081615.3953,0.4861602549475701,90.2956809830492,-0.2916705127070024,2.1,-0.127507506060967,2.0,0.05833707032733495
6,MN,MINNEAPOLIS,2012-09,2.47,All,0.15189500000000006,2.318105,0.18942367529582002,0.183625,2.286375,0.18938972296904755,0.22133750000000002,2.2486625,0.19010703648900654,0.3079875,2.1620125000000003,0.19066341735552814,0.3856325000000001,2.0843675,0.18609071226564367,0.6716749999999999,1.7983250000000002,0.14787171577274824,0.9997750000000002,1.4702250000000001,0.12230540352476878,0.07526315789473685,2.3947368421052633,0.20608711237659072,0.13736842105263158,2.3326315789473684,0.19875940916346985,0.17578947368421055,2.2942105263157897,0.2084041544788509,0.6689473684210526,1.8010526315789477,0.5539590747064589,1.7231578947368422,0.746842105263158,0.5433890633863544,2.488421052631579,-0.01842105263157867,0.41036567694728915,2.8815789473684212,-0.41157894736842104,0.34591582251631625,37685204803.0042,0.05689070289809149,11154944519.578999,0.4861602549475701,91.578064558499,-0.2916705127070024,2.1,-0.127507506060967,1.8,0.05833707032733495
7,MN,MINNEAPOLIS,2012-10,4.39,All,0.15320434782608702,4.236795652173913,0.18942367529582002,0.17955217391304346,4.2104478260869564,0.18938972296904755,0.21346521739130433,4.176534782608695,0.19010703648900654,0.2717391304347827,4.118260869565217,0.19066341735552814,0.3304891304347827,4.059510869565217,0.18609071226564367,0.5823021739130435,3.8076978260869563,0.14787171577274824,0.9185760869565219,3.471423913043478,0.12230540352476878,0.10952380952380951,4.2804761904761905,0.20608711237659072,0.14904761904761904,4.240952380952381,0.19875940916346985,0.17952380952380956,4.21047619047619,0.2084041544788509,0.7085714285714285,3.681428571428571,0.5539590747064589,1.7461904761904758,2.643809523809524,0.5433890633863544,2.505714285714286,1.884285714285714,0.41036567694728915,2.90047619047619,1.4895238095238095,0.34591582251631625,38410438812.4053,0.05689070289809149,11080080767.5225,0.4861602549475701,88.794109524791,-0.2916705127070024,1.9,-0.127507506060967,1.8,0.05833707032733495
8,MN,MINNEAPOLIS,2012-11,2.97,All,0.1555,2.8145000000000002,0.18942367529582002,0.18060909090909089,2.7893909090909093,0.18938972296904755,0.20888636363636362,2.7611136363636364,0.19010703648900654,0.25813636363636355,2.7118636363636366,0.19066341735552814,0.31102272727272723,2.658977272727273,0.18609071226564367,0.528347727272727,2.441652272727273,0.14787171577274824,0.8631931818181818,2.1068068181818185,0.12230540352476878,0.12449999999999999,2.8455000000000004,0.20608711237659072,0.14450000000000002,2.8255000000000003,0.19875940916346985,0.17850000000000002,2.7915,0.2084041544788509,0.665,2.305,0.5539590747064589,1.654,1.3160000000000003,0.5433890633863544,2.3894999999999995,0.5805000000000007,0.41036567694728915,2.8034999999999997,0.16650000000000054,0.34591582251631625,38808856509.5085,0.05689070289809149,9855625468.0504,0.4861602549475701,88.920473853359,-0.2916705127070024,2.1,-0.127507506060967,1.7,0.05833707032733495
9,MN,MINNEAPOLIS,2012-12,2.75,All,0.1631578947368421,2.586842105263158,0.18942367529582002,0.1875157894736842,2.562484210526316,0.18938972296904755,0.21092631578947374,2.539073684210526,0.19010703648900654,0.2552894736842105,2.4947105263157896,0.19066341735552814,0.30947368421052623,2.440526315789474,0.18609071226564367,0.5145657894736843,2.2354342105263156,0.14787171577274824,0.8483157894736841,1.9016842105263159,0.12230540352476878,0.039500000000000014,2.7105,0.20608711237659072,0.11950000000000005,2.6305,0.19875940916346985,0.1585,2.5915,0.2084041544788509,0.6960000000000001,2.054,0.5539590747064589,1.7189999999999999,1.0310000000000001,0.5433890633863544,2.4675000000000002,0.28249999999999975,0.41036567694728915,2.8835,-0.13350000000000017,0.34591582251631625,39268596272.9965,0.05689070289809149,9123117418.53368,0.4861602549475701,86.5850023909696,-0.2916705127070024,2.1,-0.127507506060967,1.6,0.05833707032733495
