,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(-2),Corr with student_vol(-2),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(1),Corr with mortgage 90(1)
0,2010-09,OR,PORTLAND,2010-09,4.19,"(-122.573876, 45.549793)",17932.77,All,0.22657136363636363,0.33885018021948476,0.251059090909091,0.3415111506525703,0.25699454545454536,0.34268836621792886,0.2738163636363636,0.3340400844754326,0.2913659090909092,0.32352094311292673,0.4777727272727273,0.2763539604327841,0.8043745454545456,0.25038745631611625,0.1166666666666667,0.3471732435360253,0.19333333333333336,0.34317535001602445,0.2566666666666666,0.3481595579274568,1.4104761904761904,0.6431627286452722,2.6476190476190475,0.7803997997172117,3.4690476190476183,0.6856332622826312,3.773333333333333,0.6263881765331123,27396832704.0094,0.25730887604597064,10534224377.9144,-0.5909163658011707,92.4549564204629,-0.2608715952382073,2.4,-0.32457537226327754,3.2,-0.34784781324091796
1,2012-03,OR,PORTLAND,2012-03,4.25,"(-122.68162099999999, 45.554992)",99807.66,All,0.14720000000000003,0.33885018021948476,0.1893409090909091,0.3415111506525703,0.24185227272727275,0.34268836621792886,0.35079999999999995,0.3340400844754326,0.4732886363636363,0.32352094311292673,0.741275,0.2763539604327841,1.0534477272727274,0.25038745631611625,0.06363636363636366,0.3471732435360253,0.14227272727272727,0.34317535001602445,0.19000000000000003,0.3481595579274568,1.0172727272727273,0.6431627286452722,2.1727272727272724,0.7803997997172117,2.9404545454545454,0.6856332622826312,3.281363636363636,0.6263881765331123,34825519831.2788,0.25730887604597064,11510278467.2037,-0.5909163658011707,89.00857713430821,-0.2608715952382073,2.0,-0.32457537226327754,3.1,-0.34784781324091796
2,2012-06,OR,PORTLAND,2012-06,2.9,"(-122.554493, 45.515966999999996)",10847.92,All,0.163,0.33885018021948476,0.19464736842105262,0.3415111506525703,0.24319736842105263,0.34268836621792886,0.3459342105263157,0.3340400844754326,0.46558684210526313,0.32352094311292673,0.7364000000000004,0.2763539604327841,1.0691894736842107,0.25038745631611625,0.05190476190476193,0.3471732435360253,0.14809523809523809,0.34317535001602445,0.18904761904761905,0.3481595579274568,0.7114285714285714,0.6431627286452722,1.6223809523809525,0.7803997997172117,2.3061904761904763,0.6856332622826312,2.698095238095238,0.6263881765331123,35532707747.113,0.25730887604597064,11641401212.0971,-0.5909163658011707,89.02745876405929,-0.2608715952382073,2.2,-0.32457537226327754,3.0,-0.34784781324091796
3,2012-07,OR,PORTLAND,2012-07,2.99,"(1.53306, 42.555)",9651.06,All,0.16720454545454547,0.33885018021948476,0.19873636363636368,0.3415111506525703,0.24646136363636365,0.34268836621792886,0.34024999999999994,0.3340400844754326,0.4535545454545455,0.32352094311292673,0.7302181818181818,0.2763539604327841,1.0653181818181816,0.25038745631611625,0.06952380952380956,0.3471732435360253,0.14571428571428574,0.34317535001602445,0.18571428571428572,0.3481595579274568,0.6195238095238095,0.6431627286452722,1.5266666666666664,0.7803997997172117,2.217142857142857,0.6856332622826312,2.5900000000000003,0.6263881765331123,35767585536.868996,0.25730887604597064,12770391029.1034,-0.5909163658011707,89.6061116730853,-0.2608715952382073,2.0,-0.32457537226327754,3.0,-0.34784781324091796
4,2012-08,OR,PORTLAND,2012-08,2.65,"(-122.786193, 45.515535)",208459.37,All,0.15374090909090915,0.33885018021948476,0.18745454545454548,0.3415111506525703,0.23783863636363634,0.34268836621792886,0.3331136363636364,0.3340400844754326,0.43259999999999993,0.32352094311292673,0.7177749999999997,0.2763539604327841,1.0426272727272727,0.25038745631611625,0.09217391304347829,0.3471732435360253,0.14043478260869566,0.34317535001602445,0.18347826086956526,0.3481595579274568,0.7139130434782609,0.6431627286452722,1.6782608695652175,0.7803997997172117,2.3978260869565218,0.6856332622826312,2.7708695652173914,0.6263881765331123,36623269866.4569,0.25730887604597064,14585937143.4485,-0.5909163658011707,89.513287195688,-0.2608715952382073,2.0,-0.32457537226327754,3.0,-0.34784781324091796
5,2012-10,OR,PORTLAND,2012-10,3.05,"(-122.749595, 45.484489)",24391.76,All,0.15320434782608702,0.33885018021948476,0.17955217391304346,0.3415111506525703,0.21346521739130433,0.34268836621792886,0.2717391304347827,0.3340400844754326,0.3304891304347827,0.32352094311292673,0.5823021739130435,0.2763539604327841,0.9185760869565219,0.25038745631611625,0.10952380952380951,0.3471732435360253,0.14904761904761904,0.34317535001602445,0.17952380952380956,0.3481595579274568,0.7085714285714285,0.6431627286452722,1.7461904761904758,0.7803997997172117,2.505714285714286,0.6856332622826312,2.90047619047619,0.6263881765331123,36186315501.0541,0.25730887604597064,11986368496.8635,-0.5909163658011707,90.2956809830492,-0.2608715952382073,2.1,-0.32457537226327754,2.8,-0.34784781324091796
6,2012-12,OR,PORTLAND,2012-12,2.64,"(-122.684021, 45.533266999999995)",120441.17,All,0.1631578947368421,0.33885018021948476,0.1875157894736842,0.3415111506525703,0.21092631578947374,0.34268836621792886,0.2552894736842105,0.3340400844754326,0.30947368421052623,0.32352094311292673,0.5145657894736843,0.2763539604327841,0.8483157894736841,0.25038745631611625,0.039500000000000014,0.3471732435360253,0.11950000000000005,0.34317535001602445,0.1585,0.3481595579274568,0.6960000000000001,0.6431627286452722,1.7189999999999999,0.7803997997172117,2.4675000000000002,0.6856332622826312,2.8835,0.6263881765331123,37160101000.5239,0.25730887604597064,12022315813.7363,-0.5909163658011707,91.578064558499,-0.2608715952382073,2.1,-0.32457537226327754,2.8,-0.34784781324091796
7,2013-02,OR,PORTLAND,2013-02,2.9,"(14.0, 48.0)",64710.71,All,0.15464999999999998,0.33885018021948476,0.17315,0.3415111506525703,0.20129999999999998,0.34268836621792886,0.2455,0.3340400844754326,0.29049499999999995,0.32352094311292673,0.463425,0.2763539604327841,0.761875,0.25038745631611625,0.0768421052631579,0.3471732435360253,0.12421052631578947,0.34317535001602445,0.15736842105263157,0.3481595579274568,0.8463157894736841,0.6431627286452722,1.9842105263157896,0.7803997997172117,2.782631578947368,0.6856332622826312,3.165263157894737,0.6263881765331123,37685204803.0042,0.25730887604597064,11337096053.4966,-0.5909163658011707,88.920473853359,-0.2608715952382073,1.8,-0.32457537226327754,2.8,-0.34784781324091796
8,2013-07,OR,PORTLAND,2013-07,3.95,"(-122.662278, 45.578148999999996)",44297.35,All,0.12117913043478262,0.33885018021948476,0.15611695652173913,0.3415111506525703,0.19111913043478265,0.34268836621792886,0.232388695652174,0.3340400844754326,0.26758260869565215,0.32352094311292673,0.40307869565217386,0.2763539604327841,0.6838491304347826,0.25038745631611625,0.020909090909090912,0.3471732435360253,0.07363636363636367,0.34317535001602445,0.12181818181818184,0.3481595579274568,1.4031818181818183,0.6431627286452722,2.5822727272727275,0.7803997997172117,3.3072727272727276,0.6856332622826312,3.605,0.6263881765331123,39298206327.5877,0.25730887604597064,9498561196.652071,-0.5909163658011707,88.1059676388142,-0.2608715952382073,1.5,-0.32457537226327754,2.1,-0.34784781324091796
9,2013-09,OR,PORTLAND,2013-09,4.05,"(-122.6742, 45.5202)",27103.35,All,0.11272380952380952,0.33885018021948476,0.14323238095238094,0.3415111506525703,0.18057476190476196,0.34268836621792886,0.22133904761904755,0.3340400844754326,0.2531785714285715,0.32352094311292673,0.38033809523809525,0.2763539604327841,0.6526857142857143,0.25038745631611625,0.017500000000000005,0.3471732435360253,0.04150000000000001,0.34317535001602445,0.11850000000000002,0.3481595579274568,1.5959999999999999,0.6431627286452722,2.8095,0.7803997997172117,3.526,0.6856332622826312,3.7870000000000004,0.6263881765331123,40995097959.5386,0.25730887604597064,8901986132.75728,-0.5909163658011707,85.7873584996498,-0.2608715952382073,1.4,-0.32457537226327754,1.9,-0.34784781324091796
