,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol(1),Corr with student_vol(1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90,Corr with mortgage 90,long,lat
0,2010-02,TX,AUSTIN,2010-02,5.56,"(-96.304174, 30.628077)",27422.56,All,0.172487,0.38714334992862937,0.20809400000000006,0.38866726516273553,0.22906349999999992,0.3842813462653118,0.23978050000000012,0.3670033848368205,0.25051950000000006,0.3431083641944995,0.38779850000000005,0.2878433093007915,0.8515799999999999,0.291594802699177,0.05736842105263157,0.40293090780672747,0.18105263157894735,0.3892486815617873,0.34578947368421054,0.3925255273913855,2.363684210526315,0.6601091641166904,3.691052631578947,0.7871385893742604,4.481052631578947,0.6945854662657123,4.619473684210526,0.5919518580068551,27606233351.339,-0.1687490901313603,14217328271.8582,0.3869680361881142,101.129830992893,0.3683454166241562,3.6,0.1297504959431148,2.7,0.10326654213383336,-96.304174,30.628077
1,2011-12,TX,AUSTIN,2011-12,3.6199999999999997,"(-105.357212, 39.897127000000005)",35521.79,All,0.1499335,0.38714334992862937,0.2029985,0.38866726516273553,0.2836085,0.3842813462653118,0.40829250000000006,0.3670033848368205,0.5557375,0.3431083641944995,0.7798775000000001,0.2878433093007915,1.1003555000000003,0.291594802699177,0.0033333333333333335,0.40293090780672747,0.048571428571428585,0.3892486815617873,0.11523809523809528,0.3925255273913855,0.8914285714285713,0.6601091641166904,1.9780952380952384,0.7871385893742604,2.6676190476190476,0.6945854662657123,2.9823809523809524,0.5919518580068551,35532707747.113,-0.1687490901313603,11510278467.2037,0.3869680361881142,88.33905735772379,0.3683454166241562,3.1,0.1297504959431148,2.2,0.10326654213383336,-105.357212,39.897127000000005
2,2012-07,TX,AUSTIN,2012-07,2.88,"(-97.70615600000001, 30.228640000000002)",26888.92,All,0.16720454545454547,0.38714334992862937,0.19873636363636368,0.38866726516273553,0.24646136363636365,0.3842813462653118,0.34024999999999994,0.3670033848368205,0.4535545454545455,0.3431083641944995,0.7302181818181818,0.2878433093007915,1.0653181818181816,0.291594802699177,0.06952380952380956,0.40293090780672747,0.14571428571428574,0.3892486815617873,0.18571428571428572,0.3925255273913855,0.6195238095238095,0.6601091641166904,1.5266666666666664,0.7871385893742604,2.217142857142857,0.6945854662657123,2.5900000000000003,0.5919518580068551,37571290060.6541,-0.1687490901313603,11986368496.8635,0.3869680361881142,90.0868950067716,0.3683454166241562,2.5,0.1297504959431148,2.0,0.10326654213383336,-97.70615600000001,30.228640000000002
3,2012-08,TX,AUSTIN,2012-08,2.41,"(-97.73700000000001, 30.345725)",41853.73,All,0.15374090909090915,0.38714334992862937,0.18745454545454548,0.38866726516273553,0.23783863636363634,0.3842813462653118,0.3331136363636364,0.3670033848368205,0.43259999999999993,0.3431083641944995,0.7177749999999997,0.2878433093007915,1.0426272727272727,0.291594802699177,0.09217391304347829,0.40293090780672747,0.14043478260869566,0.3892486815617873,0.18347826086956526,0.3925255273913855,0.7139130434782609,0.6601091641166904,1.6782608695652175,0.7871385893742604,2.3978260869565218,0.6945854662657123,2.7708695652173914,0.5919518580068551,37685204803.0042,-0.1687490901313603,11631947675.6117,0.3869680361881142,89.00857713430821,0.3683454166241562,2.8,0.1297504959431148,1.8,0.10326654213383336,-97.73700000000001,30.345725
4,2012-09,TX,AUSTIN,2012-09,2.89,"(-97.77, 30.19)",57717.11,All,0.15189500000000006,0.38714334992862937,0.183625,0.38866726516273553,0.22133750000000002,0.3842813462653118,0.3079875,0.3670033848368205,0.3856325000000001,0.3431083641944995,0.6716749999999999,0.2878433093007915,0.9997750000000002,0.291594802699177,0.07526315789473685,0.40293090780672747,0.13736842105263158,0.3892486815617873,0.17578947368421055,0.3925255273913855,0.6689473684210526,0.6601091641166904,1.7231578947368422,0.7871385893742604,2.488421052631579,0.6945854662657123,2.8815789473684212,0.5919518580068551,38410438812.4053,-0.1687490901313603,12022315813.7363,0.3869680361881142,89.6038877472871,0.3683454166241562,2.6,0.1297504959431148,1.7,0.10326654213383336,-97.77,30.19
5,2012-10,TX,AUSTIN,2012-10,3.35,"(-73.9866095, 40.763439899999995)",55840.9,All,0.15320434782608702,0.38714334992862937,0.17955217391304346,0.38866726516273553,0.21346521739130433,0.3842813462653118,0.2717391304347827,0.3670033848368205,0.3304891304347827,0.3431083641944995,0.5823021739130435,0.2878433093007915,0.9185760869565219,0.291594802699177,0.10952380952380951,0.40293090780672747,0.14904761904761904,0.3892486815617873,0.17952380952380956,0.3925255273913855,0.7085714285714285,0.6601091641166904,1.7461904761904758,0.7871385893742604,2.505714285714286,0.6945854662657123,2.90047619047619,0.5919518580068551,38808856509.5085,-0.1687490901313603,10740081615.3953,0.3869680361881142,89.56768058609659,0.3683454166241562,2.8,0.1297504959431148,1.7,0.10326654213383336,-73.9866095,40.763439899999995
6,2013-02,TX,AUSTIN,2013-02,3.75,"(-97.775885, 30.440013)",24579.75,All,0.15464999999999998,0.38714334992862937,0.17315,0.38866726516273553,0.20129999999999998,0.3842813462653118,0.2455,0.3670033848368205,0.29049499999999995,0.3431083641944995,0.463425,0.2878433093007915,0.761875,0.291594802699177,0.0768421052631579,0.40293090780672747,0.12421052631578947,0.3892486815617873,0.15736842105263157,0.3925255273913855,0.8463157894736841,0.6601091641166904,1.9842105263157896,0.7871385893742604,2.782631578947368,0.6945854662657123,3.165263157894737,0.5919518580068551,40395555554.9932,-0.1687490901313603,9855625468.0504,0.3869680361881142,90.37816904639429,0.3683454166241562,2.9,0.1297504959431148,1.6,0.10326654213383336,-97.775885,30.440013
7,2013-04,TX,AUSTIN,2013-04,3.03,"(-97.760531, 30.372342)",136521.13,All,0.1539047619047619,0.38714334992862937,0.17210476190476193,0.38866726516273553,0.19953333333333334,0.3842813462653118,0.24005714285714277,0.3670033848368205,0.27714285714285714,0.3431083641944995,0.4360190476190476,0.2878433093007915,0.7168333333333334,0.291594802699177,0.049090909090909116,0.40293090780672747,0.09409090909090913,0.3892486815617873,0.12454545454545456,0.3925255273913855,0.7104545454545454,0.6601091641166904,1.7590909090909093,0.7871385893742604,2.5500000000000003,0.6945854662657123,2.9327272727272726,0.5919518580068551,41507587847.7023,-0.1687490901313603,9498561196.652071,0.3869680361881142,89.2801736441717,0.3683454166241562,2.8,0.1297504959431148,1.5,0.10326654213383336,-97.760531,30.372342
8,2013-05,TX,AUSTIN,2013-05,3.25,"(-97.666317, 30.3085)",10588.13,All,0.1435047619047619,0.38714334992862937,0.1638380952380952,0.38866726516273553,0.19670952380952378,0.3842813462653118,0.23396000000000003,0.3670033848368205,0.27416904761904765,0.3431083641944995,0.42137333333333327,0.2878433093007915,0.6936104761904763,0.291594802699177,0.020454545454545458,0.40293090780672747,0.08090909090909093,0.3892486815617873,0.11863636363636366,0.3925255273913855,0.840909090909091,0.6601091641166904,1.9281818181818182,0.7871385893742604,2.7286363636363635,0.6945854662657123,3.112727272727273,0.5919518580068551,41471481477.9035,-0.1687490901313603,9260696074.4491,0.3869680361881142,91.578064558499,0.3683454166241562,2.7,0.1297504959431148,1.4,0.10326654213383336,-97.666317,30.3085
9,2013-07,TX,AUSTIN,2013-07,3.5999999999999996,"(-97.68467, 30.3498)",87370.10500000001,All,0.12117913043478262,0.38714334992862937,0.15611695652173913,0.38866726516273553,0.19111913043478265,0.3842813462653118,0.232388695652174,0.3670033848368205,0.26758260869565215,0.3431083641944995,0.40307869565217386,0.2878433093007915,0.6838491304347826,0.291594802699177,0.020909090909090912,0.40293090780672747,0.07363636363636367,0.3892486815617873,0.12181818181818184,0.3925255273913855,1.4031818181818183,0.6601091641166904,2.5822727272727275,0.7871385893742604,3.3072727272727276,0.6945854662657123,3.605,0.5919518580068551,41062625933.5941,-0.1687490901313603,10210246554.7955,0.3869680361881142,88.920473853359,0.3683454166241562,2.3,0.1297504959431148,1.3,0.10326654213383336,-97.68467,30.3498
