,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(2),Corr with student_vol(2),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(1),Corr with mortgage 90(1)
0,2010-11,CO,DENVER,2010-11,4.0,"(-105.044606, 39.768122999999996)",16515.67,All,0.22869727272727272,0.1790941536012891,0.24913818181818187,0.1803220047821287,0.2541922727272727,0.17226904537339402,0.27004181818181816,0.16022388256211295,0.2871204545454545,0.14502079883523183,0.44597000000000014,0.11145628686112262,0.7651345454545454,0.09217143365302471,0.13400000000000004,0.19716730695258283,0.182,0.173849097265816,0.25200000000000006,0.167059129462558,1.35,0.4076579956619488,2.7630000000000003,0.4015560682238344,3.817999999999999,0.2928962691402811,4.186,0.2567369892665718,28477062769.4533,0.05221513284792641,11568364841.7538,0.3627252070095375,94.0022251537174,-0.2660849719765452,2.7,0.08273257865415043,2.7,0.07358790912923935
1,2011-02,CO,DENVER,2011-02,4.89,"(-104.905612, 39.740317)",11754.62,All,0.23214,0.1790941536012891,0.25165,0.1803220047821287,0.26292499999999996,0.17226904537339402,0.28731249999999997,0.16022388256211295,0.31189999999999996,0.14502079883523183,0.46404500000000004,0.11145628686112262,0.7933949999999999,0.09217143365302471,0.11473684210526319,0.19716730695258283,0.16842105263157894,0.173849097265816,0.2863157894736842,0.167059129462558,2.257894736842106,0.4076579956619488,3.5763157894736834,0.4015560682238344,4.423684210526316,0.2928962691402811,4.652105263157895,0.2567369892665718,30512069858.4251,0.05221513284792641,15995126134.7035,0.3627252070095375,92.5881563190625,-0.2660849719765452,2.9,0.08273257865415043,2.6,0.07358790912923935
2,2011-04,CO,DENVER,2011-04,4.0,"(-104.96841299999998, 39.740736)",13502.68,All,0.14759444444444447,0.1790941536012891,0.19237777777777781,0.1803220047821287,0.22143500000000005,0.17226904537339402,0.25190277777777786,0.16022388256211295,0.28138222222222226,0.14502079883523183,0.44229888888888896,0.11145628686112262,0.7700555555555555,0.09217143365302471,0.029500000000000005,0.19716730695258283,0.11950000000000002,0.173849097265816,0.24650000000000002,0.167059129462558,2.169,0.4076579956619488,3.4549999999999996,0.4015560682238344,4.276000000000001,0.2928962691402811,4.5015,0.2567369892665718,31044830349.9256,0.05221513284792641,12472473242.0863,0.3627252070095375,90.24550000965358,-0.2660849719765452,2.9,0.08273257865415043,2.5,0.07358790912923935
3,2011-07,CO,DENVER,2011-07,4.1,"(-104.96066599999999, 39.745502)",14740.23,All,0.12388095238095237,0.1790941536012891,0.1598857142857143,0.1803220047821287,0.18661904761904766,0.17226904537339402,0.2182333333333334,0.16022388256211295,0.24991190476190472,0.14502079883523183,0.41392857142857137,0.11145628686112262,0.7452261904761905,0.09217143365302471,0.037500000000000006,0.19716730695258283,0.08400000000000002,0.173849097265816,0.185,0.167059129462558,1.541,0.4076579956619488,3.003,0.4015560682238344,3.9475000000000002,0.2928962691402811,4.2705,0.2567369892665718,31565012894.7234,0.05221513284792641,11655650147.2578,0.3627252070095375,90.4806728327692,-0.2660849719765452,2.4,0.08273257865415043,2.4,0.07358790912923935
4,2011-09,CO,DENVER,2011-09,3.95,"(-104.98658300000001, 39.724247999999996)",16274.52,All,0.14525181818181823,0.1790941536012891,0.1884,0.1803220047821287,0.23085045454545455,0.17226904537339402,0.2845913636363636,0.16022388256211295,0.3502268181818181,0.14502079883523183,0.5222018181818182,0.11145628686112262,0.8332045454545454,0.09217143365302471,0.005714285714285713,0.19716730695258283,0.04333333333333335,0.173849097265816,0.10476190476190479,0.167059129462558,0.9004761904761904,0.4076579956619488,1.9752380952380955,0.4015560682238344,2.8271428571428574,0.2928962691402811,3.182380952380953,0.2567369892665718,31041077337.2648,0.05221513284792641,11784187253.6333,0.3627252070095375,90.35087768078328,-0.2660849719765452,2.4,0.08273257865415043,2.5,0.07358790912923935
5,2011-10,CO,DENVER,2011-10,3.6,"(-87.316286, 41.550856)",28645.84,All,0.1416352380952381,0.1790941536012891,0.19074095238095234,0.1803220047821287,0.24373904761904758,0.17226904537339402,0.3185252380952381,0.16022388256211295,0.4064785714285714,0.14502079883523183,0.59521,0.11145628686112262,0.9086428571428572,0.09217143365302471,0.013500000000000003,0.19716730695258283,0.05450000000000003,0.173849097265816,0.1145,0.167059129462558,1.0614999999999999,0.4076579956619488,2.1519999999999997,0.4015560682238344,2.8695,0.2928962691402811,3.128,0.2567369892665718,31300541846.2612,0.05221513284792641,11508699084.1195,0.3627252070095375,90.48744874686929,-0.2660849719765452,2.4,0.08273257865415043,2.3,0.07358790912923935
6,2011-12,CO,DENVER,2011-12,4.25,"(-104.9653, 39.7348)",40760.3,All,0.1499335,0.1790941536012891,0.2029985,0.1803220047821287,0.2836085,0.17226904537339402,0.40829250000000006,0.16022388256211295,0.5557375,0.14502079883523183,0.7798775000000001,0.11145628686112262,1.1003555000000003,0.09217143365302471,0.0033333333333333335,0.19716730695258283,0.048571428571428585,0.173849097265816,0.11523809523809528,0.167059129462558,0.8914285714285713,0.4076579956619488,1.9780952380952384,0.4015560682238344,2.6676190476190476,0.2928962691402811,2.9823809523809524,0.2567369892665718,31754785132.2305,0.05221513284792641,10728874885.7875,0.3627252070095375,90.6452366150782,-0.2660849719765452,2.7,0.08273257865415043,2.3,0.07358790912923935
7,2012-01,CO,DENVER,2012-01,2.92,"(9.08333, 45.81667)",27130.1,All,0.14564761904761903,0.1790941536012891,0.2014238095238095,0.1803220047821287,0.28289523809523814,0.17226904537339402,0.41424761904761903,0.16022388256211295,0.5659000000000001,0.14502079883523183,0.7969761904761906,0.11145628686112262,1.1145476190476191,0.09217143365302471,0.0245,0.19716730695258283,0.06550000000000003,0.173849097265816,0.11500000000000003,0.167059129462558,0.835,0.4076579956619488,1.9664999999999995,0.4015560682238344,2.6950000000000003,0.2928962691402811,3.026,0.2567369892665718,33690910289.8878,0.05221513284792641,11251067892.2966,0.3627252070095375,90.0868950067716,-0.2660849719765452,2.3,0.08273257865415043,2.2,0.07358790912923935
8,2012-08,CO,DENVER,2012-08,4.6,"(-104.977764, 39.755967)",6398.74,All,0.15374090909090915,0.1790941536012891,0.18745454545454548,0.1803220047821287,0.23783863636363634,0.17226904537339402,0.3331136363636364,0.16022388256211295,0.43259999999999993,0.14502079883523183,0.7177749999999997,0.11145628686112262,1.0426272727272727,0.09217143365302471,0.09217391304347829,0.19716730695258283,0.14043478260869566,0.173849097265816,0.18347826086956526,0.167059129462558,0.7139130434782609,0.4076579956619488,1.6782608695652175,0.4015560682238344,2.3978260869565218,0.2928962691402811,2.7708695652173914,0.2567369892665718,36623269866.4569,0.05221513284792641,12022315813.7363,0.3627252070095375,90.37816904639429,-0.2660849719765452,2.3,0.08273257865415043,1.9,0.07358790912923935
9,2012-11,CO,DENVER,2012-11,2.8049999999999997,"(-104.985193, 39.753231)",23208.593333333334,All,0.1555,0.1790941536012891,0.18060909090909089,0.1803220047821287,0.20888636363636362,0.17226904537339402,0.25813636363636355,0.16022388256211295,0.31102272727272723,0.14502079883523183,0.528347727272727,0.11145628686112262,0.8631931818181818,0.09217143365302471,0.12449999999999999,0.19716730695258283,0.14450000000000002,0.173849097265816,0.17850000000000002,0.167059129462558,0.665,0.4076579956619488,1.654,0.4015560682238344,2.3894999999999995,0.2928962691402811,2.8034999999999997,0.2567369892665718,36601383816.48,0.05221513284792641,11154944519.578999,0.3627252070095375,91.578064558499,-0.2660849719765452,2.2,0.08273257865415043,1.7,0.07358790912923935
