,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-1),Corr with auto_vol(-1),student_vol(1),Corr with student_vol(1),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(4),Corr with mortgage 90(4)
0,SD,SIOUX FALLS,2010-02,4.5,All,0.172487,4.327513,0.2040093651715203,0.20809400000000006,4.291906,0.2094127248695449,0.22906349999999992,4.2709365,0.19959528199029128,0.23978050000000012,4.2602195,0.19216977520628528,0.25051950000000006,4.2494805,0.17990432441026794,0.38779850000000005,4.1122015,0.13657907199022,0.8515799999999999,3.64842,0.16619626048136102,0.05736842105263157,4.442631578947369,0.1990759895514241,0.18105263157894735,4.318947368421052,0.17575383589587512,0.34578947368421054,4.154210526315789,0.17902432604656301,2.363684210526315,2.136315789473685,0.60005573097442,3.691052631578947,0.8089473684210531,0.5948897930926723,4.481052631578947,0.0189473684210526,0.5051144801819712,4.619473684210526,-0.11947368421052573,0.4510730122775468,25615073952.9669,-0.9013997069501514,14217328271.8582,0.8838314807992955,99.3021234972081,0.9628233485326232,2.0,0.9469850683517869,2.2,0.8871350983754548
1,SD,SIOUX FALLS,2011-12,4.15,All,0.1499335,4.0000665,0.2040093651715203,0.2029985,3.9470015000000003,0.2094127248695449,0.2836085,3.8663915,0.19959528199029128,0.40829250000000006,3.7417075000000004,0.19216977520628528,0.5557375,3.5942625,0.17990432441026794,0.7798775000000001,3.3701225000000004,0.13657907199022,1.1003555000000003,3.0496445000000003,0.16619626048136102,0.0033333333333333335,4.146666666666667,0.1990759895514241,0.048571428571428585,4.101428571428571,0.17575383589587512,0.11523809523809528,4.034761904761905,0.17902432604656301,0.8914285714285713,3.258571428571429,0.60005573097442,1.9780952380952384,2.171904761904762,0.5948897930926723,2.6676190476190476,1.4823809523809528,0.5051144801819712,2.9823809523809524,1.167619047619048,0.4510730122775468,34825519831.2788,-0.9013997069501514,11510278467.2037,0.8838314807992955,90.7743282432688,0.9628233485326232,1.8,0.9469850683517869,1.8,0.8871350983754548
2,SD,SIOUX FALLS,2013-03,3.65,All,0.15505000000000002,3.49495,0.2040093651715203,0.17309999999999998,3.4769,0.2094127248695449,0.20345,3.44655,0.19959528199029128,0.2419,3.4081,0.19216977520628528,0.28190000000000004,3.3681,0.17990432441026794,0.44782500000000003,3.202175,0.13657907199022,0.7351250000000001,2.914875,0.16619626048136102,0.07800000000000003,3.572,0.1990759895514241,0.11450000000000005,3.5355,0.17575383589587512,0.14750000000000002,3.5025,0.17902432604656301,0.8185000000000002,2.8314999999999997,0.60005573097442,1.9575,1.6925,0.5948897930926723,2.7840000000000003,0.8659999999999997,0.5051144801819712,3.1625000000000005,0.4874999999999994,0.4510730122775468,39658399389.4891,-0.9013997069501514,9123117418.53368,0.8838314807992955,86.5850023909696,0.9628233485326232,1.5,0.9469850683517869,1.3,0.8871350983754548
3,SD,SIOUX FALLS,2017-09,3.73,All,1.1784444999999997,2.5515555,0.2040093651715203,1.1967471428571432,2.5332528571428568,0.2094127248695449,1.23492,2.4950799999999997,0.19959528199029128,1.2721638095238097,2.4578361904761903,0.19216977520628528,1.3232957142857147,2.4067042857142855,0.17990432441026794,1.4732157142857143,2.2567842857142857,0.13657907199022,1.738246666666667,1.991753333333333,0.16619626048136102,0.9940000000000001,2.7359999999999998,0.1990759895514241,1.171,2.559,0.17575383589587512,1.2799999999999998,2.45,0.17902432604656301,1.7975,1.9324999999999999,0.60005573097442,2.2020000000000004,1.5279999999999996,0.5948897930926723,2.5300000000000002,1.1999999999999997,0.5051144801819712,2.7764999999999995,0.9535000000000005,0.4510730122775468,47520522623.6854,-0.9013997069501514,11537595366.1601,0.8838314807992955,87.46440959377459,0.9628233485326232,1.7,0.9469850683517869,0.7,0.8871350983754548
