,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-4),Corr with mortgage 90(-4)
0,2010-04,TX,DALLAS,2010-04,3.73,"(-96.882699, 32.672928999999996)",54297.89,All,0.24183250000000003,0.28711618709457826,0.2495495,0.28884262942084243,0.2597455000000001,0.2848573053261705,0.2840375,0.2771773080040916,0.3116065,0.26760434280085804,0.4758610000000001,0.21887233691849056,0.9598030000000002,0.18592158124865377,0.15045454545454548,0.29360816524673167,0.2440909090909091,0.27177704671477937,0.44499999999999995,0.2710591621953965,2.581363636363637,0.43600660085179305,3.8468181818181817,0.4474422726252488,4.531363636363637,0.34768251085582785,4.693181818181819,0.29500080171758203,28477062769.4533,0.09937736337322615,14107591663.4702,-0.4213279859004784,95.21340255359091,-0.2312859033075868,4.0,-0.19985590816037438,3.9,-0.09428791105584856
1,2010-11,TX,DALLAS,2010-11,4.155,"(-96.708286, 32.83225)",48196.229999999996,All,0.22869727272727272,0.28711618709457826,0.24913818181818187,0.28884262942084243,0.2541922727272727,0.2848573053261705,0.27004181818181816,0.2771773080040916,0.2871204545454545,0.26760434280085804,0.44597000000000014,0.21887233691849056,0.7651345454545454,0.18592158124865377,0.13400000000000004,0.29360816524673167,0.182,0.27177704671477937,0.25200000000000006,0.2710591621953965,1.35,0.43600660085179305,2.7630000000000003,0.4474422726252488,3.817999999999999,0.34768251085582785,4.186,0.29500080171758203,32217867353.4185,0.09937736337322615,11556490165.0911,-0.4213279859004784,93.74313363440879,-0.2312859033075868,4.4,-0.19985590816037438,3.6,-0.09428791105584856
2,2011-09,TX,DALLAS,2011-09,4.14,"(-96.79568499999999, 32.780249)",123764.12,All,0.14525181818181823,0.28711618709457826,0.1884,0.28884262942084243,0.23085045454545455,0.2848573053261705,0.2845913636363636,0.2771773080040916,0.3502268181818181,0.26760434280085804,0.5222018181818182,0.21887233691849056,0.8332045454545454,0.18592158124865377,0.005714285714285713,0.29360816524673167,0.04333333333333335,0.27177704671477937,0.10476190476190479,0.2710591621953965,0.9004761904761904,0.43600660085179305,1.9752380952380955,0.4474422726252488,2.8271428571428574,0.34768251085582785,3.182380952380953,0.29500080171758203,35344521679.5642,0.09937736337322615,12472473242.0863,-0.4213279859004784,90.48744874686929,-0.2312859033075868,4.1,-0.19985590816037438,3.1,-0.09428791105584856
3,2012-02,TX,DALLAS,2012-02,4.07,"(-96.88396350000001, 32.7586035)",23767.19,All,0.1410714285714286,0.28711618709457826,0.19146190476190478,0.28884262942084243,0.2500238095238095,0.2848573053261705,0.3686547619047619,0.2771773080040916,0.5032404761904763,0.26760434280085804,0.7572880952380953,0.21887233691849056,1.0711880952380954,0.18592158124865377,0.06350000000000003,0.29360816524673167,0.124,0.27177704671477937,0.161,0.2710591621953965,0.8310000000000001,0.43600660085179305,1.9674999999999998,0.4474422726252488,2.7479999999999998,0.34768251085582785,3.109,0.29500080171758203,36777908030.9335,0.09937736337322615,11784187253.6333,-0.4213279859004784,89.6038877472871,-0.2312859033075868,3.9,-0.19985590816037438,3.2,-0.09428791105584856
4,2012-03,TX,DALLAS,2012-03,3.54,"(-96.867901, 32.819016)",46363.104999999996,All,0.14720000000000003,0.28711618709457826,0.1893409090909091,0.28884262942084243,0.24185227272727275,0.2848573053261705,0.35079999999999995,0.2771773080040916,0.4732886363636363,0.26760434280085804,0.741275,0.21887233691849056,1.0534477272727274,0.18592158124865377,0.06363636363636366,0.29360816524673167,0.14227272727272727,0.27177704671477937,0.19000000000000003,0.2710591621953965,1.0172727272727273,0.43600660085179305,2.1727272727272724,0.4474422726252488,2.9404545454545454,0.34768251085582785,3.281363636363636,0.29500080171758203,36186315501.0541,0.09937736337322615,11508699084.1195,-0.4213279859004784,89.56768058609659,-0.2312859033075868,3.6,-0.19985590816037438,3.3,-0.09428791105584856
5,2012-07,TX,DALLAS,2012-07,2.93,"(-96.698939, 32.789671999999996)",36515.23,All,0.16720454545454547,0.28711618709457826,0.19873636363636368,0.28884262942084243,0.24646136363636365,0.2848573053261705,0.34024999999999994,0.2771773080040916,0.4535545454545455,0.26760434280085804,0.7302181818181818,0.21887233691849056,1.0653181818181816,0.18592158124865377,0.06952380952380956,0.29360816524673167,0.14571428571428574,0.27177704671477937,0.18571428571428572,0.2710591621953965,0.6195238095238095,0.43600660085179305,1.5266666666666664,0.4474422726252488,2.217142857142857,0.34768251085582785,2.5900000000000003,0.29500080171758203,37685204803.0042,0.09937736337322615,11641401212.0971,-0.4213279859004784,90.37816904639429,-0.2312859033075868,3.9,-0.19985590816037438,3.2,-0.09428791105584856
6,2012-08,TX,DALLAS,2012-08,2.75,"(-96.70929, 32.875782)",79057.39,All,0.15374090909090915,0.28711618709457826,0.18745454545454548,0.28884262942084243,0.23783863636363634,0.2848573053261705,0.3331136363636364,0.2771773080040916,0.43259999999999993,0.26760434280085804,0.7177749999999997,0.21887233691849056,1.0426272727272727,0.18592158124865377,0.09217391304347829,0.29360816524673167,0.14043478260869566,0.27177704671477937,0.18347826086956526,0.2710591621953965,0.7139130434782609,0.43600660085179305,1.6782608695652175,0.4474422726252488,2.3978260869565218,0.34768251085582785,2.7708695652173914,0.29500080171758203,38410438812.4053,0.09937736337322615,12770391029.1034,-0.4213279859004784,90.2956809830492,-0.2312859033075868,4.0,-0.19985590816037438,3.1,-0.09428791105584856
7,2012-09,TX,DALLAS,2012-09,2.8200000000000003,"(-96.795796, 32.766964)",137355.5,All,0.15189500000000006,0.28711618709457826,0.183625,0.28884262942084243,0.22133750000000002,0.2848573053261705,0.3079875,0.2771773080040916,0.3856325000000001,0.26760434280085804,0.6716749999999999,0.21887233691849056,0.9997750000000002,0.18592158124865377,0.07526315789473685,0.29360816524673167,0.13736842105263158,0.27177704671477937,0.17578947368421055,0.2710591621953965,0.6689473684210526,0.43600660085179305,1.7231578947368422,0.4474422726252488,2.488421052631579,0.34768251085582785,2.8815789473684212,0.29500080171758203,38808856509.5085,0.09937736337322615,14585937143.4485,-0.4213279859004784,89.2801736441717,-0.2312859033075868,4.1,-0.19985590816037438,3.0,-0.09428791105584856
8,2012-10,TX,DALLAS,2012-10,2.43,"(-96.867767, 32.996078999999995)",53242.79,All,0.15320434782608702,0.28711618709457826,0.17955217391304346,0.28884262942084243,0.21346521739130433,0.2848573053261705,0.2717391304347827,0.2771773080040916,0.3304891304347827,0.26760434280085804,0.5823021739130435,0.21887233691849056,0.9185760869565219,0.18592158124865377,0.10952380952380951,0.29360816524673167,0.14904761904761904,0.27177704671477937,0.17952380952380956,0.2710591621953965,0.7085714285714285,0.43600660085179305,1.7461904761904758,0.4474422726252488,2.505714285714286,0.34768251085582785,2.90047619047619,0.29500080171758203,39268596272.9965,0.09937736337322615,16111780903.4699,-0.4213279859004784,91.578064558499,-0.2312859033075868,4.1,-0.19985590816037438,2.9,-0.09428791105584856
9,2012-11,TX,DALLAS,2012-11,3.55,"(-96.94715, 32.662199)",51512.67,All,0.1555,0.28711618709457826,0.18060909090909089,0.28884262942084243,0.20888636363636362,0.2848573053261705,0.25813636363636355,0.2771773080040916,0.31102272727272723,0.26760434280085804,0.528347727272727,0.21887233691849056,0.8631931818181818,0.18592158124865377,0.12449999999999999,0.29360816524673167,0.14450000000000002,0.27177704671477937,0.17850000000000002,0.2710591621953965,0.665,0.43600660085179305,1.654,0.4474422726252488,2.3894999999999995,0.34768251085582785,2.8034999999999997,0.29500080171758203,39658399389.4891,0.09937736337322615,11986368496.8635,-0.4213279859004784,88.794109524791,-0.2312859033075868,3.9,-0.19985590816037438,2.9,-0.09428791105584856
