,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(1),Corr with mortgage 90(1),long,lat
0,2012-10,IL,PEORIA,2012-10,2.85,"(-89.646713, 40.719114000000005)",10415.84,All,0.15320434782608702,-0.037155796648915135,0.17955217391304346,-0.039293379264668006,0.21346521739130433,-0.040392609650610624,0.2717391304347827,-0.050948918883669043,0.3304891304347827,-0.06870140837717723,0.5823021739130435,-0.1495913672268954,0.9185760869565219,-0.2349766978911949,0.10952380952380951,-0.04637092407844909,0.14904761904761904,-0.06355167112270119,0.17952380952380956,-0.09096023348375257,0.7085714285714285,0.5534431194587487,1.7461904761904758,0.9095244311284804,2.505714285714286,0.8060012764419785,2.90047619047619,0.7513903464995262,39268596272.9965,0.21325482653710337,16111780903.4699,-0.8995719712994896,91.578064558499,-0.7669150314076557,3.2,-0.7060021017673944,1.9,0.34791690862490005,-89.646713,40.719114000000005
1,2013-11,IL,PEORIA,2013-11,4.35,"(-89.637388, 40.742986)",19801.635000000002,All,0.10274761904761903,-0.037155796648915135,0.12919047619047616,-0.039293379264668006,0.1672714285714286,-0.040392609650610624,0.20747142857142856,-0.050948918883669043,0.2382452380952381,-0.06870140837717723,0.35063809523809525,-0.1495913672268954,0.5866738095238094,-0.2349766978911949,0.046842105263157914,-0.04637092407844909,0.09842105263157898,-0.06355167112270119,0.12157894736842105,-0.09096023348375257,1.3710526315789473,0.5534431194587487,2.7184210526315793,0.9095244311284804,3.503684210526316,0.8060012764419785,3.7999999999999985,0.7513903464995262,43204378466.7468,0.21325482653710337,10210246554.7955,-0.8995719712994896,83.69462947740479,-0.7669150314076557,2.1,-0.7060021017673944,2.0,0.34791690862490005,-89.637388,40.742986
2,2013-12,IL,PEORIA,2013-12,4.2,"(-89.597098, 40.694889)",22954.21,All,0.10022500000000001,-0.037155796648915135,0.1273025,-0.039293379264668006,0.16723,-0.040392609650610624,0.2127325,-0.050948918883669043,0.24389749999999996,-0.06870140837717723,0.34639499999999995,-0.1495913672268954,0.579045,-0.2349766978911949,0.019047619047619053,-0.04637092407844909,0.09523809523809526,-0.06355167112270119,0.13285714285714287,-0.09096023348375257,1.5761904761904764,0.5534431194587487,2.901904761904762,0.9095244311284804,3.6266666666666674,0.8060012764419785,3.889047619047619,0.7513903464995262,44555116847.5878,0.21325482653710337,10216278752.7557,-0.8995719712994896,80.910251046009,-0.7669150314076557,1.7,-0.7060021017673944,2.0,0.34791690862490005,-89.597098,40.694889
3,2014-01,IL,PEORIA,2014-01,4.15,"(35.0, 31.75)",58332.4,All,0.09003181818181817,-0.037155796648915135,0.1219931818181818,-0.039293379264668006,0.1597090909090909,-0.040392609650610624,0.204425,-0.050948918883669043,0.23822954545454544,-0.06870140837717723,0.33795909090909093,-0.1495913672268954,0.5752999999999999,-0.2349766978911949,0.017142857142857144,-0.04637092407844909,0.0690476190476191,-0.06355167112270119,0.11619047619047623,-0.09096023348375257,1.6466666666666665,0.5534431194587487,2.858095238095238,0.9095244311284804,3.521904761904762,0.8060012764419785,3.76904761904762,0.7513903464995262,44109559396.2995,0.21325482653710337,9473893018.88319,-0.8995719712994896,82.56600445924391,-0.7669150314076557,1.4,-0.7060021017673944,1.8,0.34791690862490005,35.0,31.75
4,2014-09,IL,PEORIA,2014-09,3.75,"(-89.623058, 40.775186)",18269.83,All,0.09027272727272727,-0.037155796648915135,0.12087045454545454,-0.039293379264668006,0.15410454545454544,-0.040392609650610624,0.19699999999999998,-0.050948918883669043,0.23403181818181817,-0.06870140837717723,0.32999090909090917,-0.1495913672268954,0.5770545454545455,-0.2349766978911949,0.01142857142857143,-0.04637092407844909,0.04380952380952382,-0.06355167112270119,0.10952380952380954,-0.09096023348375257,1.7738095238095242,0.5534431194587487,2.5342857142857147,0.9095244311284804,3.0133333333333328,0.8060012764419785,3.26,0.7513903464995262,45241950015.4561,0.21325482653710337,10121843859.6075,-0.8995719712994896,82.4770523961592,-0.7669150314076557,2.3,-0.7060021017673944,1.5,0.34791690862490005,-89.623058,40.775186
5,2014-11,IL,PEORIA,2014-11,3.65,"(-89.49495, 40.688811)",24477.64,All,0.09656999999999999,-0.037155796648915135,0.12222499999999999,-0.039293379264668006,0.1548075,-0.040392609650610624,0.20246,-0.050948918883669043,0.23286250000000003,-0.06870140837717723,0.32679500000000006,-0.1495913672268954,0.56206,-0.2349766978911949,0.04166666666666668,-0.04637092407844909,0.06944444444444448,-0.06355167112270119,0.13444444444444448,-0.09096023348375257,1.6205555555555557,0.5534431194587487,2.325555555555556,0.9095244311284804,2.7644444444444445,0.8060012764419785,3.038333333333333,0.7513903464995262,45758876905.2845,0.21325482653710337,11117378455.0815,-0.8995719712994896,82.122236078369,-0.7669150314076557,1.7,-0.7060021017673944,1.5,0.34791690862490005,-89.49495,40.688811
6,2015-05,IL,PEORIA,2015-05,3.5733333333333337,"(-89.6041429, 40.6907521)",34527.34333333333,All,0.12315789473684212,-0.037155796648915135,0.14795,-0.039293379264668006,0.1842289473684211,-0.040392609650610624,0.2296,-0.050948918883669043,0.2795368421052632,-0.06870140837717723,0.41659473684210524,-0.1495913672268954,0.7346236842105265,-0.2349766978911949,0.013000000000000001,-0.04637092407844909,0.07950000000000002,-0.06355167112270119,0.24100000000000002,-0.09096023348375257,1.5385000000000002,0.5534431194587487,2.1975000000000002,0.9095244311284804,2.692,0.8060012764419785,2.9550000000000005,0.7513903464995262,48836554747.323,0.21325482653710337,11837215038.8922,-0.8995719712994896,82.89218119322959,-0.7669150314076557,1.9,-0.7060021017673944,1.4,0.34791690862490005,-89.6041429,40.6907521
7,2015-12,IL,PEORIA,2015-12,3.55,"(-89.58121899999999, 40.666090999999994)",31917.83,All,0.2286238095238095,-0.037155796648915135,0.289352380952381,-0.039293379264668006,0.3523071428571429,-0.040392609650610624,0.44092857142857156,-0.050948918883669043,0.5332357142857143,-0.06870140837717723,0.7638285714285715,-0.1495913672268954,1.0841380952380955,-0.2349766978911949,0.17181818181818184,-0.04637092407844909,0.4990909090909091,-0.06355167112270119,0.6536363636363638,-0.09096023348375257,1.6986363636363635,0.5534431194587487,2.2427272727272736,0.9095244311284804,2.6072727272727274,0.8060012764419785,2.97,0.7513903464995262,48187387172.2131,0.21325482653710337,11492007418.0579,-0.8995719712994896,83.5754036116387,-0.7669150314076557,1.8,-0.7060021017673944,1.4,0.34791690862490005,-89.58121899999999,40.666090999999994
