,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-2),Corr with auto_vol(-2),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2010-04,IN,INDIANAPOLIS,2010-04,4.15,"(-86.192461, 39.905821)",34112.16,All,0.24183250000000003,0.20390986906946168,0.2495495,0.20844851709755413,0.2597455000000001,0.20931322995583798,0.2840375,0.1960985986819263,0.3116065,0.17477869486538963,0.4758610000000001,0.126517934819052,0.9598030000000002,0.11690601077010146,0.15045454545454548,0.21473270829984403,0.2440909090909091,0.20465060910382818,0.44499999999999995,0.22030560306575245,2.581363636363637,0.5578825933649937,3.8468181818181817,0.6698394123264915,4.531363636363637,0.5689776923827595,4.693181818181819,0.5001083517115721,25116521917.8418,-0.11601271636515409,11556490165.0911,0.2389730692185902,96.94128995699529,0.130059146084322,3.7,-0.10377387755465231,3.8,0.061435830490180886,-86.192461,39.905821
1,2010-05,IN,INDIANAPOLIS,2010-05,4.075,"(-86.128219, 39.655333)",27482.945,All,0.2957715789473684,0.20390986906946168,0.3152057894736842,0.20844851709755413,0.3354642105263158,0.20931322995583798,0.39242105263157895,0.1960985986819263,0.45851421052631586,0.17477869486538963,0.6592468421052632,0.126517934819052,1.129987894736842,0.11690601077010146,0.147,0.21473270829984403,0.22350000000000003,0.20465060910382818,0.37099999999999994,0.22030560306575245,2.1799999999999997,0.5578825933649937,3.4199999999999995,0.6698394123264915,4.1145,0.5689776923827595,4.286,0.5001083517115721,27482962505.147003,-0.11601271636515409,12342273869.2704,0.2389730692185902,97.9962893430168,0.130059146084322,3.8,-0.10377387755465231,3.7,0.061435830490180886,-86.128219,39.655333
2,2010-09,IN,INDIANAPOLIS,2010-09,3.65,"(-86.113398, 39.837041)",43468.91,All,0.22657136363636363,0.20390986906946168,0.251059090909091,0.20844851709755413,0.25699454545454536,0.20931322995583798,0.2738163636363636,0.1960985986819263,0.2913659090909092,0.17477869486538963,0.4777727272727273,0.126517934819052,0.8043745454545456,0.11690601077010146,0.1166666666666667,0.21473270829984403,0.19333333333333336,0.20465060910382818,0.2566666666666666,0.22030560306575245,1.4104761904761904,0.5578825933649937,2.6476190476190475,0.6698394123264915,3.4690476190476183,0.5689776923827595,3.773333333333333,0.5001083517115721,28477062769.4533,-0.11601271636515409,11568364841.7538,0.2389730692185902,98.6449594200431,0.130059146084322,3.9,-0.10377387755465231,3.7,0.061435830490180886,-86.113398,39.837041
3,2011-01,IN,INDIANAPOLIS,2011-01,4.0,"(-86.11502800000001, 39.649235)",24647.585,All,0.2391115000000001,0.20390986906946168,0.25406500000000004,0.20844851709755413,0.2606254999999999,0.20931322995583798,0.2827834999999999,0.1960985986819263,0.30341049999999997,0.17477869486538963,0.4554005000000002,0.126517934819052,0.7818229999999999,0.11690601077010146,0.14099999999999996,0.21473270829984403,0.1815,0.20465060910382818,0.27349999999999997,0.22030560306575245,1.9944999999999997,0.5578825933649937,3.3940000000000006,0.6698394123264915,4.281000000000001,0.5689776923827595,4.5230000000000015,0.5001083517115721,30207558860.6451,-0.11601271636515409,13753511368.0623,0.2389730692185902,94.51558950569391,0.130059146084322,4.2,-0.10377387755465231,3.4,0.061435830490180886,-86.11502800000001,39.649235
4,2011-03,IN,INDIANAPOLIS,2011-03,3.8,"(-86.020494, 39.798159000000005)",78416.29,All,0.2076739130434783,0.20390986906946168,0.23889782608695653,0.20844851709755413,0.2532847826086956,0.20931322995583798,0.2829456521739131,0.1960985986819263,0.30843478260869567,0.17477869486538963,0.4607826086956522,0.126517934819052,0.7797065217391305,0.11690601077010146,0.06478260869565221,0.21473270829984403,0.15652173913043482,0.20465060910382818,0.25913043478260867,0.22030560306575245,2.1134782608695653,0.5578825933649937,3.414347826086956,0.6698394123264915,4.26608695652174,0.5689776923827595,4.5139130434782615,0.5001083517115721,31618591270.7387,-0.11601271636515409,13238482167.5647,0.2389730692185902,92.8594669911348,0.130059146084322,3.4,-0.10377387755465231,3.4,0.061435830490180886,-86.020494,39.798159000000005
5,2011-05,IN,INDIANAPOLIS,2011-05,4.2,"(-86.141846, 39.740266)",10134.07,All,0.130775,0.20390986906946168,0.16787249999999998,0.20844851709755413,0.1978005,0.20931322995583798,0.23078799999999994,0.1960985986819263,0.260713,0.17477869486538963,0.41407550000000004,0.126517934819052,0.7391499999999999,0.11690601077010146,0.024285714285714285,0.21473270829984403,0.0866666666666667,0.20465060910382818,0.18809523809523812,0.22030560306575245,1.8423809523809527,0.5578825933649937,3.168571428571429,0.6698394123264915,4.011428571428572,0.5689776923827595,4.293333333333333,0.5001083517115721,31565012894.7234,-0.11601271636515409,11655650147.2578,0.2389730692185902,94.0022251537174,0.130059146084322,3.4,-0.10377387755465231,3.5,0.061435830490180886,-86.141846,39.740266
6,2011-06,IN,INDIANAPOLIS,2011-06,3.91,"(-74.440973, 40.8761762)",20553.6,All,0.12706818181818183,0.20390986906946168,0.1615431818181819,0.20844851709755413,0.18716409090909092,0.20931322995583798,0.21923909090909086,0.1960985986819263,0.24782409090909094,0.17477869486538963,0.39758,0.126517934819052,0.7268749999999999,0.11690601077010146,0.0190909090909091,0.21473270829984403,0.1013636363636364,0.20465060910382818,0.18090909090909094,0.22030560306575245,1.5799999999999998,0.5578825933649937,3.002272727272727,0.6698394123264915,3.9145454545454546,0.5689776923827595,4.2327272727272724,0.5001083517115721,31252070876.7547,-0.11601271636515409,10258833668.6773,0.2389730692185902,93.74313363440879,0.130059146084322,3.5,-0.10377387755465231,3.4,0.061435830490180886,-74.440973,40.8761762
7,2011-08,IN,INDIANAPOLIS,2011-08,3.95,"(-86.1637334, 39.822093)",10583.32,All,0.14468363636363638,0.20390986906946168,0.18038681818181818,0.20844851709755413,0.21116590909090904,0.20931322995583798,0.24895727272727275,0.1960985986819263,0.29323772727272723,0.17477869486538963,0.45919454545454547,0.126517934819052,0.7783581818181818,0.11690601077010146,0.017391304347826094,0.21473270829984403,0.06217391304347828,0.20465060910382818,0.11478260869565218,0.22030560306575245,1.021304347826087,0.5578825933649937,2.303043478260869,0.6698394123264915,3.244782608695652,0.5689776923827595,3.6513043478260867,0.5001083517115721,31300541846.2612,-0.11601271636515409,11508699084.1195,0.2389730692185902,92.5881563190625,0.130059146084322,3.8,-0.10377387755465231,3.6,0.061435830490180886,-86.1637334,39.822093
8,2011-09,IN,INDIANAPOLIS,2011-09,3.875,"(-86.14497, 39.77503)",6742.094999999999,All,0.14525181818181823,0.20390986906946168,0.1884,0.20844851709755413,0.23085045454545455,0.20931322995583798,0.2845913636363636,0.1960985986819263,0.3502268181818181,0.17477869486538963,0.5222018181818182,0.126517934819052,0.8332045454545454,0.11690601077010146,0.005714285714285713,0.21473270829984403,0.04333333333333335,0.20465060910382818,0.10476190476190479,0.22030560306575245,0.9004761904761904,0.5578825933649937,1.9752380952380955,0.6698394123264915,2.8271428571428574,0.5689776923827595,3.182380952380953,0.5001083517115721,31992172727.7437,-0.11601271636515409,11510278467.2037,0.2389730692185902,91.13289228397959,0.130059146084322,3.7,-0.10377387755465231,3.6,0.061435830490180886,-86.14497,39.77503
9,2011-10,IN,INDIANAPOLIS,2011-10,4.3,"(-86.1584, 39.7683)",17471.53,All,0.1416352380952381,0.20390986906946168,0.19074095238095234,0.20844851709755413,0.24373904761904758,0.20931322995583798,0.3185252380952381,0.1960985986819263,0.4064785714285714,0.17477869486538963,0.59521,0.126517934819052,0.9086428571428572,0.11690601077010146,0.013500000000000003,0.21473270829984403,0.05450000000000003,0.20465060910382818,0.1145,0.22030560306575245,1.0614999999999999,0.5578825933649937,2.1519999999999997,0.6698394123264915,2.8695,0.5689776923827595,3.128,0.5001083517115721,31754785132.2305,-0.11601271636515409,10728874885.7875,0.2389730692185902,90.24550000965358,0.130059146084322,3.6,-0.10377387755465231,3.5,0.061435830490180886,-86.1584,39.7683
