,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(4),Corr with student_vol(4),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(4),Corr with mortgage 90(4)
0,2011-02,AR,LITTLE ROCK,2011-02,3.85,"(-92.3333, 34.721715)",18964.99,All,0.23214,0.12262158653474091,0.25165,0.13045045410324635,0.26292499999999996,0.1302020317697897,0.28731249999999997,0.12262434447441864,0.31189999999999996,0.10649321889467182,0.46404500000000004,0.06574226456066867,0.7933949999999999,0.03624489835729382,0.11473684210526319,0.12725328645013442,0.16842105263157894,0.10842450160817507,0.2863157894736842,0.09844900605452843,2.257894736842106,0.31341074213372533,3.5763157894736834,0.32026514087301117,4.423684210526316,0.2867595124610456,4.652105263157895,0.2632682479214722,30512069858.4251,-0.2651403453987499,12472473242.0863,0.2537211428452042,92.4549564204629,0.2038933581988172,3.6,0.4140578555126262,2.6,0.26409105117810866
1,2011-04,AR,LITTLE ROCK,2011-04,3.925,"(-92.26933000000001, 34.742104)",29594.649999999998,All,0.14759444444444447,0.12262158653474091,0.19237777777777781,0.13045045410324635,0.22143500000000005,0.1302020317697897,0.25190277777777786,0.12262434447441864,0.28138222222222226,0.10649321889467182,0.44229888888888896,0.06574226456066867,0.7700555555555555,0.03624489835729382,0.029500000000000005,0.12725328645013442,0.11950000000000002,0.10842450160817507,0.24650000000000002,0.09844900605452843,2.169,0.31341074213372533,3.4549999999999996,0.32026514087301117,4.276000000000001,0.2867595124610456,4.5015,0.2632682479214722,31044830349.9256,-0.2651403453987499,12477113046.1263,0.2537211428452042,94.7176548951663,0.2038933581988172,3.9,0.4140578555126262,2.6,0.26409105117810866
2,2011-07,AR,LITTLE ROCK,2011-07,4.23,"(-92.2896, 34.7465)",92303.67,All,0.12388095238095237,0.12262158653474091,0.1598857142857143,0.13045045410324635,0.18661904761904766,0.1302020317697897,0.2182333333333334,0.12262434447441864,0.24991190476190472,0.10649321889467182,0.41392857142857137,0.06574226456066867,0.7452261904761905,0.03624489835729382,0.037500000000000006,0.12725328645013442,0.08400000000000002,0.10842450160817507,0.185,0.09844900605452843,1.541,0.31341074213372533,3.003,0.32026514087301117,3.9475000000000002,0.2867595124610456,4.2705,0.2632682479214722,31565012894.7234,-0.2651403453987499,11784187253.6333,0.2537211428452042,91.59671843464591,0.2038933581988172,4.3,0.4140578555126262,3.0,0.26409105117810866
3,2011-09,AR,LITTLE ROCK,2011-09,4.33,"(-112.13004199999999, 33.627303000000005)",11351.2,All,0.14525181818181823,0.12262158653474091,0.1884,0.13045045410324635,0.23085045454545455,0.1302020317697897,0.2845913636363636,0.12262434447441864,0.3502268181818181,0.10649321889467182,0.5222018181818182,0.06574226456066867,0.8332045454545454,0.03624489835729382,0.005714285714285713,0.12725328645013442,0.04333333333333335,0.10842450160817507,0.10476190476190479,0.09844900605452843,0.9004761904761904,0.31341074213372533,1.9752380952380955,0.32026514087301117,2.8271428571428574,0.2867595124610456,3.182380952380953,0.2632682479214722,31041077337.2648,-0.2651403453987499,11510278467.2037,0.2537211428452042,91.13289228397959,0.2038933581988172,4.6,0.4140578555126262,3.3,0.26409105117810866
4,2013-01,AR,LITTLE ROCK,2013-01,2.5,"(-92.44579, 34.740017)",20622.184999999998,All,0.16043181818181818,0.12262158653474091,0.17947272727272726,0.13045045410324635,0.20497272727272725,0.1302020317697897,0.2497954545454545,0.12262434447441864,0.30261363636363625,0.10649321889467182,0.48810454545454546,0.06574226456066867,0.8142727272727271,0.03624489835729382,0.05190476190476192,0.12725328645013442,0.10761904761904766,0.10842450160817507,0.14523809523809525,0.09844900605452843,0.8052380952380951,0.31341074213372533,1.9147619047619049,0.32026514087301117,2.681428571428571,0.2867595124610456,3.0804761904761913,0.2632682479214722,37571290060.6541,-0.2651403453987499,9498561196.652071,0.2537211428452042,89.513287195688,0.2038933581988172,3.2,0.4140578555126262,2.8,0.26409105117810866
5,2013-05,AR,LITTLE ROCK,2013-05,3.7,"(-92.2896, 34.7465)",22925.42,All,0.1435047619047619,0.12262158653474091,0.1638380952380952,0.13045045410324635,0.19670952380952378,0.1302020317697897,0.23396000000000003,0.12262434447441864,0.27416904761904765,0.10649321889467182,0.42137333333333327,0.06574226456066867,0.6936104761904763,0.03624489835729382,0.020454545454545458,0.12725328645013442,0.08090909090909093,0.10842450160817507,0.11863636363636366,0.09844900605452843,0.840909090909091,0.31341074213372533,1.9281818181818182,0.32026514087301117,2.7286363636363635,0.2867595124610456,3.112727272727273,0.2632682479214722,39268596272.9965,-0.2651403453987499,10216278752.7557,0.2537211428452042,91.578064558499,0.2038933581988172,3.8,0.4140578555126262,2.7,0.26409105117810866
6,2013-06,AR,LITTLE ROCK,2013-06,2.88,"(-92.34388, 34.718379)",20217.32,All,0.13074,0.12262158653474091,0.15964599999999998,0.13045045410324635,0.19319250000000002,0.1302020317697897,0.23164600000000002,0.12262434447441864,0.27374,0.10649321889467182,0.4139935,0.06574226456066867,0.6839425000000002,0.03624489835729382,0.0345,0.12725328645013442,0.08750000000000002,0.10842450160817507,0.142,0.09844900605452843,1.2035,0.31341074213372533,2.3000000000000003,0.32026514087301117,3.0740000000000003,0.2867595124610456,3.400000000000001,0.2632682479214722,39658399389.4891,-0.2651403453987499,9473893018.88319,0.2537211428452042,88.794109524791,0.2038933581988172,3.7,0.4140578555126262,2.6,0.26409105117810866
7,2013-07,AR,LITTLE ROCK,2013-07,5.08,"(-92.2896, 34.7465)",11212.66,All,0.12117913043478262,0.12262158653474091,0.15611695652173913,0.13045045410324635,0.19111913043478265,0.1302020317697897,0.232388695652174,0.12262434447441864,0.26758260869565215,0.10649321889467182,0.40307869565217386,0.06574226456066867,0.6838491304347826,0.03624489835729382,0.020909090909090912,0.12725328645013442,0.07363636363636367,0.10842450160817507,0.12181818181818184,0.09844900605452843,1.4031818181818183,0.31341074213372533,2.5822727272727275,0.32026514087301117,3.3072727272727276,0.2867595124610456,3.605,0.2632682479214722,39298206327.5877,-0.2651403453987499,10396023519.0372,0.2537211428452042,88.920473853359,0.2038933581988172,3.6,0.4140578555126262,2.6,0.26409105117810866
8,2013-09,AR,LITTLE ROCK,2013-09,4.1,"(-92.364273, 34.777721)",12561.16,All,0.11272380952380952,0.12262158653474091,0.14323238095238094,0.13045045410324635,0.18057476190476196,0.1302020317697897,0.22133904761904755,0.12262434447441864,0.2531785714285715,0.10649321889467182,0.38033809523809525,0.06574226456066867,0.6526857142857143,0.03624489835729382,0.017500000000000005,0.12725328645013442,0.04150000000000001,0.10842450160817507,0.11850000000000002,0.09844900605452843,1.5959999999999999,0.31341074213372533,2.8095,0.32026514087301117,3.526,0.2867595124610456,3.7870000000000004,0.2632682479214722,40995097959.5386,-0.2651403453987499,9438159522.248821,0.2537211428452042,88.29263433660921,0.2038933581988172,3.9,0.4140578555126262,3.0,0.26409105117810866
9,2014-04,AR,LITTLE ROCK,2014-04,3.98,"(-92.47497800000001, 34.789777)",80331.93,All,0.08864000000000001,0.12262158653474091,0.120115,0.13045045410324635,0.1517,0.1302020317697897,0.1918625,0.12262434447441864,0.227495,0.10649321889467182,0.32422500000000004,0.06574226456066867,0.550005,0.03624489835729382,0.023333333333333345,0.12725328645013442,0.05333333333333336,0.10842450160817507,0.10761904761904763,0.09844900605452843,1.7009523809523805,0.31341074213372533,2.705238095238095,0.32026514087301117,3.265238095238095,0.2867595124610456,3.5176190476190476,0.2632682479214722,41561863313.5151,-0.2651403453987499,11117378455.0815,0.2537211428452042,85.3165844012547,0.2038933581988172,2.9,0.4140578555126262,2.3,0.26409105117810866
