,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness,Corr with credit_tightness,mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
0,NJ,NEWARK,2012-03,5.0,All,0.14720000000000003,4.8528,0.04003936758372765,0.1893409090909091,4.810659090909091,0.04128914161833846,0.24185227272727275,4.7581477272727275,0.045886918517618835,0.35079999999999995,4.6492,0.05856155768584987,0.4732886363636363,4.526711363636363,0.07758222356345124,0.741275,4.258725,0.11031244680882381,1.0534477272727274,3.9465522727272724,0.10694992230752735,0.06363636363636366,4.9363636363636365,0.01670882588440706,0.14227272727272727,4.8577272727272724,0.01379081340959463,0.19000000000000003,4.81,-0.011556258739305575,1.0172727272727273,3.9827272727272724,-0.11964981637034003,2.1727272727272724,2.8272727272727276,-0.09146706894071423,2.9404545454545454,2.0595454545454546,-0.0311669322547884,3.281363636363636,1.7186363636363642,-0.04383765360091619,36601383816.48,-0.22042634441078454,16111780903.4699,0.36080418042637874,90.0868950067716,0.449842350541166,3.0,0.4158101099496992,6.0,0.21315237474610904
1,NJ,NEWARK,2012-11,3.75,All,0.1555,3.5945,0.04003936758372765,0.18060909090909089,3.569390909090909,0.04128914161833846,0.20888636363636362,3.541113636363636,0.045886918517618835,0.25813636363636355,3.4918636363636364,0.05856155768584987,0.31102272727272723,3.4389772727272727,0.07758222356345124,0.528347727272727,3.221652272727273,0.11031244680882381,0.8631931818181818,2.8868068181818183,0.10694992230752735,0.12449999999999999,3.6255,0.01670882588440706,0.14450000000000002,3.6055,0.01379081340959463,0.17850000000000002,3.5715,-0.011556258739305575,0.665,3.085,-0.11964981637034003,1.654,2.096,-0.09146706894071423,2.3894999999999995,1.3605000000000005,-0.0311669322547884,2.8034999999999997,0.9465000000000003,-0.04383765360091619,39298206327.5877,-0.22042634441078454,9855625468.0504,0.36080418042637874,90.2956809830492,0.449842350541166,2.6,0.4158101099496992,5.3,0.21315237474610904
2,NJ,NEWARK,2013-11,4.48,All,0.10274761904761903,4.377252380952381,0.04003936758372765,0.12919047619047616,4.350809523809525,0.04128914161833846,0.1672714285714286,4.312728571428572,0.045886918517618835,0.20747142857142856,4.2725285714285715,0.05856155768584987,0.2382452380952381,4.241754761904763,0.07758222356345124,0.35063809523809525,4.129361904761905,0.11031244680882381,0.5866738095238094,3.893326190476191,0.10694992230752735,0.046842105263157914,4.433157894736842,0.01670882588440706,0.09842105263157898,4.381578947368421,0.01379081340959463,0.12157894736842105,4.358421052631579,-0.011556258739305575,1.3710526315789473,3.1089473684210533,-0.11964981637034003,2.7184210526315793,1.7615789473684211,-0.09146706894071423,3.503684210526316,0.9763157894736842,-0.0311669322547884,3.7999999999999985,0.6800000000000019,-0.04383765360091619,44555116847.5878,-0.22042634441078454,10653400066.5467,0.36080418042637874,88.4263020205016,0.449842350541166,2.4,0.4158101099496992,4.3,0.21315237474610904
3,NJ,NEWARK,2014-11,3.55,All,0.09656999999999999,3.45343,0.04003936758372765,0.12222499999999999,3.427775,0.04128914161833846,0.1548075,3.3951925,0.045886918517618835,0.20246,3.34754,0.05856155768584987,0.23286250000000003,3.3171375,0.07758222356345124,0.32679500000000006,3.2232049999999997,0.11031244680882381,0.56206,2.98794,0.10694992230752735,0.04166666666666668,3.5083333333333333,0.01670882588440706,0.06944444444444448,3.480555555555555,0.01379081340959463,0.13444444444444448,3.4155555555555552,-0.011556258739305575,1.6205555555555557,1.929444444444444,-0.11964981637034003,2.325555555555556,1.224444444444444,-0.09146706894071423,2.7644444444444445,0.7855555555555553,-0.0311669322547884,3.038333333333333,0.5116666666666667,-0.04383765360091619,47944164595.1044,-0.22042634441078454,12019442988.8631,0.36080418042637874,82.72786465890579,0.449842350541166,2.0,0.4158101099496992,3.8,0.21315237474610904
4,NJ,NEWARK,2015-09,3.54,All,0.1344409090909091,3.405559090909091,0.04003936758372765,0.15661363636363634,3.3833863636363635,0.04128914161833846,0.20107727272727274,3.338922727272727,0.045886918517618835,0.26589318181818195,3.274106818181818,0.05856155768584987,0.3311113636363637,3.2088886363636364,0.07758222356345124,0.5371681818181817,3.0028318181818183,0.11031244680882381,0.8526636363636364,2.687336363636364,0.10694992230752735,0.008571428571428572,3.5314285714285716,0.01670882588440706,0.17952380952380947,3.3604761904761906,0.01379081340959463,0.3733333333333333,3.166666666666667,-0.011556258739305575,1.4900000000000002,2.05,-0.11964981637034003,2.1728571428571435,1.3671428571428565,-0.09146706894071423,2.618095238095238,0.921904761904762,-0.0311669322547884,2.9528571428571433,0.5871428571428567,-0.04383765360091619,48154770296.6926,-0.22042634441078454,11404853913.5663,0.36080418042637874,81.36742750908279,0.449842350541166,2.3,0.4158101099496992,3.0,0.21315237474610904
5,NJ,NEWARK,2015-12,3.65,All,0.2286238095238095,3.4213761904761903,0.04003936758372765,0.289352380952381,3.3606476190476187,0.04128914161833846,0.3523071428571429,3.297692857142857,0.045886918517618835,0.44092857142857156,3.2090714285714284,0.05856155768584987,0.5332357142857143,3.116764285714286,0.07758222356345124,0.7638285714285715,2.886171428571428,0.11031244680882381,1.0841380952380955,2.5658619047619045,0.10694992230752735,0.17181818181818184,3.478181818181818,0.01670882588440706,0.4990909090909091,3.150909090909091,0.01379081340959463,0.6536363636363638,2.996363636363636,-0.011556258739305575,1.6986363636363635,1.9513636363636364,-0.11964981637034003,2.2427272727272736,1.4072727272727263,-0.09146706894071423,2.6072727272727274,1.0427272727272725,-0.0311669322547884,2.97,0.6799999999999997,-0.04383765360091619,48887248013.451,-0.22042634441078454,10916249757.9916,0.36080418042637874,82.3313446344394,0.449842350541166,1.8,0.4158101099496992,2.7,0.21315237474610904
6,NJ,NEWARK,2016-03,3.37,All,0.3739333333333333,2.9960666666666667,0.04003936758372765,0.39734047619047613,2.972659523809524,0.04128914161833846,0.43639523809523806,2.9336047619047623,0.045886918517618835,0.5204357142857143,2.849564285714286,0.05856155768584987,0.632,2.738,0.07758222356345124,0.9009761904761905,2.4690238095238097,0.11031244680882381,1.2156690476190475,2.1543309523809526,0.10694992230752735,0.2531818181818182,3.116818181818182,0.01670882588440706,0.47,2.9000000000000004,0.01379081340959463,0.6563636363636364,2.713636363636364,-0.011556258739305575,1.3759090909090912,1.994090909090909,-0.11964981637034003,1.889090909090909,1.4809090909090912,-0.09146706894071423,2.2759090909090913,1.0940909090909088,-0.0311669322547884,2.6845454545454546,0.6854545454545455,-0.04383765360091619,49692544708.3448,-0.22042634441078454,11531266279.4831,0.36080418042637874,83.5754036116387,0.449842350541166,2.1,0.4158101099496992,2.7,0.21315237474610904
7,NJ,NEWARK,2016-09,6.5,All,0.42159363636363634,6.078406363636364,0.04003936758372765,0.4495609090909092,6.050439090909091,0.04128914161833846,0.5270018181818182,5.972998181818181,0.045886918517618835,0.6625254545454545,5.837474545454546,0.05856155768584987,0.8496804545454547,5.650319545454545,0.07758222356345124,1.2471445454545458,5.252855454545454,0.11031244680882381,1.5560313636363639,4.943968636363636,0.10694992230752735,0.1914285714285715,6.308571428571429,0.01670882588440706,0.4671428571428572,6.032857142857143,0.01379081340959463,0.5933333333333333,5.906666666666666,-0.011556258739305575,1.178095238095238,5.3219047619047615,-0.11964981637034003,1.6304761904761906,4.869523809523809,-0.09146706894071423,2.0152380952380957,4.484761904761904,-0.0311669322547884,2.350476190476191,4.149523809523809,-0.04383765360091619,49588706606.1033,-0.22042634441078454,12351593318.9066,0.36080418042637874,88.3913281030881,0.449842350541166,2.2,0.4158101099496992,2.5,0.21315237474610904
8,NJ,NEWARK,2016-10,3.35,All,0.4307719047619048,2.919228095238095,0.04003936758372765,0.457582380952381,2.892417619047619,0.04128914161833846,0.5307795238095238,2.8192204761904764,0.045886918517618835,0.6609890476190475,2.6890109523809524,0.05856155768584987,0.8786828571428573,2.471317142857143,0.07758222356345124,1.258856666666667,2.091143333333333,0.11031244680882381,1.577814761904762,1.772185238095238,0.10694992230752735,0.24400000000000005,3.106,0.01670882588440706,0.47700000000000004,2.873,0.01379081340959463,0.6595000000000001,2.6905,-0.011556258739305575,1.2719999999999998,2.0780000000000003,-0.11964981637034003,1.7645000000000004,1.5854999999999997,-0.09146706894071423,2.1705,1.1795,-0.0311669322547884,2.5004999999999997,0.8495000000000004,-0.04383765360091619,48913265551.9221,-0.22042634441078454,12722317795.1324,0.36080418042637874,88.43997566936979,0.449842350541166,1.9,0.4158101099496992,2.3,0.21315237474610904
9,NJ,NEWARK,2017-11,3.41,All,1.183300476190476,2.226699523809524,0.04003936758372765,1.2036563636363637,2.2063436363636364,0.04128914161833846,1.2878790909090911,2.122120909090909,0.045886918517618835,1.3757831818181818,2.034216818181818,0.05856155768584987,1.4342040909090912,1.975795909090909,0.07758222356345124,1.6264599999999996,1.7835400000000006,0.11031244680882381,1.9015695454545458,1.5084304545454543,0.10694992230752735,1.09,2.3200000000000003,0.01670882588440706,1.3895238095238096,2.0204761904761908,0.01379081340959463,1.5600000000000003,1.8499999999999999,-0.011556258739305575,2.05,1.3600000000000003,-0.11964981637034003,2.353333333333333,1.056666666666667,-0.09146706894071423,2.6023809523809525,0.8076190476190477,-0.0311669322547884,2.801904761904762,0.6080952380952382,-0.04383765360091619,50828048870.0026,-0.22042634441078454,11725018303.5706,0.36080418042637874,87.3618752869242,0.449842350541166,1.9,0.4158101099496992,1.7,0.21315237474610904
