,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol(1),Corr with student_vol(1),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-4),Corr with mortgage 90(-4)
0,2011-07,AZ,TUCSON,2011-07,4.15,"(-111.037725, 32.216597)",50164.74,All,0.12388095238095237,0.3962150123905871,0.1598857142857143,0.399237143951205,0.18661904761904766,0.4051940608288974,0.2182333333333334,0.40925951811540767,0.24991190476190472,0.4168262767049457,0.41392857142857137,0.4006570300290422,0.7452261904761905,0.39514482423200564,0.037500000000000006,0.3833543850474853,0.08400000000000002,0.4007365033541353,0.185,0.41781399730983193,1.541,0.546145423048507,3.003,0.47166215748671925,3.9475000000000002,0.1677560907450627,4.2705,0.022448398101973525,33690910289.8878,0.31327016828081156,12477113046.1263,0.6232035535831796,88.33905735772379,-0.294105386948966,2.8,-0.33615306854147275,3.4,-0.3649118890848319
1,2011-10,AZ,TUCSON,2011-10,4.1,"(-110.90050600000001, 32.25022)",20835.21,All,0.1416352380952381,0.3962150123905871,0.19074095238095234,0.399237143951205,0.24373904761904758,0.4051940608288974,0.3185252380952381,0.40925951811540767,0.4064785714285714,0.4168262767049457,0.59521,0.4006570300290422,0.9086428571428572,0.39514482423200564,0.013500000000000003,0.3833543850474853,0.05450000000000003,0.4007365033541353,0.1145,0.41781399730983193,1.0614999999999999,0.546145423048507,2.1519999999999997,0.47166215748671925,2.8695,0.1677560907450627,3.128,0.022448398101973525,35344521679.5642,0.31327016828081156,11784187253.6333,0.6232035535831796,90.35087768078328,-0.294105386948966,3.0,-0.33615306854147275,3.4,-0.3649118890848319
2,2011-12,AZ,TUCSON,2011-12,3.97,"(-110.7373, 32.2517)",26336.48,All,0.1499335,0.3962150123905871,0.2029985,0.399237143951205,0.2836085,0.4051940608288974,0.40829250000000006,0.40925951811540767,0.5557375,0.4168262767049457,0.7798775000000001,0.4006570300290422,1.1003555000000003,0.39514482423200564,0.0033333333333333335,0.3833543850474853,0.048571428571428585,0.4007365033541353,0.11523809523809528,0.41781399730983193,0.8914285714285713,0.546145423048507,1.9780952380952384,0.47166215748671925,2.6676190476190476,0.1677560907450627,2.9823809523809524,0.022448398101973525,35532707747.113,0.31327016828081156,11510278467.2037,0.6232035535831796,90.7743282432688,-0.294105386948966,3.1,-0.33615306854147275,3.4,-0.3649118890848319
3,2012-09,AZ,TUCSON,2012-09,2.955,"(-110.821775, 32.219561)",34833.895000000004,All,0.15189500000000006,0.3962150123905871,0.183625,0.399237143951205,0.22133750000000002,0.4051940608288974,0.3079875,0.40925951811540767,0.3856325000000001,0.4168262767049457,0.6716749999999999,0.4006570300290422,0.9997750000000002,0.39514482423200564,0.07526315789473685,0.3833543850474853,0.13736842105263158,0.4007365033541353,0.17578947368421055,0.41781399730983193,0.6689473684210526,0.546145423048507,1.7231578947368422,0.47166215748671925,2.488421052631579,0.1677560907450627,2.8815789473684212,0.022448398101973525,38410438812.4053,0.31327016828081156,12022315813.7363,0.6232035535831796,90.37816904639429,-0.294105386948966,2.8,-0.33615306854147275,3.1,-0.3649118890848319
4,2012-10,AZ,TUCSON,2012-10,2.33,"(-110.99877, 32.332190000000004)",23540.83,All,0.15320434782608702,0.3962150123905871,0.17955217391304346,0.399237143951205,0.21346521739130433,0.4051940608288974,0.2717391304347827,0.40925951811540767,0.3304891304347827,0.4168262767049457,0.5823021739130435,0.4006570300290422,0.9185760869565219,0.39514482423200564,0.10952380952380951,0.3833543850474853,0.14904761904761904,0.4007365033541353,0.17952380952380956,0.41781399730983193,0.7085714285714285,0.546145423048507,1.7461904761904758,0.47166215748671925,2.505714285714286,0.1677560907450627,2.90047619047619,0.022448398101973525,38808856509.5085,0.31327016828081156,10740081615.3953,0.6232035535831796,90.2956809830492,-0.294105386948966,2.8,-0.33615306854147275,3.4,-0.3649118890848319
5,2013-01,AZ,TUCSON,2013-01,3.21,"(-111.034517, 32.35548)",32803.43,All,0.16043181818181818,0.3962150123905871,0.17947272727272726,0.399237143951205,0.20497272727272725,0.4051940608288974,0.2497954545454545,0.40925951811540767,0.30261363636363625,0.4168262767049457,0.48810454545454546,0.4006570300290422,0.8142727272727271,0.39514482423200564,0.05190476190476192,0.3833543850474853,0.10761904761904766,0.4007365033541353,0.14523809523809525,0.41781399730983193,0.8052380952380951,0.546145423048507,1.9147619047619049,0.47166215748671925,2.681428571428571,0.1677560907450627,3.0804761904761913,0.022448398101973525,39298206327.5877,0.31327016828081156,11080080767.5225,0.6232035535831796,88.794109524791,-0.294105386948966,3.2,-0.33615306854147275,2.9,-0.3649118890848319
6,2013-06,AZ,TUCSON,2013-06,3.25,"(-110.96746100000001, 32.222101)",24893.68,All,0.13074,0.3962150123905871,0.15964599999999998,0.399237143951205,0.19319250000000002,0.4051940608288974,0.23164600000000002,0.40925951811540767,0.27374,0.4168262767049457,0.4139935,0.4006570300290422,0.6839425000000002,0.39514482423200564,0.0345,0.3833543850474853,0.08750000000000002,0.4007365033541353,0.142,0.41781399730983193,1.2035,0.546145423048507,2.3000000000000003,0.47166215748671925,3.0740000000000003,0.1677560907450627,3.400000000000001,0.022448398101973525,41334062733.8549,0.31327016828081156,8901986132.75728,0.6232035535831796,90.32258801944451,-0.294105386948966,2.7,-0.33615306854147275,2.6,-0.3649118890848319
7,2013-10,AZ,TUCSON,2013-10,2.75,"(-110.974547, 32.281002)",14199.86,All,0.10426086956521738,0.3962150123905871,0.13668260869565219,0.399237143951205,0.17241521739130433,0.4051940608288974,0.21265,0.40925951811540767,0.2417652173913043,0.4168262767049457,0.36121521739130424,0.4006570300290422,0.6177847826086957,0.39514482423200564,0.1059090909090909,0.3833543850474853,0.07590909090909094,0.4007365033541353,0.12136363636363635,0.41781399730983193,1.366818181818182,0.546145423048507,2.615909090909091,0.47166215748671925,3.3795454545454544,0.1677560907450627,3.6759090909090903,0.022448398101973525,41561863313.5151,0.31327016828081156,10396023519.0372,0.6232035535831796,88.4263020205016,-0.294105386948966,2.6,-0.33615306854147275,2.2,-0.3649118890848319
8,2014-08,AZ,TUCSON,2014-08,3.85,"(-110.84852, 32.224395)",69955.19,All,0.090785,0.3962150123905871,0.121725,0.399237143951205,0.15602,0.4051940608288974,0.19527250000000002,0.40925951811540767,0.23465000000000003,0.4168262767049457,0.32965500000000003,0.4006570300290422,0.55889,0.39514482423200564,0.030000000000000006,0.3833543850474853,0.0523809523809524,0.4007365033541353,0.10714285714285714,0.41781399730983193,1.6314285714285717,0.546145423048507,2.42,0.47166215748671925,2.9366666666666665,0.1677560907450627,3.2009523809523808,0.022448398101973525,44591810060.8257,0.31327016828081156,11159124696.1814,0.6232035535831796,82.2508390398281,-0.294105386948966,2.4,-0.33615306854147275,1.5,-0.3649118890848319
9,2015-01,AZ,TUCSON,2015-01,4.45,"(-110.99877, 32.332190000000004)",19726.95,All,0.11871428571428574,0.3962150123905871,0.1349785714285714,0.399237143951205,0.16807857142857144,0.4051940608288974,0.2135952380952381,0.40925951811540767,0.2543190476190476,0.4168262767049457,0.35825714285714294,0.4006570300290422,0.6221666666666666,0.39514482423200564,0.018000000000000006,0.3833543850474853,0.08300000000000003,0.4007365033541353,0.19549999999999998,0.41781399730983193,1.3744999999999998,0.546145423048507,1.8814999999999997,0.47166215748671925,2.199,0.1677560907450627,2.455,0.022448398101973525,47944164595.1044,0.31327016828081156,11837215038.8922,0.6232035535831796,82.122236078369,-0.294105386948966,2.3,-0.33615306854147275,1.6,-0.3649118890848319
10,2015-03,AZ,TUCSON,2015-03,3.23,"(-110.87735500000001, 32.234846000000005)",14933.36,All,0.12134999999999999,0.3962150123905871,0.14022954545454547,0.399237143951205,0.17560000000000003,0.4051940608288974,0.21958181818181813,0.40925951811540767,0.26829772727272727,0.4168262767049457,0.39945,0.4006570300290422,0.700025,0.39514482423200564,0.02272727272727273,0.3833543850474853,0.11000000000000001,0.4007365033541353,0.25363636363636366,0.41781399730983193,1.5190909090909088,0.546145423048507,2.042727272727273,0.47166215748671925,2.4068181818181817,0.1677560907450627,2.626363636363636,0.022448398101973525,47692027772.9219,0.31327016828081156,11835194000.8273,0.6232035535831796,79.25862065623551,-0.294105386948966,2.5,-0.33615306854147275,1.7,-0.3649118890848319
11,2015-06,AZ,TUCSON,2015-06,3.5,"(-111.00422900000001, 32.310221999999996)",17988.47,All,0.12293636363636364,0.3962150123905871,0.14681590909090908,0.399237143951205,0.1858840909090909,0.4051940608288974,0.23472954545454539,0.40925951811540767,0.2827113636363637,0.4168262767049457,0.43974545454545466,0.4006570300290422,0.7702659090909093,0.39514482423200564,0.007727272727272728,0.3833543850474853,0.08681818181818185,0.4007365033541353,0.2754545454545455,0.41781399730983193,1.6836363636363636,0.546145423048507,2.3636363636363638,0.47166215748671925,2.8454545454545452,0.1677560907450627,3.1118181818181814,0.022448398101973525,48836554747.323,0.31327016828081156,11834405659.8436,0.6232035535831796,81.7923503982947,-0.294105386948966,1.8,-0.33615306854147275,1.6,-0.3649118890848319
