,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol,Corr with student_vol,credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
3,2010-12,GA,ATLANTA,2010-12,4.1,"(-84.3982, 33.7493)",55529.46,All,0.24122190476190472,0.2651539196751872,0.25412380952380953,0.26479689250869687,0.26178857142857137,0.2592509556915075,0.28196571428571415,0.25305559091196184,0.30272333333333334,0.2424979440050784,0.4583942857142857,0.21917918776261858,0.7839004761904763,0.23370441568732372,0.0854166666666667,0.2702816528006873,0.19333333333333338,0.2652920565149144,0.2937499999999999,0.2774558607824716,1.9429166666666664,0.6714055094566572,3.2949999999999995,0.7643934155744261,4.173333333333333,0.6384824252544613,4.415,0.5760056306484221,31565012894.7234,-0.32790900848051713,10792773250.4017,0.3736428097916644,92.4549564204629,0.3500178584650933,4.2,0.2836819699207334,5.0,0.298729676050958
4,2011-02,GA,ATLANTA,2011-02,4.79,"(-84.47, 33.8)",27023.835,All,0.23214,0.2651539196751872,0.25165,0.26479689250869687,0.26292499999999996,0.2592509556915075,0.28731249999999997,0.25305559091196184,0.31189999999999996,0.2424979440050784,0.46404500000000004,0.21917918776261858,0.7933949999999999,0.23370441568732372,0.11473684210526319,0.2702816528006873,0.16842105263157894,0.2652920565149144,0.2863157894736842,0.2774558607824716,2.257894736842106,0.6714055094566572,3.5763157894736834,0.7643934155744261,4.423684210526316,0.6384824252544613,4.652105263157895,0.5760056306484221,31041077337.2648,-0.32790900848051713,11726514214.1317,0.3736428097916644,94.7176548951663,0.3500178584650933,4.4,0.2836819699207334,4.8,0.298729676050958
5,2011-04,GA,ATLANTA,2011-04,3.96,"(-84.382637, 33.77449)",8995.29,All,0.14759444444444447,0.2651539196751872,0.19237777777777781,0.26479689250869687,0.22143500000000005,0.2592509556915075,0.25190277777777786,0.25305559091196184,0.28138222222222226,0.2424979440050784,0.44229888888888896,0.21917918776261858,0.7700555555555555,0.23370441568732372,0.029500000000000005,0.2702816528006873,0.11950000000000002,0.2652920565149144,0.24650000000000002,0.2774558607824716,2.169,0.6714055094566572,3.4549999999999996,0.7643934155744261,4.276000000000001,0.6384824252544613,4.5015,0.5760056306484221,31992172727.7437,-0.32790900848051713,15995126134.7035,0.3736428097916644,93.74313363440879,0.3500178584650933,4.8,0.2836819699207334,4.7,0.298729676050958
6,2011-05,GA,ATLANTA,2011-05,4.24,"(-84.3902, 33.7491)",60471.3,All,0.130775,0.2651539196751872,0.16787249999999998,0.26479689250869687,0.1978005,0.2592509556915075,0.23078799999999994,0.25305559091196184,0.260713,0.2424979440050784,0.41407550000000004,0.21917918776261858,0.7391499999999999,0.23370441568732372,0.024285714285714285,0.2702816528006873,0.0866666666666667,0.2652920565149144,0.18809523809523812,0.2774558607824716,1.8423809523809527,0.6714055094566572,3.168571428571429,0.7643934155744261,4.011428571428572,0.6384824252544613,4.293333333333333,0.5760056306484221,31754785132.2305,-0.32790900848051713,13753511368.0623,0.3736428097916644,91.59671843464591,0.3500178584650933,4.7,0.2836819699207334,4.7,0.298729676050958
7,2011-06,GA,ATLANTA,2011-06,3.94,"(-84.4937887, 33.672008500000004)",23274.07,All,0.12706818181818183,0.2651539196751872,0.1615431818181819,0.26479689250869687,0.18716409090909092,0.2592509556915075,0.21923909090909086,0.25305559091196184,0.24782409090909094,0.2424979440050784,0.39758,0.21917918776261858,0.7268749999999999,0.23370441568732372,0.0190909090909091,0.2702816528006873,0.1013636363636364,0.2652920565149144,0.18090909090909094,0.2774558607824716,1.5799999999999998,0.6714055094566572,3.002272727272727,0.7643934155744261,3.9145454545454546,0.6384824252544613,4.2327272727272724,0.5760056306484221,33690910289.8878,-0.32790900848051713,12472473242.0863,0.3736428097916644,92.5881563190625,0.3500178584650933,4.8,0.2836819699207334,4.7,0.298729676050958
8,2011-08,GA,ATLANTA,2011-08,3.95,"(-84.52379499999999, 33.717755)",15070.35,All,0.14468363636363638,0.2651539196751872,0.18038681818181818,0.26479689250869687,0.21116590909090904,0.2592509556915075,0.24895727272727275,0.25305559091196184,0.29323772727272723,0.2424979440050784,0.45919454545454547,0.21917918776261858,0.7783581818181818,0.23370441568732372,0.017391304347826094,0.2702816528006873,0.06217391304347828,0.2652920565149144,0.11478260869565218,0.2774558607824716,1.021304347826087,0.6714055094566572,2.303043478260869,0.7643934155744261,3.244782608695652,0.6384824252544613,3.6513043478260867,0.5760056306484221,34825519831.2788,-0.32790900848051713,12477113046.1263,0.3736428097916644,90.24550000965358,0.3500178584650933,4.8,0.2836819699207334,4.9,0.298729676050958
9,2011-12,GA,ATLANTA,2011-12,4.14,"(-84.411132, 33.750794)",9387.13,All,0.1499335,0.2651539196751872,0.2029985,0.26479689250869687,0.2836085,0.2592509556915075,0.40829250000000006,0.25305559091196184,0.5557375,0.2424979440050784,0.7798775000000001,0.21917918776261858,1.1003555000000003,0.23370441568732372,0.0033333333333333335,0.2702816528006873,0.048571428571428585,0.2652920565149144,0.11523809523809528,0.2774558607824716,0.8914285714285713,0.6714055094566572,1.9780952380952384,0.7643934155744261,2.6676190476190476,0.6384824252544613,2.9823809523809524,0.5760056306484221,35767585536.868996,-0.32790900848051713,11508699084.1195,0.3736428097916644,91.3646878868074,0.3500178584650933,4.2,0.2836819699207334,4.7,0.298729676050958
10,2012-08,GA,ATLANTA,2012-08,2.44,"(-84.353044, 33.773824)",23016.61,All,0.15374090909090915,0.2651539196751872,0.18745454545454548,0.26479689250869687,0.23783863636363634,0.2592509556915075,0.3331136363636364,0.25305559091196184,0.43259999999999993,0.2424979440050784,0.7177749999999997,0.21917918776261858,1.0426272727272727,0.23370441568732372,0.09217391304347829,0.2702816528006873,0.14043478260869566,0.2652920565149144,0.18347826086956526,0.2774558607824716,0.7139130434782609,0.6714055094566572,1.6782608695652175,0.7643934155744261,2.3978260869565218,0.6384824252544613,2.7708695652173914,0.5760056306484221,38410438812.4053,-0.32790900848051713,11986368496.8635,0.3736428097916644,89.56768058609659,0.3500178584650933,4.6,0.2836819699207334,4.2,0.298729676050958
11,2012-10,GA,ATLANTA,2012-10,3.15,"(-84.38364200000001, 33.744056)",19042.21,All,0.15320434782608702,0.2651539196751872,0.17955217391304346,0.26479689250869687,0.21346521739130433,0.2592509556915075,0.2717391304347827,0.25305559091196184,0.3304891304347827,0.2424979440050784,0.5823021739130435,0.21917918776261858,0.9185760869565219,0.23370441568732372,0.10952380952380951,0.2702816528006873,0.14904761904761904,0.2652920565149144,0.17952380952380956,0.2774558607824716,0.7085714285714285,0.6714055094566572,1.7461904761904758,0.7643934155744261,2.505714285714286,0.6384824252544613,2.90047619047619,0.5760056306484221,39268596272.9965,-0.32790900848051713,12022315813.7363,0.3736428097916644,89.6061116730853,0.3500178584650933,4.3,0.2836819699207334,4.0,0.298729676050958
12,2012-11,GA,ATLANTA,2012-11,2.53,"(-84.385613, 33.83135)",17235.61,All,0.1555,0.2651539196751872,0.18060909090909089,0.26479689250869687,0.20888636363636362,0.2592509556915075,0.25813636363636355,0.25305559091196184,0.31102272727272723,0.2424979440050784,0.528347727272727,0.21917918776261858,0.8631931818181818,0.23370441568732372,0.12449999999999999,0.2702816528006873,0.14450000000000002,0.2652920565149144,0.17850000000000002,0.2774558607824716,0.665,0.6714055094566572,1.654,0.7643934155744261,2.3894999999999995,0.6384824252544613,2.8034999999999997,0.5760056306484221,39658399389.4891,-0.32790900848051713,10740081615.3953,0.3736428097916644,89.513287195688,0.3500178584650933,4.2,0.2836819699207334,3.9,0.298729676050958
