,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(-1),Corr with student_vol(-1),credit_tightness,Corr with credit_tightness,mortgage 30-89(-1),Corr with mortgage 30-89(-1),mortgage 90(-1),Corr with mortgage 90(-1),long,lat
0,2013-06,CA,HAYWARD,2013-06,3.0,"(-122.06883149999999, 37.6552421)",26381.03,All,0.13074,0.588497577164362,0.15964599999999998,0.5859108069733163,0.19319250000000002,0.5840643754154968,0.23164600000000002,0.5857872777686727,0.27374,0.5843296628544976,0.4139935,0.5808805601304088,0.6839425000000002,0.5858974121535292,0.0345,0.5815740712191989,0.08750000000000002,0.5880323609540876,0.142,0.6067621148250366,1.2035,0.5774313527302543,2.3000000000000003,0.1635811146631309,3.0740000000000003,-0.41334182995043367,3.400000000000001,-0.5805740195460006,40995097959.5386,0.8932797301702329,9498561196.652071,0.9087073942982092,89.95115518901541,-0.2776832495390621,1.3,-0.9357895830999108,1.7,-0.8740187125444654,-122.06883149999999,37.6552421
1,2015-02,CA,HAYWARD,2015-02,3.44,"(-122.11723700000002, 37.670347)",30326.81,All,0.11784999999999998,0.588497577164362,0.13764249999999997,0.5859108069733163,0.17207499999999998,0.5840643754154968,0.2121925,0.5857872777686727,0.25842,0.5843296628544976,0.37596500000000005,0.5808805601304088,0.6601375,0.5858974121535292,0.017894736842105265,0.5815740712191989,0.07105263157894741,0.5880323609540876,0.22421052631578947,0.6067621148250366,1.472631578947368,0.5774313527302543,1.9752631578947366,0.1635811146631309,2.3384210526315794,-0.41334182995043367,2.566315789473684,-0.5805740195460006,45667781053.6763,0.8932797301702329,11733364706.6996,0.9087073942982092,82.122236078369,-0.2776832495390621,1.1,-0.9357895830999108,1.0,-0.8740187125444654,-122.11723700000002,37.670347
2,2015-04,CA,HAYWARD,2015-04,4.0,"(-122.054651, 37.633943)",214506.92,All,0.12200000000000003,0.588497577164362,0.14605250000000003,0.5859108069733163,0.18076750000000003,0.5840643754154968,0.22830999999999996,0.5857872777686727,0.27596,0.5843296628544976,0.404505,0.5808805601304088,0.6969449999999999,0.5858974121535292,0.018181818181818188,0.5815740712191989,0.09363636363636368,0.5880323609540876,0.23363636363636367,0.6067621148250366,1.3545454545454545,0.5774313527302543,1.9349999999999996,0.1635811146631309,2.334090909090909,-0.41334182995043367,2.5859090909090905,-0.5805740195460006,47944164595.1044,0.8932797301702329,12019442988.8631,0.9087073942982092,79.25862065623551,-0.2776832495390621,0.9,-0.9357895830999108,0.8,-0.8740187125444654,-122.054651,37.633943
3,2015-06,CA,HAYWARD,2015-06,3.46,"(-122.11876799999999, 37.668499)",24249.53,All,0.12293636363636364,0.588497577164362,0.14681590909090908,0.5859108069733163,0.1858840909090909,0.5840643754154968,0.23472954545454539,0.5857872777686727,0.2827113636363637,0.5843296628544976,0.43974545454545466,0.5808805601304088,0.7702659090909093,0.5858974121535292,0.007727272727272728,0.5815740712191989,0.08681818181818185,0.5880323609540876,0.2754545454545455,0.6067621148250366,1.6836363636363636,0.5774313527302543,2.3636363636363638,0.1635811146631309,2.8454545454545452,-0.41334182995043367,3.1118181818181814,-0.5805740195460006,47692027772.9219,0.8932797301702329,11119760586.3258,0.9087073942982092,82.75451956383341,-0.2776832495390621,1.0,-0.9357895830999108,0.8,-0.8740187125444654,-122.11876799999999,37.668499
4,2017-09,CA,HAYWARD,2017-09,3.85,"(10.41944, 5.47944)",74852.09,All,1.1784444999999997,0.588497577164362,1.1967471428571432,0.5859108069733163,1.23492,0.5840643754154968,1.2721638095238097,0.5857872777686727,1.3232957142857147,0.5843296628544976,1.4732157142857143,0.5808805601304088,1.738246666666667,0.5858974121535292,0.9940000000000001,0.5815740712191989,1.171,0.5880323609540876,1.2799999999999998,0.6067621148250366,1.7975,0.5774313527302543,2.2020000000000004,0.1635811146631309,2.5300000000000002,-0.41334182995043367,2.7764999999999995,-0.5805740195460006,47520522623.6854,0.8932797301702329,12103218541.1776,0.9087073942982092,89.9213768261837,-0.2776832495390621,0.8,-0.9357895830999108,0.3,-0.8740187125444654,10.41944,5.47944
5,2018-06,CA,HAYWARD,2018-06,3.99,"(-122.06985, 37.636086)",41491.505000000005,All,1.8376333333333337,0.588497577164362,1.9170571428571423,0.5859108069733163,2.068429047619047,0.5840643754154968,2.1502619047619045,0.5857872777686727,2.330264285714286,0.5843296628544976,2.4958952380952377,0.5808805601304088,2.759644285714286,0.5858974121535292,1.8052380952380953,0.5815740712191989,2.113809523809524,0.5880323609540876,2.328095238095238,0.6067621148250366,2.775714285714286,0.5774313527302543,2.9123809523809525,0.1635811146631309,2.9776190476190476,-0.41334182995043367,3.0500000000000007,-0.5805740195460006,50407042046.8076,0.8932797301702329,12109088557.0787,0.9087073942982092,87.17587933428369,-0.2776832495390621,0.7,-0.9357895830999108,0.3,-0.8740187125444654,-122.06985,37.636086
