,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol,Corr with auto_vol,student_vol(2),Corr with student_vol(2),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(3),Corr with mortgage 90(3)
0,2009-12,MD,SALISBURY,2009-12,3.97,"(-75.614791, 38.394118)",8013.5,All,0.17885714285714288,0.19711547935000545,0.2141833333333333,0.19660051040601104,0.23288904761904766,0.19888500638923207,0.24197238095238102,0.2039580855582884,0.2530461904761905,0.20883197696842282,0.4528776190476191,0.20297101740229026,0.9993009523809523,0.16880053490595628,0.03181818181818183,0.19685776704386315,0.16772727272727275,0.18391893959510713,0.37136363636363634,0.16690365212427952,2.3404545454545453,-0.1687891109316047,3.589999999999999,-0.38046844326573276,4.399545454545455,-0.3612386281820947,4.494090909090908,-0.32582088387565494,25435545396.8332,0.45589959443284467,14228362706.5907,-0.6467098024622907,103.99632208797199,-0.38303101238034376,3.7,-0.5391381396144682,3.7,-0.30486276974286186
1,2013-07,MD,SALISBURY,2013-07,4.93,"(-75.611901, 38.377091)",6896.54,All,0.12117913043478262,0.19711547935000545,0.15611695652173913,0.19660051040601104,0.19111913043478265,0.19888500638923207,0.232388695652174,0.2039580855582884,0.26758260869565215,0.20883197696842282,0.40307869565217386,0.20297101740229026,0.6838491304347826,0.16880053490595628,0.020909090909090912,0.19685776704386315,0.07363636363636367,0.18391893959510713,0.12181818181818184,0.16690365212427952,1.4031818181818183,-0.1687891109316047,2.5822727272727275,-0.38046844326573276,3.3072727272727276,-0.3612386281820947,3.605,-0.32582088387565494,41471481477.9035,0.45589959443284467,10216278752.7557,-0.6467098024622907,86.5850023909696,-0.38303101238034376,2.4,-0.5391381396144682,2.9,-0.30486276974286186
2,2013-08,MD,SALISBURY,2013-08,4.25,"(152.4437394, -31.560762)",10190.07,All,0.11782999999999999,0.19711547935000545,0.1493142857142857,0.19660051040601104,0.1840704761904762,0.19888500638923207,0.22633523809523812,0.2039580855582884,0.2633952380952381,0.20883197696842282,0.3949285714285714,0.20297101740229026,0.6679499999999999,0.16880053490595628,0.03681818181818183,0.19685776704386315,0.07181818181818184,0.18391893959510713,0.12681818181818183,0.16690365212427952,1.5204545454545455,-0.1687891109316047,2.7372727272727273,-0.38046844326573276,3.488181818181818,-0.3612386281820947,3.757727272727273,-0.32582088387565494,41334062733.8549,0.45589959443284467,9473893018.88319,-0.6467098024622907,88.29263433660921,-0.38303101238034376,2.7,-0.5391381396144682,3.0,-0.30486276974286186
3,2014-10,MD,SALISBURY,2014-10,3.95,"(-75.5756478, 38.3758948)",17652.63,All,0.09059565217391304,0.19711547935000545,0.11953260869565213,0.19660051040601104,0.15351739130434783,0.19888500638923207,0.1974043478260869,0.2039580855582884,0.2313760869565217,0.20883197696842282,0.3236195652173913,0.20297101740229026,0.5523869565217392,0.16880053490595628,0.020909090909090912,0.19685776704386315,0.05045454545454548,0.18391893959510713,0.10454545454545458,0.16690365212427952,1.5459090909090911,-0.1687891109316047,2.304090909090909,-0.38046844326573276,2.7731818181818184,-0.3612386281820947,3.039999999999999,-0.32582088387565494,44591810060.8257,0.45589959443284467,14245911418.8887,-0.6467098024622907,81.64661519553,-0.38303101238034376,2.4,-0.5391381396144682,2.5,-0.30486276974286186
4,2015-05,MD,SALISBURY,2015-05,4.6,"(46.174137, -16.595916)",9074.62,All,0.12315789473684212,0.19711547935000545,0.14795,0.19660051040601104,0.1842289473684211,0.19888500638923207,0.2296,0.2039580855582884,0.2795368421052632,0.20883197696842282,0.41659473684210524,0.20297101740229026,0.7346236842105265,0.16880053490595628,0.013000000000000001,0.19685776704386315,0.07950000000000002,0.18391893959510713,0.24100000000000002,0.16690365212427952,1.5385000000000002,-0.1687891109316047,2.1975000000000002,-0.38046844326573276,2.692,-0.3612386281820947,2.9550000000000005,-0.32582088387565494,47692027772.9219,0.45589959443284467,11834405659.8436,-0.6467098024622907,82.122236078369,-0.38303101238034376,2.0,-0.5391381396144682,1.7,-0.30486276974286186
5,2018-08,MD,SALISBURY,2018-08,4.4,"(-75.55903520000001, 38.3865979)",147179.31,All,1.916485,0.19711547935000545,1.9541377272727276,0.19660051040601104,2.074109545454545,0.19888500638923207,2.18963,0.2039580855582884,2.323575,0.20883197696842282,2.5196563636363636,0.20297101740229026,2.8215668181818185,0.16880053490595628,1.9408695652173917,0.19685776704386315,2.244347826086957,0.18391893959510713,2.445652173913043,0.16690365212427952,2.7678260869565223,-0.1687891109316047,2.889130434782609,-0.38046844326573276,2.970434782608696,-0.3612386281820947,3.041739130434783,-0.32582088387565494,50563742345.0186,0.45589959443284467,13275367584.5731,-0.6467098024622907,86.55198240492871,-0.38303101238034376,2.0,-0.5391381396144682,1.1,-0.30486276974286186
