,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol,Corr with student_vol,credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2010-08,TX,CORPUS CHRISTI,2010-08,4.48,"(-96.71375400000001, 33.146997)",78414,15697.46,All,0.23101619047619049,0.3299700326563526,0.2659952380952381,0.338098177681154,0.27546238095238096,0.3526115621654344,0.3123080952380952,0.3635395756631455,0.3625466666666667,0.3717125814290123,0.5790957142857143,0.3822822995301661,0.9435780952380955,0.397444563397986,0.15409090909090908,0.3672479101243187,0.19136363636363637,0.3751876848179687,0.25909090909090904,0.3869757869584714,1.4654545454545451,0.5023723275529068,2.6986363636363637,0.5447205409983369,3.516818181818181,0.3682442491544113,3.8031818181818178,0.249519075458527,29826615528.9652,-0.11869834198357279,11556490165.0911,0.3859767504711623,94.7176548951663,0.5187801665478008,5.6,0.5428573264217338,3.4,0.3401948230355797,-96.71375400000001,33.146997
1,2011-08,TX,CORPUS CHRISTI,2011-08,3.9,"(-97.396349, 27.783040999999997)",78404,63587.53,All,0.14468363636363638,0.3299700326563526,0.18038681818181818,0.338098177681154,0.21116590909090904,0.3526115621654344,0.24895727272727275,0.3635395756631455,0.29323772727272723,0.3717125814290123,0.45919454545454547,0.3822822995301661,0.7783581818181818,0.397444563397986,0.017391304347826094,0.3672479101243187,0.06217391304347828,0.3751876848179687,0.11478260869565218,0.3869757869584714,1.021304347826087,0.5023723275529068,2.303043478260869,0.5447205409983369,3.244782608695652,0.3682442491544113,3.6513043478260867,0.249519075458527,33690910289.8878,-0.11869834198357279,12477113046.1263,0.3859767504711623,90.48744874686929,0.5187801665478008,4.4,0.5428573264217338,2.9,0.3401948230355797,-97.396349,27.783040999999997
2,2012-03,TX,CORPUS CHRISTI,2012-03,3.7,"(-97.3956, 27.8003)",78431,43323.63,All,0.14720000000000003,0.3299700326563526,0.1893409090909091,0.338098177681154,0.24185227272727275,0.3526115621654344,0.35079999999999995,0.3635395756631455,0.4732886363636363,0.3717125814290123,0.741275,0.3822822995301661,1.0534477272727274,0.397444563397986,0.06363636363636366,0.3672479101243187,0.14227272727272727,0.3751876848179687,0.19000000000000003,0.3869757869584714,1.0172727272727273,0.5023723275529068,2.1727272727272724,0.5447205409983369,2.9404545454545454,0.3682442491544113,3.281363636363636,0.249519075458527,36623269866.4569,-0.11869834198357279,11251067892.2966,0.3859767504711623,89.02745876405929,0.5187801665478008,4.0,0.5428573264217338,2.3,0.3401948230355797,-97.3956,27.8003
3,2012-11,TX,CORPUS CHRISTI,2012-11,2.79,"(-97.56775259999999, 27.8488762)",78216,21276.9,All,0.1555,0.3299700326563526,0.18060909090909089,0.338098177681154,0.20888636363636362,0.3526115621654344,0.25813636363636355,0.3635395756631455,0.31102272727272723,0.3717125814290123,0.528347727272727,0.3822822995301661,0.8631931818181818,0.397444563397986,0.12449999999999999,0.3672479101243187,0.14450000000000002,0.3751876848179687,0.17850000000000002,0.3869757869584714,0.665,0.5023723275529068,1.654,0.5447205409983369,2.3894999999999995,0.3682442491544113,2.8034999999999997,0.249519075458527,38808856509.5085,-0.11869834198357279,10740081615.3953,0.3859767504711623,88.920473853359,0.5187801665478008,4.1,0.5428573264217338,1.8,0.3401948230355797,-97.56775259999999,27.8488762
4,2013-03,TX,CORPUS CHRISTI,2013-03,3.75,"(-97.3931515, 27.802026899999998)",78410,18613.87,All,0.15505000000000002,0.3299700326563526,0.17309999999999998,0.338098177681154,0.20345,0.3526115621654344,0.2419,0.3635395756631455,0.28190000000000004,0.3717125814290123,0.44782500000000003,0.3822822995301661,0.7351250000000001,0.397444563397986,0.07800000000000003,0.3672479101243187,0.11450000000000005,0.3751876848179687,0.14750000000000002,0.3869757869584714,0.8185000000000002,0.5023723275529068,1.9575,0.5447205409983369,2.7840000000000003,0.3682442491544113,3.1625000000000005,0.249519075458527,40395555554.9932,-0.11869834198357279,9855625468.0504,0.3859767504711623,90.32258801944451,0.5187801665478008,3.2,0.5428573264217338,1.7,0.3401948230355797,-97.3931515,27.802026899999998
5,2013-08,TX,CORPUS CHRISTI,2013-08,3.85,"(-97.3956, 27.8003)",78418,13014.68,All,0.11782999999999999,0.3299700326563526,0.1493142857142857,0.338098177681154,0.1840704761904762,0.3526115621654344,0.22633523809523812,0.3635395756631455,0.2633952380952381,0.3717125814290123,0.3949285714285714,0.3822822995301661,0.6679499999999999,0.397444563397986,0.03681818181818183,0.3672479101243187,0.07181818181818184,0.3751876848179687,0.12681818181818183,0.3869757869584714,1.5204545454545455,0.5023723275529068,2.7372727272727273,0.5447205409983369,3.488181818181818,0.3682442491544113,3.757727272727273,0.249519075458527,41062625933.5941,-0.11869834198357279,10210246554.7955,0.3859767504711623,85.3165844012547,0.5187801665478008,4.2,0.5428573264217338,1.7,0.3401948230355797,-97.3956,27.8003
6,2016-06,TX,CORPUS CHRISTI,2016-06,3.7,"(-97.3956, 27.8003)",78412,71205.9,All,0.3904409090909091,0.3299700326563526,0.41572500000000007,0.338098177681154,0.4527090909090909,0.3526115621654344,0.5394386363636363,0.3635395756631455,0.6516204545454546,0.3717125814290123,0.9360386363636366,0.3822822995301661,1.2592227272727274,0.397444563397986,0.22136363636363632,0.3672479101243187,0.40409090909090906,0.3751876848179687,0.5522727272727272,0.3869757869584714,1.1663636363636367,0.5023723275529068,1.6440909090909095,0.5447205409983369,2.019090909090909,0.3682442491544113,2.452272727272727,0.249519075458527,49692544708.3448,-0.11869834198357279,11496937509.4445,0.3859767504711623,88.43997566936979,0.5187801665478008,3.6,0.5428573264217338,1.1,0.3401948230355797,-97.3956,27.8003
7,2017-09,TX,CORPUS CHRISTI,2017-09,3.0,"(-97.356371, 27.702036)",78414,46674.63,All,1.1784444999999997,0.3299700326563526,1.1967471428571432,0.338098177681154,1.23492,0.3526115621654344,1.2721638095238097,0.3635395756631455,1.3232957142857147,0.3717125814290123,1.4732157142857143,0.3822822995301661,1.738246666666667,0.397444563397986,0.9940000000000001,0.3672479101243187,1.171,0.3751876848179687,1.2799999999999998,0.3869757869584714,1.7975,0.5023723275529068,2.2020000000000004,0.5447205409983369,2.5300000000000002,0.3682442491544113,2.7764999999999995,0.249519075458527,49855182727.6109,-0.11869834198357279,11813706431.8634,0.3859767504711623,88.1148323663994,0.5187801665478008,1.1,0.5428573264217338,1.1,0.3401948230355797,-97.356371,27.702036
8,2018-05,TX,CORPUS CHRISTI,2018-05,3.95,"(-97.3956, 27.8003)",78401,151284.54,All,1.7065971428571427,0.3299700326563526,1.7524533333333332,0.338098177681154,1.94629,0.3526115621654344,2.0937409523809523,0.3635395756631455,2.3356085714285713,0.3717125814290123,2.499740476190476,0.3822822995301661,2.754757142857143,0.397444563397986,1.706818181818182,0.3672479101243187,2.0731818181818187,0.3751876848179687,2.2736363636363635,0.3869757869584714,2.816818181818181,0.5023723275529068,2.977727272727273,0.5447205409983369,3.0518181818181818,0.3682442491544113,3.1318181818181827,0.249519075458527,50165072031.0326,-0.11869834198357279,12109088557.0787,0.3859767504711623,,0.5187801665478008,2.7,0.5428573264217338,1.0,0.3401948230355797,-97.3956,27.8003
9,2018-08,TX,CORPUS CHRISTI,2018-08,4.57,"(-97.3956, 27.8003)",00000,17595.3,All,1.916485,0.3299700326563526,1.9541377272727276,0.338098177681154,2.074109545454545,0.3526115621654344,2.18963,0.3635395756631455,2.323575,0.3717125814290123,2.5196563636363636,0.3822822995301661,2.8215668181818185,0.397444563397986,1.9408695652173917,0.3672479101243187,2.244347826086957,0.3751876848179687,2.445652173913043,0.3869757869584714,2.7678260869565223,0.5023723275529068,2.889130434782609,0.5447205409983369,2.970434782608696,0.3682442491544113,3.041739130434783,0.249519075458527,50593420247.4287,-0.11869834198357279,12917630009.557,0.3859767504711623,,0.5187801665478008,4.1,0.5428573264217338,1.4,0.3401948230355797,-97.3956,27.8003
