month,date,vol,vol_unadj,credit_score_group
60,2005-01,1453539519.72033,1016523840,Near-prime
60,2005-01,1836269108.54764,1646766864,Deep subprime
60,2005-01,2576867835.80104,1685523432,Prime
60,2005-01,3612157985.56697,1948094304,Super-prime
60,2005-01,996125971.016816,831005712,Subprime
61,2005-02,1045257648.74594,695211048,Subprime
61,2005-02,1535868833.58334,839346048,Near-prime
61,2005-02,1855940446.27111,1552870800,Deep subprime
61,2005-02,2607952600.73446,1308266904,Prime
61,2005-02,3778869269.07863,1607931744,Super-prime
62,2005-03,1202575734.98584,795481920,Subprime
62,2005-03,1655352607.65053,959774160,Near-prime
62,2005-03,1720468302.93301,1576029048,Deep subprime
62,2005-03,2792223042.81703,1508556840,Prime
62,2005-03,3891177568.43098,1694257008,Super-prime
63,2005-04,1155826112.92966,754791000,Subprime
63,2005-04,1594912653.08833,911539320,Near-prime
63,2005-04,1849298470.89585,1462787376,Deep subprime
63,2005-04,2760821596.85825,1326112560,Prime
63,2005-04,4036638770.83526,1774146672,Super-prime
64,2005-05,1175956678.58498,812617104,Subprime
64,2005-05,1492006238.74625,982294488,Near-prime
64,2005-05,1870848177.09645,1540178568,Deep subprime
64,2005-05,2738049724.88338,1821929256,Prime
64,2005-05,3966530565.32111,2496282040,Super-prime
65,2005-06,1198847516.35505,1104275808,Subprime
65,2005-06,1725713904.06029,1429455072,Near-prime
65,2005-06,2004208848.8969,1785008640,Deep subprime
65,2005-06,3088399648.80253,2808787248,Prime
65,2005-06,4757652022.94219,4762119504,Super-prime
66,2005-07,1293066061.53784,1245681984,Subprime
66,2005-07,1687791860.53195,1790439912,Near-prime
66,2005-07,1939848701.90369,1648232904,Deep subprime
66,2005-07,3549515746.5164,3720225696,Prime
66,2005-07,5156078873.21032,6035545728,Super-prime
67,2005-08,1165718793.06968,2579223888,Subprime
67,2005-08,1581251087.22903,4135471800,Near-prime
67,2005-08,1934524385.30591,2939388840,Deep subprime
67,2005-08,2906153339.71682,8427439632,Prime
67,2005-08,3440448707.82799,12088287060,Super-prime
68,2005-09,1166137594.73141,2138518296,Subprime
68,2005-09,1638038587.5562,3111033504,Near-prime
68,2005-09,2026313403.70449,3105693432,Deep subprime
68,2005-09,2894077194.51174,5675119812,Prime
68,2005-09,4027318342.36138,7670428884,Super-prime
69,2005-10,1404555992.07199,1550300100,Subprime
69,2005-10,1987593756.19782,2107046856,Near-prime
69,2005-10,2198390933.97644,2643684432,Deep subprime
69,2005-10,3598056675.79855,3491268156,Prime
69,2005-10,5197995780.86047,4312893184,Super-prime
70,2005-11,1537979538.01337,1245965712,Subprime
70,2005-11,2016958406.89042,1676318472,Near-prime
70,2005-11,2142094736.36823,2022393288,Deep subprime
70,2005-11,3518202129.33027,2873136924,Prime
70,2005-11,5104979619.15545,3508039056,Super-prime
71,2005-12,1459310636.40971,949845720,Subprime
71,2005-12,2030894103.01305,1322856396,Near-prime
71,2005-12,2290295103.70791,1790011368,Deep subprime
71,2005-12,3855198623.85933,2220870552,Prime
71,2005-12,5121967119.84998,2517519960,Super-prime
72,2006-01,1193579391.57679,1057997544,Subprime
72,2006-01,1812759385.29623,1358505276,Near-prime
72,2006-01,2079735046.01374,1954425600,Deep subprime
72,2006-01,3109508734.69588,2175247416,Prime
72,2006-01,4240616318.04085,2487546804,Super-prime
73,2006-02,1375761007.71022,926644864,Subprime
73,2006-02,1898221568.66003,1060892512,Near-prime
73,2006-02,2138263873.40691,1804809004,Deep subprime
73,2006-02,3438871103.61595,1752680968,Prime
73,2006-02,4848401787.80935,2098474152,Super-prime
74,2006-03,1501593532.82869,987737280,Subprime
74,2006-03,1953783372.80943,1103139708,Near-prime
74,2006-03,2251568306.13817,1943533464,Deep subprime
74,2006-03,3554515003.82449,1889584272,Prime
74,2006-03,5121811714.4733,2227791880,Super-prime
75,2006-04,1510590247.6399,942872968,Subprime
75,2006-04,2116601726.3514,1699374576,Deep subprime
75,2006-04,2130101675.10715,1158424588,Near-prime
75,2006-04,3933729408.54796,1800565692,Prime
75,2006-04,5406517660.73288,2253996240,Super-prime
76,2006-05,2120666474.11304,1512861036,Subprime
76,2006-05,2376861372.42456,1588389576,Near-prime
76,2006-05,2559442614.85157,2187852648,Deep subprime
76,2006-05,4470458494.54265,2986471380,Prime
76,2006-05,6340212577.09186,4077372648,Super-prime
77,2006-06,1850036130.14402,1683414792,Subprime
77,2006-06,2709432614.52586,2172038952,Near-prime
77,2006-06,2794922059.74243,2474499456,Deep subprime
77,2006-06,4574272742.29879,3944800584,Prime
77,2006-06,6364858730.86161,6128635500,Super-prime
78,2006-07,1766930472.47356,1671953856,Subprime
78,2006-07,2249243606.28319,2271962088,Near-prime
78,2006-07,2730865608.17087,2316448800,Deep subprime
78,2006-07,4342701764.64447,4339182372,Prime
78,2006-07,6073321729.4622,6782489400,Super-prime
79,2006-08,1223047996.38261,2710598040,Subprime
79,2006-08,1596004308.62246,4266515568,Near-prime
79,2006-08,2190381591.40196,3327051888,Deep subprime
79,2006-08,2841397479.57493,8516522688,Prime
79,2006-08,3434246860.28355,12171545304,Super-prime
80,2006-09,1311474342.82242,2323943064,Subprime
80,2006-09,1568359266.22441,3011821776,Near-prime
80,2006-09,2123966272.66766,3124651536,Deep subprime
80,2006-09,2868355690.61467,5652297732,Prime
80,2006-09,3736355320.76104,7104309696,Super-prime
81,2006-10,1281958553.55452,1490017944,Subprime
81,2006-10,1668702867.63349,1815480000,Near-prime
81,2006-10,2179451210.63172,2737012824,Deep subprime
81,2006-10,3149005412.36658,3107003760,Prime
81,2006-10,4389216900.87506,3784664208,Super-prime
82,2006-11,1355774030.85968,1091536944,Subprime
82,2006-11,1857307149.84612,1472036136,Near-prime
82,2006-11,2252215609.28344,2124401496,Deep subprime
82,2006-11,3282177710.87059,2542385712,Prime
82,2006-11,4487174360.8295,2955990408,Super-prime
83,2006-12,1552722571.17122,961079280,Subprime
83,2006-12,1713967884.47162,1042786968,Near-prime
83,2006-12,2286157800.54021,1705768992,Deep subprime
83,2006-12,3119689147.96466,1701042624,Prime
83,2006-12,4044262456.15862,1879641576,Super-prime
84,2007-01,1304891354.54032,1238318760,Subprime
84,2007-01,1621324374.32463,1324967304,Near-prime
84,2007-01,2275592196.5578,2247172152,Deep subprime
84,2007-01,2908189102.0669,2223709584,Prime
84,2007-01,3758156821.20943,2497006140,Super-prime
85,2007-02,1268632417.04319,866372952,Subprime
85,2007-02,1578324209.79888,908913240,Near-prime
85,2007-02,2141748893.14892,1823114976,Deep subprime
85,2007-02,2858460397.20506,1484307288,Prime
85,2007-02,3627605256.39446,1600674456,Super-prime
86,2007-03,1289750799.47531,808229712,Subprime
86,2007-03,1719455212.05102,917760888,Near-prime
