,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol,Corr with student_vol,credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4)
1,ATLANTA,2010-03,6.805,All,0.20298217391304352,6.602017826086956,0.3069481878803236,0.22118086956521738,6.583819130434782,0.3063098260733188,0.23731173913043485,6.567688260869565,0.30070535464449716,0.25031173913043475,6.554688260869565,0.2950588248157987,0.2684247826086957,6.536575217391304,0.2845293257462608,0.41060652173913054,6.394393478260869,0.26128382771223924,0.8732952173913044,5.931704782608695,0.2739145231821616,0.11652173913043477,6.688478260869565,0.3118750787039471,0.22565217391304354,6.5793478260869565,0.3050672102948919,0.3956521739130435,6.4093478260869565,0.3152399911515719,2.433043478260869,4.371956521739131,0.6824470108214951,3.7273913043478255,3.077608695652174,0.7581249200739547,4.489130434782608,2.3158695652173913,0.6182603074252887,4.644782608695651,2.1602173913043483,0.5505017097664285,28389074974.2894,-0.32365107063374426,14217328271.8582,0.3755323841182915,97.9962893430168,0.3518401706335356,5.3,0.27187221830051805,6.0,0.2897613880007304
2,ATLANTA,2010-05,4.795,All,0.2957715789473684,4.499228421052631,0.3069481878803236,0.3152057894736842,4.4797942105263155,0.3063098260733188,0.3354642105263158,4.4595357894736845,0.30070535464449716,0.39242105263157895,4.402578947368421,0.2950588248157987,0.45851421052631586,4.336485789473684,0.2845293257462608,0.6592468421052632,4.135753157894737,0.26128382771223924,1.129987894736842,3.665012105263158,0.2739145231821616,0.147,4.648,0.3118750787039471,0.22350000000000003,4.5715,0.3050672102948919,0.37099999999999994,4.424,0.3152399911515719,2.1799999999999997,2.615,0.6824470108214951,3.4199999999999995,1.3750000000000004,0.7581249200739547,4.1145,0.6805000000000003,0.6182603074252887,4.286,0.5090000000000003,0.5505017097664285,29160609360.1217,-0.32365107063374426,11978266411.3233,0.3755323841182915,99.3021234972081,0.3518401706335356,5.2,0.27187221830051805,5.8,0.2897613880007304
3,ATLANTA,2010-12,4.1,All,0.24122190476190472,3.858778095238095,0.3069481878803236,0.25412380952380953,3.84587619047619,0.3063098260733188,0.26178857142857137,3.8382114285714284,0.30070535464449716,0.28196571428571415,3.8180342857142855,0.2950588248157987,0.30272333333333334,3.7972766666666664,0.2845293257462608,0.4583942857142857,3.641605714285714,0.26128382771223924,0.7839004761904763,3.316099523809523,0.2739145231821616,0.0854166666666667,4.0145833333333325,0.3118750787039471,0.19333333333333338,3.9066666666666663,0.3050672102948919,0.2937499999999999,3.80625,0.3152399911515719,1.9429166666666664,2.1570833333333335,0.6824470108214951,3.2949999999999995,0.8050000000000002,0.7581249200739547,4.173333333333333,-0.07333333333333325,0.6182603074252887,4.415,-0.3150000000000004,0.5505017097664285,31565012894.7234,-0.32365107063374426,10792773250.4017,0.3755323841182915,92.4549564204629,0.3518401706335356,4.2,0.27187221830051805,5.0,0.2897613880007304
4,ATLANTA,2011-02,4.79,All,0.23214,4.55786,0.3069481878803236,0.25165,4.53835,0.3063098260733188,0.26292499999999996,4.527075,0.30070535464449716,0.28731249999999997,4.5026875,0.2950588248157987,0.31189999999999996,4.4781,0.2845293257462608,0.46404500000000004,4.325955,0.26128382771223924,0.7933949999999999,3.996605,0.2739145231821616,0.11473684210526319,4.675263157894737,0.3118750787039471,0.16842105263157894,4.6215789473684215,0.3050672102948919,0.2863157894736842,4.503684210526316,0.3152399911515719,2.257894736842106,2.532105263157894,0.6824470108214951,3.5763157894736834,1.2136842105263166,0.7581249200739547,4.423684210526316,0.36631578947368393,0.6182603074252887,4.652105263157895,0.13789473684210485,0.5505017097664285,31041077337.2648,-0.32365107063374426,11726514214.1317,0.3755323841182915,94.7176548951663,0.3518401706335356,4.4,0.27187221830051805,4.8,0.2897613880007304
5,ATLANTA,2011-04,3.96,All,0.14759444444444447,3.8124055555555554,0.3069481878803236,0.19237777777777781,3.767622222222222,0.3063098260733188,0.22143500000000005,3.738565,0.30070535464449716,0.25190277777777786,3.708097222222222,0.2950588248157987,0.28138222222222226,3.6786177777777778,0.2845293257462608,0.44229888888888896,3.517701111111111,0.26128382771223924,0.7700555555555555,3.1899444444444445,0.2739145231821616,0.029500000000000005,3.9305,0.3118750787039471,0.11950000000000002,3.8405,0.3050672102948919,0.24650000000000002,3.7135,0.3152399911515719,2.169,1.791,0.6824470108214951,3.4549999999999996,0.5050000000000003,0.7581249200739547,4.276000000000001,-0.3160000000000007,0.6182603074252887,4.5015,-0.5415000000000001,0.5505017097664285,31992172727.7437,-0.32365107063374426,15995126134.7035,0.3755323841182915,93.74313363440879,0.3518401706335356,4.8,0.27187221830051805,4.7,0.2897613880007304
6,ATLANTA,2011-05,4.24,All,0.130775,4.109225,0.3069481878803236,0.16787249999999998,4.072127500000001,0.3063098260733188,0.1978005,4.042199500000001,0.30070535464449716,0.23078799999999994,4.009212000000001,0.2950588248157987,0.260713,3.9792870000000002,0.2845293257462608,0.41407550000000004,3.8259245,0.26128382771223924,0.7391499999999999,3.5008500000000002,0.2739145231821616,0.024285714285714285,4.215714285714286,0.3118750787039471,0.0866666666666667,4.153333333333333,0.3050672102948919,0.18809523809523812,4.051904761904762,0.3152399911515719,1.8423809523809527,2.3976190476190475,0.6824470108214951,3.168571428571429,1.0714285714285712,0.7581249200739547,4.011428571428572,0.22857142857142865,0.6182603074252887,4.293333333333333,-0.05333333333333279,0.5505017097664285,31754785132.2305,-0.32365107063374426,13753511368.0623,0.3755323841182915,91.59671843464591,0.3518401706335356,4.7,0.27187221830051805,4.7,0.2897613880007304
7,ATLANTA,2011-06,3.94,All,0.12706818181818183,3.812931818181818,0.3069481878803236,0.1615431818181819,3.778456818181818,0.3063098260733188,0.18716409090909092,3.752835909090909,0.30070535464449716,0.21923909090909086,3.720760909090909,0.2950588248157987,0.24782409090909094,3.692175909090909,0.2845293257462608,0.39758,3.54242,0.26128382771223924,0.7268749999999999,3.213125,0.2739145231821616,0.0190909090909091,3.920909090909091,0.3118750787039471,0.1013636363636364,3.8386363636363634,0.3050672102948919,0.18090909090909094,3.759090909090909,0.3152399911515719,1.5799999999999998,2.3600000000000003,0.6824470108214951,3.002272727272727,0.937727272727273,0.7581249200739547,3.9145454545454546,0.025454545454545396,0.6182603074252887,4.2327272727272724,-0.2927272727272725,0.5505017097664285,33690910289.8878,-0.32365107063374426,12472473242.0863,0.3755323841182915,92.5881563190625,0.3518401706335356,4.8,0.27187221830051805,4.7,0.2897613880007304
8,ATLANTA,2011-08,3.95,All,0.14468363636363638,3.8053163636363636,0.3069481878803236,0.18038681818181818,3.769613181818182,0.3063098260733188,0.21116590909090904,3.738834090909091,0.30070535464449716,0.24895727272727275,3.7010427272727275,0.2950588248157987,0.29323772727272723,3.656762272727273,0.2845293257462608,0.45919454545454547,3.4908054545454545,0.26128382771223924,0.7783581818181818,3.1716418181818185,0.2739145231821616,0.017391304347826094,3.932608695652174,0.3118750787039471,0.06217391304347828,3.887826086956522,0.3050672102948919,0.11478260869565218,3.835217391304348,0.3152399911515719,1.021304347826087,2.9286956521739134,0.6824470108214951,2.303043478260869,1.6469565217391313,0.7581249200739547,3.244782608695652,0.7052173913043482,0.6182603074252887,3.6513043478260867,0.2986956521739135,0.5505017097664285,34825519831.2788,-0.32365107063374426,12477113046.1263,0.3755323841182915,90.24550000965358,0.3518401706335356,4.8,0.27187221830051805,4.9,0.2897613880007304
9,ATLANTA,2011-12,4.14,All,0.1499335,3.9900664999999997,0.3069481878803236,0.2029985,3.9370014999999996,0.3063098260733188,0.2836085,3.8563914999999995,0.30070535464449716,0.40829250000000006,3.7317074999999997,0.2950588248157987,0.5557375,3.5842624999999995,0.2845293257462608,0.7798775000000001,3.3601224999999997,0.26128382771223924,1.1003555000000003,3.0396444999999996,0.2739145231821616,0.0033333333333333335,4.136666666666667,0.3118750787039471,0.048571428571428585,4.091428571428571,0.3050672102948919,0.11523809523809528,4.024761904761904,0.3152399911515719,0.8914285714285713,3.248571428571428,0.6824470108214951,1.9780952380952384,2.1619047619047613,0.7581249200739547,2.6676190476190476,1.4723809523809521,0.6182603074252887,2.9823809523809524,1.1576190476190473,0.5505017097664285,35767585536.868996,-0.32365107063374426,11508699084.1195,0.3755323841182915,91.3646878868074,0.3518401706335356,4.2,0.27187221830051805,4.7,0.2897613880007304
10,ATLANTA,2012-08,2.44,All,0.15374090909090915,2.2862590909090907,0.3069481878803236,0.18745454545454548,2.2525454545454546,0.3063098260733188,0.23783863636363634,2.2021613636363635,0.30070535464449716,0.3331136363636364,2.1068863636363635,0.2950588248157987,0.43259999999999993,2.0074,0.2845293257462608,0.7177749999999997,1.7222250000000003,0.26128382771223924,1.0426272727272727,1.3973727272727272,0.2739145231821616,0.09217391304347829,2.3478260869565215,0.3118750787039471,0.14043478260869566,2.2995652173913044,0.3050672102948919,0.18347826086956526,2.256521739130435,0.3152399911515719,0.7139130434782609,1.7260869565217392,0.6824470108214951,1.6782608695652175,0.7617391304347825,0.7581249200739547,2.3978260869565218,0.04217391304347817,0.6182603074252887,2.7708695652173914,-0.3308695652173914,0.5505017097664285,38410438812.4053,-0.32365107063374426,11986368496.8635,0.3755323841182915,89.56768058609659,0.3518401706335356,4.6,0.27187221830051805,4.2,0.2897613880007304
