,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(4),Corr with student_vol(4),credit_tightness,Corr with credit_tightness,mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(4),Corr with mortgage 90(4)
0,2014-06,CO,DENVER,2014-06,5.24,"(-105.0257273, 39.8138598)",53593.45,Risk Sharing,0.09278571428571428,-0.017499242027281696,0.12241428571428574,-0.013892202558818649,0.1523738095238095,-0.02331474022838058,0.19377380952380954,-0.05166152133496896,0.2309452380952381,-0.10079431125478804,0.32388809523809525,-0.19836522315370325,0.5421714285714285,-0.23013249061222074,0.024285714285714296,0.039779291251021455,0.06047619047619051,-0.014536247214419243,0.10476190476190479,-0.04580718190513525,1.679047619047619,0.4076641471588636,2.5985714285714288,0.6765446047634288,3.1533333333333333,0.7971049850219417,3.4199999999999995,0.8397991215115674,44591810060.8257,-0.8243328160553475,10950177839.1879,-0.6349414523987975,81.9669757663089,-0.7912632369005325,1.4,0.8179041900896893,0.9,0.8025855524020341
1,2014-07,CO,DENVER,2014-07,6.0,"(-104.993445, 39.75267)",25930.56,Risk Sharing,0.09286956521739129,-0.017499242027281696,0.12270652173913045,-0.013892202558818649,0.15438695652173914,-0.02331474022838058,0.1955586956521739,-0.05166152133496896,0.23417391304347826,-0.10079431125478804,0.32826086956521744,-0.19836522315370325,0.5557695652173912,-0.23013249061222074,0.024090909090909093,0.039779291251021455,0.059545454545454575,-0.014536247214419243,0.11136363636363639,-0.04580718190513525,1.699545454545455,0.4076641471588636,2.542272727272727,0.6765446047634288,3.071363636363636,0.7971049850219417,3.3318181818181816,0.8397991215115674,44940573200.2924,-0.8243328160553475,11357071284.6333,-0.6349414523987975,81.64661519553,-0.7912632369005325,1.6,0.8179041900896893,0.9,0.8025855524020341
2,2014-10,CO,DENVER,2014-10,4.85,"(-104.936168, 39.666296)",82417.15,Risk Sharing,0.09059565217391304,-0.017499242027281696,0.11953260869565213,-0.013892202558818649,0.15351739130434783,-0.02331474022838058,0.1974043478260869,-0.05166152133496896,0.2313760869565217,-0.10079431125478804,0.3236195652173913,-0.19836522315370325,0.5523869565217392,-0.23013249061222074,0.020909090909090912,0.039779291251021455,0.05045454545454548,-0.014536247214419243,0.10454545454545458,-0.04580718190513525,1.5459090909090911,0.4076641471588636,2.304090909090909,0.6765446047634288,2.7731818181818184,0.7971049850219417,3.039999999999999,0.8397991215115674,45758876905.2845,-0.8243328160553475,11837215038.8922,-0.6349414523987975,82.08517590205541,-0.7912632369005325,1.4,0.8179041900896893,0.8,0.8025855524020341
3,2014-11,CO,DENVER,2014-11,4.5,"(-7.5, 53.685)",6625.59,Risk Sharing,0.09656999999999999,-0.017499242027281696,0.12222499999999999,-0.013892202558818649,0.1548075,-0.02331474022838058,0.20246,-0.05166152133496896,0.23286250000000003,-0.10079431125478804,0.32679500000000006,-0.19836522315370325,0.56206,-0.23013249061222074,0.04166666666666668,0.039779291251021455,0.06944444444444448,-0.014536247214419243,0.13444444444444448,-0.04580718190513525,1.6205555555555557,0.4076641471588636,2.325555555555556,0.6765446047634288,2.7644444444444445,0.7971049850219417,3.038333333333333,0.8397991215115674,47944164595.1044,-0.8243328160553475,12019442988.8631,-0.6349414523987975,82.72786465890579,-0.7912632369005325,1.4,0.8179041900896893,0.8,0.8025855524020341
4,2016-04,CO,DENVER,2016-04,4.2,"(-104.835275, 39.775878999999996)",22662.72,Risk Sharing,0.38031428571428566,-0.017499242027281696,0.39864523809523805,-0.013892202558818649,0.4373976190476192,-0.02331474022838058,0.5229452380952381,-0.05166152133496896,0.6327499999999999,-0.10079431125478804,0.9025404761904764,-0.19836522315370325,1.2222214285714286,-0.23013249061222074,0.18761904761904763,0.039779291251021455,0.37238095238095237,-0.014536247214419243,0.5557142857142858,-0.04580718190513525,1.2580952380952382,0.4076641471588636,1.8052380952380953,0.6765446047634288,2.2104761904761907,0.7971049850219417,2.6233333333333335,0.8397991215115674,50596067254.1766,-0.8243328160553475,11412820253.2316,-0.6349414523987975,84.0267577476249,-0.7912632369005325,1.4,0.8179041900896893,0.5,0.8025855524020341
5,2016-07,CO,DENVER,2016-07,3.9,"(-105.10411200000001, 40.201388)",38519.47,Risk Sharing,0.41380476190476195,-0.017499242027281696,0.43819285714285716,-0.013892202558818649,0.4828833333333333,-0.02331474022838058,0.5734595238095239,-0.05166152133496896,0.6963095238095237,-0.10079431125478804,0.9990666666666668,-0.19836522315370325,1.31707619047619,-0.23013249061222074,0.2635000000000001,0.039779291251021455,0.4040000000000001,-0.014536247214419243,0.5135000000000001,-0.04580718190513525,1.0715,0.4076641471588636,1.504,0.6765446047634288,1.8224999999999998,0.7971049850219417,2.227,0.8397991215115674,49971382532.5922,-0.8243328160553475,12137144620.0221,-0.6349414523987975,87.39008859346599,-0.7912632369005325,1.1,0.8179041900896893,0.5,0.8025855524020341
6,2016-08,CO,DENVER,2016-08,3.85,"(-104.888433, 39.692021000000004)",15183.79,Risk Sharing,0.41817045454545454,-0.017499242027281696,0.4429568181818182,-0.013892202558818649,0.5122418181818182,-0.02331474022838058,0.6351372727272727,-0.05166152133496896,0.810223181818182,-0.10079431125478804,1.1977463636363632,-0.19836522315370325,1.5097959090909088,-0.23013249061222074,0.2608695652173914,0.039779291251021455,0.4460869565217393,-0.014536247214419243,0.5682608695652173,-0.04580718190513525,1.1330434782608694,0.4076641471588636,1.5565217391304347,0.6765446047634288,1.8895652173913038,0.7971049850219417,2.261739130434783,0.8397991215115674,51124149514.2735,-0.8243328160553475,12605986919.9069,-0.6349414523987975,88.1942388876454,-0.7912632369005325,1.1,0.8179041900896893,0.4,0.8025855524020341
7,2016-10,CO,DENVER,2016-10,3.717,"(-104.94146599999999, 39.772675)",4958.385,Risk Sharing,0.4307719047619048,-0.017499242027281696,0.457582380952381,-0.013892202558818649,0.5307795238095238,-0.02331474022838058,0.6609890476190475,-0.05166152133496896,0.8786828571428573,-0.10079431125478804,1.258856666666667,-0.19836522315370325,1.577814761904762,-0.23013249061222074,0.24400000000000005,0.039779291251021455,0.47700000000000004,-0.014536247214419243,0.6595000000000001,-0.04580718190513525,1.2719999999999998,0.4076641471588636,1.7645000000000004,0.6765446047634288,2.1705,0.7971049850219417,2.5004999999999997,0.8397991215115674,48913265551.9221,-0.8243328160553475,12722317795.1324,-0.6349414523987975,88.43997566936979,-0.7912632369005325,1.1,0.8179041900896893,0.4,0.8025855524020341
8,2017-02,CO,DENVER,2017-02,4.52,"(-104.94206100000001, 39.759997999999996)",6724.26,Risk Sharing,0.6863609999999999,-0.017499242027281696,0.7163664999999999,-0.013892202558818649,0.7767084999999999,-0.02331474022838058,0.8480275,-0.05166152133496896,1.0445964999999997,-0.10079431125478804,1.3514585000000001,-0.19836522315370325,1.723958,-0.23013249061222074,0.48210526315789465,0.039779291251021455,0.653157894736842,-0.014536247214419243,0.8205263157894739,-0.04580718190513525,1.9015789473684213,0.4076641471588636,2.4189473684210525,0.6765446047634288,2.763684210526316,0.7971049850219417,3.0321052631578946,0.8397991215115674,49068548953.9206,-0.8243328160553475,12745337772.3068,-0.6349414523987975,84.4501908643932,-0.7912632369005325,1.4,0.8179041900896893,0.4,0.8025855524020341
9,2017-08,CO,DENVER,2017-08,4.49,"(-104.885218, 39.690484999999995)",118947.68,Risk Sharing,1.1775518181818179,-0.017499242027281696,1.197803181818182,-0.013892202558818649,1.2317690909090908,-0.02331474022838058,1.264191818181818,-0.05166152133496896,1.314176818181818,-0.10079431125478804,1.453699090909091,-0.19836522315370325,1.7253381818181814,-0.23013249061222074,0.9795652173913042,0.039779291251021455,1.1291304347826083,-0.014536247214419243,1.2291304347826086,-0.04580718190513525,1.7765217391304353,0.4076641471588636,2.209130434782609,0.6765446047634288,2.552173913043478,0.7971049850219417,2.795217391304348,0.8397991215115674,50617906919.2487,-0.8243328160553475,11223830878.8235,-0.6349414523987975,88.23467488709129,-0.7912632369005325,1.1,0.8179041900896893,0.4,0.8025855524020341
