,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(-3),Corr with mortgage 90(-3)
0,ATLANTA,2013-09,3.99,Health Care Facilities,0.11272380952380952,3.8772761904761905,-0.7668963827406512,0.14323238095238094,3.846767619047619,-0.46117859868385824,0.18057476190476196,3.8094252380952383,-0.382224385198188,0.22133904761904755,3.7686609523809524,-0.4494144545699983,0.2531785714285715,3.736821428571429,-0.45858841391912264,0.38033809523809525,3.609661904761905,-0.35544156893817824,0.6526857142857143,3.337314285714286,-0.4178262031311393,0.017500000000000005,3.9725,0.7134927146068213,0.04150000000000001,3.9485,-0.45894531665226185,0.11850000000000002,3.8715,-0.7142354923027142,1.5959999999999999,2.394,0.9606087378234665,2.8095,1.1805000000000003,0.9464297846992878,3.526,0.4640000000000004,0.9377940763696788,3.7870000000000004,0.20299999999999985,0.945069811662723,41658198449.9001,-0.7714423712692695,10210246554.7955,-0.9363573278747683,88.29263433660921,0.9500662171008882,3.6,0.9820108864801619,3.3,0.7652973310287008
1,ATLANTA,2014-03,4.25,Health Care Facilities,0.0888,4.1612,-0.7668963827406512,0.1207452380952381,4.129254761904762,-0.46117859868385824,0.15488333333333335,4.095116666666667,-0.382224385198188,0.19711666666666672,4.052883333333333,-0.4494144545699983,0.23409761904761903,4.015902380952381,-0.45858841391912264,0.33106666666666673,3.9189333333333334,-0.35544156893817824,0.5571428571428573,3.6928571428571426,-0.4178262031311393,0.051428571428571455,4.198571428571428,0.7134927146068213,0.07857142857142858,4.171428571428572,-0.45894531665226185,0.1280952380952381,4.121904761904762,-0.7142354923027142,1.6395238095238096,2.6104761904761906,0.9606087378234665,2.7233333333333327,1.5266666666666673,0.9464297846992878,3.3466666666666667,0.9033333333333333,0.9377940763696788,3.6209523809523807,0.6290476190476193,0.945069811662723,44462292713.4678,-0.7714423712692695,10011024566.6146,-0.9363573278747683,88.4263020205016,0.9500662171008882,3.8,0.9820108864801619,3.0,0.7652973310287008
2,ATLANTA,2015-01,3.18,Health Care Facilities,0.11871428571428574,3.0612857142857144,-0.7668963827406512,0.1349785714285714,3.0450214285714288,-0.46117859868385824,0.16807857142857144,3.0119214285714286,-0.382224385198188,0.2135952380952381,2.966404761904762,-0.4494144545699983,0.2543190476190476,2.9256809523809526,-0.45858841391912264,0.35825714285714294,2.821742857142857,-0.35544156893817824,0.6221666666666666,2.5578333333333334,-0.4178262031311393,0.018000000000000006,3.1620000000000004,0.7134927146068213,0.08300000000000003,3.097,-0.45894531665226185,0.19549999999999998,2.9845,-0.7142354923027142,1.3744999999999998,1.8055000000000003,0.9606087378234665,1.8814999999999997,1.2985000000000004,0.9464297846992878,2.199,0.9810000000000003,0.9377940763696788,2.455,0.7250000000000001,0.945069811662723,47944164595.1044,-0.7714423712692695,14245911418.8887,-0.9363573278747683,82.2508390398281,0.9500662171008882,3.0,0.9820108864801619,2.3,0.7652973310287008
3,ATLANTA,2015-10,3.52,Health Care Facilities,0.13160454545454547,3.3883954545454547,-0.7668963827406512,0.15531363636363638,3.3646863636363635,-0.46117859868385824,0.19451136363636365,3.3254886363636365,-0.382224385198188,0.2514522727272726,3.2685477272727272,-0.4494144545699983,0.32135909090909087,3.1986409090909094,-0.45858841391912264,0.5284272727272726,2.9915727272727275,-0.35544156893817824,0.8378659090909092,2.682134090909091,-0.4178262031311393,0.014285714285714287,3.505714285714286,0.7134927146068213,0.11380952380952382,3.406190476190476,-0.45894531665226185,0.26333333333333336,3.256666666666667,-0.7142354923027142,1.3857142857142857,2.1342857142857143,0.9606087378234665,2.0699999999999994,1.4500000000000006,0.9464297846992878,2.5028571428571427,1.0171428571428573,0.9377940763696788,2.8880952380952376,0.6319047619047624,0.945069811662723,48291644449.3811,-0.7714423712692695,11492007418.0579,-0.9363573278747683,82.75451956383341,0.9500662171008882,3.1,0.9820108864801619,1.9,0.7652973310287008
