,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-3),Corr with auto_vol(-3),student_vol(-3),Corr with student_vol(-3),credit_tightness(-2),Corr with credit_tightness(-2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-1),Corr with mortgage 90(-1)
0,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.8,0.3035686181328354
1,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.8,0.3035686181328354
2,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.8,0.3035686181328354
3,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.8,0.3035686181328354
4,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.8,0.3035686181328354
5,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.8,0.3035686181328354
6,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.1,0.3035686181328354
7,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.2,0.3035686181328354
8,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.2,0.3035686181328354
9,CONWAY,2009-12,4.6,Other FHA,0.17885714285714288,4.421142857142857,-0.2165050555826051,0.2141833333333333,4.385816666666666,-0.21097844177763833,0.23288904761904766,4.367110952380952,-0.22619020095741363,0.24197238095238102,4.358027619047618,-0.251730325784005,0.2530461904761905,4.346953809523809,-0.2731868711661492,0.4528776190476191,4.14712238095238,-0.30393164999433864,0.9993009523809523,3.6006990476190475,-0.19342937455795484,0.03181818181818183,4.5681818181818175,-0.25572789959916953,0.16772727272727275,4.432272727272727,-0.22052553926404683,0.37136363636363634,4.2286363636363635,-0.15395550928951687,2.3404545454545453,2.2595454545454543,0.5923838780587053,3.589999999999999,1.0100000000000007,0.6390028748360059,4.399545454545455,0.20045454545454433,0.5857163411483379,4.494090909090908,0.1059090909090914,0.5519255225154692,23237431326.4023,-0.4393914700246776,12891808542.898,-0.5573072682427614,101.129830992893,0.5402074258759236,3.3,0.30234772230402773,3.8,0.3035686181328354
