,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol,Corr with auto_vol,student_vol(-1),Corr with student_vol(-1),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(-2),Corr with mortgage 90(-2),long,lat
0,2011-07,PA,PITTSBURGH,2011-07,3.42,"(-79.94802800000001, 40.452723)",15213,19256.48,Other FHA,0.12388095238095237,0.47856197309675236,0.1598857142857143,0.47790455493899414,0.18661904761904766,0.47683030523558045,0.2182333333333334,0.462967124787829,0.24991190476190472,0.4480322592438408,0.41392857142857137,0.39563729045075374,0.7452261904761905,0.377185183050469,0.037500000000000006,0.46914170188397875,0.08400000000000002,0.47345831139413724,0.185,0.4975792521420715,1.541,0.8165731493080441,3.003,0.7504311089201406,3.9475000000000002,0.4777952885155598,4.2705,0.35189216638958165,31992172727.7437,0.6337195296911475,12472473242.0863,-0.5704905509125039,91.3646878868074,-0.7074074382743346,3.6,-0.7297539581263919,2.5,-0.6902840681861133,-79.94802800000001,40.452723
1,2012-08,PA,PITTSBURGH,2012-08,2.35,"(-79.951092, 40.450996)",15213,26319.2,Other FHA,0.15374090909090915,0.47856197309675236,0.18745454545454548,0.47790455493899414,0.23783863636363634,0.47683030523558045,0.3331136363636364,0.462967124787829,0.43259999999999993,0.4480322592438408,0.7177749999999997,0.39563729045075374,1.0426272727272727,0.377185183050469,0.09217391304347829,0.46914170188397875,0.14043478260869566,0.47345831139413724,0.18347826086956526,0.4975792521420715,0.7139130434782609,0.8165731493080441,1.6782608695652175,0.7504311089201406,2.3978260869565218,0.4777952885155598,2.7708695652173914,0.35189216638958165,37160101000.5239,0.6337195296911475,16111780903.4699,-0.5704905509125039,90.2956809830492,-0.7074074382743346,3.7,-0.7297539581263919,2.8,-0.6902840681861133,-79.951092,40.450996
2,2012-10,PA,PITTSBURGH,2012-10,2.75,"(-80.037339, 40.479993)",15212,17830.07,Other FHA,0.15320434782608702,0.47856197309675236,0.17955217391304346,0.47790455493899414,0.21346521739130433,0.47683030523558045,0.2717391304347827,0.462967124787829,0.3304891304347827,0.4480322592438408,0.5823021739130435,0.39563729045075374,0.9185760869565219,0.377185183050469,0.10952380952380951,0.46914170188397875,0.14904761904761904,0.47345831139413724,0.17952380952380956,0.4975792521420715,0.7085714285714285,0.8165731493080441,1.7461904761904758,0.7504311089201406,2.505714285714286,0.4777952885155598,2.90047619047619,0.35189216638958165,37685204803.0042,0.6337195296911475,11631947675.6117,-0.5704905509125039,91.578064558499,-0.7074074382743346,3.9,-0.7297539581263919,2.7,-0.6902840681861133,-80.037339,40.479993
3,2013-08,PA,PITTSBURGH,2013-08,3.65,"(-79.884787, 40.386159)",15222,12802.65,Other FHA,0.11782999999999999,0.47856197309675236,0.1493142857142857,0.47790455493899414,0.1840704761904762,0.47683030523558045,0.22633523809523812,0.462967124787829,0.2633952380952381,0.4480322592438408,0.3949285714285714,0.39563729045075374,0.6679499999999999,0.377185183050469,0.03681818181818183,0.46914170188397875,0.07181818181818184,0.47345831139413724,0.12681818181818183,0.4975792521420715,1.5204545454545455,0.8165731493080441,2.7372727272727273,0.7504311089201406,3.488181818181818,0.4777952885155598,3.757727272727273,0.35189216638958165,41334062733.8549,0.6337195296911475,8901986132.75728,-0.5704905509125039,88.4263020205016,-0.7074074382743346,3.1,-0.7297539581263919,2.5,-0.6902840681861133,-79.884787,40.386159
4,2014-04,PA,PITTSBURGH,2014-04,4.01,"(-79.921533, 40.414729)",15217,24467.19,Other FHA,0.08864000000000001,0.47856197309675236,0.120115,0.47790455493899414,0.1517,0.47683030523558045,0.1918625,0.462967124787829,0.227495,0.4480322592438408,0.32422500000000004,0.39563729045075374,0.550005,0.377185183050469,0.023333333333333345,0.46914170188397875,0.05333333333333336,0.47345831139413724,0.10761904761904763,0.4975792521420715,1.7009523809523805,0.8165731493080441,2.705238095238095,0.7504311089201406,3.265238095238095,0.4777952885155598,3.5176190476190476,0.35189216638958165,44109559396.2995,0.6337195296911475,10653400066.5467,-0.5704905509125039,81.64661519553,-0.7074074382743346,2.9,-0.7297539581263919,2.2,-0.6902840681861133,-79.921533,40.414729
5,2015-05,PA,PITTSBURGH,2015-05,3.3,"(-80.00842800000001, 40.470659000000005)",15214,25137.39,Other FHA,0.12315789473684212,0.47856197309675236,0.14795,0.47790455493899414,0.1842289473684211,0.47683030523558045,0.2296,0.462967124787829,0.2795368421052632,0.4480322592438408,0.41659473684210524,0.39563729045075374,0.7346236842105265,0.377185183050469,0.013000000000000001,0.46914170188397875,0.07950000000000002,0.47345831139413724,0.24100000000000002,0.4975792521420715,1.5385000000000002,0.8165731493080441,2.1975000000000002,0.7504311089201406,2.692,0.4777952885155598,2.9550000000000005,0.35189216638958165,47692027772.9219,0.6337195296911475,11835194000.8273,-0.5704905509125039,82.89218119322959,-0.7074074382743346,2.8,-0.7297539581263919,2.0,-0.6902840681861133,-80.00842800000001,40.470659000000005
6,2015-06,PA,PITTSBURGH,2015-06,4.25,"(-80.010205, 40.46784)",15214,18888.13,Other FHA,0.12293636363636364,0.47856197309675236,0.14681590909090908,0.47790455493899414,0.1858840909090909,0.47683030523558045,0.23472954545454539,0.462967124787829,0.2827113636363637,0.4480322592438408,0.43974545454545466,0.39563729045075374,0.7702659090909093,0.377185183050469,0.007727272727272728,0.46914170188397875,0.08681818181818185,0.47345831139413724,0.2754545454545455,0.4975792521420715,1.6836363636363636,0.8165731493080441,2.3636363636363638,0.7504311089201406,2.8454545454545452,0.4777952885155598,3.1118181818181814,0.35189216638958165,48997735451.5931,0.6337195296911475,11119760586.3258,-0.5704905509125039,81.36742750908279,-0.7074074382743346,2.7,-0.7297539581263919,1.9,-0.6902840681861133,-80.010205,40.46784
7,2016-06,PA,PITTSBURGH,2016-06,3.31,"(-80.0161, 40.4465)",15212,21835.56,Other FHA,0.3904409090909091,0.47856197309675236,0.41572500000000007,0.47790455493899414,0.4527090909090909,0.47683030523558045,0.5394386363636363,0.462967124787829,0.6516204545454546,0.4480322592438408,0.9360386363636366,0.39563729045075374,1.2592227272727274,0.377185183050469,0.22136363636363632,0.46914170188397875,0.40409090909090906,0.47345831139413724,0.5522727272727272,0.4975792521420715,1.1663636363636367,0.8165731493080441,1.6440909090909095,0.7504311089201406,2.019090909090909,0.4777952885155598,2.452272727272727,0.35189216638958165,49206523977.8161,0.6337195296911475,11703539581.608,-0.5704905509125039,88.3913281030881,-0.7074074382743346,2.7,-0.7297539581263919,1.8,-0.6902840681861133,-80.0161,40.4465
8,2018-05,PA,PITTSBURGH,2018-05,4.08,"(-80.060097, 40.427426000000004)",15205,27750.33,Other FHA,1.7065971428571427,0.47856197309675236,1.7524533333333332,0.47790455493899414,1.94629,0.47683030523558045,2.0937409523809523,0.462967124787829,2.3356085714285713,0.4480322592438408,2.499740476190476,0.39563729045075374,2.754757142857143,0.377185183050469,1.706818181818182,0.46914170188397875,2.0731818181818187,0.47345831139413724,2.2736363636363635,0.4975792521420715,2.816818181818181,0.8165731493080441,2.977727272727273,0.7504311089201406,3.0518181818181818,0.4777952885155598,3.1318181818181827,0.35189216638958165,50407042046.8076,0.6337195296911475,12344213844.2875,-0.5704905509125039,85.8866598662335,-0.7074074382743346,2.9,-0.7297539581263919,1.3,-0.6902840681861133,-80.060097,40.427426000000004
