,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol,Corr with student_vol,credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(2),Corr with mortgage 90(2)
0,AL,MONTGOMERY,2010-07,3.72,Other FHA,0.26711500000000005,3.452885,-0.4832213195742843,0.31483090909090916,3.405169090909091,-0.47358617351760596,0.3341213636363637,3.3858786363636364,-0.4782108017540809,0.41480272727272727,3.305197272727273,-0.49952328557300585,0.5103277272727272,3.209672272727273,-0.5280730370016395,0.7185045454545452,3.001495454545455,-0.593407338564094,1.117797727272727,2.602202272727273,-0.5874702047912215,0.15666666666666668,3.5633333333333335,-0.4143003156011343,0.20047619047619053,3.5195238095238097,-0.49048839267950634,0.2914285714285714,3.428571428571429,-0.5267181389225296,1.7628571428571433,1.9571428571428569,-0.019452210678945092,3.0114285714285716,0.7085714285714286,0.7015413643420833,3.796190476190476,-0.07619047619047592,0.845888213608095,3.994285714285714,-0.274285714285714,0.8774929676077345,29826615528.9652,-0.658375391705706,10534224377.9144,-0.78063896873636,99.3021234972081,0.565372348354705,5.0,0.7499690448576448,3.5,0.5899753543205353
1,AL,MONTGOMERY,2012-02,3.65,Other FHA,0.1410714285714286,3.508928571428571,-0.4832213195742843,0.19146190476190478,3.458538095238095,-0.47358617351760596,0.2500238095238095,3.3999761904761905,-0.4782108017540809,0.3686547619047619,3.281345238095238,-0.49952328557300585,0.5032404761904763,3.1467595238095236,-0.5280730370016395,0.7572880952380953,2.8927119047619048,-0.593407338564094,1.0711880952380954,2.5788119047619045,-0.5874702047912215,0.06350000000000003,3.5865,-0.4143003156011343,0.124,3.526,-0.49048839267950634,0.161,3.489,-0.5267181389225296,0.8310000000000001,2.819,-0.019452210678945092,1.9674999999999998,1.6825,0.7015413643420833,2.7479999999999998,0.9020000000000001,0.845888213608095,3.109,0.5409999999999999,0.8774929676077345,36623269866.4569,-0.658375391705706,10728874885.7875,-0.78063896873636,91.3646878868074,0.565372348354705,5.0,0.7499690448576448,3.5,0.5899753543205353
2,AL,MONTGOMERY,2013-10,4.08,Other FHA,0.10426086956521738,3.975739130434783,-0.4832213195742843,0.13668260869565219,3.943317391304348,-0.47358617351760596,0.17241521739130433,3.9075847826086956,-0.4782108017540809,0.21265,3.86735,-0.49952328557300585,0.2417652173913043,3.838234782608696,-0.5280730370016395,0.36121521739130424,3.718784782608696,-0.593407338564094,0.6177847826086957,3.4622152173913046,-0.5874702047912215,0.1059090909090909,3.974090909090909,-0.4143003156011343,0.07590909090909094,4.004090909090909,-0.49048839267950634,0.12136363636363635,3.9586363636363635,-0.5267181389225296,1.366818181818182,2.713181818181818,-0.019452210678945092,2.615909090909091,1.4640909090909089,0.7015413643420833,3.3795454545454544,0.7004545454545457,0.845888213608095,3.6759090909090903,0.4040909090909097,0.8774929676077345,41561863313.5151,-0.658375391705706,9473893018.88319,-0.78063896873636,89.95115518901541,0.565372348354705,4.4,0.7499690448576448,2.6,0.5899753543205353
3,AL,MONTGOMERY,2015-10,3.39,Other FHA,0.13160454545454547,3.2583954545454548,-0.4832213195742843,0.15531363636363638,3.2346863636363636,-0.47358617351760596,0.19451136363636365,3.1954886363636366,-0.4782108017540809,0.2514522727272726,3.1385477272727274,-0.49952328557300585,0.32135909090909087,3.0686409090909095,-0.5280730370016395,0.5284272727272726,2.8615727272727276,-0.593407338564094,0.8378659090909092,2.552134090909091,-0.5874702047912215,0.014285714285714287,3.375714285714286,-0.4143003156011343,0.11380952380952382,3.276190476190476,-0.49048839267950634,0.26333333333333336,3.126666666666667,-0.5267181389225296,1.3857142857142857,2.0042857142857144,-0.019452210678945092,2.0699999999999994,1.3200000000000007,0.7015413643420833,2.5028571428571427,0.8871428571428575,0.845888213608095,2.8880952380952376,0.5019047619047625,0.8774929676077345,48291644449.3811,-0.658375391705706,11758109185.709,-0.78063896873636,82.75451956383341,0.565372348354705,3.8,0.7499690448576448,2.4,0.5899753543205353
4,AL,MONTGOMERY,2016-07,3.01,Other FHA,0.41380476190476195,2.596195238095238,-0.4832213195742843,0.43819285714285716,2.5718071428571427,-0.47358617351760596,0.4828833333333333,2.5271166666666667,-0.4782108017540809,0.5734595238095239,2.436540476190476,-0.49952328557300585,0.6963095238095237,2.313690476190476,-0.5280730370016395,0.9990666666666668,2.010933333333333,-0.593407338564094,1.31707619047619,1.6929238095238097,-0.5874702047912215,0.2635000000000001,2.7464999999999997,-0.4143003156011343,0.4040000000000001,2.606,-0.49048839267950634,0.5135000000000001,2.4964999999999997,-0.5267181389225296,1.0715,1.9385,-0.019452210678945092,1.504,1.5059999999999998,0.7015413643420833,1.8224999999999998,1.1875,0.845888213608095,2.227,0.7829999999999999,0.8774929676077345,50249654907.7038,-0.658375391705706,11531266279.4831,-0.78063896873636,83.5754036116387,0.565372348354705,3.1,0.7499690448576448,1.8,0.5899753543205353
5,AL,MONTGOMERY,2017-03,3.485,Other FHA,0.8095565217391305,2.6754434782608696,-0.4832213195742843,0.8706386956521739,2.6143613043478258,-0.47358617351760596,0.9286352173913045,2.5563647826086955,-0.4782108017540809,0.982656956521739,2.5023430434782608,-0.49952328557300585,1.134713043478261,2.350286956521739,-0.5280730370016395,1.4258673913043478,2.059132608695652,-0.593407338564094,1.8069104347826086,1.6780895652173913,-0.5874702047912215,0.662608695652174,2.8223913043478257,-0.4143003156011343,0.8856521739130436,2.599347826086956,-0.49048839267950634,1.0104347826086957,2.474565217391304,-0.5267181389225296,2.013478260869565,1.4715217391304347,-0.019452210678945092,2.4817391304347827,1.0032608695652172,0.7015413643420833,2.8317391304347823,0.6532608695652176,0.845888213608095,3.0813043478260873,0.40369565217391257,0.8774929676077345,48693341763.9087,-0.658375391705706,12509011080.2031,-0.78063896873636,89.2057504560787,0.565372348354705,3.9,0.7499690448576448,1.4,0.5899753543205353
6,AL,MONTGOMERY,2017-07,3.38,Other FHA,1.1766928571428568,2.203307142857143,-0.4832213195742843,1.1913757142857144,2.1886242857142855,-0.47358617351760596,1.2280366666666667,2.1519633333333332,-0.4782108017540809,1.2566676190476191,2.1233323809523807,-0.49952328557300585,1.307512857142857,2.0724871428571428,-0.5280730370016395,1.4570814285714284,1.9229185714285715,-0.593407338564094,1.7410885714285718,1.6389114285714281,-0.5874702047912215,0.9720000000000001,2.408,-0.4143003156011343,1.1284999999999996,2.2515,-0.49048839267950634,1.2235,2.1565,-0.5267181389225296,1.8720000000000003,1.5079999999999996,-0.019452210678945092,2.3179999999999996,1.0620000000000003,0.7015413643420833,2.6505,0.7294999999999998,0.845888213608095,2.884,0.496,0.8774929676077345,49256214828.7987,-0.658375391705706,11814606928.6527,-0.78063896873636,88.7707153640316,0.565372348354705,3.0,0.7499690448576448,1.4,0.5899753543205353
7,AL,MONTGOMERY,2017-08,3.25,Other FHA,1.1775518181818179,2.0724481818181824,-0.4832213195742843,1.197803181818182,2.0521968181818178,-0.47358617351760596,1.2317690909090908,2.018230909090909,-0.4782108017540809,1.264191818181818,1.985808181818182,-0.49952328557300585,1.314176818181818,1.935823181818182,-0.5280730370016395,1.453699090909091,1.796300909090909,-0.593407338564094,1.7253381818181814,1.5246618181818186,-0.5874702047912215,0.9795652173913042,2.270434782608696,-0.4143003156011343,1.1291304347826083,2.120869565217392,-0.49048839267950634,1.2291304347826086,2.0208695652173914,-0.5267181389225296,1.7765217391304353,1.4734782608695647,-0.019452210678945092,2.209130434782609,1.040869565217391,0.7015413643420833,2.552173913043478,0.697826086956522,0.845888213608095,2.795217391304348,0.4547826086956519,0.8774929676077345,49855182727.6109,-0.658375391705706,12103218541.1776,-0.78063896873636,89.1200725980081,0.565372348354705,2.9,0.7499690448576448,1.3,0.5899753543205353
