,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(-3),Corr with student_vol(-3),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(4),Corr with mortgage 90(4)
0,HARTFORD,2013-01,2.71,Other FHA,0.16043181818181818,2.5495681818181817,0.3617069406899959,0.17947272727272726,2.5305272727272725,0.36461264296618523,0.20497272727272725,2.505027272727273,0.36994142163928206,0.2497954545454545,2.4602045454545456,0.37095606534603387,0.30261363636363625,2.4073863636363635,0.3651954606451825,0.48810454545454546,2.2218954545454546,0.3373857895341224,0.8142727272727271,1.8957272727272727,0.302163058253018,0.05190476190476192,2.658095238095238,0.3727855783419907,0.10761904761904766,2.6023809523809525,0.38085124808868565,0.14523809523809525,2.564761904761905,0.38201506098697824,0.8052380952380951,1.9047619047619049,0.7688966189422587,1.9147619047619049,0.7952380952380951,0.959316661376341,2.681428571428571,0.028571428571428914,0.6798223763785901,3.0804761904761913,-0.3704761904761913,0.5224571950096822,40395555554.9932,0.5687703446271298,12022315813.7363,-0.9983833053198388,88.29263433660921,-0.9212188197687343,3.1,-0.9988741723988197,3.1,-0.6236365495225493
1,HARTFORD,2013-12,4.4,Other FHA,0.10022500000000001,4.299775,0.3617069406899959,0.1273025,4.2726975000000005,0.36461264296618523,0.16723,4.23277,0.36994142163928206,0.2127325,4.187267500000001,0.37095606534603387,0.24389749999999996,4.1561025,0.3651954606451825,0.34639499999999995,4.053605,0.3373857895341224,0.579045,3.8209550000000005,0.302163058253018,0.019047619047619053,4.380952380952381,0.3727855783419907,0.09523809523809526,4.3047619047619055,0.38085124808868565,0.13285714285714287,4.267142857142858,0.38201506098697824,1.5761904761904764,2.823809523809524,0.7688966189422587,2.901904761904762,1.4980952380952384,0.959316661376341,3.6266666666666674,0.773333333333333,0.6798223763785901,3.889047619047619,0.5109523809523813,0.5224571950096822,44555116847.5878,0.5687703446271298,10216278752.7557,-0.9983833053198388,82.56600445924391,-0.9212188197687343,2.3,-0.9988741723988197,2.5,-0.6236365495225493
2,HARTFORD,2014-07,3.72,Other FHA,0.09286956521739129,3.6271304347826088,0.3617069406899959,0.12270652173913045,3.5972934782608696,0.36461264296618523,0.15438695652173914,3.565613043478261,0.36994142163928206,0.1955586956521739,3.5244413043478264,0.37095606534603387,0.23417391304347826,3.485826086956522,0.3651954606451825,0.32826086956521744,3.391739130434783,0.3373857895341224,0.5557695652173912,3.164230434782609,0.302163058253018,0.024090909090909093,3.6959090909090913,0.3727855783419907,0.059545454545454575,3.6604545454545456,0.38085124808868565,0.11136363636363639,3.608636363636364,0.38201506098697824,1.699545454545455,2.0204545454545455,0.7688966189422587,2.542272727272727,1.1777272727272732,0.959316661376341,3.071363636363636,0.6486363636363643,0.6798223763785901,3.3318181818181816,0.3881818181818186,0.5224571950096822,44591810060.8257,0.5687703446271298,11032404366.8063,-0.9983833053198388,82.72786465890579,-0.9212188197687343,2.6,-0.9988741723988197,2.3,-0.6236365495225493
3,HARTFORD,2015-11,3.7,Other FHA,0.13066666666666668,3.5693333333333337,0.3617069406899959,0.1559214285714286,3.5440785714285714,0.36461264296618523,0.20844761904761913,3.491552380952381,0.36994142163928206,0.286702380952381,3.4132976190476194,0.37095606534603387,0.3709714285714286,3.3290285714285717,0.3651954606451825,0.6063738095238096,3.093626190476191,0.3373857895341224,0.9343738095238093,2.765626190476191,0.302163058253018,0.07105263157894738,3.628947368421053,0.3727855783419907,0.32789473684210524,3.372105263157895,0.38085124808868565,0.47684210526315784,3.2231578947368424,0.38201506098697824,1.6710526315789473,2.028947368421053,0.7688966189422587,2.2631578947368416,1.4368421052631586,0.959316661376341,2.6863157894736847,1.0136842105263155,0.6798223763785901,3.03,0.6700000000000004,0.5224571950096822,48927223434.2447,0.5687703446271298,10986955735.8103,-0.9983833053198388,83.5754036116387,-0.9212188197687343,2.6,-0.9988741723988197,2.0,-0.6236365495225493
