,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(4),Corr with auto_vol(4),student_vol(-4),Corr with student_vol(-4),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2010-11,NE,OMAHA,2010-11,4.85,"(-96.051645, 41.269006)",68114,22307.04,Other FHA,0.22869727272727272,0.018645232349022794,0.24913818181818187,0.02108639907005631,0.2541922727272727,0.0118774505987319,0.27004181818181816,-0.004846635605680541,0.2871204545454545,-0.024340731039888586,0.44597000000000014,-0.09249759640272393,0.7651345454545454,-0.12879788472459688,0.13400000000000004,-0.004142899879798993,0.182,0.013891461589505402,0.25200000000000006,0.05197435668269715,1.35,0.5605851510950312,2.7630000000000003,0.8915307978159905,3.817999999999999,0.8346711774984715,4.186,0.8062321789184513,31565012894.7234,-0.2386645610647665,10534224377.9144,-0.7098059693238928,93.74313363440879,0.2626697313826672,2.9,-0.1386283811423856,2.1,0.056354616113498526,-96.051645,41.269006
1,2012-02,NE,OMAHA,2012-02,3.61,"(-96.068565, 41.203945000000004)",68127,25612.59,Other FHA,0.1410714285714286,0.018645232349022794,0.19146190476190478,0.02108639907005631,0.2500238095238095,0.0118774505987319,0.3686547619047619,-0.004846635605680541,0.5032404761904763,-0.024340731039888586,0.7572880952380953,-0.09249759640272393,1.0711880952380954,-0.12879788472459688,0.06350000000000003,-0.004142899879798993,0.124,0.013891461589505402,0.161,0.05197435668269715,0.8310000000000001,0.5605851510950312,1.9674999999999998,0.8915307978159905,2.7479999999999998,0.8346711774984715,3.109,0.8062321789184513,36186315501.0541,-0.2386645610647665,10258833668.6773,-0.7098059693238928,89.6038877472871,0.2626697313826672,2.3,-0.1386283811423856,1.9,0.056354616113498526,-96.068565,41.203945000000004
2,2012-03,NE,OMAHA,2012-03,3.4,"(-95.937576, 41.267953999999996)",68102,39038.15,Other FHA,0.14720000000000003,0.018645232349022794,0.1893409090909091,0.02108639907005631,0.24185227272727275,0.0118774505987319,0.35079999999999995,-0.004846635605680541,0.4732886363636363,-0.024340731039888586,0.741275,-0.09249759640272393,1.0534477272727274,-0.12879788472459688,0.06363636363636366,-0.004142899879798993,0.14227272727272727,0.013891461589505402,0.19000000000000003,0.05197435668269715,1.0172727272727273,0.5605851510950312,2.1727272727272724,0.8915307978159905,2.9404545454545454,0.8346711774984715,3.281363636363636,0.8062321789184513,36601383816.48,-0.2386645610647665,11784187253.6333,-0.7098059693238928,89.56768058609659,0.2626697313826672,2.3,-0.1386283811423856,1.8,0.056354616113498526,-95.937576,41.267953999999996
3,2012-09,NE,OMAHA,2012-09,3.14,"(-95.937314, 41.256363)",68102,38549.24,Other FHA,0.15189500000000006,0.018645232349022794,0.183625,0.02108639907005631,0.22133750000000002,0.0118774505987319,0.3079875,-0.004846635605680541,0.3856325000000001,-0.024340731039888586,0.6716749999999999,-0.09249759640272393,0.9997750000000002,-0.12879788472459688,0.07526315789473685,-0.004142899879798993,0.13736842105263158,0.013891461589505402,0.17578947368421055,0.05197435668269715,0.6689473684210526,0.5605851510950312,1.7231578947368422,0.8915307978159905,2.488421052631579,0.8346711774984715,2.8815789473684212,0.8062321789184513,39268596272.9965,-0.2386645610647665,12770391029.1034,-0.7098059693238928,89.2801736441717,0.2626697313826672,3.0,-0.1386283811423856,1.8,0.056354616113498526,-95.937314,41.256363
4,2012-10,NE,OMAHA,2012-10,2.43,"(-95.941252, 41.258474)",68102,33218.94,Other FHA,0.15320434782608702,0.018645232349022794,0.17955217391304346,0.02108639907005631,0.21346521739130433,0.0118774505987319,0.2717391304347827,-0.004846635605680541,0.3304891304347827,-0.024340731039888586,0.5823021739130435,-0.09249759640272393,0.9185760869565219,-0.12879788472459688,0.10952380952380951,-0.004142899879798993,0.14904761904761904,0.013891461589505402,0.17952380952380956,0.05197435668269715,0.7085714285714285,0.5605851510950312,1.7461904761904758,0.8915307978159905,2.505714285714286,0.8346711774984715,2.90047619047619,0.8062321789184513,39658399389.4891,-0.2386645610647665,14585937143.4485,-0.7098059693238928,91.578064558499,0.2626697313826672,2.8,-0.1386283811423856,1.7,0.056354616113498526,-95.941252,41.258474
5,2012-11,NE,OMAHA,2012-11,2.73,"(-96.038578, 41.278110999999996)",68134,13127.16,Other FHA,0.1555,0.018645232349022794,0.18060909090909089,0.02108639907005631,0.20888636363636362,0.0118774505987319,0.25813636363636355,-0.004846635605680541,0.31102272727272723,-0.024340731039888586,0.528347727272727,-0.09249759640272393,0.8631931818181818,-0.12879788472459688,0.12449999999999999,-0.004142899879798993,0.14450000000000002,0.013891461589505402,0.17850000000000002,0.05197435668269715,0.665,0.5605851510950312,1.654,0.8915307978159905,2.3894999999999995,0.8346711774984715,2.8034999999999997,0.8062321789184513,39298206327.5877,-0.2386645610647665,16111780903.4699,-0.7098059693238928,88.794109524791,0.2626697313826672,2.7,-0.1386283811423856,1.9,0.056354616113498526,-96.038578,41.278110999999996
6,2012-12,NE,OMAHA,2012-12,2.81,"(9.39306, 52.75611)",68131,12170.64,Other FHA,0.1631578947368421,0.018645232349022794,0.1875157894736842,0.02108639907005631,0.21092631578947374,0.0118774505987319,0.2552894736842105,-0.004846635605680541,0.30947368421052623,-0.024340731039888586,0.5145657894736843,-0.09249759640272393,0.8483157894736841,-0.12879788472459688,0.039500000000000014,-0.004142899879798993,0.11950000000000005,0.013891461589505402,0.1585,0.05197435668269715,0.6960000000000001,0.5605851510950312,1.7189999999999999,0.8915307978159905,2.4675000000000002,0.8346711774984715,2.8835,0.8062321789184513,40395555554.9932,-0.2386645610647665,11986368496.8635,-0.7098059693238928,88.920473853359,0.2626697313826672,2.9,-0.1386283811423856,1.7,0.056354616113498526,9.39306,52.75611
7,2013-01,NE,OMAHA,2013-01,2.84,"(-75.1624, 39.8012)",68114,5594.53,Other FHA,0.16043181818181818,0.018645232349022794,0.17947272727272726,0.02108639907005631,0.20497272727272725,0.0118774505987319,0.2497954545454545,-0.004846635605680541,0.30261363636363625,-0.024340731039888586,0.48810454545454546,-0.09249759640272393,0.8142727272727271,-0.12879788472459688,0.05190476190476192,-0.004142899879798993,0.10761904761904766,0.013891461589505402,0.14523809523809525,0.05197435668269715,0.8052380952380951,0.5605851510950312,1.9147619047619049,0.8915307978159905,2.681428571428571,0.8346711774984715,3.0804761904761913,0.8062321789184513,40995097959.5386,-0.2386645610647665,11631947675.6117,-0.7098059693238928,86.5850023909696,0.2626697313826672,3.0,-0.1386283811423856,1.6,0.056354616113498526,-75.1624,39.8012
8,2013-08,NE,OMAHA,2013-08,4.34,"(-96.118038, 41.222912)",68144,19277.31,Other FHA,0.11782999999999999,0.018645232349022794,0.1493142857142857,0.02108639907005631,0.1840704761904762,0.0118774505987319,0.22633523809523812,-0.004846635605680541,0.2633952380952381,-0.024340731039888586,0.3949285714285714,-0.09249759640272393,0.6679499999999999,-0.12879788472459688,0.03681818181818183,-0.004142899879798993,0.07181818181818184,0.013891461589505402,0.12681818181818183,0.05197435668269715,1.5204545454545455,0.5605851510950312,2.7372727272727273,0.8915307978159905,3.488181818181818,0.8346711774984715,3.757727272727273,0.8062321789184513,41561863313.5151,-0.2386645610647665,9123117418.53368,-0.7098059693238928,88.4263020205016,0.2626697313826672,2.3,-0.1386283811423856,1.4,0.056354616113498526,-96.118038,41.222912
9,2015-03,NE,OMAHA,2015-03,3.15,"(-95.929955, 41.253228)",68102,137051.51,Other FHA,0.12134999999999999,0.018645232349022794,0.14022954545454547,0.02108639907005631,0.17560000000000003,0.0118774505987319,0.21958181818181813,-0.004846635605680541,0.26829772727272727,-0.024340731039888586,0.39945,-0.09249759640272393,0.700025,-0.12879788472459688,0.02272727272727273,-0.004142899879798993,0.11000000000000001,0.013891461589505402,0.25363636363636366,0.05197435668269715,1.5190909090909088,0.5605851510950312,2.042727272727273,0.8915307978159905,2.4068181818181817,0.8346711774984715,2.626363636363636,0.8062321789184513,48668534366.8701,-0.2386645610647665,11357071284.6333,-0.7098059693238928,82.75451956383341,0.2626697313826672,1.6,-0.1386283811423856,0.9,0.056354616113498526,-95.929955,41.253228
