,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol(-2),Corr with student_vol(-2),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(-1),Corr with mortgage 90(-1)
0,AZ,PHOENIX,2012-06,3.34,Other FHA,0.163,3.177,0.6488686898119743,0.19464736842105262,3.1453526315789473,0.6524152762617758,0.24319736842105263,3.096802631578947,0.6568769346436668,0.3459342105263157,2.994065789473684,0.6597352008485935,0.46558684210526313,2.874413157894737,0.6410165666441662,0.7364000000000004,2.6035999999999992,0.5873813734108079,1.0691894736842107,2.270810526315789,0.5272419354875735,0.05190476190476193,3.288095238095238,0.6995999436189397,0.14809523809523809,3.1919047619047616,0.6589663380484497,0.18904761904761905,3.150952380952381,0.6201673156877869,0.7114285714285714,2.6285714285714286,0.4954151432373358,1.6223809523809525,1.7176190476190474,0.4745185357279817,2.3061904761904763,1.0338095238095235,0.42461236869799074,2.698095238095238,0.6419047619047618,0.3227769810298882,36186315501.0541,0.14440792811518668,11641401212.0971,-0.31164998252463555,90.37816904639429,-0.7758693198862971,2.9,-0.1930496695857687,3.7,-0.1746398996490276
1,AZ,PHOENIX,2013-10,4.0,Other FHA,0.10426086956521738,3.895739130434783,0.6488686898119743,0.13668260869565219,3.863317391304348,0.6524152762617758,0.17241521739130433,3.8275847826086955,0.6568769346436668,0.21265,3.78735,0.6597352008485935,0.2417652173913043,3.758234782608696,0.6410165666441662,0.36121521739130424,3.638784782608696,0.5873813734108079,0.6177847826086957,3.3822152173913045,0.5272419354875735,0.1059090909090909,3.894090909090909,0.6995999436189397,0.07590909090909094,3.924090909090909,0.6589663380484497,0.12136363636363635,3.8786363636363634,0.6201673156877869,1.366818181818182,2.633181818181818,0.4954151432373358,2.615909090909091,1.3840909090909088,0.4745185357279817,3.3795454545454544,0.6204545454545456,0.42461236869799074,3.6759090909090903,0.32409090909090965,0.3227769810298882,41244159430.5284,0.14440792811518668,10210246554.7955,-0.31164998252463555,83.69462947740479,-0.7758693198862971,2.1,-0.1930496695857687,1.5,-0.1746398996490276
2,AZ,PHOENIX,2016-07,3.1,Other FHA,0.41380476190476195,2.6861952380952383,0.6488686898119743,0.43819285714285716,2.661807142857143,0.6524152762617758,0.4828833333333333,2.617116666666667,0.6568769346436668,0.5734595238095239,2.526540476190476,0.6597352008485935,0.6963095238095237,2.4036904761904765,0.6410165666441662,0.9990666666666668,2.1009333333333333,0.5873813734108079,1.31707619047619,1.78292380952381,0.5272419354875735,0.2635000000000001,2.8365,0.6995999436189397,0.4040000000000001,2.696,0.6589663380484497,0.5135000000000001,2.5865,0.6201673156877869,1.0715,2.0285,0.4954151432373358,1.504,1.596,0.4745185357279817,1.8224999999999998,1.2775000000000003,0.42461236869799074,2.227,0.8730000000000002,0.3227769810298882,49692544708.3448,0.14440792811518668,11703539581.608,-0.31164998252463555,89.2057504560787,-0.7758693198862971,1.8,-0.1930496695857687,0.9,-0.1746398996490276
3,AZ,PHOENIX,2017-02,3.25,Other FHA,0.6863609999999999,2.5636390000000002,0.6488686898119743,0.7163664999999999,2.5336335,0.6524152762617758,0.7767084999999999,2.4732915,0.6568769346436668,0.8480275,2.4019725,0.6597352008485935,1.0445964999999997,2.2054035,0.6410165666441662,1.3514585000000001,1.8985414999999999,0.5873813734108079,1.723958,1.526042,0.5272419354875735,0.48210526315789465,2.767894736842105,0.6995999436189397,0.653157894736842,2.596842105263158,0.6589663380484497,0.8205263157894739,2.4294736842105262,0.6201673156877869,1.9015789473684213,1.3484210526315787,0.4954151432373358,2.4189473684210525,0.8310526315789475,0.4745185357279817,2.763684210526316,0.48631578947368403,0.42461236869799074,3.0321052631578946,0.21789473684210536,0.3227769810298882,48913265551.9221,0.14440792811518668,12605986919.9069,-0.31164998252463555,88.94830277813108,-0.7758693198862971,1.6,-0.1930496695857687,0.8,-0.1746398996490276
4,AZ,PHOENIX,2017-06,3.76,Other FHA,1.0640909090909094,2.6959090909090904,0.6488686898119743,1.1183336363636365,2.6416663636363635,0.6524152762617758,1.1714068181818182,2.5885931818181813,0.6568769346436668,1.2101513636363637,2.5498486363636363,0.6597352008485935,1.2624095454545452,2.4975904545454544,0.6410165666441662,1.4322822727272726,2.327717727272727,0.5873813734108079,1.7322577272727273,2.0277422727272727,0.5272419354875735,0.8413636363636363,2.9186363636363635,0.6995999436189397,1.1095454545454546,2.6504545454545454,0.6589663380484497,1.200909090909091,2.5590909090909086,0.6201673156877869,1.7740909090909094,1.9859090909090904,0.4954151432373358,2.186818181818182,1.5731818181818178,0.4745185357279817,2.5399999999999996,1.2200000000000002,0.42461236869799074,2.796363636363637,0.963636363636363,0.3227769810298882,49068548953.9206,0.14440792811518668,12388258203.7622,-0.31164998252463555,87.46440959377459,-0.7758693198862971,1.7,-0.1930496695857687,0.6,-0.1746398996490276
5,AZ,PHOENIX,2017-07,3.17,Other FHA,1.1766928571428568,1.9933071428571432,0.6488686898119743,1.1913757142857144,1.9786242857142855,0.6524152762617758,1.2280366666666667,1.9419633333333333,0.6568769346436668,1.2566676190476191,1.9133323809523808,0.6597352008485935,1.307512857142857,1.862487142857143,0.6410165666441662,1.4570814285714284,1.7129185714285715,0.5873813734108079,1.7410885714285718,1.4289114285714282,0.5272419354875735,0.9720000000000001,2.198,0.6995999436189397,1.1284999999999996,2.0415,0.6589663380484497,1.2235,1.9465,0.6201673156877869,1.8720000000000003,1.2979999999999996,0.4954151432373358,2.3179999999999996,0.8520000000000003,0.4745185357279817,2.6505,0.5194999999999999,0.42461236869799074,2.884,0.28600000000000003,0.3227769810298882,48416221734.2909,0.14440792811518668,12747516848.3499,-0.31164998252463555,87.3618752869242,-0.7758693198862971,1.9,-0.1930496695857687,0.6,-0.1746398996490276
6,AZ,PHOENIX,2017-08,3.32,Other FHA,1.1775518181818179,2.1424481818181818,0.6488686898119743,1.197803181818182,2.122196818181818,0.6524152762617758,1.2317690909090908,2.088230909090909,0.6568769346436668,1.264191818181818,2.0558081818181817,0.6597352008485935,1.314176818181818,2.0058231818181818,0.6410165666441662,1.453699090909091,1.8663009090909088,0.5873813734108079,1.7253381818181814,1.5946618181818184,0.5272419354875735,0.9795652173913042,2.3404347826086958,0.6995999436189397,1.1291304347826083,2.1908695652173913,0.6589663380484497,1.2291304347826086,2.090869565217391,0.6201673156877869,1.7765217391304353,1.5434782608695645,0.4954151432373358,2.209130434782609,1.1108695652173908,0.4745185357279817,2.552173913043478,0.7678260869565219,0.42461236869799074,2.795217391304348,0.5247826086956517,0.3227769810298882,47520522623.6854,0.14440792811518668,12745337772.3068,-0.31164998252463555,88.55316323110772,-0.7758693198862971,1.6,-0.1930496695857687,0.6,-0.1746398996490276
7,AZ,PHOENIX,2018-05,3.99,Other FHA,1.7065971428571427,2.2834028571428577,0.6488686898119743,1.7524533333333332,2.237546666666667,0.6524152762617758,1.94629,2.04371,0.6568769346436668,2.0937409523809523,1.896259047619048,0.6597352008485935,2.3356085714285713,1.654391428571429,0.6410165666441662,2.499740476190476,1.4902595238095242,0.5873813734108079,2.754757142857143,1.235242857142857,0.5272419354875735,1.706818181818182,2.283181818181818,0.6995999436189397,2.0731818181818187,1.9168181818181815,0.6589663380484497,2.2736363636363635,1.7163636363636368,0.6201673156877869,2.816818181818181,1.1731818181818192,0.4954151432373358,2.977727272727273,1.0122727272727272,0.4745185357279817,3.0518181818181818,0.9381818181818184,0.42461236869799074,3.1318181818181827,0.8581818181818175,0.3227769810298882,50407042046.8076,0.14440792811518668,11725018303.5706,-0.31164998252463555,,-0.7758693198862971,1.4,-0.1930496695857687,0.5,-0.1746398996490276
8,AZ,PHOENIX,2018-06,3.8,Other FHA,1.8376333333333337,1.9623666666666661,0.6488686898119743,1.9170571428571423,1.8829428571428575,0.6524152762617758,2.068429047619047,1.7315709523809528,0.6568769346436668,2.1502619047619045,1.6497380952380953,0.6597352008485935,2.330264285714286,1.4697357142857137,0.6410165666441662,2.4958952380952377,1.304104761904762,0.5873813734108079,2.759644285714286,1.0403557142857136,0.5272419354875735,1.8052380952380953,1.9947619047619045,0.6995999436189397,2.113809523809524,1.6861904761904758,0.6589663380484497,2.328095238095238,1.4719047619047618,0.6201673156877869,2.775714285714286,1.024285714285714,0.4954151432373358,2.9123809523809525,0.8876190476190473,0.4745185357279817,2.9776190476190476,0.8223809523809522,0.42461236869799074,3.0500000000000007,0.7499999999999991,0.3227769810298882,50165072031.0326,0.14440792811518668,12344213844.2875,-0.31164998252463555,,-0.7758693198862971,1.7,-0.1930496695857687,0.5,-0.1746398996490276
9,AZ,PHOENIX,2018-07,3.79,Other FHA,1.918467142857143,1.871532857142857,0.6488686898119743,1.9587813636363633,1.8312186363636367,0.6524152762617758,2.0789990909090905,1.7110009090909095,0.6568769346436668,2.1733236363636363,1.6166763636363637,0.6597352008485935,2.3391181818181823,1.4508818181818177,0.6410165666441662,2.519525454545455,1.2704745454545452,0.5873813734108079,2.7944931818181815,0.9955068181818185,0.5272419354875735,1.8933333333333329,1.8966666666666672,0.6995999436189397,2.1680952380952383,1.6219047619047617,0.6589663380484497,2.3876190476190478,1.4023809523809523,0.6201673156877869,2.7776190476190483,1.0123809523809517,0.4954151432373358,2.8890476190476195,0.9009523809523805,0.4745185357279817,2.944761904761905,0.8452380952380949,0.42461236869799074,3.006666666666667,0.7833333333333332,0.3227769810298882,50800995008.8069,0.14440792811518668,12109088557.0787,-0.31164998252463555,,-0.7758693198862971,1.8,-0.1930496695857687,0.5,-0.1746398996490276
