,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-2),Corr with auto_vol(-2),student_vol(2),Corr with student_vol(2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(1),Corr with mortgage 30-89(1),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2010-07,NC,CHARLOTTE,2010-07,4.59,"(-80.810824, 35.282621999999996)",10669.16,Other FHA,0.26711500000000005,0.13918758700753955,0.31483090909090916,0.14179108307178961,0.3341213636363637,0.1265157124524088,0.41480272727272727,0.12019798421246107,0.5103277272727272,0.10122648653883631,0.7185045454545452,0.06887303603832139,1.117797727272727,0.06914944834656804,0.15666666666666668,0.14621089721533911,0.20047619047619053,0.10452614407215384,0.2914285714285714,0.09208445606849512,1.7628571428571433,0.4009817836760986,3.0114285714285716,0.6484320907174039,3.796190476190476,0.6562288958507101,3.994285714285714,0.6182690460469671,27396832704.0094,-0.4843504855606164,12342273869.2704,0.2414550892225367,99.3021234972081,0.5745223384897684,4.7,0.39414990280190065,4.0,0.3416269551261319,-80.810824,35.282621999999996
1,2011-02,NC,CHARLOTTE,2011-02,3.85,"(-80.744375, 35.223358000000005)",6992.79,Other FHA,0.23214,0.13918758700753955,0.25165,0.14179108307178961,0.26292499999999996,0.1265157124524088,0.28731249999999997,0.12019798421246107,0.31189999999999996,0.10122648653883631,0.46404500000000004,0.06887303603832139,0.7933949999999999,0.06914944834656804,0.11473684210526319,0.14621089721533911,0.16842105263157894,0.10452614407215384,0.2863157894736842,0.09208445606849512,2.257894736842106,0.4009817836760986,3.5763157894736834,0.6484320907174039,4.423684210526316,0.6562288958507101,4.652105263157895,0.6182690460469671,31044830349.9256,-0.4843504855606164,15995126134.7035,0.2414550892225367,92.4549564204629,0.5745223384897684,4.2,0.39414990280190065,3.7,0.3416269551261319,-80.744375,35.223358000000005
2,2012-06,NC,CHARLOTTE,2012-06,3.115,"(-80.90538000000001, 35.163447)",59073.44,Other FHA,0.163,0.13918758700753955,0.19464736842105262,0.14179108307178961,0.24319736842105263,0.1265157124524088,0.3459342105263157,0.12019798421246107,0.46558684210526313,0.10122648653883631,0.7364000000000004,0.06887303603832139,1.0691894736842107,0.06914944834656804,0.05190476190476193,0.14621089721533911,0.14809523809523809,0.10452614407215384,0.18904761904761905,0.09208445606849512,0.7114285714285714,0.4009817836760986,1.6223809523809525,0.6484320907174039,2.3061904761904763,0.6562288958507101,2.698095238095238,0.6182690460469671,36623269866.4569,-0.4843504855606164,11986368496.8635,0.2414550892225367,90.6452366150782,0.5745223384897684,4.3,0.39414990280190065,3.6,0.3416269551261319,-80.90538000000001,35.163447
3,2012-07,NC,CHARLOTTE,2012-07,3.5,"(-91.668644, 45.323336)",13901.53,Other FHA,0.16720454545454547,0.13918758700753955,0.19873636363636368,0.14179108307178961,0.24646136363636365,0.1265157124524088,0.34024999999999994,0.12019798421246107,0.4535545454545455,0.10122648653883631,0.7302181818181818,0.06887303603832139,1.0653181818181816,0.06914944834656804,0.06952380952380956,0.14621089721533911,0.14571428571428574,0.10452614407215384,0.18571428571428572,0.09208445606849512,0.6195238095238095,0.4009817836760986,1.5266666666666664,0.6484320907174039,2.217142857142857,0.6562288958507101,2.5900000000000003,0.6182690460469671,36777908030.9335,-0.4843504855606164,11631947675.6117,0.2414550892225367,90.0868950067716,0.5745223384897684,4.1,0.39414990280190065,3.6,0.3416269551261319,-91.668644,45.323336
4,2013-02,NC,CHARLOTTE,2013-02,2.79,"(-80.8431, 35.2271)",17511.79,Other FHA,0.15464999999999998,0.13918758700753955,0.17315,0.14179108307178961,0.20129999999999998,0.1265157124524088,0.2455,0.12019798421246107,0.29049499999999995,0.10122648653883631,0.463425,0.06887303603832139,0.761875,0.06914944834656804,0.0768421052631579,0.14621089721533911,0.12421052631578947,0.10452614407215384,0.15736842105263157,0.09208445606849512,0.8463157894736841,0.4009817836760986,1.9842105263157896,0.6484320907174039,2.782631578947368,0.6562288958507101,3.165263157894737,0.6182690460469671,38808856509.5085,-0.4843504855606164,9123117418.53368,0.2414550892225367,90.37816904639429,0.5745223384897684,3.6,0.39414990280190065,2.7,0.3416269551261319,-80.8431,35.2271
5,2013-07,NC,CHARLOTTE,2013-07,3.22,"(-80.89123000000001, 35.218793)",7212.16,Other FHA,0.12117913043478262,0.13918758700753955,0.15611695652173913,0.14179108307178961,0.19111913043478265,0.1265157124524088,0.232388695652174,0.12019798421246107,0.26758260869565215,0.10122648653883631,0.40307869565217386,0.06887303603832139,0.6838491304347826,0.06914944834656804,0.020909090909090912,0.14621089721533911,0.07363636363636367,0.10452614407215384,0.12181818181818184,0.09208445606849512,1.4031818181818183,0.4009817836760986,2.5822727272727275,0.6484320907174039,3.3072727272727276,0.6562288958507101,3.605,0.6182690460469671,40995097959.5386,-0.4843504855606164,10216278752.7557,0.2414550892225367,88.920473853359,0.5745223384897684,3.7,0.39414990280190065,2.3,0.3416269551261319,-80.89123000000001,35.218793
6,2013-12,NC,CHARLOTTE,2013-12,4.1,"(-80.847886, 35.226003000000006)",333276.7,Other FHA,0.10022500000000001,0.13918758700753955,0.1273025,0.14179108307178961,0.16723,0.1265157124524088,0.2127325,0.12019798421246107,0.24389749999999996,0.10122648653883631,0.34639499999999995,0.06887303603832139,0.579045,0.06914944834656804,0.019047619047619053,0.14621089721533911,0.09523809523809526,0.10452614407215384,0.13285714285714287,0.09208445606849512,1.5761904761904764,0.4009817836760986,2.901904761904762,0.6484320907174039,3.6266666666666674,0.6562288958507101,3.889047619047619,0.6182690460469671,41244159430.5284,-0.4843504855606164,10011024566.6146,0.2414550892225367,88.1059676388142,0.5745223384897684,3.9,0.39414990280190065,2.2,0.3416269551261319,-80.847886,35.226003000000006
7,2014-04,NC,CHARLOTTE,2014-04,3.84,"(-80.83239499999999, 35.057147)",108624.81,Other FHA,0.08864000000000001,0.13918758700753955,0.120115,0.14179108307178961,0.1517,0.1265157124524088,0.1918625,0.12019798421246107,0.227495,0.10122648653883631,0.32422500000000004,0.06887303603832139,0.550005,0.06914944834656804,0.023333333333333345,0.14621089721533911,0.05333333333333336,0.10452614407215384,0.10761904761904763,0.09208445606849512,1.7009523809523805,0.4009817836760986,2.705238095238095,0.6484320907174039,3.265238095238095,0.6562288958507101,3.5176190476190476,0.6182690460469671,43204378466.7468,-0.4843504855606164,10121843859.6075,0.2414550892225367,85.3165844012547,0.5745223384897684,3.2,0.39414990280190065,2.0,0.3416269551261319,-80.83239499999999,35.057147
8,2015-04,NC,CHARLOTTE,2015-04,3.02,"(-80.781537, 35.323879999999996)",103747.99,Other FHA,0.12200000000000003,0.13918758700753955,0.14605250000000003,0.14179108307178961,0.18076750000000003,0.1265157124524088,0.22830999999999996,0.12019798421246107,0.27596,0.10122648653883631,0.404505,0.06887303603832139,0.6969449999999999,0.06914944834656804,0.018181818181818188,0.14621089721533911,0.09363636363636368,0.10452614407215384,0.23363636363636367,0.09208445606849512,1.3545454545454545,0.4009817836760986,1.9349999999999996,0.6484320907174039,2.334090909090909,0.6562288958507101,2.5859090909090905,0.6182690460469671,45758876905.2845,-0.4843504855606164,11517159733.1957,0.2414550892225367,82.4770523961592,0.5745223384897684,2.8,0.39414990280190065,1.6,0.3416269551261319,-80.781537,35.323879999999996
9,2016-10,NC,CHARLOTTE,2016-10,3.08,"(-80.069112, 32.716354200000005)",18189.44,Other FHA,0.4307719047619048,0.13918758700753955,0.457582380952381,0.14179108307178961,0.5307795238095238,0.1265157124524088,0.6609890476190475,0.12019798421246107,0.8786828571428573,0.10122648653883631,1.258856666666667,0.06887303603832139,1.577814761904762,0.06914944834656804,0.24400000000000005,0.14621089721533911,0.47700000000000004,0.10452614407215384,0.6595000000000001,0.09208445606849512,1.2719999999999998,0.4009817836760986,1.7645000000000004,0.6484320907174039,2.1705,0.6562288958507101,2.5004999999999997,0.6182690460469671,50596067254.1766,-0.4843504855606164,12605986919.9069,0.2414550892225367,85.1896726255448,0.5745223384897684,2.8,0.39414990280190065,1.3,0.3416269551261319,-80.069112,32.716354200000005
