,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-1),Corr with student_vol(-1),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2010-08,DC,WASHINGTON,2010-08,4.59,"(-77.082371, 38.949081)",34518.07,Other FHA,0.23101619047619049,0.08847183786774909,0.2659952380952381,0.08475391676073026,0.27546238095238096,0.085942219574372,0.3123080952380952,0.0843383899800295,0.3625466666666667,0.0821803161356968,0.5790957142857143,0.06655199723089952,0.9435780952380955,0.08929839104853932,0.15409090909090908,0.11547415297208759,0.19136363636363637,0.13089548984036117,0.25909090909090904,0.15035046227371882,1.4654545454545451,0.4811045480017731,2.6986363636363637,0.6946834729574292,3.516818181818181,0.6107379715577338,3.8031818181818178,0.5569856211871722,30207558860.6451,-0.3312198570260598,10534224377.9144,-0.49070524644867947,99.0214107435932,0.4188531964205227,3.5,0.33492570670544286,5.0,0.22827788293947232,-77.082371,38.949081
1,2010-12,DC,WASHINGTON,2010-12,3.78,"(-77.031145, 38.942287)",19514.6,Other FHA,0.24122190476190472,0.08847183786774909,0.25412380952380953,0.08475391676073026,0.26178857142857137,0.085942219574372,0.28196571428571415,0.0843383899800295,0.30272333333333334,0.0821803161356968,0.4583942857142857,0.06655199723089952,0.7839004761904763,0.08929839104853932,0.0854166666666667,0.11547415297208759,0.19333333333333338,0.13089548984036117,0.2937499999999999,0.15035046227371882,1.9429166666666664,0.4811045480017731,3.2949999999999995,0.6946834729574292,4.173333333333333,0.6107379715577338,4.415,0.5569856211871722,31565012894.7234,-0.3312198570260598,11082139451.8714,-0.49070524644867947,95.6415096715633,0.4188531964205227,3.3,0.33492570670544286,5.0,0.22827788293947232,-77.031145,38.942287
2,2011-07,DC,WASHINGTON,2011-07,3.88,"(-77.036165, 38.913051)",86910.32,Other FHA,0.12388095238095237,0.08847183786774909,0.1598857142857143,0.08475391676073026,0.18661904761904766,0.085942219574372,0.2182333333333334,0.0843383899800295,0.24991190476190472,0.0821803161356968,0.41392857142857137,0.06655199723089952,0.7452261904761905,0.08929839104853932,0.037500000000000006,0.11547415297208759,0.08400000000000002,0.13089548984036117,0.185,0.15035046227371882,1.541,0.4811045480017731,3.003,0.6946834729574292,3.9475000000000002,0.6107379715577338,4.2705,0.5569856211871722,34623712775.9563,-0.3312198570260598,12472473242.0863,-0.49070524644867947,91.59671843464591,0.4188531964205227,2.9,0.33492570670544286,4.7,0.22827788293947232,-77.036165,38.913051
3,2011-08,DC,WASHINGTON,2011-08,3.55,"(-77.032055, 38.925031)",53736.73,Other FHA,0.14468363636363638,0.08847183786774909,0.18038681818181818,0.08475391676073026,0.21116590909090904,0.085942219574372,0.24895727272727275,0.0843383899800295,0.29323772727272723,0.0821803161356968,0.45919454545454547,0.06655199723089952,0.7783581818181818,0.08929839104853932,0.017391304347826094,0.11547415297208759,0.06217391304347828,0.13089548984036117,0.11478260869565218,0.15035046227371882,1.021304347826087,0.4811045480017731,2.303043478260869,0.6946834729574292,3.244782608695652,0.6107379715577338,3.6513043478260867,0.5569856211871722,34825519831.2788,-0.3312198570260598,13238482167.5647,-0.49070524644867947,92.5881563190625,0.4188531964205227,3.1,0.33492570670544286,4.8,0.22827788293947232,-77.032055,38.925031
4,2012-03,DC,WASHINGTON,2012-03,3.1,"(-76.985176, 38.861197)",21459.28,Other FHA,0.14720000000000003,0.08847183786774909,0.1893409090909091,0.08475391676073026,0.24185227272727275,0.085942219574372,0.35079999999999995,0.0843383899800295,0.4732886363636363,0.0821803161356968,0.741275,0.06655199723089952,1.0534477272727274,0.08929839104853932,0.06363636363636366,0.11547415297208759,0.14227272727272727,0.13089548984036117,0.19000000000000003,0.15035046227371882,1.0172727272727273,0.4811045480017731,2.1727272727272724,0.6946834729574292,2.9404545454545454,0.6107379715577338,3.281363636363636,0.5569856211871722,36186315501.0541,-0.3312198570260598,10728874885.7875,-0.49070524644867947,90.35087768078328,0.4188531964205227,2.9,0.33492570670544286,4.7,0.22827788293947232,-76.985176,38.861197
5,2012-08,DC,WASHINGTON,2012-08,2.44,"(-77.023356, 38.895034)",126097.96,Other FHA,0.15374090909090915,0.08847183786774909,0.18745454545454548,0.08475391676073026,0.23783863636363634,0.085942219574372,0.3331136363636364,0.0843383899800295,0.43259999999999993,0.0821803161356968,0.7177749999999997,0.06655199723089952,1.0426272727272727,0.08929839104853932,0.09217391304347829,0.11547415297208759,0.14043478260869566,0.13089548984036117,0.18347826086956526,0.15035046227371882,0.7139130434782609,0.4811045480017731,1.6782608695652175,0.6946834729574292,2.3978260869565218,0.6107379715577338,2.7708695652173914,0.5569856211871722,38410438812.4053,-0.3312198570260598,16111780903.4699,-0.49070524644867947,89.00857713430821,0.4188531964205227,3.0,0.33492570670544286,4.2,0.22827788293947232,-77.023356,38.895034
6,2014-11,DC,WASHINGTON,2014-11,3.75,"(-77.02218, 38.913459)",83243.84,Other FHA,0.09656999999999999,0.08847183786774909,0.12222499999999999,0.08475391676073026,0.1548075,0.085942219574372,0.20246,0.0843383899800295,0.23286250000000003,0.0821803161356968,0.32679500000000006,0.06655199723089952,0.56206,0.08929839104853932,0.04166666666666668,0.11547415297208759,0.06944444444444448,0.13089548984036117,0.13444444444444448,0.15035046227371882,1.6205555555555557,0.4811045480017731,2.325555555555556,0.6946834729574292,2.7644444444444445,0.6107379715577338,3.038333333333333,0.5569856211871722,45758876905.2845,-0.3312198570260598,10950177839.1879,-0.49070524644867947,81.64661519553,0.4188531964205227,2.4,0.33492570670544286,2.3,0.22827788293947232,-77.02218,38.913459
7,2016-06,DC,WASHINGTON,2016-06,3.38,"(-76.946241, 38.902228)",103284.55,Other FHA,0.3904409090909091,0.08847183786774909,0.41572500000000007,0.08475391676073026,0.4527090909090909,0.085942219574372,0.5394386363636363,0.0843383899800295,0.6516204545454546,0.0821803161356968,0.9360386363636366,0.06655199723089952,1.2592227272727274,0.08929839104853932,0.22136363636363632,0.11547415297208759,0.40409090909090906,0.13089548984036117,0.5522727272727272,0.15035046227371882,1.1663636363636367,0.4811045480017731,1.6440909090909095,0.6946834729574292,2.019090909090909,0.6107379715577338,2.452272727272727,0.5569856211871722,50249654907.7038,-0.3312198570260598,11703539581.608,-0.49070524644867947,85.06205357591242,0.4188531964205227,2.3,0.33492570670544286,1.5,0.22827788293947232,-76.946241,38.902228
8,2016-12,DC,WASHINGTON,2016-12,2.91,"(-77.014567, 38.903301)",31489.91,Other FHA,0.5606285,0.08847183786774909,0.6315605,0.08475391676073026,0.7119585,0.085942219574372,0.7883325000000001,0.0843383899800295,0.9753284999999998,0.0821803161356968,1.3063339999999999,0.06655199723089952,1.6692235,0.08929839104853932,0.42333333333333334,0.11547415297208759,0.638095238095238,0.13089548984036117,0.8661904761904763,0.15035046227371882,1.9590476190476194,0.4811045480017731,2.491904761904762,0.6946834729574292,2.835238095238095,0.6107379715577338,3.1133333333333324,0.5569856211871722,48441183549.9275,-0.3312198570260598,12137144620.0221,-0.49070524644867947,88.1942388876454,0.4188531964205227,1.9,0.33492570670544286,1.4,0.22827788293947232,-77.014567,38.903301
9,2017-06,DC,WASHINGTON,2017-06,3.45,"(-119.0117962, 46.6053328)",24885.56,Other FHA,1.0640909090909094,0.08847183786774909,1.1183336363636365,0.08475391676073026,1.1714068181818182,0.085942219574372,1.2101513636363637,0.0843383899800295,1.2624095454545452,0.0821803161356968,1.4322822727272726,0.06655199723089952,1.7322577272727273,0.08929839104853932,0.8413636363636363,0.11547415297208759,1.1095454545454546,0.13089548984036117,1.200909090909091,0.15035046227371882,1.7740909090909094,0.4811045480017731,2.186818181818182,0.6946834729574292,2.5399999999999996,0.6107379715577338,2.796363636363637,0.5569856211871722,49256214828.7987,-0.3312198570260598,12747516848.3499,-0.49070524644867947,84.4501908643932,0.4188531964205227,2.1,0.33492570670544286,1.3,0.22827788293947232,-119.0117962,46.6053328
10,2017-09,DC,WASHINGTON,2017-09,3.2,"(-77.024324, 38.937886999999996)",57038.16,Other FHA,1.1784444999999997,0.08847183786774909,1.1967471428571432,0.08475391676073026,1.23492,0.085942219574372,1.2721638095238097,0.0843383899800295,1.3232957142857147,0.0821803161356968,1.4732157142857143,0.06655199723089952,1.738246666666667,0.08929839104853932,0.9940000000000001,0.11547415297208759,1.171,0.13089548984036117,1.2799999999999998,0.15035046227371882,1.7975,0.4811045480017731,2.2020000000000004,0.6946834729574292,2.5300000000000002,0.6107379715577338,2.7764999999999995,0.5569856211871722,50617906919.2487,-0.3312198570260598,12103218541.1776,-0.49070524644867947,89.1832712740787,0.4188531964205227,2.0,0.33492570670544286,1.3,0.22827788293947232,-77.024324,38.937886999999996
11,2017-10,DC,WASHINGTON,2017-10,3.3,"(-77.03184300000001, 38.929373)",5729.88,Other FHA,1.1834895238095235,0.08847183786774909,1.2040609090909093,0.08475391676073026,1.2385486363636362,0.085942219574372,1.287584090909091,0.0843383899800295,1.3607931818181818,0.0821803161356968,1.541957272727273,0.06655199723089952,1.8208568181818179,0.08929839104853932,0.9957142857142858,0.11547415297208759,1.2495238095238093,0.13089548984036117,1.3976190476190478,0.15035046227371882,1.9809523809523806,0.4811045480017731,2.3600000000000003,0.6946834729574292,2.649047619047619,0.6107379715577338,2.8780952380952383,0.5569856211871722,49589347299.2381,-0.3312198570260598,11813706431.8634,-0.49070524644867947,88.94830277813108,0.4188531964205227,2.1,0.33492570670544286,1.3,0.22827788293947232,-77.03184300000001,38.929373
12,2018-05,DC,WASHINGTON,2018-05,3.95,"(-77.02931600000001, 38.904205)",211692.81,Other FHA,1.7065971428571427,0.08847183786774909,1.7524533333333332,0.08475391676073026,1.94629,0.085942219574372,2.0937409523809523,0.0843383899800295,2.3356085714285713,0.0821803161356968,2.499740476190476,0.06655199723089952,2.754757142857143,0.08929839104853932,1.706818181818182,0.11547415297208759,2.0731818181818187,0.13089548984036117,2.2736363636363635,0.15035046227371882,2.816818181818181,0.4811045480017731,2.977727272727273,0.6946834729574292,3.0518181818181818,0.6107379715577338,3.1318181818181827,0.5569856211871722,50563742345.0186,-0.3312198570260598,12344213844.2875,-0.49070524644867947,88.1148323663994,0.4188531964205227,2.0,0.33492570670544286,1.1,0.22827788293947232,-77.02931600000001,38.904205
