,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(2),Corr with student_vol(2),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(-3),Corr with mortgage 90(-3),long,lat
0,2011-11,CA,SAN FRANCISCO,2011-11,3.83,"(28.2251325, -26.0301375)",94103,160075.25,Other FHA,0.14255090909090912,0.5571967537996929,0.19244863636363635,0.6330553700815906,0.2536463636363637,0.6953708330617769,0.3593790909090909,0.7584253773131238,0.47529181818181826,0.7812029757680002,0.6805422727272729,0.7443677582441669,1.000305,0.7295116906673857,0.013999999999999999,0.5181924406769728,0.04650000000000002,0.5022202260233689,0.11200000000000002,0.5683922300289665,0.908,0.6028072240067665,2.0134999999999996,-0.275870496954248,2.7180000000000004,-0.4807896867946424,3.0155000000000003,-0.559342159176038,34623712775.9563,0.31392948031348367,11510278467.2037,0.8949852947923836,88.33905735772379,-0.8105014790156223,1.8,-0.4682927331475371,3.4,-0.1915198944364383,28.2251325,-26.0301375
1,2013-01,CA,SAN FRANCISCO,2013-01,2.3,"(-122.409103, 37.79361)",94108,23195.4,Other FHA,0.16043181818181818,0.5571967537996929,0.17947272727272726,0.6330553700815906,0.20497272727272725,0.6953708330617769,0.2497954545454545,0.7584253773131238,0.30261363636363625,0.7812029757680002,0.48810454545454546,0.7443677582441669,0.8142727272727271,0.7295116906673857,0.05190476190476192,0.5181924406769728,0.10761904761904766,0.5022202260233689,0.14523809523809525,0.5683922300289665,0.8052380952380951,0.6028072240067665,1.9147619047619049,-0.275870496954248,2.681428571428571,-0.4807896867946424,3.0804761904761913,-0.559342159176038,38808856509.5085,0.31392948031348367,9855625468.0504,0.8949852947923836,90.37816904639429,-0.8105014790156223,1.7,-0.4682927331475371,2.4,-0.1915198944364383,-122.409103,37.79361
2,2013-05,CA,SAN FRANCISCO,2013-05,2.61,"(-122.399735, 37.782678999999995)",94107,16052.55,Other FHA,0.1435047619047619,0.5571967537996929,0.1638380952380952,0.6330553700815906,0.19670952380952378,0.6953708330617769,0.23396000000000003,0.7584253773131238,0.27416904761904765,0.7812029757680002,0.42137333333333327,0.7443677582441669,0.6936104761904763,0.7295116906673857,0.020454545454545458,0.5181924406769728,0.08090909090909093,0.5022202260233689,0.11863636363636366,0.5683922300289665,0.840909090909091,0.6028072240067665,1.9281818181818182,-0.275870496954248,2.7286363636363635,-0.4807896867946424,3.112727272727273,-0.559342159176038,40395555554.9932,0.31392948031348367,8901986132.75728,0.8949852947923836,88.794109524791,-0.8105014790156223,1.5,-0.4682927331475371,2.0,-0.1915198944364383,-122.399735,37.782678999999995
3,2013-06,CA,SAN FRANCISCO,2013-06,3.22,"(-122.44685600000001, 37.798827)",94123,22562.81,Other FHA,0.13074,0.5571967537996929,0.15964599999999998,0.6330553700815906,0.19319250000000002,0.6953708330617769,0.23164600000000002,0.7584253773131238,0.27374,0.7812029757680002,0.4139935,0.7443677582441669,0.6839425000000002,0.7295116906673857,0.0345,0.5181924406769728,0.08750000000000002,0.5022202260233689,0.142,0.5683922300289665,1.2035,0.6028072240067665,2.3000000000000003,-0.275870496954248,3.0740000000000003,-0.4807896867946424,3.400000000000001,-0.559342159176038,40995097959.5386,0.31392948031348367,10210246554.7955,0.8949852947923836,88.920473853359,-0.8105014790156223,1.3,-0.4682927331475371,1.9,-0.1915198944364383,-122.44685600000001,37.798827
4,2016-08,CA,SAN FRANCISCO,2016-08,3.98,"(-122.380468, 37.733439000000004)",94124,166189.81,Other FHA,0.41817045454545454,0.5571967537996929,0.4429568181818182,0.6330553700815906,0.5122418181818182,0.6953708330617769,0.6351372727272727,0.7584253773131238,0.810223181818182,0.7812029757680002,1.1977463636363632,0.7443677582441669,1.5097959090909088,0.7295116906673857,0.2608695652173914,0.5181924406769728,0.4460869565217393,0.5022202260233689,0.5682608695652173,0.5683922300289665,1.1330434782608694,0.6028072240067665,1.5565217391304347,-0.275870496954248,1.8895652173913038,-0.4807896867946424,2.261739130434783,-0.559342159176038,49692544708.3448,0.31392948031348367,11692339154.1207,0.8949852947923836,85.2359522201137,-0.8105014790156223,0.8,-0.4682927331475371,0.6,-0.1915198944364383,-122.380468,37.733439000000004
