,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(3),Corr with auto_vol(3),student_vol(-4),Corr with student_vol(-4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(1),Corr with mortgage 90(1)
0,CO,DENVER,2011-09,3.95,Other FHA,0.14525181818181823,3.804748181818182,0.18167854392302515,0.1884,3.7616,0.18747468500714973,0.23085045454545455,3.719149545454546,0.18879446446911416,0.2845913636363636,3.6654086363636367,0.18679341378245148,0.3502268181818181,3.599773181818182,0.17995061825057623,0.5222018181818182,3.427798181818182,0.13735579280503268,0.8332045454545454,3.116795454545455,0.10432626201832199,0.005714285714285713,3.9442857142857144,0.19365838654359102,0.04333333333333335,3.9066666666666667,0.17815095403825507,0.10476190476190479,3.8452380952380953,0.1599630190492597,0.9004761904761904,3.0495238095238095,0.4603738347265291,1.9752380952380955,1.9747619047619047,0.7689360677236969,2.8271428571428574,1.1228571428571428,0.7576705617866212,3.182380952380953,0.7676190476190472,0.7106015969181093,35344521679.5642,-0.12278041894387123,13753511368.0623,-0.6271710270942761,90.35087768078328,-0.4222385698769055,2.3,0.1397857917374275,2.5,0.06725519407662454
1,CO,DENVER,2012-11,2.125,Other FHA,0.1555,1.9695,0.18167854392302515,0.18060909090909089,1.944390909090909,0.18747468500714973,0.20888636363636362,1.9161136363636364,0.18879446446911416,0.25813636363636355,1.8668636363636364,0.18679341378245148,0.31102272727272723,1.8139772727272727,0.17995061825057623,0.528347727272727,1.596652272727273,0.13735579280503268,0.8631931818181818,1.2618068181818183,0.10432626201832199,0.12449999999999999,2.0005,0.19365838654359102,0.14450000000000002,1.9805,0.17815095403825507,0.17850000000000002,1.9465,0.1599630190492597,0.665,1.46,0.4603738347265291,1.654,0.4710000000000001,0.7689360677236969,2.3894999999999995,-0.2644999999999995,0.7576705617866212,2.8034999999999997,-0.6784999999999997,0.7106015969181093,39658399389.4891,-0.12278041894387123,16111780903.4699,-0.6271710270942761,91.578064558499,-0.4222385698769055,2.0,0.1397857917374275,1.7,0.06725519407662454
2,CO,DENVER,2013-10,3.88,Other FHA,0.10426086956521738,3.7757391304347827,0.18167854392302515,0.13668260869565219,3.743317391304348,0.18747468500714973,0.17241521739130433,3.7075847826086954,0.18879446446911416,0.21265,3.66735,0.18679341378245148,0.2417652173913043,3.638234782608696,0.17995061825057623,0.36121521739130424,3.5187847826086958,0.13735579280503268,0.6177847826086957,3.2622152173913044,0.10432626201832199,0.1059090909090909,3.774090909090909,0.19365838654359102,0.07590909090909094,3.8040909090909087,0.17815095403825507,0.12136363636363635,3.7586363636363633,0.1599630190492597,1.366818181818182,2.5131818181818177,0.4603738347265291,2.615909090909091,1.2640909090909087,0.7689360677236969,3.3795454545454544,0.5004545454545455,0.7576705617866212,3.6759090909090903,0.20409090909090954,0.7106015969181093,42151687038.4775,-0.12278041894387123,9260696074.4491,-0.6271710270942761,85.3165844012547,-0.4222385698769055,1.5,0.1397857917374275,1.1,0.06725519407662454
3,CO,DENVER,2013-12,4.5,Other FHA,0.10022500000000001,4.399775,0.18167854392302515,0.1273025,4.3726975,0.18747468500714973,0.16723,4.33277,0.18879446446911416,0.2127325,4.2872675000000005,0.18679341378245148,0.24389749999999996,4.2561025,0.17995061825057623,0.34639499999999995,4.153605,0.13735579280503268,0.579045,3.920955,0.10432626201832199,0.019047619047619053,4.480952380952381,0.19365838654359102,0.09523809523809526,4.404761904761905,0.17815095403825507,0.13285714285714287,4.367142857142857,0.1599630190492597,1.5761904761904764,2.9238095238095236,0.4603738347265291,2.901904761904762,1.598095238095238,0.7689360677236969,3.6266666666666674,0.8733333333333326,0.7576705617866212,3.889047619047619,0.6109523809523809,0.7106015969181093,44555116847.5878,-0.12278041894387123,10210246554.7955,-0.6271710270942761,83.69462947740479,-0.4222385698769055,1.7,0.1397857917374275,1.1,0.06725519407662454
4,CO,DENVER,2014-01,4.08,Other FHA,0.09003181818181817,3.989968181818182,0.18167854392302515,0.1219931818181818,3.9580068181818184,0.18747468500714973,0.1597090909090909,3.9202909090909093,0.18879446446911416,0.204425,3.875575,0.18679341378245148,0.23822954545454544,3.8417704545454545,0.17995061825057623,0.33795909090909093,3.742040909090909,0.13735579280503268,0.5752999999999999,3.5047,0.10432626201832199,0.017142857142857144,4.062857142857143,0.19365838654359102,0.0690476190476191,4.010952380952381,0.17815095403825507,0.11619047619047623,3.9638095238095237,0.1599630190492597,1.6466666666666665,2.4333333333333336,0.4603738347265291,2.858095238095238,1.2219047619047623,0.7689360677236969,3.521904761904762,0.558095238095238,0.7576705617866212,3.76904761904762,0.3109523809523802,0.7106015969181093,44109559396.2995,-0.12278041894387123,10216278752.7557,-0.6271710270942761,80.910251046009,-0.4222385698769055,1.7,0.1397857917374275,1.0,0.06725519407662454
5,CO,DENVER,2014-08,3.48,Other FHA,0.090785,3.389215,0.18167854392302515,0.121725,3.358275,0.18747468500714973,0.15602,3.32398,0.18879446446911416,0.19527250000000002,3.2847275,0.18679341378245148,0.23465000000000003,3.24535,0.17995061825057623,0.32965500000000003,3.1503449999999997,0.13735579280503268,0.55889,2.92111,0.10432626201832199,0.030000000000000006,3.45,0.19365838654359102,0.0523809523809524,3.427619047619048,0.17815095403825507,0.10714285714285714,3.3728571428571428,0.1599630190492597,1.6314285714285717,1.8485714285714283,0.4603738347265291,2.42,1.06,0.7689360677236969,2.9366666666666665,0.5433333333333334,0.7576705617866212,3.2009523809523808,0.2790476190476192,0.7106015969181093,44940573200.2924,-0.12278041894387123,11032404366.8063,-0.6271710270942761,82.08517590205541,-0.4222385698769055,1.6,0.1397857917374275,0.9,0.06725519407662454
6,CO,DENVER,2015-04,3.16,Other FHA,0.12200000000000003,3.0380000000000003,0.18167854392302515,0.14605250000000003,3.0139475,0.18747468500714973,0.18076750000000003,2.9792325,0.18879446446911416,0.22830999999999996,2.93169,0.18679341378245148,0.27596,2.88404,0.17995061825057623,0.404505,2.7554950000000002,0.13735579280503268,0.6969449999999999,2.463055,0.10432626201832199,0.018181818181818188,3.141818181818182,0.19365838654359102,0.09363636363636368,3.0663636363636364,0.17815095403825507,0.23363636363636367,2.9263636363636363,0.1599630190492597,1.3545454545454545,1.8054545454545456,0.4603738347265291,1.9349999999999996,1.2250000000000005,0.7689360677236969,2.334090909090909,0.8259090909090911,0.7576705617866212,2.5859090909090905,0.5740909090909097,0.7106015969181093,48668534366.8701,-0.12278041894387123,14245911418.8887,-0.6271710270942761,82.75451956383341,-0.4222385698769055,1.1,0.1397857917374275,0.7,0.06725519407662454
7,CO,DENVER,2015-06,3.18,Other FHA,0.12293636363636364,3.0570636363636363,0.18167854392302515,0.14681590909090908,3.0331840909090912,0.18747468500714973,0.1858840909090909,2.994115909090909,0.18879446446911416,0.23472954545454539,2.945270454545455,0.18679341378245148,0.2827113636363637,2.8972886363636365,0.17995061825057623,0.43974545454545466,2.7402545454545457,0.13735579280503268,0.7702659090909093,2.4097340909090907,0.10432626201832199,0.007727272727272728,3.1722727272727274,0.19365838654359102,0.08681818181818185,3.0931818181818183,0.17815095403825507,0.2754545454545455,2.9045454545454548,0.1599630190492597,1.6836363636363636,1.4963636363636366,0.4603738347265291,2.3636363636363638,0.8163636363636364,0.7689360677236969,2.8454545454545452,0.3345454545454549,0.7576705617866212,3.1118181818181814,0.06818181818181879,0.7106015969181093,49379202635.7798,-0.12278041894387123,11837215038.8922,-0.6271710270942761,82.89218119322959,-0.4222385698769055,1.2,0.1397857917374275,0.7,0.06725519407662454
8,CO,DENVER,2016-10,3.45,Other FHA,0.4307719047619048,3.019228095238095,0.18167854392302515,0.457582380952381,2.992417619047619,0.18747468500714973,0.5307795238095238,2.9192204761904765,0.18879446446911416,0.6609890476190475,2.7890109523809525,0.18679341378245148,0.8786828571428573,2.5713171428571426,0.17995061825057623,1.258856666666667,2.191143333333333,0.13735579280503268,1.577814761904762,1.8721852380952382,0.10432626201832199,0.24400000000000005,3.206,0.19365838654359102,0.47700000000000004,2.9730000000000003,0.17815095403825507,0.6595000000000001,2.7905,0.1599630190492597,1.2719999999999998,2.1780000000000004,0.4603738347265291,1.7645000000000004,1.6854999999999998,0.7689360677236969,2.1705,1.2795,0.7576705617866212,2.5004999999999997,0.9495000000000005,0.7106015969181093,49588706606.1033,-0.12278041894387123,11496937509.4445,-0.6271710270942761,88.1697673489486,-0.4222385698769055,1.4,0.1397857917374275,0.5,0.06725519407662454
9,CO,DENVER,2016-11,3.315,Other FHA,0.4339245454545454,2.8810754545454547,0.18167854392302515,0.45880500000000013,2.8561949999999996,0.18747468500714973,0.5631090909090911,2.7518909090909087,0.18879446446911416,0.7006386363636362,2.614361363636364,0.18679341378245148,0.9084640909090909,2.406535909090909,0.17995061825057623,1.2693081818181815,2.0456918181818184,0.13735579280503268,1.6029650000000002,1.7120349999999998,0.10432626201832199,0.29999999999999993,3.015,0.19365838654359102,0.5834999999999999,2.7315,0.17815095403825507,0.736,2.5789999999999997,0.1599630190492597,1.596,1.7189999999999999,0.4603738347265291,2.142,1.173,0.7689360677236969,2.5369999999999995,0.7780000000000005,0.7576705617866212,2.8620000000000005,0.4529999999999994,0.7106015969181093,48913265551.9221,-0.12278041894387123,11531266279.4831,-0.6271710270942761,87.62096056152771,-0.4222385698769055,1.2,0.1397857917374275,0.4,0.06725519407662454
10,CO,DENVER,2017-05,3.68,Other FHA,0.9286509523809523,2.7513490476190476,0.18167854392302515,0.9479980952380954,2.732001904761905,0.18747468500714973,1.0114261904761905,2.6685738095238096,0.18879446446911416,1.0843647619047618,2.5956352380952383,0.18679341378245148,1.185849523809524,2.4941504761904763,0.17995061825057623,1.424545714285714,2.2554542857142863,0.13735579280503268,1.7495038095238098,1.9304961904761904,0.10432626201832199,0.7281818181818184,2.9518181818181817,0.19365838654359102,1.035,2.6450000000000005,0.17815095403825507,1.1227272727272726,2.5572727272727276,0.1599630190492597,1.836818181818182,1.8431818181818183,0.4603738347265291,2.3036363636363633,1.376363636363637,0.7689360677236969,2.695909090909091,0.9840909090909093,0.7576705617866212,2.9590909090909094,0.7209090909090907,0.7106015969181093,47520522623.6854,-0.12278041894387123,12351593318.9066,-0.6271710270942761,88.11497433433529,-0.4222385698769055,1.2,0.1397857917374275,0.4,0.06725519407662454
11,CO,DENVER,2017-09,3.4,Other FHA,1.1784444999999997,2.2215555,0.18167854392302515,1.1967471428571432,2.2032528571428567,0.18747468500714973,1.23492,2.1650799999999997,0.18879446446911416,1.2721638095238097,2.12783619047619,0.18679341378245148,1.3232957142857147,2.0767042857142854,0.17995061825057623,1.4732157142857143,1.9267842857142856,0.13735579280503268,1.738246666666667,1.661753333333333,0.10432626201832199,0.9940000000000001,2.4059999999999997,0.19365838654359102,1.171,2.229,0.17815095403825507,1.2799999999999998,2.12,0.1599630190492597,1.7975,1.6024999999999998,0.4603738347265291,2.2020000000000004,1.1979999999999995,0.7689360677236969,2.5300000000000002,0.8699999999999997,0.7576705617866212,2.7764999999999995,0.6235000000000004,0.7106015969181093,50617906919.2487,-0.12278041894387123,12747516848.3499,-0.6271710270942761,87.3618752869242,-0.4222385698769055,1.0,0.1397857917374275,0.4,0.06725519407662454
12,CO,DENVER,2017-11,3.25,Other FHA,1.183300476190476,2.066699523809524,0.18167854392302515,1.2036563636363637,2.0463436363636363,0.18747468500714973,1.2878790909090911,1.9621209090909089,0.18879446446911416,1.3757831818181818,1.8742168181818182,0.18679341378245148,1.4342040909090912,1.8157959090909088,0.17995061825057623,1.6264599999999996,1.6235400000000004,0.13735579280503268,1.9015695454545458,1.3484304545454542,0.10432626201832199,1.09,2.16,0.19365838654359102,1.3895238095238096,1.8604761904761904,0.17815095403825507,1.5600000000000003,1.6899999999999997,0.1599630190492597,2.05,1.2000000000000002,0.4603738347265291,2.353333333333333,0.896666666666667,0.7689360677236969,2.6023809523809525,0.6476190476190475,0.7576705617866212,2.801904761904762,0.4480952380952381,0.7106015969181093,49574400061.0285,-0.12278041894387123,11814606928.6527,-0.6271710270942761,88.1148323663994,-0.4222385698769055,1.1,0.1397857917374275,0.4,0.06725519407662454
