,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(1),Corr with auto_vol(1),student_vol(1),Corr with student_vol(1),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90,Corr with mortgage 90
0,MI,DETROIT,2010-08,3.61,Other FHA,0.23101619047619049,3.3789838095238096,0.45984523034544444,0.2659952380952381,3.344004761904762,0.46243258065128434,0.27546238095238096,3.334537619047619,0.4618023950373293,0.3123080952380952,3.297691904761905,0.4630905374076573,0.3625466666666667,3.247453333333333,0.46281479177947504,0.5790957142857143,3.0309042857142856,0.44580167430217854,0.9435780952380955,2.666421904761904,0.436833429487609,0.15409090909090908,3.4559090909090906,0.4587455338050527,0.19136363636363637,3.4186363636363635,0.4623856178789234,0.25909090909090904,3.3509090909090906,0.4765802063553086,1.4654545454545451,2.1445454545454545,0.619331331891897,2.6986363636363637,0.9113636363636362,0.45280654818932936,3.516818181818181,0.0931818181818187,0.11359293915189751,3.8031818181818178,-0.1931818181818179,0.002756487595129531,29826615528.9652,0.4827444449831054,12342273869.2704,0.4960138637790763,92.4549564204629,-0.5263082642231822,4.3,-0.4798713472055951,5.3,-0.42566329050347
1,MI,DETROIT,2010-10,2.95,Other FHA,0.22598619047619048,2.7240138095238096,0.45984523034544444,0.25051619047619045,2.6994838095238096,0.46243258065128434,0.25605714285714287,2.6939428571428574,0.4618023950373293,0.2720304761904762,2.677969523809524,0.4630905374076573,0.28884,2.66116,0.46281479177947504,0.45499142857142844,2.495008571428572,0.44580167430217854,0.7680966666666665,2.1819033333333335,0.436833429487609,0.14050000000000004,2.8095000000000003,0.4587455338050527,0.17650000000000005,2.7735000000000003,0.4623856178789234,0.22800000000000006,2.722,0.4765802063553086,1.1824999999999999,1.7675000000000003,0.619331331891897,2.54,0.41000000000000014,0.45280654818932936,3.524,-0.5739999999999998,0.11359293915189751,3.8724999999999996,-0.9224999999999994,0.002756487595129531,30207558860.6451,0.4827444449831054,11082139451.8714,0.4960138637790763,94.7176548951663,-0.5263082642231822,4.3,-0.4798713472055951,4.9,-0.42566329050347
2,MI,DETROIT,2012-02,3.48,Other FHA,0.1410714285714286,3.3389285714285712,0.45984523034544444,0.19146190476190478,3.288538095238095,0.46243258065128434,0.2500238095238095,3.2299761904761906,0.4618023950373293,0.3686547619047619,3.111345238095238,0.4630905374076573,0.5032404761904763,2.9767595238095237,0.46281479177947504,0.7572880952380953,2.722711904761905,0.44580167430217854,1.0711880952380954,2.4088119047619045,0.436833429487609,0.06350000000000003,3.4165,0.4587455338050527,0.124,3.356,0.4623856178789234,0.161,3.319,0.4765802063553086,0.8310000000000001,2.649,0.619331331891897,1.9674999999999998,1.5125000000000002,0.45280654818932936,2.7479999999999998,0.7320000000000002,0.11359293915189751,3.109,0.371,0.002756487595129531,35767585536.868996,0.4827444449831054,11251067892.2966,0.4960138637790763,89.00857713430821,-0.5263082642231822,3.5,-0.4798713472055951,4.2,-0.42566329050347
3,MI,DETROIT,2012-09,2.65,Other FHA,0.15189500000000006,2.498105,0.45984523034544444,0.183625,2.4663749999999998,0.46243258065128434,0.22133750000000002,2.4286624999999997,0.4618023950373293,0.3079875,2.3420125,0.4630905374076573,0.3856325000000001,2.2643674999999996,0.46281479177947504,0.6716749999999999,1.978325,0.44580167430217854,0.9997750000000002,1.6502249999999998,0.436833429487609,0.07526315789473685,2.574736842105263,0.4587455338050527,0.13736842105263158,2.512631578947368,0.4623856178789234,0.17578947368421055,2.4742105263157894,0.4765802063553086,0.6689473684210526,1.9810526315789474,0.619331331891897,1.7231578947368422,0.9268421052631577,0.45280654818932936,2.488421052631579,0.16157894736842104,0.11359293915189751,2.8815789473684212,-0.23157894736842133,0.002756487595129531,37685204803.0042,0.4827444449831054,12022315813.7363,0.4960138637790763,90.2956809830492,-0.5263082642231822,3.4,-0.4798713472055951,3.7,-0.42566329050347
4,MI,DETROIT,2013-02,2.725,Other FHA,0.15464999999999998,2.57035,0.45984523034544444,0.17315,2.55185,0.46243258065128434,0.20129999999999998,2.5237000000000003,0.4618023950373293,0.2455,2.4795000000000003,0.4630905374076573,0.29049499999999995,2.434505,0.46281479177947504,0.463425,2.261575,0.44580167430217854,0.761875,1.9631250000000002,0.436833429487609,0.0768421052631579,2.6481578947368423,0.4587455338050527,0.12421052631578947,2.6007894736842108,0.4623856178789234,0.15736842105263157,2.5676315789473687,0.4765802063553086,0.8463157894736841,1.878684210526316,0.619331331891897,1.9842105263157896,0.7407894736842104,0.45280654818932936,2.782631578947368,-0.057631578947368034,0.11359293915189751,3.165263157894737,-0.4402631578947367,0.002756487595129531,39298206327.5877,0.4827444449831054,9855625468.0504,0.4960138637790763,86.5850023909696,-0.5263082642231822,3.2,-0.4798713472055951,3.4,-0.42566329050347
5,MI,DETROIT,2013-03,2.68,Other FHA,0.15505000000000002,2.52495,0.45984523034544444,0.17309999999999998,2.5069000000000004,0.46243258065128434,0.20345,2.47655,0.4618023950373293,0.2419,2.4381000000000004,0.4630905374076573,0.28190000000000004,2.3981000000000003,0.46281479177947504,0.44782500000000003,2.2321750000000002,0.44580167430217854,0.7351250000000001,1.9448750000000001,0.436833429487609,0.07800000000000003,2.6020000000000003,0.4587455338050527,0.11450000000000005,2.5655,0.4623856178789234,0.14750000000000002,2.5325,0.4765802063553086,0.8185000000000002,1.8615,0.619331331891897,1.9575,0.7225000000000001,0.45280654818932936,2.7840000000000003,-0.10400000000000009,0.11359293915189751,3.1625000000000005,-0.4825000000000004,0.002756487595129531,40395555554.9932,0.4827444449831054,9123117418.53368,0.4960138637790763,88.29263433660921,-0.5263082642231822,3.1,-0.4798713472055951,3.3,-0.42566329050347
6,MI,DETROIT,2013-05,3.1166666666666667,Other FHA,0.1435047619047619,2.9731619047619047,0.45984523034544444,0.1638380952380952,2.9528285714285714,0.46243258065128434,0.19670952380952378,2.919957142857143,0.4618023950373293,0.23396000000000003,2.8827066666666665,0.4630905374076573,0.27416904761904765,2.842497619047619,0.46281479177947504,0.42137333333333327,2.6952933333333333,0.44580167430217854,0.6936104761904763,2.4230561904761903,0.436833429487609,0.020454545454545458,3.096212121212121,0.4587455338050527,0.08090909090909093,3.0357575757575757,0.4623856178789234,0.11863636363636366,2.998030303030303,0.4765802063553086,0.840909090909091,2.2757575757575754,0.619331331891897,1.9281818181818182,1.1884848484848485,0.45280654818932936,2.7286363636363635,0.38803030303030317,0.11359293915189751,3.112727272727273,0.003939393939393909,0.002756487595129531,41507587847.7023,0.4827444449831054,9260696074.4491,0.4960138637790763,90.32258801944451,-0.5263082642231822,2.7,-0.4798713472055951,2.9,-0.42566329050347
7,MI,DETROIT,2013-08,4.08,Other FHA,0.11782999999999999,3.96217,0.45984523034544444,0.1493142857142857,3.9306857142857146,0.46243258065128434,0.1840704761904762,3.895929523809524,0.4618023950373293,0.22633523809523812,3.853664761904762,0.4630905374076573,0.2633952380952381,3.816604761904762,0.46281479177947504,0.3949285714285714,3.6850714285714288,0.44580167430217854,0.6679499999999999,3.4120500000000002,0.436833429487609,0.03681818181818183,4.043181818181818,0.4587455338050527,0.07181818181818184,4.008181818181818,0.4623856178789234,0.12681818181818183,3.953181818181818,0.4765802063553086,1.5204545454545455,2.5595454545454546,0.619331331891897,2.7372727272727273,1.3427272727272728,0.45280654818932936,3.488181818181818,0.5918181818181822,0.11359293915189751,3.757727272727273,0.32227272727272727,0.002756487595129531,41062625933.5941,0.4827444449831054,10216278752.7557,0.4960138637790763,85.7873584996498,-0.5263082642231822,2.9,-0.4798713472055951,2.5,-0.42566329050347
8,MI,DETROIT,2014-04,3.625,Other FHA,0.08864000000000001,3.53636,0.45984523034544444,0.120115,3.504885,0.46243258065128434,0.1517,3.4733,0.4618023950373293,0.1918625,3.4331375,0.4630905374076573,0.227495,3.3975049999999998,0.46281479177947504,0.32422500000000004,3.300775,0.44580167430217854,0.550005,3.074995,0.436833429487609,0.023333333333333345,3.6016666666666666,0.4587455338050527,0.05333333333333336,3.5716666666666668,0.4623856178789234,0.10761904761904763,3.5173809523809525,0.4765802063553086,1.7009523809523805,1.9240476190476195,0.619331331891897,2.705238095238095,0.9197619047619048,0.45280654818932936,3.265238095238095,0.35976190476190517,0.11359293915189751,3.5176190476190476,0.10738095238095235,0.002756487595129531,44462292713.4678,0.4827444449831054,9507943209.106209,0.4960138637790763,81.9669757663089,-0.5263082642231822,2.1,-0.4798713472055951,2.0,-0.42566329050347
9,MI,DETROIT,2014-12,4.06,Other FHA,0.1101,3.9498999999999995,0.45984523034544444,0.1330809523809524,3.926919047619047,0.46243258065128434,0.16305,3.8969499999999995,0.4618023950373293,0.20744285714285715,3.8525571428571426,0.4630905374076573,0.2446071428571429,3.815392857142857,0.46281479177947504,0.34302142857142864,3.716978571428571,0.44580167430217854,0.6021190476190476,3.457880952380952,0.436833429487609,0.02500000000000001,4.034999999999999,0.4587455338050527,0.1063636363636364,3.953636363636363,0.4623856178789234,0.21454545454545454,3.8454545454545452,0.4765802063553086,1.64,2.42,0.619331331891897,2.2072727272727275,1.8527272727272721,0.45280654818932936,2.5504545454545453,1.5095454545454543,0.11359293915189751,2.8331818181818185,1.2268181818181811,0.002756487595129531,45667781053.6763,0.4827444449831054,11733364706.6996,0.4960138637790763,82.122236078369,-0.5263082642231822,2.4,-0.4798713472055951,1.8,-0.42566329050347
10,MI,DETROIT,2016-04,4.35,Other FHA,0.38031428571428566,3.969685714285714,0.45984523034544444,0.39864523809523805,3.9513547619047618,0.46243258065128434,0.4373976190476192,3.9126023809523804,0.4618023950373293,0.5229452380952381,3.8270547619047615,0.4630905374076573,0.6327499999999999,3.71725,0.46281479177947504,0.9025404761904764,3.447459523809523,0.44580167430217854,1.2222214285714286,3.1277785714285713,0.436833429487609,0.18761904761904763,4.162380952380952,0.4587455338050527,0.37238095238095237,3.977619047619047,0.4623856178789234,0.5557142857142858,3.7942857142857136,0.4765802063553086,1.2580952380952382,3.0919047619047615,0.619331331891897,1.8052380952380953,2.5447619047619043,0.45280654818932936,2.2104761904761907,2.139523809523809,0.11359293915189751,2.6233333333333335,1.7266666666666661,0.002756487595129531,49276189942.4712,0.4827444449831054,11703539581.608,0.4960138637790763,85.1896726255448,-0.5263082642231822,1.6,-0.4798713472055951,1.1,-0.42566329050347
11,MI,DETROIT,2016-07,3.75,Other FHA,0.41380476190476195,3.336195238095238,0.45984523034544444,0.43819285714285716,3.311807142857143,0.46243258065128434,0.4828833333333333,3.267116666666667,0.4618023950373293,0.5734595238095239,3.176540476190476,0.4630905374076573,0.6963095238095237,3.0536904761904764,0.46281479177947504,0.9990666666666668,2.7509333333333332,0.44580167430217854,1.31707619047619,2.43292380952381,0.436833429487609,0.2635000000000001,3.4865,0.4587455338050527,0.4040000000000001,3.346,0.4623856178789234,0.5135000000000001,3.2365,0.4765802063553086,1.0715,2.6785,0.619331331891897,1.504,2.246,0.45280654818932936,1.8224999999999998,1.9275000000000002,0.11359293915189751,2.227,1.5230000000000001,0.002756487595129531,50596067254.1766,0.4827444449831054,11412820253.2316,0.4960138637790763,88.3913281030881,-0.5263082642231822,2.0,-0.4798713472055951,1.0,-0.42566329050347
12,MI,DETROIT,2016-08,3.28,Other FHA,0.41817045454545454,2.8618295454545453,0.45984523034544444,0.4429568181818182,2.8370431818181814,0.46243258065128434,0.5122418181818182,2.7677581818181816,0.4618023950373293,0.6351372727272727,2.644862727272727,0.4630905374076573,0.810223181818182,2.469776818181818,0.46281479177947504,1.1977463636363632,2.0822536363636366,0.44580167430217854,1.5097959090909088,1.770204090909091,0.436833429487609,0.2608695652173914,3.0191304347826082,0.4587455338050527,0.4460869565217393,2.8339130434782605,0.4623856178789234,0.5682608695652173,2.7117391304347827,0.4765802063553086,1.1330434782608694,2.1469565217391304,0.619331331891897,1.5565217391304347,1.7234782608695651,0.45280654818932936,1.8895652173913038,1.390434782608696,0.11359293915189751,2.261739130434783,1.0182608695652169,0.002756487595129531,50249654907.7038,0.4827444449831054,11482367114.4991,0.4960138637790763,88.43997566936979,-0.5263082642231822,2.1,-0.4798713472055951,1.0,-0.42566329050347
13,MI,DETROIT,2016-10,3.18,Other FHA,0.4307719047619048,2.749228095238095,0.45984523034544444,0.457582380952381,2.722417619047619,0.46243258065128434,0.5307795238095238,2.6492204761904765,0.4618023950373293,0.6609890476190475,2.5190109523809525,0.4630905374076573,0.8786828571428573,2.301317142857143,0.46281479177947504,1.258856666666667,1.9211433333333332,0.44580167430217854,1.577814761904762,1.6021852380952382,0.436833429487609,0.24400000000000005,2.936,0.4587455338050527,0.47700000000000004,2.7030000000000003,0.4623856178789234,0.6595000000000001,2.5205,0.4765802063553086,1.2719999999999998,1.9080000000000004,0.619331331891897,1.7645000000000004,1.4154999999999998,0.45280654818932936,2.1705,1.0095,0.11359293915189751,2.5004999999999997,0.6795000000000004,0.002756487595129531,49971382532.5922,0.4827444449831054,12137144620.0221,0.4960138637790763,88.1697673489486,-0.5263082642231822,2.1,-0.4798713472055951,0.9,-0.42566329050347
14,MI,DETROIT,2017-12,3.85,Other FHA,1.3144094736842107,2.535590526315789,0.45984523034544444,1.3913115789473685,2.4586884210526314,0.46243258065128434,1.4850410526315792,2.3649589473684207,0.4618023950373293,1.5354463157894738,2.3145536842105265,0.4630905374076573,1.6017521052631578,2.248247894736842,0.46281479177947504,1.7680373684210524,2.0819626315789477,0.44580167430217854,2.0434931578947366,1.8065068421052635,0.436833429487609,1.204,2.646,0.4587455338050527,1.4950000000000003,2.3549999999999995,0.4623856178789234,1.7005,2.1495,0.4765802063553086,2.1819999999999995,1.6680000000000006,0.619331331891897,2.4025,1.4475000000000002,0.45280654818932936,2.5970000000000004,1.2529999999999997,0.11359293915189751,2.768,1.0820000000000003,0.002756487595129531,49589347299.2381,0.4827444449831054,11226317067.5623,0.4960138637790763,87.010875232225,-0.5263082642231822,2.3,-0.4798713472055951,0.8,-0.42566329050347
15,MI,DETROIT,2018-01,3.12,Other FHA,1.4378880952380952,1.6821119047619049,0.45984523034544444,1.467563181818182,1.652436818181818,0.46243258065128434,1.5610881818181819,1.5589118181818182,0.4618023950373293,1.6355336363636364,1.4844663636363638,0.4630905374076573,1.733970909090909,1.386029090909091,0.46281479177947504,1.9067609090909092,1.2132390909090909,0.44580167430217854,2.196459545454545,0.9235404545454551,0.436833429487609,1.3000000000000003,1.8199999999999998,0.4587455338050527,1.6199999999999994,1.5000000000000007,0.4623856178789234,1.8028571428571425,1.3171428571428576,0.4765802063553086,2.381904761904762,0.7380952380952381,0.619331331891897,2.5838095238095242,0.5361904761904759,0.45280654818932936,2.7342857142857144,0.3857142857142857,0.11359293915189751,2.8776190476190475,0.24238095238095259,0.002756487595129531,49574400061.0285,0.4827444449831054,11318405616.2761,0.4960138637790763,88.50967086025801,-0.5263082642231822,2.4,-0.4798713472055951,0.8,-0.42566329050347
16,MI,DETROIT,2018-03,3.86,Other FHA,1.5183047619047625,2.3416952380952374,0.45984523034544444,1.6006185714285712,2.2593814285714284,0.46243258065128434,1.7991309523809524,2.0608690476190477,0.4618023950373293,1.9184628571428568,1.941537142857143,0.4630905374076573,2.173357619047619,1.6866423809523807,0.46281479177947504,2.345182380952381,1.5148176190476188,0.44580167430217854,2.596475714285714,1.2635242857142859,0.436833429487609,1.636666666666667,2.2233333333333327,0.4587455338050527,1.917142857142857,1.9428571428571428,0.4623856178789234,2.0628571428571427,1.7971428571428572,0.4765802063553086,2.6295238095238096,1.2304761904761903,0.619331331891897,2.8423809523809527,1.0176190476190472,0.45280654818932936,2.9733333333333327,0.8866666666666672,0.11359293915189751,3.0914285714285716,0.7685714285714282,0.002756487595129531,50505964400.0098,0.4827444449831054,12344213844.2875,0.4960138637790763,86.55198240492871,-0.5263082642231822,1.8,-0.4798713472055951,0.7,-0.42566329050347
