,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-2),Corr with auto_vol(-2),student_vol(2),Corr with student_vol(2),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(3),Corr with mortgage 30-89(3),mortgage 90(3),Corr with mortgage 90(3),long,lat
0,2010-04,CA,SACRAMENTO,2010-04,4.95,"(-121.414519, 38.554178)",25075.17,Other FHA,0.24183250000000003,-0.04911237831540811,0.2495495,-0.051842152326590354,0.2597455000000001,-0.0571942207802545,0.2840375,-0.06085305852193382,0.3116065,-0.06655927470455866,0.4758610000000001,-0.08010826733972735,0.9598030000000002,-0.05857891639155508,0.15045454545454548,-0.018337941385532047,0.2440909090909091,-0.017334462502708647,0.44499999999999995,0.008394848941879153,2.581363636363637,0.5660786608630858,3.8468181818181817,0.7597467195143113,4.531363636363637,0.7348796513669859,4.693181818181819,0.6998403384902749,25116521917.8418,-0.15259710096431867,11833891080.8667,0.6256691094304848,97.9962893430168,0.3964808800435486,3.0,0.16401359007123859,6.3,0.25389865517525034,-121.414519,38.554178
1,2011-09,CA,SACRAMENTO,2011-09,3.63,"(-121.40665700000001, 38.600778000000005)",14646.98,Other FHA,0.14525181818181823,-0.04911237831540811,0.1884,-0.051842152326590354,0.23085045454545455,-0.0571942207802545,0.2845913636363636,-0.06085305852193382,0.3502268181818181,-0.06655927470455866,0.5222018181818182,-0.08010826733972735,0.8332045454545454,-0.05857891639155508,0.005714285714285713,-0.018337941385532047,0.04333333333333335,-0.017334462502708647,0.10476190476190479,0.008394848941879153,0.9004761904761904,0.5660786608630858,1.9752380952380955,0.7597467195143113,2.8271428571428574,0.7348796513669859,3.182380952380953,0.6998403384902749,31992172727.7437,-0.15259710096431867,11784187253.6333,0.6256691094304848,90.24550000965358,0.3964808800435486,2.4,0.16401359007123859,3.8,0.25389865517525034,-121.40665700000001,38.600778000000005
2,2013-05,CA,SACRAMENTO,2013-05,2.99,"(-121.43653400000001, 38.492866)",16882.35,Other FHA,0.1435047619047619,-0.04911237831540811,0.1638380952380952,-0.051842152326590354,0.19670952380952378,-0.0571942207802545,0.23396000000000003,-0.06085305852193382,0.27416904761904765,-0.06655927470455866,0.42137333333333327,-0.08010826733972735,0.6936104761904763,-0.05857891639155508,0.020454545454545458,-0.018337941385532047,0.08090909090909093,-0.017334462502708647,0.11863636363636366,0.008394848941879153,0.840909090909091,0.5660786608630858,1.9281818181818182,0.7597467195143113,2.7286363636363635,0.7348796513669859,3.112727272727273,0.6998403384902749,39298206327.5877,-0.15259710096431867,8901986132.75728,0.6256691094304848,88.794109524791,0.3964808800435486,1.6,0.16401359007123859,1.8,0.25389865517525034,-121.43653400000001,38.492866
3,2014-02,CA,SACRAMENTO,2014-02,5.23,"(-121.37961000000001, 38.497111)",14696.9,Other FHA,0.08627,-0.04911237831540811,0.11939250000000004,-0.051842152326590354,0.155105,-0.0571942207802545,0.19663749999999997,-0.06085305852193382,0.23520249999999998,-0.06655927470455866,0.3308,-0.08010826733972735,0.554605,-0.05857891639155508,0.046842105263157914,-0.018337941385532047,0.08105263157894738,-0.017334462502708647,0.11684210526315793,0.008394848941879153,1.5157894736842106,0.5660786608630858,2.7094736842105265,0.7597467195143113,3.3847368421052626,0.7348796513669859,3.6626315789473685,0.6998403384902749,41561863313.5151,-0.15259710096431867,11032404366.8063,0.6256691094304848,88.4263020205016,0.3964808800435486,1.4,0.16401359007123859,1.4,0.25389865517525034,-121.37961000000001,38.497111
