,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol,Corr with auto_vol,student_vol(-1),Corr with student_vol(-1),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90,Corr with mortgage 90
0,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
1,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
2,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
3,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
4,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
5,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
6,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
7,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
8,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
9,JERSEY CITY,2011-01,3.71,Other FHA,0.2391115000000001,3.4708885,0.1243538921948933,0.25406500000000004,3.4559349999999998,0.12109763201781822,0.2606254999999999,3.4493745000000002,0.11573091974527891,0.2827834999999999,3.4272165,0.1087143445478458,0.30341049999999997,3.4065895,0.07242226029817689,0.4554005000000002,3.2545995,-0.02470473180208907,0.7818229999999999,2.928177,-0.11012250825236178,0.14099999999999996,3.569,0.1301022447560177,0.1815,3.5285,0.08623020877879621,0.27349999999999997,3.4365,0.02974293502536342,1.9944999999999997,1.7155000000000002,0.30491660920646635,3.3940000000000006,0.3159999999999994,0.4519406367053905,4.281000000000001,-0.5710000000000006,0.41676779631924415,4.5230000000000015,-0.8130000000000015,0.37329261164759764,31618591270.7387,-0.4625416815751535,10792773250.4017,-0.7621099424096692,91.13289228397959,-0.5230055149245929,3.3,0.6614662016914279,5.3,0.4040347701894121
