,PROPERTY STATE,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(2),Corr with auto_vol(2),student_vol(-2),Corr with student_vol(-2),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(2),Corr with mortgage 30-89(2),mortgage 90(1),Corr with mortgage 90(1)
0,OR,PORTLAND,2012-06,2.9,Other FHA,0.163,2.737,0.4727860010279189,0.19464736842105262,2.7053526315789473,0.4724236606177362,0.24319736842105263,2.6568026315789472,0.4719420915584501,0.3459342105263157,2.5540657894736842,0.45812000568154954,0.46558684210526313,2.4344131578947366,0.4426763682483068,0.7364000000000004,2.1635999999999997,0.3975968588634433,1.0691894736842107,1.8308105263157892,0.37179738807168083,0.05190476190476193,2.848095238095238,0.4724784206283382,0.14809523809523809,2.7519047619047616,0.471211197766974,0.18904761904761905,2.710952380952381,0.48231518150767444,0.7114285714285714,2.1885714285714286,0.7124373289055583,1.6223809523809525,1.2776190476190474,0.7652668091637617,2.3061904761904763,0.5938095238095236,0.6146005189956791,2.698095238095238,0.2019047619047618,0.5465852654900158,37160101000.5239,0.6738568649238095,11641401212.0971,-0.6950093564790963,89.513287195688,-0.5050696411383286,2.0,-0.7583140811090735,3.0,-0.6600007596265287
1,OR,PORTLAND,2012-08,2.65,Other FHA,0.15374090909090915,2.4962590909090907,0.4727860010279189,0.18745454545454548,2.4625454545454546,0.4724236606177362,0.23783863636363634,2.4121613636363635,0.4719420915584501,0.3331136363636364,2.3168863636363635,0.45812000568154954,0.43259999999999993,2.2174,0.4426763682483068,0.7177749999999997,1.9322250000000003,0.3975968588634433,1.0426272727272727,1.6073727272727272,0.37179738807168083,0.09217391304347829,2.5578260869565215,0.4724784206283382,0.14043478260869566,2.5095652173913043,0.471211197766974,0.18347826086956526,2.466521739130435,0.48231518150767444,0.7139130434782609,1.9360869565217391,0.7124373289055583,1.6782608695652175,0.9717391304347824,0.7652668091637617,2.3978260869565218,0.25217391304347814,0.6146005189956791,2.7708695652173914,-0.12086956521739145,0.5465852654900158,37685204803.0042,0.6738568649238095,14585937143.4485,-0.6950093564790963,90.2956809830492,-0.5050696411383286,2.0,-0.7583140811090735,3.0,-0.6600007596265287
2,OR,PORTLAND,2013-09,4.05,Other FHA,0.11272380952380952,3.93727619047619,0.4727860010279189,0.14323238095238094,3.906767619047619,0.4724236606177362,0.18057476190476196,3.869425238095238,0.4719420915584501,0.22133904761904755,3.828660952380952,0.45812000568154954,0.2531785714285715,3.7968214285714286,0.4426763682483068,0.38033809523809525,3.6696619047619046,0.3975968588634433,0.6526857142857143,3.3973142857142857,0.37179738807168083,0.017500000000000005,4.0325,0.4724784206283382,0.04150000000000001,4.0085,0.471211197766974,0.11850000000000002,3.9314999999999998,0.48231518150767444,1.5959999999999999,2.4539999999999997,0.7124373289055583,2.8095,1.2405,0.7652668091637617,3.526,0.524,0.6146005189956791,3.7870000000000004,0.26299999999999946,0.5465852654900158,41658198449.9001,0.6738568649238095,8901986132.75728,-0.6950093564790963,85.3165844012547,-0.5050696411383286,1.3,-0.7583140811090735,1.9,-0.6600007596265287
3,OR,PORTLAND,2013-12,3.9,Other FHA,0.10022500000000001,3.799775,0.4727860010279189,0.1273025,3.7726975,0.4724236606177362,0.16723,3.73277,0.4719420915584501,0.2127325,3.6872675,0.45812000568154954,0.24389749999999996,3.6561025,0.4426763682483068,0.34639499999999995,3.553605,0.3975968588634433,0.579045,3.3209549999999997,0.37179738807168083,0.019047619047619053,3.880952380952381,0.4724784206283382,0.09523809523809526,3.8047619047619046,0.471211197766974,0.13285714285714287,3.767142857142857,0.48231518150767444,1.5761904761904764,2.3238095238095235,0.7124373289055583,2.901904761904762,0.9980952380952379,0.7652668091637617,3.6266666666666674,0.27333333333333254,0.6146005189956791,3.889047619047619,0.010952380952380825,0.5465852654900158,43204378466.7468,0.6738568649238095,9473893018.88319,-0.6950093564790963,80.910251046009,-0.5050696411383286,1.2,-0.7583140811090735,1.9,-0.6600007596265287
4,OR,PORTLAND,2015-09,3.38,Other FHA,0.1344409090909091,3.245559090909091,0.4727860010279189,0.15661363636363634,3.2233863636363633,0.4724236606177362,0.20107727272727274,3.178922727272727,0.4719420915584501,0.26589318181818195,3.114106818181818,0.45812000568154954,0.3311113636363637,3.0488886363636363,0.4426763682483068,0.5371681818181817,2.842831818181818,0.3975968588634433,0.8526636363636364,2.5273363636363637,0.37179738807168083,0.008571428571428572,3.3714285714285714,0.4724784206283382,0.17952380952380947,3.2004761904761905,0.471211197766974,0.3733333333333333,3.006666666666667,0.48231518150767444,1.4900000000000002,1.8899999999999997,0.7124373289055583,2.1728571428571435,1.2071428571428564,0.7652668091637617,2.618095238095238,0.7619047619047619,0.6146005189956791,2.9528571428571433,0.4271428571428566,0.5465852654900158,48491901272.6637,0.6738568649238095,11834405659.8436,-0.6950093564790963,82.3313446344394,-0.5050696411383286,1.0,-0.7583140811090735,1.1,-0.6600007596265287
5,OR,PORTLAND,2016-06,3.88,Other FHA,0.3904409090909091,3.4895590909090908,0.4727860010279189,0.41572500000000007,3.4642749999999998,0.4724236606177362,0.4527090909090909,3.427290909090909,0.4719420915584501,0.5394386363636363,3.340561363636364,0.45812000568154954,0.6516204545454546,3.2283795454545454,0.4426763682483068,0.9360386363636366,2.9439613636363635,0.3975968588634433,1.2592227272727274,2.6207772727272722,0.37179738807168083,0.22136363636363632,3.6586363636363637,0.4724784206283382,0.40409090909090906,3.4759090909090906,0.471211197766974,0.5522727272727272,3.3277272727272726,0.48231518150767444,1.1663636363636367,2.713636363636363,0.7124373289055583,1.6440909090909095,2.2359090909090904,0.7652668091637617,2.019090909090909,1.8609090909090908,0.6146005189956791,2.452272727272727,1.4277272727272727,0.5465852654900158,50596067254.1766,0.6738568649238095,10916249757.9916,-0.6950093564790963,88.3913281030881,-0.5050696411383286,0.9,-0.7583140811090735,0.8,-0.6600007596265287
6,OR,PORTLAND,2017-03,3.56,Other FHA,0.8095565217391305,2.7504434782608698,0.4727860010279189,0.8706386956521739,2.689361304347826,0.4724236606177362,0.9286352173913045,2.6313647826086957,0.4719420915584501,0.982656956521739,2.577343043478261,0.45812000568154954,1.134713043478261,2.425286956521739,0.4426763682483068,1.4258673913043478,2.1341326086956522,0.3975968588634433,1.8069104347826086,1.7530895652173915,0.37179738807168083,0.662608695652174,2.897391304347826,0.4724784206283382,0.8856521739130436,2.674347826086956,0.471211197766974,1.0104347826086957,2.5495652173913044,0.48231518150767444,2.013478260869565,1.546521739130435,0.7124373289055583,2.4817391304347827,1.0782608695652174,0.7652668091637617,2.8317391304347823,0.7282608695652177,0.6146005189956791,3.0813043478260873,0.47869565217391274,0.5465852654900158,48693341763.9087,0.6738568649238095,12351593318.9066,-0.6950093564790963,88.94830277813108,-0.5050696411383286,0.8,-0.7583140811090735,0.6,-0.6600007596265287
7,OR,PORTLAND,2017-05,3.47,Other FHA,0.9286509523809523,2.5413490476190477,0.4727860010279189,0.9479980952380954,2.522001904761905,0.4724236606177362,1.0114261904761905,2.4585738095238097,0.4719420915584501,1.0843647619047618,2.3856352380952384,0.45812000568154954,1.185849523809524,2.2841504761904763,0.4426763682483068,1.424545714285714,2.0454542857142863,0.3975968588634433,1.7495038095238098,1.7204961904761904,0.37179738807168083,0.7281818181818184,2.7418181818181817,0.4724784206283382,1.035,2.4350000000000005,0.471211197766974,1.1227272727272726,2.3472727272727276,0.48231518150767444,1.836818181818182,1.6331818181818183,0.7124373289055583,2.3036363636363633,1.166363636363637,0.7652668091637617,2.695909090909091,0.7740909090909094,0.6146005189956791,2.9590909090909094,0.5109090909090908,0.5465852654900158,48416221734.2909,0.6738568649238095,12509011080.2031,-0.6950093564790963,88.23467488709129,-0.5050696411383286,0.9,-0.7583140811090735,0.5,-0.6600007596265287
8,OR,PORTLAND,2018-03,3.9266666666666663,Other FHA,1.5183047619047625,2.408361904761904,0.4727860010279189,1.6006185714285712,2.326048095238095,0.4724236606177362,1.7991309523809524,2.127535714285714,0.4719420915584501,1.9184628571428568,2.0082038095238097,0.45812000568154954,2.173357619047619,1.7533090476190472,0.4426763682483068,2.345182380952381,1.5814842857142852,0.3975968588634433,2.596475714285714,1.3301909523809523,0.37179738807168083,1.636666666666667,2.289999999999999,0.4724784206283382,1.917142857142857,2.0095238095238095,0.471211197766974,2.0628571428571427,1.8638095238095236,0.48231518150767444,2.6295238095238096,1.2971428571428567,0.7124373289055583,2.8423809523809527,1.0842857142857136,0.7652668091637617,2.9733333333333327,0.9533333333333336,0.6146005189956791,3.0914285714285716,0.8352380952380947,0.5465852654900158,50407042046.8076,0.6738568649238095,11226317067.5623,-0.6950093564790963,87.17587933428369,-0.5050696411383286,0.8,-0.7583140811090735,0.4,-0.6600007596265287
9,OR,PORTLAND,2018-05,3.96,Other FHA,1.7065971428571427,2.2534028571428575,0.4727860010279189,1.7524533333333332,2.2075466666666665,0.4724236606177362,1.94629,2.0137099999999997,0.4719420915584501,2.0937409523809523,1.8662590476190477,0.45812000568154954,2.3356085714285713,1.6243914285714287,0.4426763682483068,2.499740476190476,1.460259523809524,0.3975968588634433,2.754757142857143,1.2052428571428568,0.37179738807168083,1.706818181818182,2.253181818181818,0.4724784206283382,2.0731818181818187,1.8868181818181813,0.471211197766974,2.2736363636363635,1.6863636363636365,0.48231518150767444,2.816818181818181,1.143181818181819,0.7124373289055583,2.977727272727273,0.982272727272727,0.7652668091637617,3.0518181818181818,0.9081818181818182,0.6146005189956791,3.1318181818181827,0.8281818181818172,0.5465852654900158,50800995008.8069,0.6738568649238095,11725018303.5706,-0.6950093564790963,85.8866598662335,-0.5050696411383286,0.9,-0.7583140811090735,0.4,-0.6600007596265287
