,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-4),Corr with auto_vol(-4),student_vol(3),Corr with student_vol(3),credit_tightness(3),Corr with credit_tightness(3),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-3),Corr with mortgage 90(-3)
0,JACKSONVILLE,2011-03,3.72,Other FHA,0.2076739130434783,3.512326086956522,0.34306194351907293,0.23889782608695653,3.481102173913044,0.3444667094212053,0.2532847826086956,3.4667152173913047,0.35093313923891456,0.2829456521739131,3.437054347826087,0.3616359845009303,0.30843478260869567,3.4115652173913045,0.37408100219353674,0.4607826086956522,3.259217391304348,0.37811510284813304,0.7797065217391305,2.9402934782608696,0.38190802224710085,0.06478260869565221,3.655217391304348,0.3685322924097363,0.15652173913043482,3.5634782608695654,0.37781313401270067,0.25913043478260867,3.4608695652173918,0.39194798919287854,2.1134782608695653,1.606521739130435,0.6004397224867849,3.414347826086956,0.3056521739130442,0.6421487841871983,4.26608695652174,-0.5460869565217394,0.41703888393317023,4.5139130434782615,-0.7939130434782613,0.31522180251669046,30207558860.6451,0.31556371193446636,12472473242.0863,0.44095515217463477,90.24550000965358,-0.4631201695015765,3.9,-0.4336881820673981,2.6,-0.3398704614201402
1,JACKSONVILLE,2011-03,3.72,Other FHA,0.2076739130434783,3.512326086956522,0.34306194351907293,0.23889782608695653,3.481102173913044,0.3444667094212053,0.2532847826086956,3.4667152173913047,0.35093313923891456,0.2829456521739131,3.437054347826087,0.3616359845009303,0.30843478260869567,3.4115652173913045,0.37408100219353674,0.4607826086956522,3.259217391304348,0.37811510284813304,0.7797065217391305,2.9402934782608696,0.38190802224710085,0.06478260869565221,3.655217391304348,0.3685322924097363,0.15652173913043482,3.5634782608695654,0.37781313401270067,0.25913043478260867,3.4608695652173918,0.39194798919287854,2.1134782608695653,1.606521739130435,0.6004397224867849,3.414347826086956,0.3056521739130442,0.6421487841871983,4.26608695652174,-0.5460869565217394,0.41703888393317023,4.5139130434782615,-0.7939130434782613,0.31522180251669046,30207558860.6451,0.31556371193446636,12472473242.0863,0.44095515217463477,90.24550000965358,-0.4631201695015765,3.9,-0.4336881820673981,2.6,-0.3398704614201402
2,JACKSONVILLE,2011-03,3.72,Other FHA,0.2076739130434783,3.512326086956522,0.34306194351907293,0.23889782608695653,3.481102173913044,0.3444667094212053,0.2532847826086956,3.4667152173913047,0.35093313923891456,0.2829456521739131,3.437054347826087,0.3616359845009303,0.30843478260869567,3.4115652173913045,0.37408100219353674,0.4607826086956522,3.259217391304348,0.37811510284813304,0.7797065217391305,2.9402934782608696,0.38190802224710085,0.06478260869565221,3.655217391304348,0.3685322924097363,0.15652173913043482,3.5634782608695654,0.37781313401270067,0.25913043478260867,3.4608695652173918,0.39194798919287854,2.1134782608695653,1.606521739130435,0.6004397224867849,3.414347826086956,0.3056521739130442,0.6421487841871983,4.26608695652174,-0.5460869565217394,0.41703888393317023,4.5139130434782615,-0.7939130434782613,0.31522180251669046,30207558860.6451,0.31556371193446636,12472473242.0863,0.44095515217463477,90.24550000965358,-0.4631201695015765,3.9,-0.4336881820673981,6.2,-0.3398704614201402
3,JACKSONVILLE,2011-03,3.72,Other FHA,0.2076739130434783,3.512326086956522,0.34306194351907293,0.23889782608695653,3.481102173913044,0.3444667094212053,0.2532847826086956,3.4667152173913047,0.35093313923891456,0.2829456521739131,3.437054347826087,0.3616359845009303,0.30843478260869567,3.4115652173913045,0.37408100219353674,0.4607826086956522,3.259217391304348,0.37811510284813304,0.7797065217391305,2.9402934782608696,0.38190802224710085,0.06478260869565221,3.655217391304348,0.3685322924097363,0.15652173913043482,3.5634782608695654,0.37781313401270067,0.25913043478260867,3.4608695652173918,0.39194798919287854,2.1134782608695653,1.606521739130435,0.6004397224867849,3.414347826086956,0.3056521739130442,0.6421487841871983,4.26608695652174,-0.5460869565217394,0.41703888393317023,4.5139130434782615,-0.7939130434782613,0.31522180251669046,30207558860.6451,0.31556371193446636,12472473242.0863,0.44095515217463477,90.24550000965358,-0.4631201695015765,3.9,-0.4336881820673981,6.3,-0.3398704614201402
4,JACKSONVILLE,2011-03,3.72,Other FHA,0.2076739130434783,3.512326086956522,0.34306194351907293,0.23889782608695653,3.481102173913044,0.3444667094212053,0.2532847826086956,3.4667152173913047,0.35093313923891456,0.2829456521739131,3.437054347826087,0.3616359845009303,0.30843478260869567,3.4115652173913045,0.37408100219353674,0.4607826086956522,3.259217391304348,0.37811510284813304,0.7797065217391305,2.9402934782608696,0.38190802224710085,0.06478260869565221,3.655217391304348,0.3685322924097363,0.15652173913043482,3.5634782608695654,0.37781313401270067,0.25913043478260867,3.4608695652173918,0.39194798919287854,2.1134782608695653,1.606521739130435,0.6004397224867849,3.414347826086956,0.3056521739130442,0.6421487841871983,4.26608695652174,-0.5460869565217394,0.41703888393317023,4.5139130434782615,-0.7939130434782613,0.31522180251669046,30207558860.6451,0.31556371193446636,12472473242.0863,0.44095515217463477,90.24550000965358,-0.4631201695015765,4.8,-0.4336881820673981,2.6,-0.3398704614201402
5,JACKSONVILLE,2011-03,3.72,Other FHA,0.2076739130434783,3.512326086956522,0.34306194351907293,0.23889782608695653,3.481102173913044,0.3444667094212053,0.2532847826086956,3.4667152173913047,0.35093313923891456,0.2829456521739131,3.437054347826087,0.3616359845009303,0.30843478260869567,3.4115652173913045,0.37408100219353674,0.4607826086956522,3.259217391304348,0.37811510284813304,0.7797065217391305,2.9402934782608696,0.38190802224710085,0.06478260869565221,3.655217391304348,0.3685322924097363,0.15652173913043482,3.5634782608695654,0.37781313401270067,0.25913043478260867,3.4608695652173918,0.39194798919287854,2.1134782608695653,1.606521739130435,0.6004397224867849,3.414347826086956,0.3056521739130442,0.6421487841871983,4.26608695652174,-0.5460869565217394,0.41703888393317023,4.5139130434782615,-0.7939130434782613,0.31522180251669046,30207558860.6451,0.31556371193446636,12472473242.0863,0.44095515217463477,90.24550000965358,-0.4631201695015765,4.8,-0.4336881820673981,2.6,-0.3398704614201402
6,JACKSONVILLE,2011-03,3.72,Other FHA,0.2076739130434783,3.512326086956522,0.34306194351907293,0.23889782608695653,3.481102173913044,0.3444667094212053,0.2532847826086956,3.4667152173913047,0.35093313923891456,0.2829456521739131,3.437054347826087,0.3616359845009303,0.30843478260869567,3.4115652173913045,0.37408100219353674,0.4607826086956522,3.259217391304348,0.37811510284813304,0.7797065217391305,2.9402934782608696,0.38190802224710085,0.06478260869565221,3.655217391304348,0.3685322924097363,0.15652173913043482,3.5634782608695654,0.37781313401270067,0.25913043478260867,3.4608695652173918,0.39194798919287854,2.1134782608695653,1.606521739130435,0.6004397224867849,3.414347826086956,0.3056521739130442,0.6421487841871983,4.26608695652174,-0.5460869565217394,0.41703888393317023,4.5139130434782615,-0.7939130434782613,0.31522180251669046,30207558860.6451,0.31556371193446636,12472473242.0863,0.44095515217463477,90.24550000965358,-0.4631201695015765,4.8,-0.4336881820673981,6.2,-0.3398704614201402
7,JACKSONVILLE,2011-03,3.72,Other FHA,0.2076739130434783,3.512326086956522,0.34306194351907293,0.23889782608695653,3.481102173913044,0.3444667094212053,0.2532847826086956,3.4667152173913047,0.35093313923891456,0.2829456521739131,3.437054347826087,0.3616359845009303,0.30843478260869567,3.4115652173913045,0.37408100219353674,0.4607826086956522,3.259217391304348,0.37811510284813304,0.7797065217391305,2.9402934782608696,0.38190802224710085,0.06478260869565221,3.655217391304348,0.3685322924097363,0.15652173913043482,3.5634782608695654,0.37781313401270067,0.25913043478260867,3.4608695652173918,0.39194798919287854,2.1134782608695653,1.606521739130435,0.6004397224867849,3.414347826086956,0.3056521739130442,0.6421487841871983,4.26608695652174,-0.5460869565217394,0.41703888393317023,4.5139130434782615,-0.7939130434782613,0.31522180251669046,30207558860.6451,0.31556371193446636,12472473242.0863,0.44095515217463477,90.24550000965358,-0.4631201695015765,4.8,-0.4336881820673981,6.3,-0.3398704614201402
8,JACKSONVILLE,2011-06,3.9,Other FHA,0.12706818181818183,3.772931818181818,0.34306194351907293,0.1615431818181819,3.738456818181818,0.3444667094212053,0.18716409090909092,3.712835909090909,0.35093313923891456,0.21923909090909086,3.680760909090909,0.3616359845009303,0.24782409090909094,3.652175909090909,0.37408100219353674,0.39758,3.50242,0.37811510284813304,0.7268749999999999,3.1731249999999998,0.38190802224710085,0.0190909090909091,3.880909090909091,0.3685322924097363,0.1013636363636364,3.7986363636363634,0.37781313401270067,0.18090909090909094,3.719090909090909,0.39194798919287854,1.5799999999999998,2.3200000000000003,0.6004397224867849,3.002272727272727,0.8977272727272729,0.6421487841871983,3.9145454545454546,-0.014545454545454639,0.41703888393317023,4.2327272727272724,-0.33272727272727254,0.31522180251669046,32217867353.4185,0.31556371193446636,11655650147.2578,0.44095515217463477,90.4806728327692,-0.4631201695015765,3.4,-0.4336881820673981,2.5,-0.3398704614201402
9,JACKSONVILLE,2011-06,3.9,Other FHA,0.12706818181818183,3.772931818181818,0.34306194351907293,0.1615431818181819,3.738456818181818,0.3444667094212053,0.18716409090909092,3.712835909090909,0.35093313923891456,0.21923909090909086,3.680760909090909,0.3616359845009303,0.24782409090909094,3.652175909090909,0.37408100219353674,0.39758,3.50242,0.37811510284813304,0.7268749999999999,3.1731249999999998,0.38190802224710085,0.0190909090909091,3.880909090909091,0.3685322924097363,0.1013636363636364,3.7986363636363634,0.37781313401270067,0.18090909090909094,3.719090909090909,0.39194798919287854,1.5799999999999998,2.3200000000000003,0.6004397224867849,3.002272727272727,0.8977272727272729,0.6421487841871983,3.9145454545454546,-0.014545454545454639,0.41703888393317023,4.2327272727272724,-0.33272727272727254,0.31522180251669046,32217867353.4185,0.31556371193446636,11655650147.2578,0.44095515217463477,90.4806728327692,-0.4631201695015765,3.4,-0.4336881820673981,2.9,-0.3398704614201402
