,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(4),Corr with auto_vol(4),student_vol(3),Corr with student_vol(3),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(3),Corr with mortgage 90(3)
0,HILLSBORO,2011-01,4.4,Other FHA,0.2391115000000001,4.1608885,0.12815577013966137,0.25406500000000004,4.145935000000001,0.11656788451504974,0.2606254999999999,4.139374500000001,0.08923815314918784,0.2827834999999999,4.1172165000000005,0.04311385567926245,0.30341049999999997,4.0965895,-0.011654964427406022,0.4554005000000002,3.9445995000000003,-0.10858125587038153,0.7818229999999999,3.618177,-0.12493441301092258,0.14099999999999996,4.259,0.13349614429476328,0.1815,4.218500000000001,0.09377537878439329,0.27349999999999997,4.1265,0.14605716377478187,1.9944999999999997,2.405500000000001,0.877184940937098,3.3940000000000006,1.0059999999999998,0.9698325847563977,4.281000000000001,0.11899999999999977,0.867583832530354,4.5230000000000015,-0.12300000000000111,0.8282030646479117,31041077337.2648,-0.3523148770681313,15995126134.7035,0.9086599745964441,94.51558950569391,0.3837059724539934,2.1,0.2509870381571362,3.4,0.0957403244691645
1,HILLSBORO,2011-01,4.4,Other FHA,0.2391115000000001,4.1608885,0.12815577013966137,0.25406500000000004,4.145935000000001,0.11656788451504974,0.2606254999999999,4.139374500000001,0.08923815314918784,0.2827834999999999,4.1172165000000005,0.04311385567926245,0.30341049999999997,4.0965895,-0.011654964427406022,0.4554005000000002,3.9445995000000003,-0.10858125587038153,0.7818229999999999,3.618177,-0.12493441301092258,0.14099999999999996,4.259,0.13349614429476328,0.1815,4.218500000000001,0.09377537878439329,0.27349999999999997,4.1265,0.14605716377478187,1.9944999999999997,2.405500000000001,0.877184940937098,3.3940000000000006,1.0059999999999998,0.9698325847563977,4.281000000000001,0.11899999999999977,0.867583832530354,4.5230000000000015,-0.12300000000000111,0.8282030646479117,31041077337.2648,-0.3523148770681313,15995126134.7035,0.9086599745964441,94.51558950569391,0.3837059724539934,2.1,0.2509870381571362,3.4,0.0957403244691645
2,HILLSBORO,2011-01,4.4,Other FHA,0.2391115000000001,4.1608885,0.12815577013966137,0.25406500000000004,4.145935000000001,0.11656788451504974,0.2606254999999999,4.139374500000001,0.08923815314918784,0.2827834999999999,4.1172165000000005,0.04311385567926245,0.30341049999999997,4.0965895,-0.011654964427406022,0.4554005000000002,3.9445995000000003,-0.10858125587038153,0.7818229999999999,3.618177,-0.12493441301092258,0.14099999999999996,4.259,0.13349614429476328,0.1815,4.218500000000001,0.09377537878439329,0.27349999999999997,4.1265,0.14605716377478187,1.9944999999999997,2.405500000000001,0.877184940937098,3.3940000000000006,1.0059999999999998,0.9698325847563977,4.281000000000001,0.11899999999999977,0.867583832530354,4.5230000000000015,-0.12300000000000111,0.8282030646479117,31041077337.2648,-0.3523148770681313,15995126134.7035,0.9086599745964441,94.51558950569391,0.3837059724539934,2.1,0.2509870381571362,3.4,0.0957403244691645
3,HILLSBORO,2011-01,4.4,Other FHA,0.2391115000000001,4.1608885,0.12815577013966137,0.25406500000000004,4.145935000000001,0.11656788451504974,0.2606254999999999,4.139374500000001,0.08923815314918784,0.2827834999999999,4.1172165000000005,0.04311385567926245,0.30341049999999997,4.0965895,-0.011654964427406022,0.4554005000000002,3.9445995000000003,-0.10858125587038153,0.7818229999999999,3.618177,-0.12493441301092258,0.14099999999999996,4.259,0.13349614429476328,0.1815,4.218500000000001,0.09377537878439329,0.27349999999999997,4.1265,0.14605716377478187,1.9944999999999997,2.405500000000001,0.877184940937098,3.3940000000000006,1.0059999999999998,0.9698325847563977,4.281000000000001,0.11899999999999977,0.867583832530354,4.5230000000000015,-0.12300000000000111,0.8282030646479117,31041077337.2648,-0.3523148770681313,15995126134.7035,0.9086599745964441,94.51558950569391,0.3837059724539934,2.1,0.2509870381571362,3.4,0.0957403244691645
4,HILLSBORO,2011-01,4.4,Other FHA,0.2391115000000001,4.1608885,0.12815577013966137,0.25406500000000004,4.145935000000001,0.11656788451504974,0.2606254999999999,4.139374500000001,0.08923815314918784,0.2827834999999999,4.1172165000000005,0.04311385567926245,0.30341049999999997,4.0965895,-0.011654964427406022,0.4554005000000002,3.9445995000000003,-0.10858125587038153,0.7818229999999999,3.618177,-0.12493441301092258,0.14099999999999996,4.259,0.13349614429476328,0.1815,4.218500000000001,0.09377537878439329,0.27349999999999997,4.1265,0.14605716377478187,1.9944999999999997,2.405500000000001,0.877184940937098,3.3940000000000006,1.0059999999999998,0.9698325847563977,4.281000000000001,0.11899999999999977,0.867583832530354,4.5230000000000015,-0.12300000000000111,0.8282030646479117,31041077337.2648,-0.3523148770681313,15995126134.7035,0.9086599745964441,94.51558950569391,0.3837059724539934,2.1,0.2509870381571362,3.4,0.0957403244691645
5,HILLSBORO,2011-01,4.4,Other FHA,0.2391115000000001,4.1608885,0.12815577013966137,0.25406500000000004,4.145935000000001,0.11656788451504974,0.2606254999999999,4.139374500000001,0.08923815314918784,0.2827834999999999,4.1172165000000005,0.04311385567926245,0.30341049999999997,4.0965895,-0.011654964427406022,0.4554005000000002,3.9445995000000003,-0.10858125587038153,0.7818229999999999,3.618177,-0.12493441301092258,0.14099999999999996,4.259,0.13349614429476328,0.1815,4.218500000000001,0.09377537878439329,0.27349999999999997,4.1265,0.14605716377478187,1.9944999999999997,2.405500000000001,0.877184940937098,3.3940000000000006,1.0059999999999998,0.9698325847563977,4.281000000000001,0.11899999999999977,0.867583832530354,4.5230000000000015,-0.12300000000000111,0.8282030646479117,31041077337.2648,-0.3523148770681313,15995126134.7035,0.9086599745964441,94.51558950569391,0.3837059724539934,2.1,0.2509870381571362,3.4,0.0957403244691645
6,HILLSBORO,2011-01,4.4,Other FHA,0.2391115000000001,4.1608885,0.12815577013966137,0.25406500000000004,4.145935000000001,0.11656788451504974,0.2606254999999999,4.139374500000001,0.08923815314918784,0.2827834999999999,4.1172165000000005,0.04311385567926245,0.30341049999999997,4.0965895,-0.011654964427406022,0.4554005000000002,3.9445995000000003,-0.10858125587038153,0.7818229999999999,3.618177,-0.12493441301092258,0.14099999999999996,4.259,0.13349614429476328,0.1815,4.218500000000001,0.09377537878439329,0.27349999999999997,4.1265,0.14605716377478187,1.9944999999999997,2.405500000000001,0.877184940937098,3.3940000000000006,1.0059999999999998,0.9698325847563977,4.281000000000001,0.11899999999999977,0.867583832530354,4.5230000000000015,-0.12300000000000111,0.8282030646479117,31041077337.2648,-0.3523148770681313,15995126134.7035,0.9086599745964441,94.51558950569391,0.3837059724539934,2.1,0.2509870381571362,3.4,0.0957403244691645
7,HILLSBORO,2011-01,4.4,Other FHA,0.2391115000000001,4.1608885,0.12815577013966137,0.25406500000000004,4.145935000000001,0.11656788451504974,0.2606254999999999,4.139374500000001,0.08923815314918784,0.2827834999999999,4.1172165000000005,0.04311385567926245,0.30341049999999997,4.0965895,-0.011654964427406022,0.4554005000000002,3.9445995000000003,-0.10858125587038153,0.7818229999999999,3.618177,-0.12493441301092258,0.14099999999999996,4.259,0.13349614429476328,0.1815,4.218500000000001,0.09377537878439329,0.27349999999999997,4.1265,0.14605716377478187,1.9944999999999997,2.405500000000001,0.877184940937098,3.3940000000000006,1.0059999999999998,0.9698325847563977,4.281000000000001,0.11899999999999977,0.867583832530354,4.5230000000000015,-0.12300000000000111,0.8282030646479117,31041077337.2648,-0.3523148770681313,15995126134.7035,0.9086599745964441,94.51558950569391,0.3837059724539934,2.1,0.2509870381571362,3.4,0.0957403244691645
8,HILLSBORO,2012-09,2.44,Other FHA,0.15189500000000006,2.288105,0.12815577013966137,0.183625,2.256375,0.11656788451504974,0.22133750000000002,2.2186624999999998,0.08923815314918784,0.3079875,2.1320125,0.04311385567926245,0.3856325000000001,2.0543674999999997,-0.011654964427406022,0.6716749999999999,1.768325,-0.10858125587038153,0.9997750000000002,1.4402249999999999,-0.12493441301092258,0.07526315789473685,2.364736842105263,0.13349614429476328,0.13736842105263158,2.302631578947368,0.09377537878439329,0.17578947368421055,2.2642105263157895,0.14605716377478187,0.6689473684210526,1.7710526315789474,0.877184940937098,1.7231578947368422,0.7168421052631577,0.9698325847563977,2.488421052631579,-0.04842105263157892,0.867583832530354,2.8815789473684212,-0.4415789473684213,0.8282030646479117,39268596272.9965,-0.3523148770681313,11337096053.4966,0.9086599745964441,89.6038877472871,0.3837059724539934,1.9,0.2509870381571362,2.8,0.0957403244691645
9,HILLSBORO,2012-09,2.44,Other FHA,0.15189500000000006,2.288105,0.12815577013966137,0.183625,2.256375,0.11656788451504974,0.22133750000000002,2.2186624999999998,0.08923815314918784,0.3079875,2.1320125,0.04311385567926245,0.3856325000000001,2.0543674999999997,-0.011654964427406022,0.6716749999999999,1.768325,-0.10858125587038153,0.9997750000000002,1.4402249999999999,-0.12493441301092258,0.07526315789473685,2.364736842105263,0.13349614429476328,0.13736842105263158,2.302631578947368,0.09377537878439329,0.17578947368421055,2.2642105263157895,0.14605716377478187,0.6689473684210526,1.7710526315789474,0.877184940937098,1.7231578947368422,0.7168421052631577,0.9698325847563977,2.488421052631579,-0.04842105263157892,0.867583832530354,2.8815789473684212,-0.4415789473684213,0.8282030646479117,39268596272.9965,-0.3523148770681313,11337096053.4966,0.9086599745964441,89.6038877472871,0.3837059724539934,1.9,0.2509870381571362,2.8,0.0957403244691645
