,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(-2),Corr with student_vol(-2),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2012-06,GA,ATHENS,2012-06,3.25,"(11.5, -0.68333)",22691.55,Other FHA,0.163,0.07952218130291744,0.19464736842105262,0.08521407883621399,0.24319736842105263,0.09245514180735047,0.3459342105263157,0.08874501407837865,0.46558684210526313,0.07613874785854823,0.7364000000000004,0.041031299803748256,1.0691894736842107,0.023830749420645267,0.05190476190476193,0.125086312742401,0.14809523809523809,0.09235896844994096,0.18904761904761905,0.08929001701181537,0.7114285714285714,0.39131549123111586,1.6223809523809525,0.7915944204183573,2.3061904761904763,0.9293962821880956,2.698095238095238,0.8973705653854849,36777908030.9335,-0.08872899729673393,11641401212.0971,-0.739623094621695,90.37816904639429,-0.3873180258423001,2.9,0.6328972996643241,2.1,0.15103657183078623,11.5,-0.68333
1,2013-09,GA,ATHENS,2013-09,4.35,"(-83.3571, 33.9071)",14687.78,Other FHA,0.11272380952380952,0.07952218130291744,0.14323238095238094,0.08521407883621399,0.18057476190476196,0.09245514180735047,0.22133904761904755,0.08874501407837865,0.2531785714285715,0.07613874785854823,0.38033809523809525,0.041031299803748256,0.6526857142857143,0.023830749420645267,0.017500000000000005,0.125086312742401,0.04150000000000001,0.09235896844994096,0.11850000000000002,0.08929001701181537,1.5959999999999999,0.39131549123111586,2.8095,0.7915944204183573,3.526,0.9293962821880956,3.7870000000000004,0.8973705653854849,41334062733.8549,-0.08872899729673393,8901986132.75728,-0.739623094621695,84.4459748156831,-0.3873180258423001,4.0,0.6328972996643241,1.6,0.15103657183078623,-83.3571,33.9071
2,2015-08,GA,ATHENS,2015-08,3.55,"(-83.401475, 33.989061)",21808.5,Other FHA,0.13010000000000005,0.07952218130291744,0.151965,0.08521407883621399,0.1967275,0.09245514180735047,0.2610100000000001,0.08874501407837865,0.3207975,0.07613874785854823,0.5193599999999999,0.041031299803748256,0.8364375,0.023830749420645267,0.03523809523809525,0.125086312742401,0.22000000000000006,0.09235896844994096,0.3757142857142857,0.08929001701181537,1.5414285714285714,0.39131549123111586,2.167142857142857,0.7915944204183573,2.5466666666666664,0.9293962821880956,2.8557142857142854,0.8973705653854849,48668534366.8701,-0.08872899729673393,11517159733.1957,-0.739623094621695,82.3313446344394,-0.3873180258423001,2.2,0.6328972996643241,0.7,0.15103657183078623,-83.401475,33.989061
3,2015-09,GA,ATHENS,2015-09,3.26,"(-83.359963, 33.943032)",18976.55,Other FHA,0.1344409090909091,0.07952218130291744,0.15661363636363634,0.08521407883621399,0.20107727272727274,0.09245514180735047,0.26589318181818195,0.08874501407837865,0.3311113636363637,0.07613874785854823,0.5371681818181817,0.041031299803748256,0.8526636363636364,0.023830749420645267,0.008571428571428572,0.125086312742401,0.17952380952380947,0.09235896844994096,0.3733333333333333,0.08929001701181537,1.4900000000000002,0.39131549123111586,2.1728571428571435,0.7915944204183573,2.618095238095238,0.9293962821880956,2.9528571428571433,0.8973705653854849,48836554747.323,-0.08872899729673393,11834405659.8436,-0.739623094621695,83.80897781081251,-0.3873180258423001,2.1,0.6328972996643241,0.8,0.15103657183078623,-83.359963,33.943032
4,2017-07,GA,ATHENS,2017-07,3.25,"(30.992615, 27.205258)",79033.47,Other FHA,1.1766928571428568,0.07952218130291744,1.1913757142857144,0.08521407883621399,1.2280366666666667,0.09245514180735047,1.2566676190476191,0.08874501407837865,1.307512857142857,0.07613874785854823,1.4570814285714284,0.041031299803748256,1.7410885714285718,0.023830749420645267,0.9720000000000001,0.125086312742401,1.1284999999999996,0.09235896844994096,1.2235,0.08929001701181537,1.8720000000000003,0.39131549123111586,2.3179999999999996,0.7915944204183573,2.6505,0.9293962821880956,2.884,0.8973705653854849,49068548953.9206,-0.08872899729673393,12747516848.3499,-0.739623094621695,87.3618752869242,-0.3873180258423001,1.5,0.6328972996643241,0.6,0.15103657183078623,30.992615,27.205258
5,2018-08,GA,ATHENS,2018-08,3.88,"(-83.357712, 33.976059)",34897.68,Other FHA,1.916485,0.07952218130291744,1.9541377272727276,0.08521407883621399,2.074109545454545,0.09245514180735047,2.18963,0.08874501407837865,2.323575,0.07613874785854823,2.5196563636363636,0.041031299803748256,2.8215668181818185,0.023830749420645267,1.9408695652173917,0.125086312742401,2.244347826086957,0.09235896844994096,2.445652173913043,0.08929001701181537,2.7678260869565223,0.39131549123111586,2.889130434782609,0.7915944204183573,2.970434782608696,0.9293962821880956,3.041739130434783,0.8973705653854849,50800995008.8069,-0.08872899729673393,12484889768.5791,-0.739623094621695,,-0.3873180258423001,1.8,0.6328972996643241,0.7,0.15103657183078623,-83.357712,33.976059
