,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(2),Corr with auto_vol(2),student_vol(1),Corr with student_vol(1),credit_tightness(-1),Corr with credit_tightness(-1),mortgage 30-89(-2),Corr with mortgage 30-89(-2),mortgage 90(1),Corr with mortgage 90(1),long,lat
0,2010-05,MI,EAST LANSING,2010-05,4.75,"(-84.494943, 42.760218)",30333.56,Other FHA,0.2957715789473684,0.3314609958264979,0.3152057894736842,0.33038077578982306,0.3354642105263158,0.32796265389988705,0.39242105263157895,0.33560000618815305,0.45851421052631586,0.34143670842035495,0.6592468421052632,0.34566659588698756,1.129987894736842,0.389803316264436,0.147,0.3301383767893555,0.22350000000000003,0.32671379098587594,0.37099999999999994,0.3568820999992689,2.1799999999999997,0.7740861657894599,3.4199999999999995,0.88091124979777,4.1145,0.6833586737821989,4.286,0.5757853876828275,28477062769.4533,-0.20621480627542235,11833891080.8667,0.733973611462048,99.0214107435932,0.4165922586426028,3.4,-0.21263746465690878,3.7,0.18895299601336532,-84.494943,42.760218
1,2013-03,MI,EAST LANSING,2013-03,2.94,"(-84.47172905, 42.73230039999999)",31131.18,Other FHA,0.15505000000000002,0.3314609958264979,0.17309999999999998,0.33038077578982306,0.20345,0.32796265389988705,0.2419,0.33560000618815305,0.28190000000000004,0.34143670842035495,0.44782500000000003,0.34566659588698756,0.7351250000000001,0.389803316264436,0.07800000000000003,0.3301383767893555,0.11450000000000005,0.32671379098587594,0.14750000000000002,0.3568820999992689,0.8185000000000002,0.7740861657894599,1.9575,0.88091124979777,2.7840000000000003,0.6833586737821989,3.1625000000000005,0.5757853876828275,40995097959.5386,-0.20621480627542235,9123117418.53368,0.733973611462048,88.794109524791,0.4165922586426028,3.5,-0.21263746465690878,2.2,0.18895299601336532,-84.47172905,42.73230039999999
2,2013-04,MI,EAST LANSING,2013-04,3.0,"(-84.463713, 42.753769)",15666.87,Other FHA,0.1539047619047619,0.3314609958264979,0.17210476190476193,0.33038077578982306,0.19953333333333334,0.32796265389988705,0.24005714285714277,0.33560000618815305,0.27714285714285714,0.34143670842035495,0.4360190476190476,0.34566659588698756,0.7168333333333334,0.389803316264436,0.049090909090909116,0.3301383767893555,0.09409090909090913,0.32671379098587594,0.12454545454545456,0.3568820999992689,0.7104545454545454,0.7740861657894599,1.7590909090909093,0.88091124979777,2.5500000000000003,0.6833586737821989,2.9327272727272726,0.5757853876828275,41507587847.7023,-0.20621480627542235,9498561196.652071,0.733973611462048,88.920473853359,0.4165922586426028,3.3,-0.21263746465690878,2.1,0.18895299601336532,-84.463713,42.753769
3,2013-06,MI,EAST LANSING,2013-06,3.27,"(-84.494372, 42.761390000000006)",15002.84,Other FHA,0.13074,0.3314609958264979,0.15964599999999998,0.33038077578982306,0.19319250000000002,0.32796265389988705,0.23164600000000002,0.33560000618815305,0.27374,0.34143670842035495,0.4139935,0.34566659588698756,0.6839425000000002,0.389803316264436,0.0345,0.3301383767893555,0.08750000000000002,0.32671379098587594,0.142,0.3568820999992689,1.2035,0.7740861657894599,2.3000000000000003,0.88091124979777,3.0740000000000003,0.6833586737821989,3.400000000000001,0.5757853876828275,41334062733.8549,-0.20621480627542235,8901986132.75728,0.733973611462048,88.29263433660921,0.4165922586426028,2.4,-0.21263746465690878,2.0,0.18895299601336532,-84.494372,42.761390000000006
4,2013-07,MI,EAST LANSING,2013-07,4.0,"(-84.474057, 42.741871)",17792.46,Other FHA,0.12117913043478262,0.3314609958264979,0.15611695652173913,0.33038077578982306,0.19111913043478265,0.32796265389988705,0.232388695652174,0.33560000618815305,0.26758260869565215,0.34143670842035495,0.40307869565217386,0.34566659588698756,0.6838491304347826,0.389803316264436,0.020909090909090912,0.3301383767893555,0.07363636363636367,0.32671379098587594,0.12181818181818184,0.3568820999992689,1.4031818181818183,0.7740861657894599,2.5822727272727275,0.88091124979777,3.3072727272727276,0.6833586737821989,3.605,0.5757853876828275,41062625933.5941,-0.20621480627542235,10210246554.7955,0.733973611462048,89.95115518901541,0.4165922586426028,2.6,-0.21263746465690878,2.1,0.18895299601336532,-84.474057,42.741871
5,2014-08,MI,EAST LANSING,2014-08,3.9,"(-84.496363, 42.772712)",28268.6,Other FHA,0.090785,0.3314609958264979,0.121725,0.33038077578982306,0.15602,0.32796265389988705,0.19527250000000002,0.33560000618815305,0.23465000000000003,0.34143670842035495,0.32965500000000003,0.34566659588698756,0.55889,0.389803316264436,0.030000000000000006,0.3301383767893555,0.0523809523809524,0.32671379098587594,0.10714285714285714,0.3568820999992689,1.6314285714285717,0.7740861657894599,2.42,0.88091124979777,2.9366666666666665,0.6833586737821989,3.2009523809523808,0.5757853876828275,44591810060.8257,-0.20621480627542235,11159124696.1814,0.733973611462048,81.64661519553,0.4165922586426028,1.8,-0.21263746465690878,1.7,0.18895299601336532,-84.496363,42.772712
6,2016-02,MI,EAST LANSING,2016-02,3.68,"(-84.1906746, 43.58542429999999)",12713.61,Other FHA,0.3714619047619048,0.3314609958264979,0.39233095238095245,0.33038077578982306,0.43129761904761904,0.32796265389988705,0.5186452380952381,0.33560000618815305,0.6227190476190477,0.34143670842035495,0.8697642857142857,0.34566659588698756,1.1407690476190477,0.389803316264436,0.25600000000000006,0.3301383767893555,0.445,0.32671379098587594,0.534,0.3568820999992689,1.222,0.7740861657894599,1.7794999999999999,0.88091124979777,2.1990000000000003,0.6833586737821989,2.623,0.5757853876828275,48887248013.451,-0.20621480627542235,11362184412.0981,0.733973611462048,83.80897781081251,0.4165922586426028,2.0,-0.21263746465690878,1.1,0.18895299601336532,-84.1906746,43.58542429999999
7,2017-06,MI,EAST LANSING,2017-06,3.48,"(-84.486064, 42.760412)",45334.6,Other FHA,1.0640909090909094,0.3314609958264979,1.1183336363636365,0.33038077578982306,1.1714068181818182,0.32796265389988705,1.2101513636363637,0.33560000618815305,1.2624095454545452,0.34143670842035495,1.4322822727272726,0.34566659588698756,1.7322577272727273,0.389803316264436,0.8413636363636363,0.3301383767893555,1.1095454545454546,0.32671379098587594,1.200909090909091,0.3568820999992689,1.7740909090909094,0.7740861657894599,2.186818181818182,0.88091124979777,2.5399999999999996,0.6833586737821989,2.796363636363637,0.5757853876828275,47520522623.6854,-0.20621480627542235,11814606928.6527,0.733973611462048,89.1832712740787,0.4165922586426028,1.1,-0.21263746465690878,0.7,0.18895299601336532,-84.486064,42.760412
8,2018-03,MI,EAST LANSING,2018-03,3.96,"(-84.462363, 42.750246000000004)",57249.23,Other FHA,1.5183047619047625,0.3314609958264979,1.6006185714285712,0.33038077578982306,1.7991309523809524,0.32796265389988705,1.9184628571428568,0.33560000618815305,2.173357619047619,0.34143670842035495,2.345182380952381,0.34566659588698756,2.596475714285714,0.389803316264436,1.636666666666667,0.3301383767893555,1.917142857142857,0.32671379098587594,2.0628571428571427,0.3568820999992689,2.6295238095238096,0.7740861657894599,2.8423809523809527,0.88091124979777,2.9733333333333327,0.6833586737821989,3.0914285714285716,0.5757853876828275,50407042046.8076,-0.20621480627542235,12344213844.2875,0.733973611462048,87.010875232225,0.4165922586426028,2.0,-0.21263746465690878,0.8,0.18895299601336532,-84.462363,42.750246000000004
9,2018-08,MI,EAST LANSING,2018-08,4.23,"(-84.461492, 42.758267)",62253.99,Other FHA,1.916485,0.3314609958264979,1.9541377272727276,0.33038077578982306,2.074109545454545,0.32796265389988705,2.18963,0.33560000618815305,2.323575,0.34143670842035495,2.5196563636363636,0.34566659588698756,2.8215668181818185,0.389803316264436,1.9408695652173917,0.3301383767893555,2.244347826086957,0.32671379098587594,2.445652173913043,0.3568820999992689,2.7678260869565223,0.7740861657894599,2.889130434782609,0.88091124979777,2.970434782608696,0.6833586737821989,3.041739130434783,0.5757853876828275,51507450037.54,-0.20621480627542235,12115078194.3566,0.733973611462048,89.25060298401242,0.4165922586426028,1.1,-0.21263746465690878,0.7,0.18895299601336532,-84.461492,42.758267
