,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(-2),Corr with student_vol(-2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2010-03,NV,LAS VEGAS,2010-03,4.1,"(-115.32418100000001, 36.223896)",89129,74409.02,Other FHA,0.20298217391304352,0.211290292826004,0.22118086956521738,0.21114825168735657,0.23731173913043485,0.1989246543842977,0.25031173913043475,0.17467634986826616,0.2684247826086957,0.13898473813060686,0.41060652173913054,0.05130567652942982,0.8732952173913044,0.003585362379724685,0.11652173913043477,0.2362978712151822,0.22565217391304354,0.17206252043360606,0.3956521739130435,0.13854547320548008,2.433043478260869,0.35424201785836873,3.7273913043478255,0.5307359835897995,4.489130434782608,0.53206204066853,4.644782608695651,0.5000186418642093,25282528298.0118,-0.3051080808986674,14107591663.4702,-0.57688032968466,96.8995739482615,0.24373236913475685,5.1,0.22352297496410795,11.3,0.24225112683869765,-115.32418100000001,36.223896
1,2012-09,NV,LAS VEGAS,2012-09,2.65,"(-115.06299999999999, 36.1885)",89142,67267.72,Other FHA,0.15189500000000006,0.211290292826004,0.183625,0.21114825168735657,0.22133750000000002,0.1989246543842977,0.3079875,0.17467634986826616,0.3856325000000001,0.13898473813060686,0.6716749999999999,0.05130567652942982,0.9997750000000002,0.003585362379724685,0.07526315789473685,0.2362978712151822,0.13736842105263158,0.17206252043360606,0.17578947368421055,0.13854547320548008,0.6689473684210526,0.35424201785836873,1.7231578947368422,0.5307359835897995,2.488421052631579,0.53206204066853,2.8815789473684212,0.5000186418642093,36777908030.9335,-0.3051080808986674,16111780903.4699,-0.57688032968466,89.6038877472871,0.24373236913475685,3.3,0.22352297496410795,7.9,0.24225112683869765,-115.06299999999999,36.1885
2,2013-07,NV,LAS VEGAS,2013-07,4.75,"(-115.135254, 36.138357)",89109,13098.56,Other FHA,0.12117913043478262,0.211290292826004,0.15611695652173913,0.21114825168735657,0.19111913043478265,0.1989246543842977,0.232388695652174,0.17467634986826616,0.26758260869565215,0.13898473813060686,0.40307869565217386,0.05130567652942982,0.6838491304347826,0.003585362379724685,0.020909090909090912,0.2362978712151822,0.07363636363636367,0.17206252043360606,0.12181818181818184,0.13854547320548008,1.4031818181818183,0.35424201785836873,2.5822727272727275,0.5307359835897995,3.3072727272727276,0.53206204066853,3.605,0.5000186418642093,39298206327.5877,-0.3051080808986674,9498561196.652071,-0.57688032968466,88.920473853359,0.24373236913475685,2.5,0.22352297496410795,6.5,0.24225112683869765,-115.135254,36.138357
3,2014-02,NV,LAS VEGAS,2014-02,4.25,"(-115.204895, 35.98993)",89141,105610.20499999999,Other FHA,0.08627,0.211290292826004,0.11939250000000004,0.21114825168735657,0.155105,0.1989246543842977,0.19663749999999997,0.17467634986826616,0.23520249999999998,0.13898473813060686,0.3308,0.05130567652942982,0.554605,0.003585362379724685,0.046842105263157914,0.2362978712151822,0.08105263157894738,0.17206252043360606,0.11684210526315793,0.13854547320548008,1.5157894736842106,0.35424201785836873,2.7094736842105265,0.5307359835897995,3.3847368421052626,0.53206204066853,3.6626315789473685,0.5000186418642093,41244159430.5284,-0.3051080808986674,9402239044.86975,-0.57688032968466,85.7873584996498,0.24373236913475685,2.4,0.22352297496410795,4.2,0.24225112683869765,-115.204895,35.98993
4,2014-03,NV,LAS VEGAS,2014-03,3.8,"(-115.15271680000001, 36.019481899999995)",89123,218013.65,Other FHA,0.0888,0.211290292826004,0.1207452380952381,0.21114825168735657,0.15488333333333335,0.1989246543842977,0.19711666666666672,0.17467634986826616,0.23409761904761903,0.13898473813060686,0.33106666666666673,0.05130567652942982,0.5571428571428573,0.003585362379724685,0.051428571428571455,0.2362978712151822,0.07857142857142858,0.17206252043360606,0.1280952380952381,0.13854547320548008,1.6395238095238096,0.35424201785836873,2.7233333333333327,0.5307359835897995,3.3466666666666667,0.53206204066853,3.6209523809523807,0.5000186418642093,41658198449.9001,-0.3051080808986674,9438159522.248821,-0.57688032968466,88.4263020205016,0.24373236913475685,2.1,0.22352297496410795,4.3,0.24225112683869765,-115.15271680000001,36.019481899999995
5,2015-04,NV,LAS VEGAS,2015-04,3.585,"(-115.09511599999999, 36.189859999999996)",89110,32255.025,Other FHA,0.12200000000000003,0.211290292826004,0.14605250000000003,0.21114825168735657,0.18076750000000003,0.1989246543842977,0.22830999999999996,0.17467634986826616,0.27596,0.13898473813060686,0.404505,0.05130567652942982,0.6969449999999999,0.003585362379724685,0.018181818181818188,0.2362978712151822,0.09363636363636368,0.17206252043360606,0.23363636363636367,0.13854547320548008,1.3545454545454545,0.35424201785836873,1.9349999999999996,0.5307359835897995,2.334090909090909,0.53206204066853,2.5859090909090905,0.5000186418642093,45241950015.4561,-0.3051080808986674,11837215038.8922,-0.57688032968466,82.4770523961592,0.24373236913475685,2.1,0.22352297496410795,3.3,0.24225112683869765,-115.09511599999999,36.189859999999996
6,2016-05,NV,LAS VEGAS,2016-05,3.4,"(-115.1492, 36.1663)",89107,25429.1,Other FHA,0.38527368421052627,0.211290292826004,0.4053315789473685,0.21114825168735657,0.4424947368421052,0.1989246543842977,0.5332263157894737,0.17467634986826616,0.6455710526315791,0.13898473813060686,0.9348736842105263,0.05130567652942982,1.2675078947368421,0.003585362379724685,0.2261904761904762,0.2362978712151822,0.4185714285714286,0.17206252043360606,0.5914285714285713,0.13854547320548008,1.3004761904761903,0.35424201785836873,1.8061904761904766,0.5307359835897995,2.2166666666666663,0.53206204066853,2.627619047619048,0.5000186418642093,48154770296.6926,-0.3051080808986674,11362184412.0981,-0.57688032968466,83.80897781081251,0.24373236913475685,2.0,0.22352297496410795,2.4,0.24225112683869765,-115.1492,36.1663
7,2016-07,NV,LAS VEGAS,2016-07,3.24,"(-115.296029, 36.123896)",89147,130664.9,Other FHA,0.41380476190476195,0.211290292826004,0.43819285714285716,0.21114825168735657,0.4828833333333333,0.1989246543842977,0.5734595238095239,0.17467634986826616,0.6963095238095237,0.13898473813060686,0.9990666666666668,0.05130567652942982,1.31707619047619,0.003585362379724685,0.2635000000000001,0.2362978712151822,0.4040000000000001,0.17206252043360606,0.5135000000000001,0.13854547320548008,1.0715,0.35424201785836873,1.504,0.5307359835897995,1.8224999999999998,0.53206204066853,2.227,0.5000186418642093,48187387172.2131,-0.3051080808986674,11703539581.608,-0.57688032968466,83.5754036116387,0.24373236913475685,1.6,0.22352297496410795,2.2,0.24225112683869765,-115.296029,36.123896
8,2016-09,NV,LAS VEGAS,2016-09,3.41,"(-115.110054, 36.169143)",89101,50197.56999999999,Other FHA,0.42159363636363634,0.211290292826004,0.4495609090909092,0.21114825168735657,0.5270018181818182,0.1989246543842977,0.6625254545454545,0.17467634986826616,0.8496804545454547,0.13898473813060686,1.2471445454545458,0.05130567652942982,1.5560313636363639,0.003585362379724685,0.1914285714285715,0.2362978712151822,0.4671428571428572,0.17206252043360606,0.5933333333333333,0.13854547320548008,1.178095238095238,0.35424201785836873,1.6304761904761906,0.5307359835897995,2.0152380952380957,0.53206204066853,2.350476190476191,0.5000186418642093,49276189942.4712,-0.3051080808986674,11531266279.4831,-0.57688032968466,85.2359522201137,0.24373236913475685,1.5,0.22352297496410795,2.1,0.24225112683869765,-115.110054,36.169143
9,2016-11,NV,LAS VEGAS,2016-11,3.18,"(-115.296204, 36.089822)",89148,76342.94,Other FHA,0.4339245454545454,0.211290292826004,0.45880500000000013,0.21114825168735657,0.5631090909090911,0.1989246543842977,0.7006386363636362,0.17467634986826616,0.9084640909090909,0.13898473813060686,1.2693081818181815,0.05130567652942982,1.6029650000000002,0.003585362379724685,0.29999999999999993,0.2362978712151822,0.5834999999999999,0.17206252043360606,0.736,0.13854547320548008,1.596,0.35424201785836873,2.142,0.5307359835897995,2.5369999999999995,0.53206204066853,2.8620000000000005,0.5000186418642093,49692544708.3448,-0.3051080808986674,11482367114.4991,-0.57688032968466,87.39008859346599,0.24373236913475685,1.6,0.22352297496410795,1.8,0.24225112683869765,-115.296204,36.089822
10,2017-02,NV,LAS VEGAS,2017-02,3.53,"(-115.145633, 36.235894)",89032,108833.5,Other FHA,0.6863609999999999,0.211290292826004,0.7163664999999999,0.21114825168735657,0.7767084999999999,0.1989246543842977,0.8480275,0.17467634986826616,1.0445964999999997,0.13898473813060686,1.3514585000000001,0.05130567652942982,1.723958,0.003585362379724685,0.48210526315789465,0.2362978712151822,0.653157894736842,0.17206252043360606,0.8205263157894739,0.13854547320548008,1.9015789473684213,0.35424201785836873,2.4189473684210525,0.5307359835897995,2.763684210526316,0.53206204066853,3.0321052631578946,0.5000186418642093,50034086230.3872,-0.3051080808986674,12605986919.9069,-0.57688032968466,88.43997566936979,0.24373236913475685,1.8,0.22352297496410795,1.6,0.24225112683869765,-115.145633,36.235894
