,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol,Corr with student_vol,credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(3),Corr with mortgage 90(3)
0,2010-12,WA,SPOKANE,2010-12,4.2,"(-117.39561499999999, 47.769861999999996)",16044.85,Other FHA,0.24122190476190472,-0.27661417016835493,0.25412380952380953,-0.2726092735420329,0.26178857142857137,-0.2588251637437035,0.28196571428571415,-0.2497016763238954,0.30272333333333334,-0.21821156783363507,0.4583942857142857,-0.13978411798296236,0.7839004761904763,-0.03886659161870657,0.0854166666666667,-0.27410062043434863,0.19333333333333338,-0.1900633204740978,0.2937499999999999,-0.12781580183023214,1.9429166666666664,0.41382847975134823,3.2949999999999995,0.8516498260682015,4.173333333333333,0.8139685670676472,4.415,0.8053289236084501,31565012894.7234,-0.6753882297005649,10792773250.4017,-0.49938955281005676,92.5881563190625,0.7813955383485636,2.0,0.858009923094717,2.4,0.6211006426425825
1,2011-06,WA,SPOKANE,2011-06,4.05,"(-117.27918000000001, 47.67873)",13642.17,Other FHA,0.12706818181818183,-0.27661417016835493,0.1615431818181819,-0.2726092735420329,0.18716409090909092,-0.2588251637437035,0.21923909090909086,-0.2497016763238954,0.24782409090909094,-0.21821156783363507,0.39758,-0.13978411798296236,0.7268749999999999,-0.03886659161870657,0.0190909090909091,-0.27410062043434863,0.1013636363636364,-0.1900633204740978,0.18090909090909094,-0.12781580183023214,1.5799999999999998,0.41382847975134823,3.002272727272727,0.8516498260682015,3.9145454545454546,0.8139685670676472,4.2327272727272724,0.8053289236084501,33690910289.8878,-0.6753882297005649,12472473242.0863,-0.49938955281005676,91.3646878868074,0.7813955383485636,2.2,0.858009923094717,2.9,0.6211006426425825
2,2014-04,WA,SPOKANE,2014-04,3.8,"(-117.414303, 47.659841)",17959.91,Other FHA,0.08864000000000001,-0.27661417016835493,0.120115,-0.2726092735420329,0.1517,-0.2588251637437035,0.1918625,-0.2497016763238954,0.227495,-0.21821156783363507,0.32422500000000004,-0.13978411798296236,0.550005,-0.03886659161870657,0.023333333333333345,-0.27410062043434863,0.05333333333333336,-0.1900633204740978,0.10761904761904763,-0.12781580183023214,1.7009523809523805,0.41382847975134823,2.705238095238095,0.8516498260682015,3.265238095238095,0.8139685670676472,3.5176190476190476,0.8053289236084501,44931729222.7983,-0.6753882297005649,11032404366.8063,-0.49938955281005676,81.06604477988621,0.7813955383485636,1.8,0.858009923094717,1.9,0.6211006426425825
3,2014-12,WA,SPOKANE,2014-12,3.2,"(-117.361869, 47.611573)",56394.5,Other FHA,0.1101,-0.27661417016835493,0.1330809523809524,-0.2726092735420329,0.16305,-0.2588251637437035,0.20744285714285715,-0.2497016763238954,0.2446071428571429,-0.21821156783363507,0.34302142857142864,-0.13978411798296236,0.6021190476190476,-0.03886659161870657,0.02500000000000001,-0.27410062043434863,0.1063636363636364,-0.1900633204740978,0.21454545454545454,-0.12781580183023214,1.64,0.41382847975134823,2.2072727272727275,0.8516498260682015,2.5504545454545453,0.8139685670676472,2.8331818181818185,0.8053289236084501,47944164595.1044,-0.6753882297005649,14245911418.8887,-0.49938955281005676,79.25862065623551,0.7813955383485636,1.2,0.858009923094717,1.5,0.6211006426425825
4,2015-08,WA,SPOKANE,2015-08,3.98,"(-117.36918, 47.706395)",6711.95,Other FHA,0.13010000000000005,-0.27661417016835493,0.151965,-0.2726092735420329,0.1967275,-0.2588251637437035,0.2610100000000001,-0.2497016763238954,0.3207975,-0.21821156783363507,0.5193599999999999,-0.13978411798296236,0.8364375,-0.03886659161870657,0.03523809523809525,-0.27410062043434863,0.22000000000000006,-0.1900633204740978,0.3757142857142857,-0.12781580183023214,1.5414285714285714,0.41382847975134823,2.167142857142857,0.8516498260682015,2.5466666666666664,0.8139685670676472,2.8557142857142854,0.8053289236084501,48491901272.6637,-0.6753882297005649,10986955735.8103,-0.49938955281005676,82.3313446344394,0.7813955383485636,1.6,0.858009923094717,1.5,0.6211006426425825
