,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-4),Corr with student_vol(-4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(4),Corr with mortgage 90(4),long,lat
0,2011-01,WA,SEATTLE,2011-01,3.85,"(-122.324, 47.8104)",8167.99,Other FHA,0.2391115000000001,0.11326632334534979,0.25406500000000004,0.11487389752070991,0.2606254999999999,0.11161535279592691,0.2827834999999999,0.10827321314255406,0.30341049999999997,0.10684086542398231,0.4554005000000002,0.0712448744341343,0.7818229999999999,0.04212149045937306,0.14099999999999996,0.12083603814827049,0.1815,0.10378908274119869,0.27349999999999997,0.09075697685094733,1.9944999999999997,0.5885341986094778,3.3940000000000006,0.7785769407590928,4.281000000000001,0.68502381320642,4.5230000000000015,0.6535479768625491,31252070876.7547,-0.2838474308540782,12342273869.2704,-0.6876827563846801,91.59671843464591,-0.2626862400080154,2.6,0.27066773160244656,4.2,0.14160563296018325,-122.324,47.8104
1,2011-03,WA,SEATTLE,2011-03,4.65,"(-122.32008700000002, 47.707746)",8292.8,Other FHA,0.2076739130434783,0.11326632334534979,0.23889782608695653,0.11487389752070991,0.2532847826086956,0.11161535279592691,0.2829456521739131,0.10827321314255406,0.30843478260869567,0.10684086542398231,0.4607826086956522,0.0712448744341343,0.7797065217391305,0.04212149045937306,0.06478260869565221,0.12083603814827049,0.15652173913043482,0.10378908274119869,0.25913043478260867,0.09075697685094733,2.1134782608695653,0.5885341986094778,3.414347826086956,0.7785769407590928,4.26608695652174,0.68502381320642,4.5139130434782615,0.6535479768625491,31300541846.2612,-0.2838474308540782,11082139451.8714,-0.6876827563846801,91.13289228397959,-0.2626862400080154,2.4,0.27066773160244656,4.2,0.14160563296018325,-122.32008700000002,47.707746
2,2012-04,WA,SEATTLE,2012-04,3.52,"(-122.32156100000002, 47.709783)",19864.6,Other FHA,0.14868421052631575,0.11326632334534979,0.18980526315789473,0.11487389752070991,0.23982894736842097,0.11161535279592691,0.34777368421052635,0.10827321314255406,0.46680789473684203,0.10684086542398231,0.7313999999999999,0.0712448744341343,1.048621052631579,0.04212149045937306,0.0666666666666667,0.12083603814827049,0.13904761904761903,0.10378908274119869,0.18333333333333335,0.09075697685094733,0.8947619047619045,0.5885341986094778,2.0528571428571425,0.7785769407590928,2.8166666666666664,0.68502381320642,3.1842857142857137,0.6535479768625491,36601383816.48,-0.2838474308540782,11508699084.1195,-0.6876827563846801,89.56768058609659,-0.2626862400080154,2.1,0.27066773160244656,4.4,0.14160563296018325,-122.32156100000002,47.709783
3,2012-11,WA,SEATTLE,2012-11,2.5,"(-122.37613300000001, 47.534565)",22679.5,Other FHA,0.1555,0.11326632334534979,0.18060909090909089,0.11487389752070991,0.20888636363636362,0.11161535279592691,0.25813636363636355,0.10827321314255406,0.31102272727272723,0.10684086542398231,0.528347727272727,0.0712448744341343,0.8631931818181818,0.04212149045937306,0.12449999999999999,0.12083603814827049,0.14450000000000002,0.10378908274119869,0.17850000000000002,0.09075697685094733,0.665,0.5885341986094778,1.654,0.7785769407590928,2.3894999999999995,0.68502381320642,2.8034999999999997,0.6535479768625491,39658399389.4891,-0.2838474308540782,16111780903.4699,-0.6876827563846801,91.578064558499,-0.2626862400080154,1.8,0.27066773160244656,3.6,0.14160563296018325,-122.37613300000001,47.534565
4,2013-05,WA,SEATTLE,2013-05,3.38,"(-122.29748500000001, 47.718336)",34541.29,Other FHA,0.1435047619047619,0.11326632334534979,0.1638380952380952,0.11487389752070991,0.19670952380952378,0.11161535279592691,0.23396000000000003,0.10827321314255406,0.27416904761904765,0.10684086542398231,0.42137333333333327,0.0712448744341343,0.6936104761904763,0.04212149045937306,0.020454545454545458,0.12083603814827049,0.08090909090909093,0.10378908274119869,0.11863636363636366,0.09075697685094733,0.840909090909091,0.5885341986094778,1.9281818181818182,0.7785769407590928,2.7286363636363635,0.68502381320642,3.112727272727273,0.6535479768625491,41334062733.8549,-0.2838474308540782,11154944519.578999,-0.6876827563846801,90.32258801944451,-0.2626862400080154,1.5,0.27066773160244656,2.6,0.14160563296018325,-122.29748500000001,47.718336
5,2014-01,WA,SEATTLE,2014-01,4.35,"(-122.34478100000001, 47.611308)",37872.98,Other FHA,0.09003181818181817,0.11326632334534979,0.1219931818181818,0.11487389752070991,0.1597090909090909,0.11161535279592691,0.204425,0.10827321314255406,0.23822954545454544,0.10684086542398231,0.33795909090909093,0.0712448744341343,0.5752999999999999,0.04212149045937306,0.017142857142857144,0.12083603814827049,0.0690476190476191,0.10378908274119869,0.11619047619047623,0.09075697685094733,1.6466666666666665,0.5885341986094778,2.858095238095238,0.7785769407590928,3.521904761904762,0.68502381320642,3.76904761904762,0.6535479768625491,44109559396.2995,-0.2838474308540782,10216278752.7557,-0.6876827563846801,80.910251046009,-0.2626862400080154,1.5,0.27066773160244656,2.1,0.14160563296018325,-122.34478100000001,47.611308
6,2014-03,WA,SEATTLE,2014-03,4.17,"(-122.28451100000001, 47.666028000000004)",36447.935,Other FHA,0.0888,0.11326632334534979,0.1207452380952381,0.11487389752070991,0.15488333333333335,0.11161535279592691,0.19711666666666672,0.10827321314255406,0.23409761904761903,0.10684086542398231,0.33106666666666673,0.0712448744341343,0.5571428571428573,0.04212149045937306,0.051428571428571455,0.12083603814827049,0.07857142857142858,0.10378908274119869,0.1280952380952381,0.09075697685094733,1.6395238095238096,0.5885341986094778,2.7233333333333327,0.7785769407590928,3.3466666666666667,0.68502381320642,3.6209523809523807,0.6535479768625491,43938467193.2505,-0.2838474308540782,10396023519.0372,-0.6876827563846801,82.11515832772571,-0.2626862400080154,1.3,0.27066773160244656,2.0,0.14160563296018325,-122.28451100000001,47.666028000000004
7,2014-05,WA,SEATTLE,2014-05,4.05,"(-122.333752, 47.602645)",26144.93,Other FHA,0.08842000000000001,0.11326632334534979,0.1198375,0.11487389752070991,0.15035749999999998,0.11161535279592691,0.1914675,0.10827321314255406,0.22609000000000004,0.10684086542398231,0.3231200000000001,0.0712448744341343,0.537955,0.04212149045937306,0.026666666666666665,0.12083603814827049,0.05190476190476192,0.10378908274119869,0.0966666666666667,0.09075697685094733,1.5928571428571427,0.5885341986094778,2.559047619047619,0.7785769407590928,3.1152380952380954,0.68502381320642,3.3899999999999997,0.6535479768625491,45277214883.1472,-0.2838474308540782,9438159522.248821,-0.6876827563846801,81.64661519553,-0.2626862400080154,1.3,0.27066773160244656,1.9,0.14160563296018325,-122.333752,47.602645
8,2015-04,WA,SEATTLE,2015-04,3.18,"(-122.28, 47.54)",27236.84,Other FHA,0.12200000000000003,0.11326632334534979,0.14605250000000003,0.11487389752070991,0.18076750000000003,0.11161535279592691,0.22830999999999996,0.10827321314255406,0.27596,0.10684086542398231,0.404505,0.0712448744341343,0.6969449999999999,0.04212149045937306,0.018181818181818188,0.12083603814827049,0.09363636363636368,0.10378908274119869,0.23363636363636367,0.09075697685094733,1.3545454545454545,0.5885341986094778,1.9349999999999996,0.7785769407590928,2.334090909090909,0.68502381320642,2.5859090909090905,0.6535479768625491,48668534366.8701,-0.2838474308540782,14245911418.8887,-0.6876827563846801,82.75451956383341,-0.2626862400080154,0.9,0.27066773160244656,1.3,0.14160563296018325,-122.28,47.54
9,2015-06,WA,SEATTLE,2015-06,3.26,"(-122.31766699999999, 47.716236)",23999.14,Other FHA,0.12293636363636364,0.11326632334534979,0.14681590909090908,0.11487389752070991,0.1858840909090909,0.11161535279592691,0.23472954545454539,0.10827321314255406,0.2827113636363637,0.10684086542398231,0.43974545454545466,0.0712448744341343,0.7702659090909093,0.04212149045937306,0.007727272727272728,0.12083603814827049,0.08681818181818185,0.10378908274119869,0.2754545454545455,0.09075697685094733,1.6836363636363636,0.5885341986094778,2.3636363636363638,0.7785769407590928,2.8454545454545452,0.68502381320642,3.1118181818181814,0.6535479768625491,49379202635.7798,-0.2838474308540782,11837215038.8922,-0.6876827563846801,82.89218119322959,-0.2626862400080154,1.1,0.27066773160244656,1.2,0.14160563296018325,-122.31766699999999,47.716236
