,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-1),Corr with student_vol(-1),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(-3),Corr with mortgage 30-89(-3),mortgage 90(-1),Corr with mortgage 90(-1),long,lat
0,2010-07,OH,CLEVELAND,2010-07,4.1,"(-81.835849, 41.434681)",16282.86,Other FHA,0.26711500000000005,-0.013589969462851632,0.31483090909090916,-0.004492315811222615,0.3341213636363637,-0.003025863352413771,0.41480272727272727,-0.005822175420811167,0.5103277272727272,-0.030054302582729796,0.7185045454545452,-0.10173088975645547,1.117797727272727,-0.1478132376560206,0.15666666666666668,0.011433599552592735,0.20047619047619053,-0.00844066823161781,0.2914285714285714,-0.023732999279700028,1.7628571428571433,0.6769349078638099,3.0114285714285716,0.7655864938827127,3.796190476190476,0.6255673819246454,3.994285714285714,0.5718617085943465,30512069858.4251,-0.10035795344622195,11833891080.8667,-0.6090187440931294,92.8594669911348,-0.45424012555416937,3.2,-0.5097376168644698,4.1,-0.13525567985994363,-81.835849,41.434681
1,2012-11,OH,CLEVELAND,2012-11,2.95,"(-81.70434, 41.438515)",13747.47,Other FHA,0.1555,-0.013589969462851632,0.18060909090909089,-0.004492315811222615,0.20888636363636362,-0.003025863352413771,0.25813636363636355,-0.005822175420811167,0.31102272727272723,-0.030054302582729796,0.528347727272727,-0.10173088975645547,0.8631931818181818,-0.1478132376560206,0.12449999999999999,0.011433599552592735,0.14450000000000002,-0.00844066823161781,0.17850000000000002,-0.023732999279700028,0.665,0.6769349078638099,1.654,0.7655864938827127,2.3894999999999995,0.6255673819246454,2.8034999999999997,0.5718617085943465,39658399389.4891,-0.10035795344622195,12022315813.7363,-0.6090187440931294,88.920473853359,-0.45424012555416937,3.6,-0.5097376168644698,3.9,-0.13525567985994363,-81.70434,41.438515
2,2013-02,OH,CLEVELAND,2013-02,2.48,"(-81.61483199999999, 41.506408)",51585.98,Other FHA,0.15464999999999998,-0.013589969462851632,0.17315,-0.004492315811222615,0.20129999999999998,-0.003025863352413771,0.2455,-0.005822175420811167,0.29049499999999995,-0.030054302582729796,0.463425,-0.10173088975645547,0.761875,-0.1478132376560206,0.0768421052631579,0.011433599552592735,0.12421052631578947,-0.00844066823161781,0.15736842105263157,-0.023732999279700028,0.8463157894736841,0.6769349078638099,1.9842105263157896,0.7655864938827127,2.782631578947368,0.6255673819246454,3.165263157894737,0.5718617085943465,40995097959.5386,-0.10035795344622195,11154944519.578999,-0.6090187440931294,89.95115518901541,-0.45424012555416937,3.4,-0.5097376168644698,4.0,-0.13525567985994363,-81.61483199999999,41.506408
3,2014-06,OH,CLEVELAND,2014-06,4.5,"(-81.733427, 41.485013)",14445.69,Other FHA,0.09278571428571428,-0.013589969462851632,0.12241428571428574,-0.004492315811222615,0.1523738095238095,-0.003025863352413771,0.19377380952380954,-0.005822175420811167,0.2309452380952381,-0.030054302582729796,0.32388809523809525,-0.10173088975645547,0.5421714285714285,-0.1478132376560206,0.024285714285714296,0.011433599552592735,0.06047619047619051,-0.00844066823161781,0.10476190476190479,-0.023732999279700028,1.679047619047619,0.6769349078638099,2.5985714285714288,0.7655864938827127,3.1533333333333333,0.6255673819246454,3.4199999999999995,0.5718617085943465,44885858708.7515,-0.10035795344622195,9507943209.106209,-0.6090187440931294,82.08517590205541,-0.45424012555416937,2.4,-0.5097376168644698,2.7,-0.13525567985994363,-81.733427,41.485013
4,2014-07,OH,CLEVELAND,2014-07,4.5,"(-81.604794, 41.498552000000004)",31802.85,Other FHA,0.09286956521739129,-0.013589969462851632,0.12270652173913045,-0.004492315811222615,0.15438695652173914,-0.003025863352413771,0.1955586956521739,-0.005822175420811167,0.23417391304347826,-0.030054302582729796,0.32826086956521744,-0.10173088975645547,0.5557695652173912,-0.1478132376560206,0.024090909090909093,0.011433599552592735,0.059545454545454575,-0.00844066823161781,0.11136363636363639,-0.023732999279700028,1.699545454545455,0.6769349078638099,2.542272727272727,0.7655864938827127,3.071363636363636,0.6255673819246454,3.3318181818181816,0.5718617085943465,44591810060.8257,-0.10035795344622195,10121843859.6075,-0.6090187440931294,82.72786465890579,-0.45424012555416937,2.1,-0.5097376168644698,2.8,-0.13525567985994363,-81.604794,41.498552000000004
5,2014-09,OH,CLEVELAND,2014-09,4.55,"(-81.55452700000001, 41.514618)",28533.37,Other FHA,0.09027272727272727,-0.013589969462851632,0.12087045454545454,-0.004492315811222615,0.15410454545454544,-0.003025863352413771,0.19699999999999998,-0.005822175420811167,0.23403181818181817,-0.030054302582729796,0.32999090909090917,-0.10173088975645547,0.5770545454545455,-0.1478132376560206,0.01142857142857143,0.011433599552592735,0.04380952380952382,-0.00844066823161781,0.10952380952380954,-0.023732999279700028,1.7738095238095242,0.6769349078638099,2.5342857142857147,0.7655864938827127,3.0133333333333328,0.6255673819246454,3.26,0.5718617085943465,45241950015.4561,-0.10035795344622195,11117378455.0815,-0.6090187440931294,80.33849809561521,-0.45424012555416937,2.2,-0.5097376168644698,2.6,-0.13525567985994363,-81.55452700000001,41.514618
6,2015-04,OH,CLEVELAND,2015-04,2.775,"(-81.637126, 41.47418)",37056.82,Other FHA,0.12200000000000003,-0.013589969462851632,0.14605250000000003,-0.004492315811222615,0.18076750000000003,-0.003025863352413771,0.22830999999999996,-0.005822175420811167,0.27596,-0.030054302582729796,0.404505,-0.10173088975645547,0.6969449999999999,-0.1478132376560206,0.018181818181818188,0.011433599552592735,0.09363636363636368,-0.00844066823161781,0.23363636363636367,-0.023732999279700028,1.3545454545454545,0.6769349078638099,1.9349999999999996,0.7655864938827127,2.334090909090909,0.6255673819246454,2.5859090909090905,0.5718617085943465,48668534366.8701,-0.10035795344622195,12019442988.8631,-0.6090187440931294,82.89218119322959,-0.45424012555416937,2.7,-0.5097376168644698,2.3,-0.13525567985994363,-81.637126,41.47418
7,2016-06,OH,CLEVELAND,2016-06,3.13,"(-81.652668, 41.471689000000005)",12226.98,Other FHA,0.3904409090909091,-0.013589969462851632,0.41572500000000007,-0.004492315811222615,0.4527090909090909,-0.003025863352413771,0.5394386363636363,-0.005822175420811167,0.6516204545454546,-0.030054302582729796,0.9360386363636366,-0.10173088975645547,1.2592227272727274,-0.1478132376560206,0.22136363636363632,0.011433599552592735,0.40409090909090906,-0.00844066823161781,0.5522727272727272,-0.023732999279700028,1.1663636363636367,0.6769349078638099,1.6440909090909095,0.7655864938827127,2.019090909090909,0.6255673819246454,2.452272727272727,0.5718617085943465,50249654907.7038,-0.10035795344622195,11703539581.608,-0.6090187440931294,88.43997566936979,-0.45424012555416937,2.0,-0.5097376168644698,1.9,-0.13525567985994363,-81.652668,41.471689000000005
8,2017-02,OH,CLEVELAND,2017-02,3.27,"(-81.602777, 41.5091)",23604.47,Other FHA,0.6863609999999999,-0.013589969462851632,0.7163664999999999,-0.004492315811222615,0.7767084999999999,-0.003025863352413771,0.8480275,-0.005822175420811167,1.0445964999999997,-0.030054302582729796,1.3514585000000001,-0.10173088975645547,1.723958,-0.1478132376560206,0.48210526315789465,0.011433599552592735,0.653157894736842,-0.00844066823161781,0.8205263157894739,-0.023732999279700028,1.9015789473684213,0.6769349078638099,2.4189473684210525,0.7655864938827127,2.763684210526316,0.6255673819246454,3.0321052631578946,0.5718617085943465,48693341763.9087,-0.10035795344622195,12351593318.9066,-0.6090187440931294,88.94830277813108,-0.45424012555416937,2.4,-0.5097376168644698,1.8,-0.13525567985994363,-81.602777,41.5091
9,2017-10,OH,CLEVELAND,2017-10,3.59,"(-81.637126, 41.47418)",31713.2,Other FHA,1.1834895238095235,-0.013589969462851632,1.2040609090909093,-0.004492315811222615,1.2385486363636362,-0.003025863352413771,1.287584090909091,-0.005822175420811167,1.3607931818181818,-0.030054302582729796,1.541957272727273,-0.10173088975645547,1.8208568181818179,-0.1478132376560206,0.9957142857142858,0.011433599552592735,1.2495238095238093,-0.00844066823161781,1.3976190476190478,-0.023732999279700028,1.9809523809523806,0.6769349078638099,2.3600000000000003,0.7655864938827127,2.649047619047619,0.6255673819246454,2.8780952380952383,0.5718617085943465,49589347299.2381,-0.10035795344622195,11813706431.8634,-0.6090187440931294,87.010875232225,-0.45424012555416937,2.3,-0.5097376168644698,1.4,-0.13525567985994363,-81.637126,41.47418
