,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-1),Corr with auto_vol(-1),student_vol(2),Corr with student_vol(2),credit_tightness(-4),Corr with credit_tightness(-4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(1),Corr with mortgage 90(1),long,lat
0,2013-03,MI,MUSKEGON,2013-03,2.79,"(-86.22097600000001, 43.244842)",22734.45,Other FHA,0.15505000000000002,0.893739614108503,0.17309999999999998,0.901108250677088,0.20345,0.9046475780759513,0.2419,0.9037624594234491,0.28190000000000004,0.909658572268388,0.44782500000000003,0.9050166019216495,0.7351250000000001,0.9054863109590452,0.07800000000000003,0.8831570087991818,0.11450000000000005,0.9277908438156771,0.14750000000000002,0.9646601367740697,0.8185000000000002,0.8427364551858054,1.9575,-0.5411454048726708,2.7840000000000003,-0.7773066046587893,3.1625000000000005,-0.787559407262728,39658399389.4891,0.9369140284692364,9498561196.652071,0.9797963993995075,90.2956809830492,-0.941777414704248,4.7,-0.9404815390189171,2.7,-0.9780510512348013,-86.22097600000001,43.244842
1,2013-06,MI,MUSKEGON,2013-06,2.94,"(-86.22229300000001, 43.140766)",18007.25,Other FHA,0.13074,0.893739614108503,0.15964599999999998,0.901108250677088,0.19319250000000002,0.9046475780759513,0.23164600000000002,0.9037624594234491,0.27374,0.909658572268388,0.4139935,0.9050166019216495,0.6839425000000002,0.9054863109590452,0.0345,0.8831570087991818,0.08750000000000002,0.9277908438156771,0.142,0.9646601367740697,1.2035,0.8427364551858054,2.3000000000000003,-0.5411454048726708,3.0740000000000003,-0.7773066046587893,3.400000000000001,-0.787559407262728,40995097959.5386,0.9369140284692364,10210246554.7955,0.9797963993995075,88.794109524791,-0.941777414704248,4.7,-0.9404815390189171,2.4,-0.9780510512348013,-86.22229300000001,43.140766
2,2016-02,MI,MUSKEGON,2016-02,3.23,"(-86.201048, 43.236193)",7160.41,Other FHA,0.3714619047619048,0.893739614108503,0.39233095238095245,0.901108250677088,0.43129761904761904,0.9046475780759513,0.5186452380952381,0.9037624594234491,0.6227190476190477,0.909658572268388,0.8697642857142857,0.9050166019216495,1.1407690476190477,0.9054863109590452,0.25600000000000006,0.8831570087991818,0.445,0.9277908438156771,0.534,0.9646601367740697,1.222,0.8427364551858054,1.7794999999999999,-0.5411454048726708,2.1990000000000003,-0.7773066046587893,2.623,-0.787559407262728,48154770296.6926,0.9369140284692364,10916249757.9916,0.9797963993995075,82.4529898168143,-0.941777414704248,3.2,-0.9404815390189171,1.5,-0.9780510512348013,-86.201048,43.236193
3,2016-03,MI,MUSKEGON,2016-03,3.49,"(-86.2484, 43.2342)",14362.36,Other FHA,0.3739333333333333,0.893739614108503,0.39734047619047613,0.901108250677088,0.43639523809523806,0.9046475780759513,0.5204357142857143,0.9037624594234491,0.632,0.909658572268388,0.9009761904761905,0.9050166019216495,1.2156690476190475,0.9054863109590452,0.2531818181818182,0.8831570087991818,0.47,0.9277908438156771,0.6563636363636364,0.9646601367740697,1.3759090909090912,0.8427364551858054,1.889090909090909,-0.5411454048726708,2.2759090909090913,-0.7773066046587893,2.6845454545454546,-0.787559407262728,48927223434.2447,0.9369140284692364,11703539581.608,0.9797963993995075,81.9752078939728,-0.941777414704248,2.7,-0.9404815390189171,1.2,-0.9780510512348013,-86.2484,43.2342
4,2016-06,MI,MUSKEGON,2016-06,3.27,"(-86.199875, 43.236104)",15983.43,Other FHA,0.3904409090909091,0.893739614108503,0.41572500000000007,0.901108250677088,0.4527090909090909,0.9046475780759513,0.5394386363636363,0.9037624594234491,0.6516204545454546,0.909658572268388,0.9360386363636366,0.9050166019216495,1.2592227272727274,0.9054863109590452,0.22136363636363632,0.8831570087991818,0.40409090909090906,0.9277908438156771,0.5522727272727272,0.9646601367740697,1.1663636363636367,0.8427364551858054,1.6440909090909095,-0.5411454048726708,2.019090909090909,-0.7773066046587893,2.452272727272727,-0.787559407262728,49276189942.4712,0.9369140284692364,11412820253.2316,0.9797963993995075,85.06205357591242,-0.941777414704248,2.7,-0.9404815390189171,1.4,-0.9780510512348013,-86.199875,43.236104
