,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(4),Corr with student_vol(4),credit_tightness(1),Corr with credit_tightness(1),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-2),Corr with mortgage 90(-2),long,lat
0,2010-07,MO,ST. LOUIS,2010-07,3.77,"(-90.424236, 38.693020000000004)",39713.99,Other FHA,0.26711500000000005,0.3597005530478733,0.31483090909090916,0.3644693303734069,0.3341213636363637,0.36711774916933404,0.41480272727272727,0.36755769361955265,0.5103277272727272,0.36113193504824553,0.7185045454545452,0.33100158866612406,1.117797727272727,0.3090436364263133,0.15666666666666668,0.38796506357522215,0.20047619047619053,0.37979570655060324,0.2914285714285714,0.3851546788004314,1.7628571428571433,0.6747710368658628,3.0114285714285716,0.7264967655136538,3.796190476190476,0.5448336257701342,3.994285714285714,0.48584563944022446,29160609360.1217,-0.08725062083960647,11082139451.8714,0.41243539139284185,95.6415096715633,-0.28349764606863664,3.5,-0.30414122019687984,3.4,-0.1488314408283083,-90.424236,38.693020000000004
1,2010-09,MO,ST. LOUIS,2010-09,3.41,"(-90.19, 38.63)",58765.4,Other FHA,0.22657136363636363,0.3597005530478733,0.251059090909091,0.3644693303734069,0.25699454545454536,0.36711774916933404,0.2738163636363636,0.36755769361955265,0.2913659090909092,0.36113193504824553,0.4777727272727273,0.33100158866612406,0.8043745454545456,0.3090436364263133,0.1166666666666667,0.38796506357522215,0.19333333333333336,0.37979570655060324,0.2566666666666666,0.3851546788004314,1.4104761904761904,0.6747710368658628,2.6476190476190475,0.7264967655136538,3.4690476190476183,0.5448336257701342,3.773333333333333,0.48584563944022446,30512069858.4251,-0.08725062083960647,11568364841.7538,0.41243539139284185,92.4549564204629,-0.28349764606863664,3.5,-0.30414122019687984,3.3,-0.1488314408283083,-90.19,38.63
2,2011-07,MO,ST. LOUIS,2011-07,4.125,"(122.57, 10.74)",8915.56,Other FHA,0.12388095238095237,0.3597005530478733,0.1598857142857143,0.3644693303734069,0.18661904761904766,0.36711774916933404,0.2182333333333334,0.36755769361955265,0.24991190476190472,0.36113193504824553,0.41392857142857137,0.33100158866612406,0.7452261904761905,0.3090436364263133,0.037500000000000006,0.38796506357522215,0.08400000000000002,0.37979570655060324,0.185,0.3851546788004314,1.541,0.6747710368658628,3.003,0.7264967655136538,3.9475000000000002,0.5448336257701342,4.2705,0.48584563944022446,31754785132.2305,-0.08725062083960647,11784187253.6333,0.41243539139284185,88.33905735772379,-0.28349764606863664,3.2,-0.30414122019687984,2.9,-0.1488314408283083,122.57,10.74
3,2012-08,MO,ST. LOUIS,2012-08,3.0,"(-90.2893, 38.6612)",18593.65,Other FHA,0.15374090909090915,0.3597005530478733,0.18745454545454548,0.3644693303734069,0.23783863636363634,0.36711774916933404,0.3331136363636364,0.36755769361955265,0.43259999999999993,0.36113193504824553,0.7177749999999997,0.33100158866612406,1.0426272727272727,0.3090436364263133,0.09217391304347829,0.38796506357522215,0.14043478260869566,0.37979570655060324,0.18347826086956526,0.3851546788004314,0.7139130434782609,0.6747710368658628,1.6782608695652175,0.7264967655136538,2.3978260869565218,0.5448336257701342,2.7708695652173914,0.48584563944022446,37571290060.6541,-0.08725062083960647,11337096053.4966,0.41243539139284185,89.513287195688,-0.28349764606863664,3.5,-0.30414122019687984,3.0,-0.1488314408283083,-90.2893,38.6612
4,2012-12,MO,ST. LOUIS,2012-12,2.85,"(-90.321508, 38.510764)",16130.46,Other FHA,0.1631578947368421,0.3597005530478733,0.1875157894736842,0.3644693303734069,0.21092631578947374,0.36711774916933404,0.2552894736842105,0.36755769361955265,0.30947368421052623,0.36113193504824553,0.5145657894736843,0.33100158866612406,0.8483157894736841,0.3090436364263133,0.039500000000000014,0.38796506357522215,0.11950000000000005,0.37979570655060324,0.1585,0.3851546788004314,0.6960000000000001,0.6747710368658628,1.7189999999999999,0.7264967655136538,2.4675000000000002,0.5448336257701342,2.8835,0.48584563944022446,39268596272.9965,-0.08725062083960647,9123117418.53368,0.41243539139284185,91.578064558499,-0.28349764606863664,3.6,-0.30414122019687984,2.8,-0.1488314408283083,-90.321508,38.510764
5,2013-01,MO,ST. LOUIS,2013-01,2.45,"(-90.426635, 38.693869)",10569.05,Other FHA,0.16043181818181818,0.3597005530478733,0.17947272727272726,0.3644693303734069,0.20497272727272725,0.36711774916933404,0.2497954545454545,0.36755769361955265,0.30261363636363625,0.36113193504824553,0.48810454545454546,0.33100158866612406,0.8142727272727271,0.3090436364263133,0.05190476190476192,0.38796506357522215,0.10761904761904766,0.37979570655060324,0.14523809523809525,0.3851546788004314,0.8052380952380951,0.6747710368658628,1.9147619047619049,0.7264967655136538,2.681428571428571,0.5448336257701342,3.0804761904761913,0.48584563944022446,39658399389.4891,-0.08725062083960647,9498561196.652071,0.41243539139284185,88.794109524791,-0.28349764606863664,3.7,-0.30414122019687984,2.9,-0.1488314408283083,-90.426635,38.693869
6,2013-03,MO,ST. LOUIS,2013-03,3.58,"(-90.19, 38.63)",85677.52,Other FHA,0.15505000000000002,0.3597005530478733,0.17309999999999998,0.3644693303734069,0.20345,0.36711774916933404,0.2419,0.36755769361955265,0.28190000000000004,0.36113193504824553,0.44782500000000003,0.33100158866612406,0.7351250000000001,0.3090436364263133,0.07800000000000003,0.38796506357522215,0.11450000000000005,0.37979570655060324,0.14750000000000002,0.3851546788004314,0.8185000000000002,0.6747710368658628,1.9575,0.7264967655136538,2.7840000000000003,0.5448336257701342,3.1625000000000005,0.48584563944022446,40395555554.9932,-0.08725062083960647,8901986132.75728,0.41243539139284185,86.5850023909696,-0.28349764606863664,3.5,-0.30414122019687984,2.8,-0.1488314408283083,-90.19,38.63
7,2013-05,MO,ST. LOUIS,2013-05,3.0,"(-90.215068, 38.743293)",4179.42,Other FHA,0.1435047619047619,0.3597005530478733,0.1638380952380952,0.3644693303734069,0.19670952380952378,0.36711774916933404,0.23396000000000003,0.36755769361955265,0.27416904761904765,0.36113193504824553,0.42137333333333327,0.33100158866612406,0.6936104761904763,0.3090436364263133,0.020454545454545458,0.38796506357522215,0.08090909090909093,0.37979570655060324,0.11863636363636366,0.3851546788004314,0.840909090909091,0.6747710368658628,1.9281818181818182,0.7264967655136538,2.7286363636363635,0.5448336257701342,3.112727272727273,0.48584563944022446,41507587847.7023,-0.08725062083960647,10216278752.7557,0.41243539139284185,89.95115518901541,-0.28349764606863664,3.8,-0.30414122019687984,2.6,-0.1488314408283083,-90.215068,38.743293
8,2013-11,MO,ST. LOUIS,2013-11,4.5,"(-90.263006, 38.650777000000005)",16800.61,Other FHA,0.10274761904761903,0.3597005530478733,0.12919047619047616,0.3644693303734069,0.1672714285714286,0.36711774916933404,0.20747142857142856,0.36755769361955265,0.2382452380952381,0.36113193504824553,0.35063809523809525,0.33100158866612406,0.5866738095238094,0.3090436364263133,0.046842105263157914,0.38796506357522215,0.09842105263157898,0.37979570655060324,0.12157894736842105,0.3851546788004314,1.3710526315789473,0.6747710368658628,2.7184210526315793,0.7264967655136538,3.503684210526316,0.5448336257701342,3.7999999999999985,0.48584563944022446,41561863313.5151,-0.08725062083960647,10653400066.5467,0.41243539139284185,85.3165844012547,-0.28349764606863664,3.1,-0.30414122019687984,2.2,-0.1488314408283083,-90.263006,38.650777000000005
9,2016-01,MO,ST. LOUIS,2016-01,3.55,"(-90.36548, 38.525354)",24971.57,Other FHA,0.36607999999999996,0.3597005530478733,0.387725,0.3644693303734069,0.42545,0.36711774916933404,0.5163949999999999,0.36755769361955265,0.6195525000000001,0.36113193504824553,0.8560224999999999,0.33100158866612406,1.1534299999999997,0.3090436364263133,0.22736842105263158,0.38796506357522215,0.43473684210526314,0.37979570655060324,0.5431578947368422,0.3851546788004314,1.5184210526315787,0.6747710368658628,2.085263157894737,0.7264967655136538,2.4889473684210524,0.5448336257701342,2.8584210526315785,0.48584563944022446,48927223434.2447,-0.08725062083960647,11703539581.608,0.41243539139284185,85.06205357591242,-0.28349764606863664,2.4,-0.30414122019687984,1.4,-0.1488314408283083,-90.36548,38.525354
10,2016-02,MO,ST. LOUIS,2016-02,3.6,"(-88.962497, 34.236610999999996)",16582.74,Other FHA,0.3714619047619048,0.3597005530478733,0.39233095238095245,0.3644693303734069,0.43129761904761904,0.36711774916933404,0.5186452380952381,0.36755769361955265,0.6227190476190477,0.36113193504824553,0.8697642857142857,0.33100158866612406,1.1407690476190477,0.3090436364263133,0.25600000000000006,0.38796506357522215,0.445,0.37979570655060324,0.534,0.3851546788004314,1.222,0.6747710368658628,1.7794999999999999,0.7264967655136538,2.1990000000000003,0.5448336257701342,2.623,0.48584563944022446,48187387172.2131,-0.08725062083960647,11496937509.4445,0.41243539139284185,83.5754036116387,-0.28349764606863664,2.5,-0.30414122019687984,1.5,-0.1488314408283083,-88.962497,34.236610999999996
11,2017-02,MO,ST. LOUIS,2017-02,3.59,"(-90.196205, 38.631968)",21963.2,Other FHA,0.6863609999999999,0.3597005530478733,0.7163664999999999,0.3644693303734069,0.7767084999999999,0.36711774916933404,0.8480275,0.36755769361955265,1.0445964999999997,0.36113193504824553,1.3514585000000001,0.33100158866612406,1.723958,0.3090436364263133,0.48210526315789465,0.38796506357522215,0.653157894736842,0.37979570655060324,0.8205263157894739,0.3851546788004314,1.9015789473684213,0.6747710368658628,2.4189473684210525,0.7264967655136538,2.763684210526316,0.5448336257701342,3.0321052631578946,0.48584563944022446,48441183549.9275,-0.08725062083960647,12745337772.3068,0.41243539139284185,88.7707153640316,-0.28349764606863664,2.4,-0.30414122019687984,1.2,-0.1488314408283083,-90.196205,38.631968
12,2017-08,MO,ST. LOUIS,2017-08,3.28,"(-90.319578, 38.508002000000005)",91667.73,Other FHA,1.1775518181818179,0.3597005530478733,1.197803181818182,0.3644693303734069,1.2317690909090908,0.36711774916933404,1.264191818181818,0.36755769361955265,1.314176818181818,0.36113193504824553,1.453699090909091,0.33100158866612406,1.7253381818181814,0.3090436364263133,0.9795652173913042,0.38796506357522215,1.1291304347826083,0.37979570655060324,1.2291304347826086,0.3851546788004314,1.7765217391304353,0.6747710368658628,2.209130434782609,0.7264967655136538,2.552173913043478,0.5448336257701342,2.795217391304348,0.48584563944022446,49256214828.7987,-0.08725062083960647,11223830878.8235,0.41243539139284185,89.9213768261837,-0.28349764606863664,1.9,-0.30414122019687984,1.0,-0.1488314408283083,-90.319578,38.508002000000005
