,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(3),Corr with student_vol(3),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2012-12,FL,ORLANDO,2012-12,2.49,"(-81.240578, 28.543898)",32825,34703.6,Other FHA,0.1631578947368421,0.7039720838135699,0.1875157894736842,0.7050951944190083,0.21092631578947374,0.7076314397174955,0.2552894736842105,0.7128278561574677,0.30947368421052623,0.7172226934391575,0.5145657894736843,0.7134387893050221,0.8483157894736841,0.7059285506185704,0.039500000000000014,0.7153368845339377,0.11950000000000005,0.7241882381239544,0.1585,0.7217523423171135,0.6960000000000001,0.7238919493117884,1.7189999999999999,0.5837741855186334,2.4675000000000002,0.27390288508969796,2.8835,0.10334740909055884,37160101000.5239,0.7121768430909384,9855625468.0504,0.655296928112028,86.5850023909696,0.1952289226724367,3.3,-0.6113167357253714,7.9,-0.6886487760945806,-81.240578,28.543898
1,2013-04,FL,ORLANDO,2013-04,2.55,"(-81.33, 28.52)",32812,49272.73,Other FHA,0.1539047619047619,0.7039720838135699,0.17210476190476193,0.7050951944190083,0.19953333333333334,0.7076314397174955,0.24005714285714277,0.7128278561574677,0.27714285714285714,0.7172226934391575,0.4360190476190476,0.7134387893050221,0.7168333333333334,0.7059285506185704,0.049090909090909116,0.7153368845339377,0.09409090909090913,0.7241882381239544,0.12454545454545456,0.7217523423171135,0.7104545454545454,0.7238919493117884,1.7590909090909093,0.5837741855186334,2.5500000000000003,0.27390288508969796,2.9327272727272726,0.10334740909055884,38808856509.5085,0.7121768430909384,8901986132.75728,0.655296928112028,88.1059676388142,0.1952289226724367,3.7,-0.6113167357253714,7.5,-0.6886487760945806,-81.33,28.52
2,2013-06,FL,ORLANDO,2013-06,2.98,"(-81.464949, 28.490171999999998)",32819,44903.51,Other FHA,0.13074,0.7039720838135699,0.15964599999999998,0.7050951944190083,0.19319250000000002,0.7076314397174955,0.23164600000000002,0.7128278561574677,0.27374,0.7172226934391575,0.4139935,0.7134387893050221,0.6839425000000002,0.7059285506185704,0.0345,0.7153368845339377,0.08750000000000002,0.7241882381239544,0.142,0.7217523423171135,1.2035,0.7238919493117884,2.3000000000000003,0.5837741855186334,3.0740000000000003,0.27390288508969796,3.400000000000001,0.10334740909055884,39658399389.4891,0.7121768430909384,10216278752.7557,0.655296928112028,85.7873584996498,0.1952289226724367,3.2,-0.6113167357253714,7.2,-0.6886487760945806,-81.464949,28.490171999999998
3,2014-10,FL,ORLANDO,2014-10,3.42,"(-81.471858, 28.413997)",32821,135841.54,Other FHA,0.09059565217391304,0.7039720838135699,0.11953260869565213,0.7050951944190083,0.15351739130434783,0.7076314397174955,0.1974043478260869,0.7128278561574677,0.2313760869565217,0.7172226934391575,0.3236195652173913,0.7134387893050221,0.5523869565217392,0.7059285506185704,0.020909090909090912,0.7153368845339377,0.05045454545454548,0.7241882381239544,0.10454545454545458,0.7217523423171135,1.5459090909090911,0.7238919493117884,2.304090909090909,0.5837741855186334,2.7731818181818184,0.27390288508969796,3.039999999999999,0.10334740909055884,43938467193.2505,0.7121768430909384,11733364706.6996,0.655296928112028,82.122236078369,0.1952289226724367,2.0,-0.6113167357253714,3.9,-0.6886487760945806,-81.471858,28.413997
4,2015-01,FL,ORLANDO,2015-01,3.3,"(-81.37899999999999, 28.5421)",32811,58660.87,Other FHA,0.11871428571428574,0.7039720838135699,0.1349785714285714,0.7050951944190083,0.16807857142857144,0.7076314397174955,0.2135952380952381,0.7128278561574677,0.2543190476190476,0.7172226934391575,0.35825714285714294,0.7134387893050221,0.6221666666666666,0.7059285506185704,0.018000000000000006,0.7153368845339377,0.08300000000000003,0.7241882381239544,0.19549999999999998,0.7217523423171135,1.3744999999999998,0.7238919493117884,1.8814999999999997,0.5837741855186334,2.199,0.27390288508969796,2.455,0.10334740909055884,44885858708.7515,0.7121768430909384,11835194000.8273,0.655296928112028,83.34061286074021,0.1952289226724367,2.4,-0.6113167357253714,3.7,-0.6886487760945806,-81.37899999999999,28.5421
5,2015-05,FL,ORLANDO,2015-05,2.68,"(-81.31281800000001, 28.508715000000002)",32811,81366.88,Other FHA,0.12315789473684212,0.7039720838135699,0.14795,0.7050951944190083,0.1842289473684211,0.7076314397174955,0.2296,0.7128278561574677,0.2795368421052632,0.7172226934391575,0.41659473684210524,0.7134387893050221,0.7346236842105265,0.7059285506185704,0.013000000000000001,0.7153368845339377,0.07950000000000002,0.7241882381239544,0.24100000000000002,0.7217523423171135,1.5385000000000002,0.7238919493117884,2.1975000000000002,0.5837741855186334,2.692,0.27390288508969796,2.9550000000000005,0.10334740909055884,45667781053.6763,0.7121768430909384,10986955735.8103,0.655296928112028,81.36742750908279,0.1952289226724367,2.7,-0.6113167357253714,3.5,-0.6886487760945806,-81.31281800000001,28.508715000000002
6,2015-06,FL,ORLANDO,2015-06,2.7,"(-81.46249399999999, 28.483944)",32819,49883.16,Other FHA,0.12293636363636364,0.7039720838135699,0.14681590909090908,0.7050951944190083,0.1858840909090909,0.7076314397174955,0.23472954545454539,0.7128278561574677,0.2827113636363637,0.7172226934391575,0.43974545454545466,0.7134387893050221,0.7702659090909093,0.7059285506185704,0.007727272727272728,0.7153368845339377,0.08681818181818185,0.7241882381239544,0.2754545454545455,0.7217523423171135,1.6836363636363636,0.7238919493117884,2.3636363636363638,0.5837741855186334,2.8454545454545452,0.27390288508969796,3.1118181818181814,0.10334740909055884,45758876905.2845,0.7121768430909384,11492007418.0579,0.655296928112028,82.4529898168143,0.1952289226724367,2.1,-0.6113167357253714,3.3,-0.6886487760945806,-81.46249399999999,28.483944
7,2015-08,FL,ORLANDO,2015-08,3.355,"(-81.386119, 28.540783)",32805,66617.75,Other FHA,0.13010000000000005,0.7039720838135699,0.151965,0.7050951944190083,0.1967275,0.7076314397174955,0.2610100000000001,0.7128278561574677,0.3207975,0.7172226934391575,0.5193599999999999,0.7134387893050221,0.8364375,0.7059285506185704,0.03523809523809525,0.7153368845339377,0.22000000000000006,0.7241882381239544,0.3757142857142857,0.7217523423171135,1.5414285714285714,0.7238919493117884,2.167142857142857,0.5837741855186334,2.5466666666666664,0.27390288508969796,2.8557142857142854,0.10334740909055884,47036055605.935,0.7121768430909384,10798655053.3939,0.655296928112028,82.3313446344394,0.1952289226724367,1.8,-0.6113167357253714,2.9,-0.6886487760945806,-81.386119,28.540783
8,2015-11,FL,ORLANDO,2015-11,3.35,"(-81.306347, 28.486348)",32822,62286.49,Other FHA,0.13066666666666668,0.7039720838135699,0.1559214285714286,0.7050951944190083,0.20844761904761913,0.7076314397174955,0.286702380952381,0.7128278561574677,0.3709714285714286,0.7172226934391575,0.6063738095238096,0.7134387893050221,0.9343738095238093,0.7059285506185704,0.07105263157894738,0.7153368845339377,0.32789473684210524,0.7241882381239544,0.47684210526315784,0.7217523423171135,1.6710526315789473,0.7238919493117884,2.2631578947368416,0.5837741855186334,2.6863157894736847,0.27390288508969796,3.03,0.10334740909055884,48668534366.8701,0.7121768430909384,11240513229.2606,0.655296928112028,83.5754036116387,0.1952289226724367,2.1,-0.6113167357253714,2.5,-0.6886487760945806,-81.306347,28.486348
9,2015-12,FL,ORLANDO,2015-12,3.283333333333333,"(-81.43894300000001, 28.472699)",32818,88985.97666666668,Other FHA,0.2286238095238095,0.7039720838135699,0.289352380952381,0.7050951944190083,0.3523071428571429,0.7076314397174955,0.44092857142857156,0.7128278561574677,0.5332357142857143,0.7172226934391575,0.7638285714285715,0.7134387893050221,1.0841380952380955,0.7059285506185704,0.17181818181818184,0.7153368845339377,0.4990909090909091,0.7241882381239544,0.6536363636363638,0.7217523423171135,1.6986363636363635,0.7238919493117884,2.2427272727272736,0.5837741855186334,2.6072727272727274,0.27390288508969796,2.97,0.10334740909055884,48836554747.323,0.7121768430909384,11362184412.0981,0.655296928112028,84.0267577476249,0.1952289226724367,2.3,-0.6113167357253714,2.4,-0.6886487760945806,-81.43894300000001,28.472699
