,PROPERTY CITY,Month,INTEREST RATE,Category,ON,spread between libor ON,Corr with libor ON,1W,spread between libor 1W,Corr with libor 1W,1M,spread between libor 1M,Corr with libor 1M,2M,spread between libor 2M,Corr with libor 2M,3M,spread between libor 3M,Corr with libor 3M,6M,spread between libor 6M,Corr with libor 6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,spread between 1 Mo treasury,Corr with 1 Mo treasury,6 Mo,spread between 6 Mo treasury,Corr with 6 Mo treasury,1 Yr,spread between 1 Yr treasury,Corr with 1 Yr treasury,5 Yr,spread between 5 Yr treasury,Corr with 5 Yr treasury,10 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,20 Yr,spread between 20 Yr treasury,Corr with 20 Yr treasury,30 Yr,spread between 30 Yr treasury,Corr with 30 Yr treasury,auto_vol(-3),Corr with auto_vol(-3),student_vol(-2),Corr with student_vol(-2),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89,Corr with mortgage 30-89,mortgage 90(-3),Corr with mortgage 90(-3)
0,ATHENS,2012-06,3.25,Other FHA,0.163,3.087,0.24648239980097594,0.19464736842105262,3.0553526315789474,0.25291236787361476,0.24319736842105263,3.0068026315789473,0.2615467747889299,0.3459342105263157,2.9040657894736843,0.26432803720512577,0.46558684210526313,2.784413157894737,0.2608149134778413,0.7364000000000004,2.5135999999999994,0.24622872948403687,1.0691894736842107,2.1808105263157893,0.23842337978292732,0.05190476190476193,3.198095238095238,0.26683005672212706,0.14809523809523809,3.1019047619047617,0.26211930562803265,0.18904761904761905,3.060952380952381,0.2757037362754625,0.7114285714285714,2.5385714285714287,0.5516534488621552,1.6223809523809525,1.6276190476190475,0.7812144764130892,2.3061904761904763,0.9438095238095237,0.7133715500002362,2.698095238095238,0.5519047619047619,0.6115449050603838,35767585536.868996,0.258454827540325,11641401212.0971,-0.5124029487363909,90.37816904639429,-0.36604677902279364,3.8,-0.49871381139777005,3.1,-0.299605096794763
1,ATHENS,2013-02,2.75,Other FHA,0.15464999999999998,2.59535,0.24648239980097594,0.17315,2.57685,0.25291236787361476,0.20129999999999998,2.5487,0.2615467747889299,0.2455,2.5045,0.26432803720512577,0.29049499999999995,2.459505,0.2608149134778413,0.463425,2.286575,0.24622872948403687,0.761875,1.9881250000000001,0.23842337978292732,0.0768421052631579,2.673157894736842,0.26683005672212706,0.12421052631578947,2.6257894736842107,0.26211930562803265,0.15736842105263157,2.5926315789473686,0.2757037362754625,0.8463157894736841,1.9036842105263159,0.5516534488621552,1.9842105263157896,0.7657894736842104,0.7812144764130892,2.782631578947368,-0.03263157894736812,0.7133715500002362,3.165263157894737,-0.4152631578947368,0.6115449050603838,38410438812.4053,0.258454827540325,11337096053.4966,-0.5124029487363909,89.95115518901541,-0.36604677902279364,3.1,-0.49871381139777005,2.2,-0.299605096794763
2,ATHENS,2013-09,4.35,Other FHA,0.11272380952380952,4.23727619047619,0.24648239980097594,0.14323238095238094,4.206767619047619,0.25291236787361476,0.18057476190476196,4.169425238095238,0.2615467747889299,0.22133904761904755,4.128660952380952,0.26432803720512577,0.2531785714285715,4.096821428571428,0.2608149134778413,0.38033809523809525,3.9696619047619044,0.24622872948403687,0.6526857142857143,3.6973142857142856,0.23842337978292732,0.017500000000000005,4.3325,0.26683005672212706,0.04150000000000001,4.3084999999999996,0.26211930562803265,0.11850000000000002,4.2315,0.2757037362754625,1.5959999999999999,2.7539999999999996,0.5516534488621552,2.8095,1.5404999999999998,0.7812144764130892,3.526,0.8239999999999998,0.7133715500002362,3.7870000000000004,0.5629999999999993,0.6115449050603838,41507587847.7023,0.258454827540325,8901986132.75728,-0.5124029487363909,84.4459748156831,-0.36604677902279364,1.8,-0.49871381139777005,1.7,-0.299605096794763
3,ATHENS,2014-12,3.34,Other FHA,0.1101,3.2298999999999998,0.24648239980097594,0.1330809523809524,3.2069190476190474,0.25291236787361476,0.16305,3.1769499999999997,0.2615467747889299,0.20744285714285715,3.132557142857143,0.26432803720512577,0.2446071428571429,3.095392857142857,0.2608149134778413,0.34302142857142864,2.996978571428571,0.24622872948403687,0.6021190476190476,2.7378809523809524,0.23842337978292732,0.02500000000000001,3.315,0.26683005672212706,0.1063636363636364,3.2336363636363634,0.26211930562803265,0.21454545454545454,3.1254545454545455,0.2757037362754625,1.64,1.7,0.5516534488621552,2.2072727272727275,1.1327272727272724,0.7812144764130892,2.5504545454545453,0.7895454545454546,0.7133715500002362,2.8331818181818185,0.5068181818181814,0.6115449050603838,44885858708.7515,0.258454827540325,10950177839.1879,-0.5124029487363909,79.25862065623551,-0.36604677902279364,2.5,-0.49871381139777005,1.9,-0.299605096794763
4,ATHENS,2015-01,3.22,Other FHA,0.11871428571428574,3.1012857142857144,0.24648239980097594,0.1349785714285714,3.085021428571429,0.25291236787361476,0.16807857142857144,3.0519214285714287,0.2615467747889299,0.2135952380952381,3.0064047619047622,0.26432803720512577,0.2543190476190476,2.9656809523809526,0.2608149134778413,0.35825714285714294,2.861742857142857,0.24622872948403687,0.6221666666666666,2.5978333333333334,0.23842337978292732,0.018000000000000006,3.2020000000000004,0.26683005672212706,0.08300000000000003,3.137,0.26211930562803265,0.19549999999999998,3.0245,0.2757037362754625,1.3744999999999998,1.8455000000000004,0.5516534488621552,1.8814999999999997,1.3385000000000005,0.7812144764130892,2.199,1.0210000000000004,0.7133715500002362,2.455,0.7650000000000001,0.6115449050603838,44591810060.8257,0.258454827540325,11357071284.6333,-0.5124029487363909,83.34061286074021,-0.36604677902279364,2.4,-0.49871381139777005,1.8,-0.299605096794763
5,ATHENS,2015-08,3.55,Other FHA,0.13010000000000005,3.4198999999999997,0.24648239980097594,0.151965,3.3980349999999997,0.25291236787361476,0.1967275,3.3532724999999997,0.2615467747889299,0.2610100000000001,3.2889899999999996,0.26432803720512577,0.3207975,3.2292025,0.2608149134778413,0.5193599999999999,3.03064,0.24622872948403687,0.8364375,2.7135625,0.23842337978292732,0.03523809523809525,3.5147619047619045,0.26683005672212706,0.22000000000000006,3.3299999999999996,0.26211930562803265,0.3757142857142857,3.174285714285714,0.2757037362754625,1.5414285714285714,2.0085714285714285,0.5516534488621552,2.167142857142857,1.382857142857143,0.7812144764130892,2.5466666666666664,1.0033333333333334,0.7133715500002362,2.8557142857142854,0.6942857142857144,0.6115449050603838,47692027772.9219,0.258454827540325,11517159733.1957,-0.5124029487363909,82.3313446344394,-0.36604677902279364,2.0,-0.49871381139777005,0.6,-0.299605096794763
6,ATHENS,2015-09,3.26,Other FHA,0.1344409090909091,3.125559090909091,0.24648239980097594,0.15661363636363634,3.103386363636363,0.25291236787361476,0.20107727272727274,3.058922727272727,0.2615467747889299,0.26589318181818195,2.994106818181818,0.26432803720512577,0.3311113636363637,2.928888636363636,0.2608149134778413,0.5371681818181817,2.722831818181818,0.24622872948403687,0.8526636363636364,2.4073363636363636,0.23842337978292732,0.008571428571428572,3.2514285714285713,0.26683005672212706,0.17952380952380947,3.0804761904761904,0.26211930562803265,0.3733333333333333,2.8866666666666667,0.2757037362754625,1.4900000000000002,1.7699999999999996,0.5516534488621552,2.1728571428571435,1.0871428571428563,0.7812144764130892,2.618095238095238,0.6419047619047618,0.7133715500002362,2.9528571428571433,0.3071428571428565,0.6115449050603838,48997735451.5931,0.258454827540325,11834405659.8436,-0.5124029487363909,83.80897781081251,-0.36604677902279364,1.8,-0.49871381139777005,0.8,-0.299605096794763
7,ATHENS,2017-07,3.25,Other FHA,1.1766928571428568,2.0733071428571432,0.24648239980097594,1.1913757142857144,2.0586242857142856,0.25291236787361476,1.2280366666666667,2.0219633333333333,0.2615467747889299,1.2566676190476191,1.9933323809523809,0.26432803720512577,1.307512857142857,1.942487142857143,0.2608149134778413,1.4570814285714284,1.7929185714285716,0.24622872948403687,1.7410885714285718,1.5089114285714282,0.23842337978292732,0.9720000000000001,2.278,0.26683005672212706,1.1284999999999996,2.1215,0.26211930562803265,1.2235,2.0265,0.2757037362754625,1.8720000000000003,1.3779999999999997,0.5516534488621552,2.3179999999999996,0.9320000000000004,0.7812144764130892,2.6505,0.5994999999999999,0.7133715500002362,2.884,0.3660000000000001,0.6115449050603838,47316214443.3566,0.258454827540325,12747516848.3499,-0.5124029487363909,87.3618752869242,-0.36604677902279364,1.6,-0.49871381139777005,0.9,-0.299605096794763
8,ATHENS,2018-08,3.88,Other FHA,1.916485,1.963515,0.24648239980097594,1.9541377272727276,1.9258622727272723,0.25291236787361476,2.074109545454545,1.8058904545454548,0.2615467747889299,2.18963,1.6903699999999997,0.26432803720512577,2.323575,1.556425,0.2608149134778413,2.5196563636363636,1.3603436363636363,0.24622872948403687,2.8215668181818185,1.0584331818181814,0.23842337978292732,1.9408695652173917,1.9391304347826082,0.26683005672212706,2.244347826086957,1.635652173913043,0.26211930562803265,2.445652173913043,1.4343478260869569,0.2757037362754625,2.7678260869565223,1.1121739130434776,0.5516534488621552,2.889130434782609,0.9908695652173911,0.7812144764130892,2.970434782608696,0.9095652173913038,0.7133715500002362,3.041739130434783,0.8382608695652167,0.6115449050603838,50407042046.8076,0.258454827540325,12484889768.5791,-0.5124029487363909,,-0.36604677902279364,1.9,-0.49871381139777005,0.7,-0.299605096794763
